store,geni_id,qid,language,label,kind,marker,vocabulary,position,remainder
geni,1050041,,label_en,<private> Pereira Aranibar,marker,<private>,narrow,head,Pereira Aranibar
geni,1050041,,label_mul,<private> Pereira Aranibar,marker,<private>,narrow,head,Pereira Aranibar
geni,1050090,,label_en,<private> Gaya Pereira,marker,<private>,narrow,head,Gaya Pereira
geni,1050090,,label_mul,<private> Gaya Pereira,marker,<private>,narrow,head,Gaya Pereira
geni,1050426,,label_en,Private,marker,private,narrow,whole,
geni,1050426,,label_mul,Private,marker,private,narrow,whole,
geni,1062794,,label_en,Private,marker,private,narrow,whole,
geni,1062794,,label_mul,Private,marker,private,narrow,whole,
geni,1408313,,label_en,Private,marker,private,narrow,whole,
geni,1408313,,label_mul,Private,marker,private,narrow,whole,
geni,1606152,,label_en,Private,marker,private,narrow,whole,
geni,1606152,,label_mul,Private,marker,private,narrow,whole,
geni,1606161,,label_en,Private,marker,private,narrow,whole,
geni,1606161,,label_mul,Private,marker,private,narrow,whole,
geni,1636523,,label_en,Private,marker,private,narrow,whole,
geni,1636523,,label_mul,Private,marker,private,narrow,whole,
geni,1637378,,label_en,Private,marker,private,narrow,whole,
geni,1637378,,label_mul,Private,marker,private,narrow,whole,
geni,1637513,,label_en,Private,marker,private,narrow,whole,
geni,1637513,,label_mul,Private,marker,private,narrow,whole,
geni,1787829,,label_en,Private,marker,private,narrow,whole,
geni,1787829,,label_mul,Private,marker,private,narrow,whole,
geni,1787838,,label_en,Private,marker,private,narrow,whole,
geni,1787838,,label_mul,Private,marker,private,narrow,whole,
geni,1787844,,label_en,Private,marker,private,narrow,whole,
geni,1787844,,label_mul,Private,marker,private,narrow,whole,
geni,1787855,,label_en,Private,marker,private,narrow,whole,
geni,1787855,,label_mul,Private,marker,private,narrow,whole,
geni,1787858,,label_en,Private,marker,private,narrow,whole,
geni,1787858,,label_mul,Private,marker,private,narrow,whole,
geni,1788110,,label_en,<private> Pereira,marker,<private>,narrow,head,Pereira
geni,1788110,,label_mul,<private> Pereira,marker,<private>,narrow,head,Pereira
geni,1788112,,label_en,<private> Pereira,marker,<private>,narrow,head,Pereira
geni,1788112,,label_mul,<private> Pereira,marker,<private>,narrow,head,Pereira
geni,1788123,,label_en,<private> Pereira,marker,<private>,narrow,head,Pereira
geni,1788123,,label_mul,<private> Pereira,marker,<private>,narrow,head,Pereira
geni,1788184,,label_en,<private> Krutsfeldt,marker,<private>,narrow,head,Krutsfeldt
geni,1788184,,label_mul,<private> Krutsfeldt,marker,<private>,narrow,head,Krutsfeldt
geni,1788191,,label_en,<private> Campero,marker,<private>,narrow,head,Campero
geni,1788191,,label_mul,<private> Campero,marker,<private>,narrow,head,Campero
geni,1788258,,label_en,<private> Campero,marker,<private>,narrow,head,Campero
geni,1788258,,label_mul,<private> Campero,marker,<private>,narrow,head,Campero
geni,2083690,,label_en,<private> Jimenez,marker,<private>,narrow,head,Jimenez
geni,2083690,,label_mul,<private> Jimenez,marker,<private>,narrow,head,Jimenez
geni,2083722,,label_en,<private> Jimenez Pereyra,marker,<private>,narrow,head,Jimenez Pereyra
geni,2083722,,label_mul,<private> Jimenez Pereyra,marker,<private>,narrow,head,Jimenez Pereyra
geni,2083738,,label_en,<private> Jimenez Pereyra,marker,<private>,narrow,head,Jimenez Pereyra
geni,2083738,,label_mul,<private> Jimenez Pereyra,marker,<private>,narrow,head,Jimenez Pereyra
geni,2083752,,label_en,<private> Jimenez Pereyra,marker,<private>,narrow,head,Jimenez Pereyra
geni,2083752,,label_mul,<private> Jimenez Pereyra,marker,<private>,narrow,head,Jimenez Pereyra
geni,2083811,,label_en,<private> Delgadillo Pereira,marker,<private>,narrow,head,Delgadillo Pereira
geni,2083811,,label_mul,<private> Delgadillo Pereira,marker,<private>,narrow,head,Delgadillo Pereira
geni,2083977,,label_en,Private,marker,private,narrow,whole,
geni,2083977,,label_mul,Private,marker,private,narrow,whole,
geni,2084162,,label_en,Private,marker,private,narrow,whole,
geni,2084162,,label_mul,Private,marker,private,narrow,whole,
geni,2084210,,label_en,Private,marker,private,narrow,whole,
geni,2084210,,label_mul,Private,marker,private,narrow,whole,
geni,2084242,,label_en,Private,marker,private,narrow,whole,
geni,2084242,,label_mul,Private,marker,private,narrow,whole,
geni,2108128,,label_en,Private,marker,private,narrow,whole,
geni,2108128,,label_mul,Private,marker,private,narrow,whole,
geni,2108232,,label_en,Private,marker,private,narrow,whole,
geni,2108232,,label_mul,Private,marker,private,narrow,whole,
geni,2108240,,label_en,Private,marker,private,narrow,whole,
geni,2108240,,label_mul,Private,marker,private,narrow,whole,
geni,2108253,,label_en,Private,marker,private,narrow,whole,
geni,2108253,,label_mul,Private,marker,private,narrow,whole,
geni,2147332,,label_en,<private> Pereira Aranibar,marker,<private>,narrow,head,Pereira Aranibar
geni,2147332,,label_mul,<private> Pereira Aranibar,marker,<private>,narrow,head,Pereira Aranibar
geni,2147447,,label_en,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147447,,label_mul,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147499,,label_en,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147499,,label_mul,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147516,,label_en,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147516,,label_mul,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147534,,label_en,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147534,,label_mul,<private> De La Via,marker,<private>,narrow,head,De La Via
geni,2147546,,label_en,Private,marker,private,narrow,whole,
geni,2147546,,label_mul,Private,marker,private,narrow,whole,
geni,2147605,,label_en,<private> Delgadillo Pereira,marker,<private>,narrow,head,Delgadillo Pereira
geni,2147605,,label_mul,<private> Delgadillo Pereira,marker,<private>,narrow,head,Delgadillo Pereira
geni,2147620,,label_en,<private> Delgadillo Pereyra,marker,<private>,narrow,head,Delgadillo Pereyra
geni,2147620,,label_mul,<private> Delgadillo Pereyra,marker,<private>,narrow,head,Delgadillo Pereyra
geni,2147636,,label_en,<private> Delgadillo Pereyra,marker,<private>,narrow,head,Delgadillo Pereyra
geni,2147636,,label_mul,<private> Delgadillo Pereyra,marker,<private>,narrow,head,Delgadillo Pereyra
geni,2147666,,label_en,Private,marker,private,narrow,whole,
geni,2147666,,label_mul,Private,marker,private,narrow,whole,
geni,2147690,,label_en,Private,marker,private,narrow,whole,
geni,2147690,,label_mul,Private,marker,private,narrow,whole,
geni,2147721,,label_en,Private,marker,private,narrow,whole,
geni,2147721,,label_mul,Private,marker,private,narrow,whole,
geni,2147829,,label_en,Private,marker,private,narrow,whole,
geni,2147829,,label_mul,Private,marker,private,narrow,whole,
geni,2147885,,label_en,Private,marker,private,narrow,whole,
geni,2147885,,label_mul,Private,marker,private,narrow,whole,
geni,2147914,,label_en,Private,marker,private,narrow,whole,
geni,2147914,,label_mul,Private,marker,private,narrow,whole,
geni,2148377,,label_en,<private> Campero,marker,<private>,narrow,head,Campero
geni,2148377,,label_mul,<private> Campero,marker,<private>,narrow,head,Campero
geni,2148439,,label_en,Private,marker,private,narrow,whole,
geni,2148439,,label_mul,Private,marker,private,narrow,whole,
geni,2148463,,label_en,Private,marker,private,narrow,whole,
geni,2148463,,label_mul,Private,marker,private,narrow,whole,
