chart_name	geni	geni_name	source
Kakunin	6000000019402474960	Kakujitsu ni En'ya	Emma, 2026-08-20, in chat
En'ya Yoriyasu	6000000012562003977	Yoriyasu En'ya	Emma, 2026-08-20, in chat (Q18236076)
# Kakunin is confirmed by structure as well as by Emma: Geni gives Takatoki 53
# (6000000019459698488) exactly two parents, Yasutaka Izumo-kokuso
# (6000000019403016022) and Kakujitsu ni En'ya (6000000019402474960), which is the
# position the chart draws Kakunin in.
