geni_id,descendants,found_in,found_at
6000000037055354049,6932,descent-from-6000000006101354745,2026-09-10
6000000004150889590,15000,descent-from-6000000006101354745,2026-09-10
6000000223955666822,15000,descent-from-6000000006101354745,2026-09-10
6000000009524802456,15000,descent-from-6000000006101354745,2026-09-10
6000000002915140855,13778,descent-from-6000000006101354745,2026-09-10
6000000006428491389,15000,descent-from-6000000006101354745,2026-09-10
6000000012808241290,9154,descent-from-6000000006101354745,2026-09-10
6000000004120195518,15000,descent-from-6000000006101354745,2026-09-10
6000000015746688153,6161,descent-from-6000000006101354745,2026-09-10
6000000006444307257,11652,descent-from-6000000006101354745,2026-09-10
6000000003845495674,15000,descent-from-6000000006101354745,2026-09-10
300372611270008118,5272,descent-from-6000000006101354745,2026-09-10
6000000015341003638,7796,descent-from-6000000006101354745,2026-09-10
6000000005607957168,14582,descent-from-6000000006101354745,2026-09-10
6000000015628911730,10106,descent-from-6000000006101354745,2026-09-10
6000000009886104692,15000,descent-from-6000000000183188387,2026-09-12
6000000003190446104,15000,descent-from-6000000000183188387,2026-09-12
6000000009305175571,15000,descent-from-6000000000183188387,2026-09-12
6000000021244361981,10099,descent-from-6000000000183188387,2026-09-12
6000000012697860316,15000,descent-from-6000000000183188387,2026-09-12
6000000003827467269,15000,descent-from-6000000000183188387,2026-09-12
6000000004570936489,15000,descent-from-6000000211987119821,2026-09-12
6000000003637361652,15000,descent-from-6000000211987119821,2026-09-12
6000000019356196346,15000,descent-from-6000000211987119821,2026-09-12
6000000041015044009,15000,descent-from-6000000220876233832,2026-09-12
