geni_id,n_names,n_placeholder,n_real,has_real_name,placeholder_names,real_names
6000000220974565012,1,1,0,no,NN,
6000000000317314011,4,1,3,yes,/Avitus/,"Avitus, Western Roman Emperor | Dominus Noster Eparchius Avitus Augustus// | Marcus Maecilius Flavius Eparchius Avitus"
6000000001737249845,1,1,0,no,Nn,
6000000012774189014,1,1,0,no,?,
6000000012774152623,1,1,0,no,N.N.,
6000000003828385504,1,1,0,no,/Sergius/,
6000000012762842001,2,1,1,yes,/Magna/,Scribonia /Magna/
6000000197709058845,1,1,0,no,Unknown /Capitolinus/,
6000000024902478637,2,2,0,no,<private> /Caepio/ | Private,
6000000041375365992,2,1,1,yes,Unknown,Wife of Marcus Junius Silanus
6000000002187718261,1,1,0,no,NN /NN/,
6000000005757895476,2,1,1,yes,/ Cossutia,Fulvia (or Crossutia)
6000000117645192881,1,1,0,no,/de Rome/,
6000000011818271640,1,1,0,no,NN,
6000000005747654234,1,1,0,no,? /de Tarquinii/,
6000000209755304828,1,1,0,no,NN,
6000000038831311245,1,1,0,no,<private> /./,
6000000034873384494,2,2,0,no,<private> /./ | Private,
6000000101751889823,2,2,0,no,<private> /./ | Private,
6000000033018325496,1,1,0,no,..........,
6000000026283448321,2,2,0,no,<private> /./ | Private,
6000000038340797967,2,2,0,no,<private> /./ | Private,
6000000038791882354,2,2,0,no,<private> /Singoprono V/ | Private,
6000000038323234386,2,2,0,no,<private> /./ | Private,
6000000038830583680,2,2,0,no,<private> /./ | Private,
6000000034874013840,2,2,0,no,<private> /./ | Private,
6000000108134191842,2,2,0,no,<private> /./ | Private,
6000000017710166995,2,2,0,no,<private> /Soeryodipoero/ | Private,
6000000034873831199,2,2,0,no,<private> /./ | Private,
6000000038749886880,2,2,0,no,<private> /Poerbodipuro/ | Private,
6000000026283505249,2,2,0,no,<private> /./ | Private,
6000000038324531962,2,2,0,no,<private> /./ | Private,
6000000026283150547,2,2,0,no,<private> /./ | Private,
6000000026283321248,2,2,0,no,<private> /./ | Private,
6000000035486718781,2,2,0,no,<private> /./ | Private,
6000000038320949327,2,2,0,no,<private> /./ | Private,
6000000038321250206,2,2,0,no,<private> /./ | Private,
6000000038321313069,2,2,0,no,<private> /./ | Private,
6000000038321080428,2,2,0,no,<private> /./ | Private,
6000000038323647346,2,2,0,no,<private> /./ | Private,
6000000038230352981,2,2,0,no,<private> /./ | Private,
6000000026282980766,2,2,0,no,<private> /./ | Private,
6000000026283392195,2,2,0,no,<private> /./ | Private,
6000000017710336873,2,2,0,no,<private> /Soeryodipoero/ | Private,
6000000031740989421,2,2,0,no,<private> /./ | Private,
6000000038342667605,2,2,0,no,<private> /./ | Private,
6000000019591492057,2,2,0,no,<private> /./ | Private,
6000000038333169699,2,2,0,no,<private> /./ | Private,
6000000038333388590,2,2,0,no,<private> /./ | Private,
6000000038333692232,2,2,0,no,<private> /./ | Private,
321923998110002344,2,2,0,no,<private> /./ | Private,
6000000006536593009,2,2,0,no,<private> /N./ | Private,
6000000021013506595,2,2,0,no,<private> /DANUPOYO/ | Private,
6000000032576085886,2,2,0,no,<private> /DANUPOYO/ | Private,
6000000066270926018,2,2,0,no,<private> /./ | Private,
6000000038982088851,2,2,0,no,<private> /./ | Private,
6000000017710394774,2,2,0,no,<private> /'/ | Private,
6000000038761884530,2,2,0,no,<private> /Poerbodipuro/ | Private,
6000000101936471865,1,1,0,no,NN,
6000000038274093383,2,2,0,no,<private> /./ | Private,
6000000066661542834,2,2,0,no,<private> /./ | Private,
6000000026283261291,2,2,0,no,<private> /./ | Private,
6000000065446200857,2,2,0,no,<private> /./ | Private,
6000000026283166448,2,2,0,no,<private> /./ | Private,
6000000038844203094,2,2,0,no,<private> /./ | Private,
6000000038844214056,2,2,0,no,<private> /./ | Private,
6000000017695797811,1,1,0,no,<private> /./,
6000000017539039262,2,2,0,no,<private> /Koesoemowardhani/ | Private,
6000000031727113999,2,2,0,no,<private> /./ | Private,
6000000031726975146,2,2,0,no,<private> /./ | Private,
6000000031726855386,2,2,0,no,<private> /./ | Private,
6000000031726681298,2,2,0,no,<private> /./ | Private,
6000000031726811203,2,2,0,no,<private> /./ | Private,
6000000031726745237,2,2,0,no,<private> /./ | Private,
6000000042855270631,2,2,0,no,<private> /./ | Private,
6000000031740949611,1,1,0,no,Private,
6000000023126809016,1,1,0,no,Private,
6000000017540975058,1,1,0,no,Private,
6000000008755236770,1,1,0,no,Private,
6000000017081735311,1,1,0,no,Private,
6000000019590504832,1,1,0,no,Private,
6000000003201217657,1,1,0,no,Private,
6000000003211672855,1,1,0,no,Private,
6000000012775244754,1,1,0,no,Private,
6000000036084654082,1,1,0,no,Private,
6000000013389571637,1,1,0,no,Private,
6000000001863329507,1,1,0,no,Private,
6000000001863346576,1,1,0,no,Private,
6000000018614643508,1,1,0,no,Private,
6000000035678591963,1,1,0,no,Private,
6000000027152023928,1,1,0,no,Private,
6000000026283295139,1,1,0,no,Private,
6000000106675435821,2,2,0,no,<private> /./ | Private,
6000000106409400844,2,2,0,no,<private> /./ | Private,
6000000106675419847,2,2,0,no,<private> /./ | Private,
6000000106675305865,2,2,0,no,<private> /./ | Private,
321923342210002342,1,1,0,no,Private,
6000000003000411995,1,1,0,no,Private,
6000000033116900960,1,1,0,no,Private,
6000000033170383404,1,1,0,no,Private,
6000000003373850311,1,1,0,no,Private,
6000000003373792186,1,1,0,no,Private,
6000000016097002627,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000016096915801,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000017103522816,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000016097047243,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033117049690,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033118294217,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033118511008,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033118140703,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033118296556,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033118609270,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000033118747149,2,2,0,no,<private> /Sosronagoro/ | Private,
6000000016030749356,1,1,0,no,Private,
6000000016033035864,1,1,0,no,Private,
