geni_id	qid	cjk_names	han_tokens	ko	ja_sourced	zh
3044162		大唐帝國 謝氏	謝氏	사씨		
3044169		隋朝列祖列宗 謝氏	謝氏	사씨		
3044182		貞 元正 陳郡陽夏	貞 元正	정 원정		
3044191		藺 希如 陳郡陽夏	藺 希如	인 희여		
3044197		經 謝	經 謝	경 사		
3044228		瑤 陳郡陽夏	瑤	요		
3044253		琰 瑗度 陳郡陽夏	琰 瑗度	염 원도		
3044272		鯤 幼輿 陳郡陽夏	鯤 幼輿	곤 유여		
3044292		廣 謝	廣 謝	광 사		
3044296		尚 仁祖 陳郡陽夏	尚 仁祖	상 인조		
3044322		奕 無奕 陳郡陽夏	奕 無奕	혁 무혁		
3044331		據 陳郡陽夏 | 據 陳郡陽夏 二	據 據 二	거 거 이		
3044341		鐵 陳郡陽夏 | 鐵 陳郡陽夏 六	鐵 鐵 六	철 철 육		
3044361		澹 謝	澹 謝	담 사		
3044366		混 叔源 陳郡陽夏	混 叔源	혼 숙원		
3044368		峻 陳郡陽夏 | 峻 陳郡陽夏 二	峻 峻 二	준 준 이		
3044386		肇 陳郡陽夏	肇	조		
3044393		韜元 道韞 陳郡陽夏	韜元 道韞	도원 도온		
3044400		瑍 陳郡陽夏	瑍	환		
3044402		靈運 陳郡陽夏	靈運	영운		
3044404		鳳 陳郡陽夏	鳳	봉		
3044405		超宗 陳郡陽夏	超宗	초종		
3044406		才卿 陳郡陽夏	才卿	재경		
3044413		幾卿 陳郡陽夏	幾卿	기경		
3044415		藻 陳郡陽夏	藻	조		
3044421		朗 陳郡陽夏	朗	낭		
3044423		允 陳郡陽夏	允	윤		
3044428		重 陳郡陽夏	重	중		
3044455		裕 景仁 陳郡陽夏	裕 景仁	유 경인		
3044456		述 景先 陳郡陽夏	述 景先	술 경선		
3044489		綜 陳郡陽夏	綜	종		
3044492		緯 陳郡陽夏	緯	위		
3044498		朓 玄暉 陳郡陽夏	朓 玄暉	조 현휘		
3044504		謨 陳郡陽夏	謨	모		
3044510		韶 陳郡陽夏	韶	소		
3044514		恩 陳郡陽夏	恩	은		
3044520		曜 陳郡陽夏	曜	요		
3044523		密 弘微 陳郡陽夏	密 弘微	밀 홍미		
3044540		颺 陳郡陽夏	颺	양		
3044552		朏 敬冲 陳郡陽夏	朏 敬冲	굴 경충		
3044555		顥 仁悠 陳郡陽夏	顥 仁悠	호 인유		
3044558		嵸 陳郡陽夏	嵸	종		
3044564		[艹瀹] 義潔 陳郡陽夏	義潔	의결		
3044579		譓 謝	譓 謝	혜 사		
3044582		哲 謝	哲 謝	철 사		
3044585		覽 景滌 陳郡陽夏	覽 景滌	남 경척		
3044593		舉 言揚 陳郡陽夏	舉 言揚	거 언양		
3044602		嘏 含茂 陳郡陽夏	嘏 含茂	하 함무		
3044609		儼 謝	儼 謝	엄 사		
3044616		11 謝 | 謝	謝 謝	사 사		
3044627		僑 謝	僑 謝	교 사		
3044655		靖 謝	靖 謝	정 사		
3044690		邈 陳郡陽夏	邈	막		
3044704		沖 陳郡陽夏	沖	충		
3044714		方明 陳郡陽夏	方明	방명		
335810395400002148		恕 陳 | 恕 陳 113	恕 陳 恕 陳	서 진 서 진		
335810729030011752		氏 王	王	왕		
335811147510012602		說 陳 | 說 陳 112	說 陳 說 陳	설 진 설 진		
335811473890011753		母 陳	母 陳	모 진		
335816110050013397		則 陳 | 則 陳 111	則 陳 則 陳	칙 진 칙 진		
335816278950004492		氏 王	王	왕		
335817165450003733		稹 陳 | 稹 陳 110	稹 陳 稹 陳	진 진 진 진		
335817455410003820		氏 周	周	주		
335817458640005409		勇 陳 | 勇 陳 109	勇 陳 勇 陳	용 진 용 진		
335818189960004543		氏 郭	郭	곽		
335819110260011714		承逸 陳 | 承逸 陳 108	承逸 陳 承逸 陳	승일 진 승일 진		
335819752460011750		氏 蕭	蕭	소		
335847370560002574		徽 京兆萬年 | 徽 京兆萬年 107	徽 徽	휘 휘		
335847596160003997		氏 梁	梁	양		
335847828470013445		元史 京兆萬年 | 元史 京兆萬年 106	元史 元史	원사 원사		
335848157230003994		母 陳	母 陳	모 진		
335848458130005369		伯黨 京兆萬年 | 伯黨 京兆萬年 105	伯黨 伯黨	백당 백당		
335848880110006014		伯宣 京兆萬年	伯宣	백선		
335849381360005366		灌 京兆萬年 | 灌 京兆萬年 104	灌 灌	관 관		
335850147730012636		母 陳	母 陳	모 진		
335850906110003774		母 陳	母 陳	모 진		
335854204270012799		京 慶復 京兆長安 | 京 慶復 京兆長安 102	京 慶復 京 慶復	경 경복 경 경복		
335854384000006042		兼 京兆長安 | 兼 京兆長安 101	兼 兼	겸 겸		
335854422680013447		母 陳	母 陳	모 진		
335854821380006026		球 陳 | 球 陳 100	球 陳 球 陳	구 진 구 진		
335855648790014180		母 陳	母 陳	모 진		
335856564180012766		固 陳	固 陳	고 진		
335856885890002545		母 陳	母 陳	모 진		
335857144200006053		母 陳	母 陳	모 진		
335857220250004640		蔣 陳	蔣 陳	장 진		
335857832300007013		黯 陳	黯 陳	암 진		
335858083180005368		母 陳	母 陳	모 진		
335858492280005389		顯 陳	顯 陳	현 진		
335858913620007074		母 陳	母 陳	모 진		
335859176380007051		嘉 陳	嘉 陳	가 진		
335859615070003936		母 陳	母 陳	모 진		
335859955920003990		夷實 陳	夷實 陳	이실 진		
335860364720004760		定 陳	定 陳	정 진		
335860612540004657		母 陳	母 陳	모 진		
335861015670003981		繹 陳 | 繹 陳 98	繹 陳 繹 陳	역 진 역 진		
335861693390004698		母 陳	母 陳	모 진		
335862388720003999		彭城武原 | 彭城武原 二	彭城武原 彭城武原 二	팽성무원 팽성무원 이		
335863126630012639		王后 沈	王后 沈	왕후 침		
335864257170012785		母 陳	母 陳	모 진		
335864792060014110		董	董	동		
335865142040012806		道巨 天然 陳	道巨 天然 陳	도거 천연 진		
335865411230005367		猛 希賢 陳	猛 希賢 陳	맹 희현 진		
335866248060003988		詠 陳	詠 陳	영 진		
336651374470012770		陵 陳	陵 陳	능 진		
336657583970005376		承進 陳	承進 陳	승진 진		
336658372290005366		羽 陳	羽 陳	우 진		
336658932010013534		堯 陳	堯 陳	요 진		
336659170590012634		氏 黃	黃	황		
336659416350011820		裕 陳	裕 陳	유 진		
336659966450013487		华 陳	华 陳	화 진		
336660278520011823		招 陳	招 陳	초 진		
336660616370014224		氏 郭	郭	곽		
336660843990014199		崇 陳	崇 陳	숭 진		
336661210990013479		逐 陳	逐 陳	축 진		
336661443490003097		盈 陳	盈 陳	영 진		
336662660820003072		隆 陳	隆 陳	융 진		
336663738750002638		濟 陳	濟 陳	제 진		
336663757520007088		旦 陳	旦 陳	단 진		
336665832520003084		諒 陳	諒 陳	양 진		
336666070740003042		誥 陳	誥 陳	고 진		
336671734360011827		宿 陳	宿 陳	숙 진		
336675783220002604		真 陳	真 陳	진 진		
336676333160012847		絳 陳	絳 陳	강 진		
336680315170002657		黄中 陳	黄中 陳	황중 진		
336680715260005337		允中 陳	允中 陳	윤중 진		
336681597610002630		時中 陳	時中 陳	시중 진		
375165424910012483		萇 京兆長安	萇	장		
375166100800012345		璫 京兆長安 | 璫 京兆長安 一	璫 璫 一	당 당 일		
375166905030012379		歸 陳	歸 陳	귀 진		
375783977160004715	Q186581	术赤	术赤	출적		
375784306260002721	Q720	テムジンジンギスカン | 铁木真成吉思汗 | 木真 孛兒只斤 | 成吉思汗 鐵木真	铁木真成吉思汗 木真 成吉思汗 鐵木真	철목진성길사한 목진 성길사한 철목진		
375784738310012619		孛兒帖	孛兒帖	패아첩		
389785802820002076		洽 陳	洽 陳	흡 진		
389786295930007560		母 陳	母 陳	모 진		
389786585800007547		陵 陳	陵 陳	능 진		
389786949970010586		邕公 許州長社 | 邕 許州長社	邕公 許州長社 邕 許州長社	옹공 허주장사 옹 허주장사		
389787275690003309		母 陳	母 陳	모 진		
389787551200003375		當 陳	當 陳	당 진		
389788054780012564		高	高	고		
389789133470002074		夷錫 許州長社 | 陳夷錫	夷錫 許州長社 陳夷錫	이석 허주장사 진이석		
389789472240002101		夷行 京兆長安	夷行	이행		
389789863260004418		夷實 許州長社 | 夷實 許州長社 二	夷實 許州長社 夷實 許州長社 二	이실 허주장사 이실 허주장사 이		
389793624590003318		徐	徐	서		
389862954730003319		忠公 許州長社 | 陳:忠,字:叔德,號:毅俺, 102, 51, 14, 1 | 忠 許州長社	忠公 許州長社 忠 許州長社	충공 허주장사 충 허주장사		
389870766530004396		李	李	이		
4292347799720042055		多恵子 加納	多恵子 加納	다혜자 가납		
4304466521760043078		久道 加納	久道 加納	구도 가납		
4304466546090010445	Q11398749	久朗 加納	久朗 加納	구낭 가납		
4304466546130010446		多津 伊藤	多津 伊藤	다진 이등		
4304472100540055969		久次 加納	久次 加納	구차 가납		
4304489461580043971		ロバート 郁夫 加納 | 加納 郁夫	郁夫 加納 加納 郁夫	욱부 가납 가납 욱부		
4304493291710067976		ローザ 英子 加納 | 伊藤 英子	英子 加納 伊藤 英子	영자 가납 이등 영자		
4304704214010031755		嘉元次郎 (久宜) 加納 | 加納 久宜	嘉元次郎 加納 加納 久宜	가원차낭 가납 가납 구의		
4304704294180010462		文子 大久保	文子 大久保	문자 대구보		
4304763092520031867		治子 加納	治子 加納	치자 가납		
4304847550660068157		久憲 加納	久憲 加納	구헌 가납		
4367556745500051128		新 黃 | 黃新	新 黃 黃新	신 황 황신		
4367559368720029299		序 黃 | 黃序	序 黃 黃序	서 황 황서		
4367561757010072856		重 黃 | 黃重	重 黃 黃重	중 황 황중		
4367565555590050711		伊 黃 | 黃伊	伊 黃 黃伊	이 황 황이		
4367570693420088471		乔 黃 | 黃乔	乔 黃 黃乔	교 황 황교		
4367573898680123477		体政 黃 | 黃体政	体政 黃 黃体政	체정 황 황체정		
4367578851280063926		显忠 黃 | 黃显忠	显忠 黃 黃显忠	현충 황 황현충		
4367581235720028965		由直 黃 | 黃由直	由直 黃 黃由直	유직 황 황유직		
4367584011550050537		婴倚 黃 | 黃婴倚	婴倚 黃 黃婴倚	영의 황 황영의		
4367588944050014302		前修 黃 | 黃前修	前修 黃 黃前修	전수 황 황전수		
4367593523730063640		安民 黃 | 黃安民	安民 黃 黃安民	안민 황 황안민		
4367596406730072634		亮 黃 | 黃亮	亮 黃 黃亮	양 황 황양		
