score,side,frontier_geni,frontier_label,frontier_year,candidate_father_geni,candidate_father_label,candidate_year,candidate_place
6,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000173893919129,Erik Gyllenstierna,1644,Narva slott
6,mother,6000000177921654827,Carin Johansdotter,1704,6000000218227208015,Johan Wrangel,1663,"Stockholms stad, Sweden"
6,mother,6000000177921654827,Carin Johansdotter,1704,6000000194811478821,Johan Conrad Nieroth,1679,"Reval, Estland"
6,mother,6000000177921654827,Carin Johansdotter,1704,6000000012293912240,Johan Nilsson Lilliehöök af Fårdala,1658,"Malmö, Malmöhus län, Sverige"
6,mother,6000000177921654827,Carin Johansdotter,1704,6000000127030405878,Johan Didrik Stuart,1662,Stockholm (A)
6,mother,6000000177921654827,Carin Johansdotter,1704,6000000008100806958,Johan Gabriel Klöfverskjöld,1671,"Tubbaremma, Vislanda, Kronobergs län, Sverige"
6,mother,6000000177921654827,Carin Johansdotter,1704,6000000008792971043,Johan Johansson Klingspor,1678,"Roslags-Bro, Stockholms län, Sverige"
6,mother,6000000178278275935,Anna Eriksdotter,1707,6000000218526680597,Erik Rålamb,1673,"Malmö, Malmöhus, Sweden"
6,mother,6000000178278275935,Anna Eriksdotter,1707,6000000006127517021,Erik Wrangel af Lindeberg,1686,"Stockholms stad, Sweden"
6,mother,6000000178278275935,Anna Eriksdotter,1707,6000000001349532348,Erik Bonde af Björnö,1690,"Björnö, Frötuna, Stockholms län, Sweden"
6,mother,6000000178278275935,Anna Eriksdotter,1707,6000000012985493476,Erik Gyllenstierna af Ulaborg,1678,"Stockholms stad, Sweden"
6,mother,6000000007140194261,Kristina Johansdotter,1711,6000000218227208015,Johan Wrangel,1663,"Stockholms stad, Sweden"
6,mother,6000000007140194261,Kristina Johansdotter,1711,6000000194811478821,Johan Conrad Nieroth,1679,"Reval, Estland"
6,mother,6000000007140194261,Kristina Johansdotter,1711,6000000012293912240,Johan Nilsson Lilliehöök af Fårdala,1658,"Malmö, Malmöhus län, Sverige"
6,mother,6000000007140194261,Kristina Johansdotter,1711,6000000127030405878,Johan Didrik Stuart,1662,Stockholm (A)
6,mother,6000000007140194261,Kristina Johansdotter,1711,6000000008100806958,Johan Gabriel Klöfverskjöld,1671,"Tubbaremma, Vislanda, Kronobergs län, Sverige"
6,mother,6000000007140194261,Kristina Johansdotter,1711,6000000008792971043,Johan Johansson Klingspor,1678,"Roslags-Bro, Stockholms län, Sverige"
6,mother,6000000011546871915,Ingrid Ericsdotter,1720,6000000005562932304,Eric Undén,1688,"Undenäs, (R). Sweden"
6,mother,6000000017945282122,Jon Persson,1727,6000000007660695607,Per Höijer,1699,Turku (Åbo)
6,mother,6000000173443464858,Lars Persson,1752,6000000007660695607,Per Höijer,1699,Turku (Åbo)
6,mother,6000000173443464858,Lars Persson,1752,6000000218618194333,Per Ribbing,1717,"Årdala, Södermanland, Sweden"
6,father,6000000004861652218,NN Eriksdatter Underberge,1612,6000000003897399038,Erik Håkansson Hand,1594,Sverige
6,father,6000000178417040822,Knut Jakobsen Træfald,1641,6000000001654222394,Jakob Duwall,1625,Vendel
5,mother,6000000177921654827,Carin Johansdotter,1704,6000000008209665670,Johan Didrik Duwall,1657,"Sköllersta, Örebro län, Sverige"
5,mother,6000000007140194261,Kristina Johansdotter,1711,6000000008209665670,Johan Didrik Duwall,1657,"Sköllersta, Örebro län, Sverige"
4,mother,6000000191728221869,Kristina Gustavsdotter,1609,3137485,Gustav hertig von Sachsen-Engern-Westfalen von,1570,Ekolsund
4,mother,6000000001721459003,Ingri Eriksdotter,1674,6000000173893919129,Erik Gyllenstierna,1644,Narva slott
4,mother,6000000178287451832,Lars Jakobsson,1677,6000000001654222394,Jakob Duwall,1625,Vendel
4,mother,6000000178287451832,Lars Jakobsson,1677,6000000009108093453,Jakob Johan Hastfer,1647,Reval
4,father,6000000002801153737,Nils Erikson Bryne,1622,6000000003897399038,Erik Håkansson Hand,1594,Sverige
4,father,6000000196704954844,Lars Eriksen Norheim,1690,6000000218526680597,Erik Rålamb,1673,"Malmö, Malmöhus, Sweden"
4,father,6000000196704954844,Lars Eriksen Norheim,1690,6000000173893919129,Erik Gyllenstierna,1644,Narva slott
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000031002142350,Jan Ernest,1586,
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000008779695711,Jan Albert Vasa,1612,
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000000698805737,Jan Kazimierz Waza,1609,"Nevers, France"
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000223190425633,Jan Hanszn Meerman,1621,"Amsterdam, Noord-Holland, Pays-Bas"
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000068216071941,Jan Gothard von Tiesenhausen a. Bersohn,1590,
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000190455456037,Jan Yuri Radziwill,1616,
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000008779404728,Jan Kasimir Vasa Prince of Poland,1607,
3,mother,6000000013289307576,Anna Jansdotter,1639,6000000025595207831,Jan van Renesse,1586,
3,mother,6000000023710355744,Olof Olofsson,1640,6000000011050718862,Olof Zelow,1608,"Virum,"
3,mother,6000000177943021895,Jon Jonson,1662,6000000105520786862,Jon Andersson,1634,Tummetorp/Tomtorp
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000059620425081,Erik Mellin,1637,
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000069167746187,Erik Gabriel Gabrielsson Kurck,1661,Laukko
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000003912501060,Erik Johan Armfelt,1661,
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000005622391270,Erik Gustaf Stenbock,1662,
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000001318469066,Erik Andersson Koskull,1645,
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000001920917200,Erik Sparre af Sundby till Sundby,1665,Stora Sundby slott
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000069168022859,Erik Gabrielsson Kurck,1664,
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000046674003906,Erik Eriksson Stenbock,1645,Estland
3,mother,6000000178820801873,Rangela Eriksdotter,1682,6000000218239229922,Erik Svante Stenbock,1642,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000205233268833,Johan Rålamb,1675,Slveringe
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000018888864846,Johan van Isselmuden,1676,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000077208166821,Johan Reinholdsson Anrep,1673,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000012691394261,Johan Swebilius,1665,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000039841276511,Johan Gustaf Irving,1683,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000025637836184,Johan August Bentheim-Tecklenburg,1680,
3,mother,6000000177921654827,Carin Johansdotter,1704,4345150287070013448,Johan of Neuburg,1675,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000015050513322,Johan Fredriksen Bremer,1661,Bremerhagen
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000000703573838,Johan Carl Ramsay,1675,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000006331802395,Johan Cronman,1662,"Unanitz, Ingermanland"
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000016033228913,Johan Günther lV Linie Erloschen von Schwarzburg-Arnstadt 6,1654,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000012160349404,Johan Stråle af Sjöared,1651,Svanvik
3,mother,6000000177921654827,Carin Johansdotter,1704,5543006079720103081,Johan Lorentzson Creutz,1651,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000011533766788,Johan Vilhelm Hising,1685,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000016187997264,Johan Detelhoff Berg,1683,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000015663892775,Johan Friedrich ll Von Hohenlohe-Oehringen Herzog,1683,"Oehringen, Jagstkreis, Wurttemberg"
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000008114849275,Johan Gabriel Torstenson,1675,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000004858788467,Johan Wilhelm Wilhelmsson Helleday,1670,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000006127355736,Johan Gustav Boije af Gennäs,1665,
3,mother,6000000177921654827,Carin Johansdotter,1704,5221384891100063203,Johan Anders Appelbom,1688,Brukspatron på Österhammar
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000190042104910,Johan Casimir De la Gardie,1651,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000025846006212,Johan Karl Eberhard zu Solms-Rödelheim,1657,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000005393560519,Johan Henrik Nauckhoff,1688,Kullus
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000012432068827,Johan Robertsson Petre,1661,"Ovansjö, Ånge (Y)"
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000030227281903,Johan Johansson Sneckenberg,1684,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000010319388590,Johan Aminoff,1655,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000006724877435,Johan Adlerberg,1671,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000018341381868,Johan Roelofzn. van Echten IV,1680,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000000642987736,Johan Gyllensvärd,1653,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000025844069242,Johan August zu Solms-Rödelheim,1655,Burg Rödelheim
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000001504573569,Johan Christoph von Hedemann,1665,Celle
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000182146717836,Johan Henrik Bankow,1676,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000175927138832,Johan Henrik Reuter,1685,Kurland
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000039349736831,Johan Vilhelm Duwall,1677,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000025331701790,Johan Magnus Brummer,1683,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000022568323519,Johan Adam von Ungern-Sternberg,1687,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000190059973877,Johan Carl De la Gardie,1661,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000024779566098,Johan Melchior van Eck van Teisterbant,1664,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000205721300834,Johan Christoffer von Neüman,1688,Stettin
3,mother,6000000177921654827,Carin Johansdotter,1704,388325917570007375,Johan Falkenberg af Trystorp,1670,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000022954411174,Johan Christoffer von Rosen,1687,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000109258239920,Johan Holm ( Lejonholm ),1653,Sjöbacka Ljung
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000004297770956,Johan Jacob Makeléer,1670,Göteborg
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000218227208009,Johan Wrangel,1662,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000202006614007,Johan Fredrik Krebs,1687,
3,mother,6000000177921654827,Carin Johansdotter,1704,6000000008540415143,Johan Christoffer von Rosen,1687,Harbroholm
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000006127322551,Erik Bengtsson Oxenstierna af Korsholm och Wasa,1678,"Nijmegen, Holland"
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000008022636329,Erik Gyllengrip till Stensnäs,1667,Stensnäs
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000069167746187,Erik Gabriel Gabrielsson Kurck,1661,Laukko
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000218526680627,Erik Rålamb,1681,"Stettin, Pommern, Prussia"
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000003912501060,Erik Johan Armfelt,1661,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000119082295871,Erik Torstenson,1686,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000005622391270,Erik Gustaf Stenbock,1662,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000218399385721,Erik Fleming,1674,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000001920917200,Erik Sparre af Sundby till Sundby,1665,Stora Sundby slott
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000195073479893,Erik Kruse af Kajbala,1687,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000024050314294,Erik Mauritz Lewenhaupt,1679,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000103292531870,Erik Johansson Creutz,1680,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000008414763469,Erik Fredrik Stenbock,1686,Bogesund
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000069168022859,Erik Gabrielsson Kurck,1664,
3,mother,6000000178278275935,Anna Eriksdotter,1707,6000000036504201587,Erik Johansson Wiik,1689,Virsbo bruk Ramnäs
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000205233268833,Johan Rålamb,1675,Slveringe
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000018888864846,Johan van Isselmuden,1676,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000013477329784,Johan Axelsson von Jordan,1690,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000077208166821,Johan Reinholdsson Anrep,1673,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000012691394261,Johan Swebilius,1665,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000024518293350,Johan Jacob Brake I,1690,"Hannover, Stadt Hannover, Niedersachsen"
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000039841276511,Johan Gustaf Irving,1683,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000025637836184,Johan August Bentheim-Tecklenburg,1680,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000002664914535,Johan Clausen Koren,1690,
3,mother,6000000007140194261,Kristina Johansdotter,1711,4345150287070013448,Johan of Neuburg,1675,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000015050513322,Johan Fredriksen Bremer,1661,Bremerhagen
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000004298255083,Johan Adolf Makeléer,1694,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000191784717821,Johan Adolf Gyllensvärd,1695,Sunnaryd
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000000703573838,Johan Carl Ramsay,1675,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000006331802395,Johan Cronman,1662,"Unanitz, Ingermanland"
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000011572931659,Johan Anders von Qvanten,1695,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000092695738927,Johan Örnvinge,1691,Högsboholm
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000013255632416,Johan Creutz,1692,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000011533766788,Johan Vilhelm Hising,1685,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000016187997264,Johan Detelhoff Berg,1683,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000015663892775,Johan Friedrich ll Von Hohenlohe-Oehringen Herzog,1683,"Oehringen, Jagstkreis, Wurttemberg"
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000008114849275,Johan Gabriel Torstenson,1675,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000004858788467,Johan Wilhelm Wilhelmsson Helleday,1670,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000006127355736,Johan Gustav Boije af Gennäs,1665,
3,mother,6000000007140194261,Kristina Johansdotter,1711,5221384891100063203,Johan Anders Appelbom,1688,Brukspatron på Österhammar
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000025846006212,Johan Karl Eberhard zu Solms-Rödelheim,1657,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000005393560519,Johan Henrik Nauckhoff,1688,Kullus
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000039835194747,Johan Philip Willem Frans van Limburg Bronkhorst,1695,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000006590108911,Johan Hammar,1690,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000020566234015,Johan Lodewijk van Hardenbroek Heer van Bavay,1691,huize Hindersteyn
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000067108093821,Johan Gustaf Kruuse af Verchou,1693,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000013155019523,Johan Ulrik Ulrik Stråle af Sjöared,1690,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000012432068827,Johan Robertsson Petre,1661,"Ovansjö, Ånge (Y)"
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000030227281903,Johan Johansson Sneckenberg,1684,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000011555638359,Johan Vilhelm Armsköld,1693,"Sjöviken, Malexander"
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000006724877435,Johan Adlerberg,1671,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000018341381868,Johan Roelofzn. van Echten IV,1680,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000009461018326,Johan Georg Friedrich Georg Friedrich von Hedemann,1693,Dorste
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000001504573569,Johan Christoph von Hedemann,1665,Celle
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000022337983686,Johan Pistolskiöld,1693,Väla
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000182146717836,Johan Henrik Bankow,1676,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000175927138832,Johan Henrik Reuter,1685,Kurland
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000218021762837,Johan Fredrik von Schulman,1694,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000039349736831,Johan Vilhelm Duwall,1677,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000025331701790,Johan Magnus Brummer,1683,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000022568323519,Johan Adam von Ungern-Sternberg,1687,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000190059973877,Johan Carl De la Gardie,1661,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000024779566098,Johan Melchior van Eck van Teisterbant,1664,
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000022853677787,Johan Burchard Giellerstedt,1689,Skulestad
3,mother,6000000007140194261,Kristina Johansdotter,1711,6000000205721300834,Johan Christoffer von Neüman,1688,Stettin
