birth_year	our_children	qid	geni_id
1933	1	Q7853252	6000000002593003133
1932	1	Q106594481	6000000002457489944
1929	1	Q27058276	6000000046613430847
1929	1	Q85850573	6000000106627672911
1923	1	Q104651395	6000000057187844206
1908	1	Q1755191	5542245395180063482
1903	1	Q100594739	6000000014259237580
1888	1	Q97816840	6000000021489054425
1887	1	Q701503	6000000012592375027
1885	1	Q3532631	6000000016651611463
1884	1	Q4906725	6000000009846777420
1883	1	Q7457878	6000000026187513998
1881	1	Q107026259	6000000025349845317
1880	1	Q2577675	6000000015890917476
1877	1	Q11068138	6000000019599193938
1874	1	Q12335250	6000000026165920022
1873	1	Q107026127	6000000041138342102
1872	1	Q10864664	6000000028794667731
1871	1	Q108935482	6000000105907356905
1871	1	Q75347409	6000000010367552592
1869	1	Q135792349	6000000003401359312
1865	1	Q107026255	6000000029747221392
1865	1	Q139674992	6000000014167594478
1864	1	Q108934036	6000000090599751986
1864	1	Q11995446	6000000008970941237
1862	1	Q4722996	6000000006335732563
1860	1	Q101040263	6000000002905806198
1860	1	Q108731628	6000000020462093544
1857	1	Q7372211	6000000017072891363
1856	1	Q100594730	6000000004270149593
1856	1	Q113953226	6000000007245175238
1856	1	Q968227	6000000010601462316
1855	4	Q15934408	6000000012985231320
1855	2	Q2973254	6000000017538195517
1854	1	Q2199553	6000000026165687664
1854	1	Q6779251	6000000004881711183
1853	1	Q642403	6000000021214203914
1851	1	Q155178	6000000001552709924
1845	1	Q17142	4533621
1844	1	Q2829651	6000000021213837717
1840	1	Q106197221	6000000013413199708
1836	1	Q3557446	6000000005019191605
1835	1	Q105799174	6000000005925066032
1835	1	Q8007128	6000000004881711188
1835	1	Q94751554	6000000016236132532
1834	1	Q321581	6000000016236248086
1833	1	Q2408311	6000000009536486278
1831	1	Q261811	6000000002757282458
1830	1	Q58788	376472482500005799
1829	1	Q12325361	6000000015162051582
1828	1	Q124462	6000000010601189511
1828	1	Q3659132	6000000142802566821
1826	1	Q6756303	6000000036901802821
1826	1	Q75908711	5100528019050070635
1825	1	Q110623518	6000000047971790821
1823	1	Q115955928	4306456734820010175
1822	1	Q113244186	6000000026762320589
1821	1	Q3009738	6000000005019506442
1816	1	Q96222847	6000000016258715183
1814	1	Q109673494	6000000018165382057
1812	1	Q392639	6000000016551962771
1810	1	Q1532346	6000000026762458154
1808	1	Q57531	6000000002459840683
1808	1	Q60607	6000000001009256420
1805	1	Q10742187	6000000024638304846
1805	1	Q114458459	328065329130001139
1804	1	Q107770217	6000000011814203251
1804	1	Q66698	6000000002188399586
1803	1	Q1355574	4472594353190128399
1802	1	Q310790	6000000002134315045
1801	1	Q136744748	6000000052376267084
1801	1	Q61221	6000000002459840553
1799	1	Q21115192	6000000022260185919
1797	1	Q213708	6000000000307247993
1797	1	Q292064	6000000000307287202
1796	1	Q80330167	6000000018344736623
1794	1	Q1392483	6000000016542889342
1794	1	Q3375711	6000000014947464205
1794	1	Q3660105	6000000006962915102
1794	1	Q71062	6000000002188420379
1793	1	Q4733834	6000000012609432547
1792	1	Q154287	6000000003276300643
1792	1	Q213715	6000000002188420371
1792	1	Q2840006	6000000051996950477
1792	1	Q76159842	6000000001781660942
1791	1	Q110370686	6000000016462498307
1791	1	Q83091625	6000000006267607769
1790	2	Q12971	6000000002004033627
