earlier	later	earlier_qid	later_qid	shared_parent	verdict	wikidata_p22
Izumo no Hiroshima#25	Izumo no Otoyama#26	Q92924732	Q95161949	Izumo no Hatayasu#24	SUCCESSION AS PARENTAGE - his brother is recorded as his father	Q92924732
Izumo no Kiyotaka#54	Kitajima no Sadataka#55	Q135579414	Q135579416	Izumo no Takatoki#53	no P22 on the later one	
Izumo no Kiyotaka#54	Senge no Takamune#55	Q135579414	Q135579415	Izumo no Takatoki#53	no P22 on the later one	
Izumo no Kunikami#28	Izumo no Kuninari#29	Q135579375	Q135579376	Izumo no Otoyama#26	no P22 on the later one	
Izumo no Munefusa#43	Izumo no Kanemune#44	Q135579394	Q135579395	Izumo no Yukikane#42	no P22 on the later one	
Kitajima no Kanetaka#66	Kitajima no Michitaka#67	Q135579502	Q135579503	Kitajima no Tsunetaka#65	no P22 on the later one	
Kitajima no Okitaka#72	Kitajima no Yoritaka#73	Q135579513	Q135579514	Kitajima no Yoritaka#69	one of the pair has no item held	
Senge Takatomi#80	Senge Takanori#81	Q11405449		Senge no Takasumi#79	one of the pair has no item held	
Senge no Takafusa#69	Senge no Naoharu#70	Q135579494	Q135579495	Higashinobutoshi	no P22 on the later one	
Senge no Toyomasa#73	Senge no Toyomi#74	Q135579498	Q135579499	Senge no Munetoshi#71	no P22 on the later one	
