shape	kind	claimed_by	qid	geni_id	sources	component_qids	component_geni_ids
1x2	one item, several Geni profiles	wikidata only	Q100148041	6000000027324758902	wikidata-p2600	Q100148041	6000000027324758902;6000000153940505924
1x2	one item, several Geni profiles	wikidata only	Q100148041	6000000153940505924	wikidata-p2600	Q100148041	6000000027324758902;6000000153940505924
1x2	one item, several Geni profiles	wikidata only	Q100148297	6000000027324710066	wikidata-p2600	Q100148297	6000000027324710066;6000000153940505905
1x2	one item, several Geni profiles	wikidata only	Q100148297	6000000153940505905	wikidata-p2600	Q100148297	6000000027324710066;6000000153940505905
1x2	one item, several Geni profiles	wikidata only	Q100152590	6000000003939689501	wikidata-p2600	Q100152590	6000000003939689501;6000000006441132911
1x2	one item, several Geni profiles	wikidata only	Q100152590	6000000006441132911	wikidata-p2600	Q100152590	6000000003939689501;6000000006441132911
1x2	one item, several Geni profiles	wikidata only	Q100152591	6000000003939689400	wikidata-p2600	Q100152591	6000000003939689400;6000000020747276888
1x2	one item, several Geni profiles	wikidata only	Q100152591	6000000020747276888	wikidata-p2600	Q100152591	6000000003939689400;6000000020747276888
1x2	one item, several Geni profiles	mixed	Q100153943	6000000001450361983	wikidata-p2600	Q100153943	6000000001450361983;6000000004349435709
1x2	one item, several Geni profiles	mixed	Q100153943	6000000004349435709	zipper	Q100153943	6000000001450361983;6000000004349435709
1x2	one item, several Geni profiles	wikidata only	Q100155914	6000000002330532045	wikidata-p2600	Q100155914	6000000002330532045;6000000142085040865
1x2	one item, several Geni profiles	wikidata only	Q100155914	6000000142085040865	wikidata-p2600	Q100155914	6000000002330532045;6000000142085040865
1x2	one item, several Geni profiles	wikidata only	Q10018149	6000000002111549157	wikidata-p2600	Q10018149	6000000002111549157;6000000131451545881
1x2	one item, several Geni profiles	wikidata only	Q10018149	6000000131451545881	wikidata-p2600	Q10018149	6000000002111549157;6000000131451545881
1x2	one item, several Geni profiles	wikidata only	Q100196932	6000000028452526266	wikidata-p2600	Q100196932	6000000028452526266;6000000030915850025
1x2	one item, several Geni profiles	wikidata only	Q100196932	6000000030915850025	wikidata-p2600	Q100196932	6000000028452526266;6000000030915850025
1x2	one item, several Geni profiles	wikidata only	Q100272284	6000000020369544899	wikidata-p2600	Q100272284	6000000020369544899;6000000115308651170
1x2	one item, several Geni profiles	wikidata only	Q100272284	6000000115308651170	wikidata-p2600	Q100272284	6000000020369544899;6000000115308651170
1x2	one item, several Geni profiles	wikidata only	Q100326514	6000000034898324939	wikidata-p2600	Q100326514	6000000034898324939;6000000038151167531
1x2	one item, several Geni profiles	wikidata only	Q100326514	6000000038151167531	wikidata-p2600	Q100326514	6000000034898324939;6000000038151167531
1x2	one item, several Geni profiles	mixed	Q100327211	348889594040013469	wikidata-p2600	Q100327211	348889594040013469;6000000004586565260
1x2	one item, several Geni profiles	mixed	Q100327211	6000000004586565260	structural	Q100327211	348889594040013469;6000000004586565260
2x1	several items, one Geni profile	mixed	Q100342338	5612945144420059801	geni-about-me;geni-wikidata-pairs	Q100342338;Q65943719	5612945144420059801
