page,path_steps,path_in_paths_dir,family_text_view,family_cards,family_cards_only,family_union,page_count
paths_for_wikidata_isolates/Geni - Francisco Caldeira Cabral (1908-1992)- Coimbra.html,72,identical,13,12,0,13,13
paths_for_wikidata_isolates/Geni - Franciszek Longchamps (1912-1969)- Wrocław.html,43,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Frank Conroy (1936-2005)- Iowa City.html,23,identical,3,4,1,4,4
paths_for_wikidata_isolates/Geni - Frank Henrik Aarebrot (1947-2017)- Bergen.html,38,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Frans Josua Linders (1882-1938).html,20,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Frederick Chapman Robbins (1916-2003)- Cleveland.html,54,identical,5,5,0,5,5
"paths_for_wikidata_isolates/Geni - Frederick of Lorraine, pope Stephen IX (c.1020-1058)- Florence.html",32,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Fredrik Amadeus Wulff (1845-1930)- Lund.html,64,identical,13,12,0,13,13
paths_for_wikidata_isolates/Geni - Fredrik Berg (1887-1974).html,23,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Fredrik Petersen (1839-1903)- (Oslo.html,19,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Freiherr Karl Heinrich Ernst_ Stromer von Reichenbach (1871-1952).html,99,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Friedlieb Ferdinand Runge (1795-1867)- Oranienburg.html,69,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Friedrich Wilhelm Hans Ludendorff (1873-1941).html,53,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Gabriel Adolf Gustafson (1853-1915)- Oslo.html,18,identical,17,12,0,17,17
"paths_for_wikidata_isolates/Geni - Gabriele Condulmer, Eugenius IV (1383-1447)- Rome.html",43,identical,5,6,1,6,6
paths_for_wikidata_isolates/Geni - Gardner Murphy (1895-1979).html,54,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Garmann Granfoss (Schmidt) (1910-2008)- Sundbyberg.html,14,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Gaudenzio Fantoli (1867-1940).html,31,identical,3,3,0,3,3
"paths_for_wikidata_isolates/Geni - Gebhard II von Calw, Pope Victor II (1005-1057).html",73,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - Geir Lundestad (1945-2023)- Oslo.html,47,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Geir Vegar Hoel (1973-2021).html,47,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Georg Backer (Berg) (1900-1980).html,39,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Georg Henrik von Wright (1916-2003)- Helsinki.html,49,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Georg Stein Rokkan (1921-1979)- Bergen.html,44,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Georg Washington Magnus (1863-1917)- Stavanger.html,43,identical,7,7,0,7,7
"paths_for_wikidata_isolates/Geni - Georg von Engelbrecht, auf Uddach (1626-1693).html",20,identical,8,8,0,8,8
"paths_for_wikidata_isolates/Geni - George Armitage Miller, PhD (1920-2012)- Plainsboro Township.html",24,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - George Edward Moore (1873-1958)- Cambridge.html,25,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - George Raymond Richard Martin.html,85,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Gerald L. Pearson (1905-1987).html,66,identical,2,2,0,2,2
"paths_for_wikidata_isolates/Geni - Gerd Margreta Enequist (1903-1989)- Uppsala, Domkyrkoförs.html",57,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Gerhard Alexander Leist (1862-1918)- Göttingen.html,22,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Gerhard De Jonge (1875-1943).html,30,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Gerhard Otto Heinzelmann (1884-1951)- Halle (Saale).html,28,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Gertrude Mary Cox (1900-1978).html,76,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Giacinto di Pietro di Bobone (c.1106-1198)- Rome.html,38,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Giacomo Paolo Giovanni Battista della Chiesa (1854-1922)- Rome.html,78,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Giacomo Savelli (1210-1287)- Rome.html,80,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Gian Carlo Wick (1909-1992).html,35,identical,9,10,1,10,10
paths_for_wikidata_isolates/Geni - Gian Pietro Carafa (1476-1559)- Rome.html,75,identical,9,10,1,10,10
paths_for_wikidata_isolates/Geni - Giovanni Battista Cybo (1432-1492)- Rome.html,82,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Giovanni Battista Enrico Antonio Maria Montini (1897-1978)- Castel Gandolfo.html,26,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Giovanni Battista Pamphilj (1574-1655)- Rome.html,43,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Giovanni Crescenzi (b. - 972)- Roma.html,40,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Giovanni Gaetano Orsini (1215-1280)- Viterbo.html,80,identical,9,11,2,11,11
paths_for_wikidata_isolates/Geni - Giovanni XI (909-935)- Rome.html,36,identical,9,12,3,12,21
paths_for_wikidata_isolates/Geni - Giovanni di Lorenzo de' Medici (1475-1521)- Rome.html,68,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Giulio Prosperetti.html,27,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Giulio de' Medici (1478-1534)- Rome.html,74,identical,4,11,7,11,12
paths_for_wikidata_isolates/Geni - Gottfried Feder (1883-1941)- Murnau am Staffelsee.html,21,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Gottlob Friedrich Lipps (1865-1931)- Zürich.html,26,identical,7,8,1,8,8
paths_for_wikidata_isolates/Geni - Graf Philipp Christian Friedrich von Normann-Ehrenfels (1756-1817)- Tübingen.html,68,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Gregers Otto Bruun Begtrup (1769-1841)- København.html,19,identical,24,12,0,24,24
paths_for_wikidata_isolates/Geni - Guillaume de Grimoard (1310-1370)- Avignon.html,43,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Gunder Larsen Aas (1785-1853)- Stavanger.html,15,identical,15,12,0,15,15
paths_for_wikidata_isolates/Geni - Gunn-Rita Dahle Flesjå.html,20,identical,4,4,0,4,4
"paths_for_wikidata_isolates/Geni - Gunnar Brodin (1931-2009)- Hedvig Eleonora, Stockholm.html",50,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Gunnar Bull-Gundersen (1929-d.)- Ramnes.html,44,identical,8,9,1,9,9
paths_for_wikidata_isolates/Geni - Gunnar Emil Sixten Martinsson (1924-2012).html,23,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Gunnar Fougstedt (1908-1986).html,64,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Gunnar Henrik Julius Ekman (1883-1937)- Helsinki.html,43,identical,11,12,1,12,12
paths_for_wikidata_isolates/Geni - Gunvor Margareta Widmark (Gustafsson) (1920-2013)- Uppsala.html,21,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Gustav Schmahl (1929-2003)- Schwielowsee.html,23,identical,6,6,0,6,6
"paths_for_wikidata_isolates/Geni - Guy de Bourgogne, Pope Callixtus II (1052-1124).html",33,identical,12,12,0,12,12
paths_for_wikidata_isolates/Geni - Gösta Valdemar Edman (Gråberg) (1887-1972)- Stockholm.html,21,identical,5,6,1,6,6
paths_for_wikidata_isolates/Geni - Gøte Wilhelm Turesson (1892-d.).html,23,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Haaken Hasberg Gran (1870-1955)- Oslo.html,41,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Hallvard Sandnes (1893-1968).html,29,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Hanne Marthe Narud (1958-d.).html,23,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Hanns Hopp (1890-1981).html,27,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Hans Brøchner (1820-1875).html,62,identical,13,12,1,14,14
paths_for_wikidata_isolates/Geni - Hans Christian Aage Huitfelt Kragelund (1894-1985).html,45,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Hans Christian Tscherning (1804-1886)- København Skt. Mattheus sogn.html,19,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Hans Emil Andersin (1930-2010)- Helsinki.html,43,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Hans Gram (1685-1748)- København.html,21,identical,12,12,0,12,14
paths_for_wikidata_isolates/Geni - Hans Henrik Fattenborg (1769-1849)- Kaarina.html,70,identical,19,12,0,19,20
paths_for_wikidata_isolates/Geni - Hans Mathias Velschow (1796-1862)- København.html,22,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Hans Ramberg (1917-1998).html,69,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Hans Robert Viktor Buch (1883-1964)- Helsinki.html,22,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Hans Torsten Alarik Rynell (1913-1992).html,24,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Hans_ Gregor Gunnar Nilsson-Ehle (1910-1983).html,60,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Harald Ernst Riesenfeld (Risenfeld) (1913-2008)- Helga Trefaldighet.html,17,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Harald Felix Ludwig Sioli (1910-2004).html,29,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Harald Natvig (1872-1947)- Hjerkinn.html,38,identical,12,12,1,13,13
paths_for_wikidata_isolates/Geni - Harald Skjervold (1917-1995).html,50,identical,16,12,0,16,16
paths_for_wikidata_isolates/Geni - Harald Wiig (Vik) (1891-1959).html,17,identical,9,10,1,10,10
paths_for_wikidata_isolates/Geni - Harriet Randolph (1856-1926).html,53,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Harry Austryn Wolfson (1887-1974)- Cambridge.html,25,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Harry Woodburn Chase (1883-1955).html,55,identical,2,2,0,2,2
"paths_for_wikidata_isolates/Geni - Hartvig Sverdrup Eckhoff (1855-1928)- Gausel, Hetland (nå Stavanger).html",42,identical,22,12,0,22,22
paths_for_wikidata_isolates/Geni - Heimo Pekka Hirsjärvi (1919-2007).html,22,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Helge Finn Rancken (1857-1912)- Helsinki.html,59,identical,8,9,1,9,9
paths_for_wikidata_isolates/Geni - Helge Fiskaa (1942-d.).html,18,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Helmer Smith (1882-1956)- Lidingö.html,49,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Henrik Finne (1898-1992).html,38,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Herbert W. B. Skinner (1900-1960)- Geneva.html,27,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Herman Valentiner (1850-1913)- Frederiksberg.html,55,identical,10,11,1,11,11
paths_for_wikidata_isolates/Geni - Hermann Theodor Simon (1870-1918).html,28,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Hisaakira Kanō (1886-1963).html,28,identical,21,12,0,21,21
paths_for_wikidata_isolates/Geni - Hjalmar Johnssen (1852-1901).html,16,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Hjalmar Torp (1924-d.).html,41,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Hodaviah ..html,84,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Holger Antero Markelin (1931-2005).html,23,identical,8,8,0,8,8
"paths_for_wikidata_isolates/Geni - Holger Christian Begtrup (1859-1937)- Hillerød Sogn, Hillerød.html",69,identical,17,12,0,17,17
paths_for_wikidata_isolates/Geni - Holger Pedersen (1867-1953)- Copenhagen.html,25,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Hubert Utterback (1880-1942).html,20,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Hugh MacMaster Kingery (1860-1927)- Denver.html,46,identical,14,12,0,14,14
paths_for_wikidata_isolates/Geni - Hugo Bernhard Rahamägi (1886-1941)- город Киров.html,19,identical,11,12,1,12,14
paths_for_wikidata_isolates/Geni - Håkon Nilsen (1913-1976)- Stavanger.html,32,identical,16,12,0,16,16
paths_for_wikidata_isolates/Geni - Ignacio Braulio Anzoátegui Sáenz (1905-1978)- Buenos Aires.html,52,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Ignaz Paul Vital Troxler (1780-1866)- Aarau.html,35,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Inger Axelsdatter Güntersberg (1571-1613)- Voss.html,27,no tsv,14,12,0,14,15
paths_for_wikidata_isolates/Geni - Ingvald Enersen (1859-1938).html,27,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Isak Björklund (1686-1740)- Turku _ Åbo.html,21,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Ivar Christian Hallström (1826-1901).html,62,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Ivar Giæver (1929-2025)- Schenectady.html,44,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Jaakko Alfred Ahokas (1923-2007).html,49,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Jaakko Wilhelm Suolahti (1918-1987)- Helsinki.html,51,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Jacques (Jacob) Ludvig Borelius (1859-1921)- Lund.html,60,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Jacques Duèze (1244-1334)- Avignon.html,74,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Jakob Lennart Simons (1905-1986)- Helsingfors.html,23,identical,8,8,0,8,8
"paths_for_wikidata_isolates/Geni - James Fred Rippy, PhD (1892-1977)- Wilmington.html",56,identical,10,11,1,11,11
"paths_for_wikidata_isolates/Geni - James VI_I Stewart, King of Scots, King of England & Ireland, (1566-1625)- Chestnut.html",51,no tsv,12,12,0,12,15
paths_for_wikidata_isolates/Geni - Jan Arvid Hellström (1941-1994)- Växjö.html,57,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Jan Groth (1938-2022).html,41,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Jarl Axel Wasastjerna (1896-1972)- Helsinki.html,46,identical,9,10,1,10,10
paths_for_wikidata_isolates/Geni - Jean-Noël Tremblay C. M (1926-2020).html,56,identical,10,10,0,10,10
"paths_for_wikidata_isolates/Geni - Jens Erichstrup, Eidsvollsmann (1775-1826).html",18,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - Jens Glad Balchen (1926-2009)- Trondheim.html,43,identical,5,5,0,5,5
"paths_for_wikidata_isolates/Geni - Jens Gregoriussen Riber, 1480 (1480-1571).html",28,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Jens Jenssen (1842-1905)- Trondheim.html,17,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Jens Johannesen Tvedt (1857-1935)- Stavanger.html,18,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Joachim Jungius (Junge) (1587-1657)- Hamburg.html,25,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Joachim Völschow (1591-1664).html,25,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Johan August Malmström (1829-1901)- Stockholm.html,21,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Johan Browallius (1707-1755)- Turku-Åbo.html,20,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Johan Carl Wilcke (1732-1796)- Stockholm.html,24,identical,4,4,0,4,4
"paths_for_wikidata_isolates/Geni - Johan Ernst Gunnerus, Biskop i Trondheim (1718-1773)- Kristiansund.html",23,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Johan Floderius (Floderus) (1721-1789).html,21,identical,10,11,1,11,11
paths_for_wikidata_isolates/Geni - Johan Friis (1820-1875)- Kristiansand.html,47,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Johan Gottschalk Wallerius (1709-1785)- Uppsala.html,62,identical,7,8,1,8,8
paths_for_wikidata_isolates/Geni - Johan Hjalmar Théel (Tjäder) (1848-1937)- Stockholm.html,47,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Johan Marnburg (1882-1966)- Stavanger.html,18,identical,10,11,1,11,11
paths_for_wikidata_isolates/Geni - Johan Peter Weisse (1832-1886)- Kristiania.html,49,identical,10,12,2,12,12
paths_for_wikidata_isolates/Geni - Johan Severin Axell (1843-1892)- Wiesbaden.html,18,identical,11,12,1,12,12
paths_for_wikidata_isolates/Geni - Johan Wolter Arnberg (1832-1900).html,21,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Johann Christian Ernesti (1695-1768)- Bad Langensalza.html,28,identical,14,12,0,14,14
"paths_for_wikidata_isolates/Geni - Johann Christian von Klein (Klein), Dr. (1659-1732).html",24,identical,7,9,2,9,9
paths_for_wikidata_isolates/Geni - Johann Christoph Mylius (1710-1756)- Jena.html,87,identical,10,12,2,12,12
paths_for_wikidata_isolates/Geni - Johann Vollrath Christian Heinrich Bünger (1782-1842).html,25,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Johannes Alle Faber (1925-2007)- Bennekom.html,25,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - Johannes Botvid Elias Melin (1889-1979).html,50,identical,14,12,0,14,14
paths_for_wikidata_isolates/Geni - Johannes Hendrikus Becking (1890-1972).html,51,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Johannes Jonasson Columbus (Columbus) (1640-1684)- Uppsala.html,23,identical,13,12,0,13,14
paths_for_wikidata_isolates/Geni - Johannes Svenonis Raumannus (c.1570-1614)- Uppsala.html,23,identical,5,6,1,6,6
paths_for_wikidata_isolates/Geni - John Johnsen Norem (1888-1976)- Stavanger.html,16,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - John Kirk Train Varnedoe (1946-2003).html,54,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - John Lawrence Ashbery (1927-2017)- Hudson.html,86,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - John Ugelstad (1921-1997)- Trondheim.html,55,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Jonas Hallenberg (1748-1834)- Stockholm.html,28,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Joonas Kokkonen (1921-1996)- Järvenpää.html,21,identical,13,12,0,13,13
paths_for_wikidata_isolates/Geni - Josef Svennung (1895-1985)- Uppsala.html,20,identical,13,12,0,13,13
paths_for_wikidata_isolates/Geni - Joseph Aloisius Ratzinger (1927-2022)- Vatican City.html,40,identical,4,4,0,4,4
"paths_for_wikidata_isolates/Geni - Joseph Hooton Taylor, Jr..html",55,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Josip Plemelj (1873-1967)- Ljubljana.html,31,identical,6,8,2,8,8
paths_for_wikidata_isolates/Geni - Jouko Matti Virkkunen (1933-2011)- Espoo.html,52,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Juan Antonio Orrego Salas (1919-2019)- Bloomington.html,51,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Juho Heikki Vennola (Karhu) (1872-1938)- Helsinki.html,20,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Jukka Ammondt (Riiluoto).html,33,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Julius Severin Wilhelm Lassen (1847-1923)- København Ø.html,70,identical,7,8,1,8,8
"paths_for_wikidata_isolates/Geni - Just Henrich von Ely, Eidsvollsmann (1759-1824)- Kristiansand, Vest-Agder.html",39,identical,14,12,0,14,14
paths_for_wikidata_isolates/Geni - Jöns Ivan Hjalmar Frisk (1900-1984).html,21,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Kaare Alexander Ørnung (1931-2013).html,19,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Kaarlo Rafael Koskimies (Forsman) (1898-1977)- Helsinki.html,52,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Kaarlo Veikko Paatero (Pelin) (1903-1986)- Helsinki.html,22,identical,19,12,1,20,20
paths_for_wikidata_isolates/Geni - Kaj Gabriel Franck (1911-1989).html,46,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Kalle Putkisto (1919-1997)- Helsinki.html,64,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Kansleri Ernst Philip Palmén (1916-1991)- Helsinki.html,48,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Karl Aimo (_Kalle_) Achté (1928-2019)- Helsinki.html,30,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Karl August Julius Schmitt-Walter (1900-1985)- Kreuth.html,24,identical,10,10,0,10,11
paths_for_wikidata_isolates/Geni - Karl Bertil Mathias Qvist (1920-1991)- S_t Karins - Kaarina.html,86,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Karl Frithiof Sundman (1873-1949)- Helsinki.html,21,identical,15,12,0,15,15
paths_for_wikidata_isolates/Geni - Karl Gösta_ Liebert (1916-1998).html,69,identical,5,6,1,6,6
paths_for_wikidata_isolates/Geni - Karl Oskar Karl Medin (1847-1927)- Stockholm.html,21,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Karl Reinhard Müller (1774-1861).html,25,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Karl-Birger Blomdahl (1916-1968)- Kungsängen.html,26,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Karsten Olai Johannessen (1920-1997)- Copenhagen.html,37,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Katri Elina Rehtijärvi (Tynni) (1912-1987)- Helsinki.html,22,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Kichimatsu Kishi (1872-1956)- Orange.html,27,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Kjetil Jansrud.html,53,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Knut Emil Lundmark (1889-1958)- Apotekaren 5.html,48,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Kristen Nygaard (1926-2002)- Oslo.html,42,identical,9,10,1,10,10
paths_for_wikidata_isolates/Geni - Kristian Olaf Bernard Birkeland (1867-1917).html,41,identical,13,12,1,14,14
paths_for_wikidata_isolates/Geni - Kristoffer Bertram Louis Berg (1867-1944)- Stavanger.html,38,identical,13,12,0,13,13
paths_for_wikidata_isolates/Geni - Kylee Curtis (1994-1994)- Payson.html,56,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Kyösti Haataja (1881-1956)- Pälkäne.html,23,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Lars Arvid Axel von Haartman (1919-1998)- Helsinki.html,26,identical,5,6,1,6,6
paths_for_wikidata_isolates/Geni - Lars Fridthjofsen Tokstad Sem Platou (1920-2003).html,48,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Lars Kristian Holm Brynildsen (1954-2009)- Bergen.html,38,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Lars Larsen Hertervig (1830-1902)- Stavanger.html,38,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Lars Magnus Möller (1857-1912)- Stockholm.html,21,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Lars Martinsson Ramndal (Dysjaland) (1893-1971).html,28,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Laurentius Petri Gothus (1529-1579)- Uppsala.html,20,identical,4,12,8,12,16
paths_for_wikidata_isolates/Geni - Lauri Einari Kettunen (1885-1963)- Helsinki.html,17,identical,14,12,0,14,15
paths_for_wikidata_isolates/Geni - Laurids Engelstoft (1774-1851).html,60,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Lauritz Scavenius (1562-1626)- Stavanger.html,51,identical,10,11,1,11,11
paths_for_wikidata_isolates/Geni - Lauritz Wilhelm Hansen (1879-1953)- Stavanger.html,41,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Lehre Livingston Dantzler (1878-1958)- Lexington.html,78,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - Leo Reino Sario (1916-2009)- Santa Monica.html,22,identical,13,12,1,14,14
paths_for_wikidata_isolates/Geni - Leon Detela (1902-1982).html,26,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Leonard Wickstrøm (1910-1944).html,14,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Leonid Hurwicz (1917-2008)- Minneapolis.html,28,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Lewis Edward Yablonsky (1924-2014).html,25,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Lindor Serrurier (1846-1901).html,75,identical,7,8,1,8,8
paths_for_wikidata_isolates/Geni - Lorenz Jacob Wasmer Ritter von Stein (1815-1890).html,22,identical,9,12,3,12,12
paths_for_wikidata_isolates/Geni - Lorenzo Corsini (1652-1740)- Rome.html,54,identical,4,4,0,4,4
"paths_for_wikidata_isolates/Geni - Lothar of Segni, pope Innocent III (1160-1216)- Perugia.html",78,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Luciano Anceschi (1911-1995).html,31,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Ludovico Paolo Francesco Buglio (1606-1682)- Pechino.html,84,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Ludvig Holm-Olsen (1914-1990)- Bergen.html,51,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Luka Modrić.html,27,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Léopold Sancke (1815-1874)- Brussels.html,27,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - Maffeo Vincenzo Barberini (1568-1644)- Rome.html,25,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Magnus Bernhard Olsen (1878-1963).html,51,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Marcel Paul Junod (1904-1961)- Geneva.html,29,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Marinus Jan Granpré Molière (1883-1972)- Wassenaar.html,49,identical,3,4,1,4,4
paths_for_wikidata_isolates/Geni - Martin Hans Christian Knudsen (1871-1949)- Gentofte.html,20,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Martin Henriksson Stodius (1590-1676)- Nådendal.html,25,identical,6,7,1,7,7
paths_for_wikidata_isolates/Geni - Martin Nag (1927-2015)- Oslo.html,32,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Martin Welker (1819-1902)- Wooster.html,22,identical,17,12,1,18,18
paths_for_wikidata_isolates/Geni - Mary Noble Garretson (Welleck) (1896-1971).html,56,identical,4,4,0,4,4
"paths_for_wikidata_isolates/Geni - Masami Ehara-Kuni, (Pak Yeong-in) (1908-2007)- Los Angeles.html",26,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Michael Heltzer (1928-2010)- Haifa.html,25,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Michael Malvin Michaelsen (1889-1966)- Stavanger.html,16,identical,2,2,0,2,2
