page,path_steps,path_in_paths_dir,family_text_view,family_cards,family_cards_only,family_union,page_count
paths_for_wikidata_isolates/Geni - Einar Ljunggren (1896-1986)- Göteborg (O).html,52,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Eino Armas Saari (1894-1971).html,23,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Eliel Lagercrantz (1894-1973)- Helsinki.html,21,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Embrik Strand (1876-1947)- Rīga.html,44,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Emil Spjøtvoll (1940-2002).html,26,identical,1,1,0,1,
paths_for_wikidata_isolates/Geni - Emilio Bonaventura Altieri (1590-1676)- Rome.html,55,identical,5,6,1,6,6
paths_for_wikidata_isolates/Geni - Emma Charlotte Duerre Watson.html,26,identical,8,10,2,10,10
paths_for_wikidata_isolates/Geni - Emperor Jimmu no Mikoto (-711--585)- Kashihara.html,83,identical,15,12,0,15,15
paths_for_wikidata_isolates/Geni - Emperor Xuanyuan 有熊氏 (-2711--2597).html,119,identical,23,13,0,23,23
paths_for_wikidata_isolates/Geni - Endre Aanensen (1907-1991)- Stavanger.html,14,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Endre Nedre Lekve (Torkelson) (1833-d.).html,43,identical,9,9,0,9,9
"paths_for_wikidata_isolates/Geni - Endre Qvie Berner, Jr. (1893-1983)- Oslo.html",36,identical,13,12,0,13,13
paths_for_wikidata_isolates/Geni - Enevaldus Svenonius (1617-1688)- Åbo.html,21,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Erik Albrecht Sparre Andersen (1919-2003).html,21,identical,2,2,0,2,2
paths_for_wikidata_isolates/Geni - Erik Anders Allardt (1925-2020)- Helsingfors.html,31,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Erik Björkman (1872-1919)- Uppsala.html,21,identical,10,10,0,10,10
paths_for_wikidata_isolates/Geni - Erik Edlund (1819-1882).html,24,identical,2,2,0,2,2
"paths_for_wikidata_isolates/Geni - Erik Nissen _Ericus Nissenius_ Viborg, døbenavn Ericus Nissenius Viborg (1759-1822).html",61,identical,12,12,0,12,12
paths_for_wikidata_isolates/Geni - Erik Oscar von Kraemer (1911-1980).html,47,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Erik Robert Lindahl (1891-1960).html,56,identical,8,8,0,8,8
paths_for_wikidata_isolates/Geni - Erik Sjöqvist (1903-1975)- Ekerö (B).html,39,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Erik Wilhelm Hulthén (1891-d.).html,21,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Erkki Juhani _ Erik Johan Koskenmaa _ Berggren (1878-1957).html,19,identical,12,12,1,13,13
paths_for_wikidata_isolates/Geni - Erkki Kivalo (Mittler) (1920-2009)- Helsinki.html,63,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Erkki Voipio (1917-1995)- Helsinki.html,50,identical,10,11,1,11,11
paths_for_wikidata_isolates/Geni - Erland Jacob Ehnmark (1903-1966).html,26,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Erling Bolt Holst (1849-1915).html,43,identical,12,12,0,12,12
paths_for_wikidata_isolates/Geni - Erling Christophersen (1898-1994)- Oslo.html,43,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Erling Hansson Kvadsheim (1885-1967).html,32,identical,15,12,0,15,15
paths_for_wikidata_isolates/Geni - Erling Torkelsen (1919-1987)- Gothenburg.html,40,identical,4,4,0,4,4
