token,ancestors,descendants,ancestor_ids,example_descendant_ids
emmon,1,1,6000000048745554976,6000000004955002685
emund,1,1,285601342810004065,6000000001367619067
endreson,1,1,6000000003095137297,6000000004588192110
engela,1,1,6000000002187947510,6000000011609959341
ericsdotter,1,1,6000000011546871915,6000000030571077524
ermeline,1,1,6000000002188320107,6000000120924852838
eskild,1,1,6000000043586159621,6000000017267626854
eskildsen,1,1,6000000043585729357,6000000017267785051
eustachie,1,1,6000000003828330217,6000000224155426138
ferreol,1,1,6000000007764501260,6000000027504275678
folmar,1,1,6000000000437415400,6000000001081740243
fossan,1,1,6000000003094941507,6000000092913349828
frid,1,1,5625693387980080822,6000000003637893258
frisch,1,1,6000000177921644822,6000000007445092366
from,1,1,6000000206612686874,6000000018091021063
garsia,1,1,6000000000424707319,6000000175962959822
geile,1,1,6000000000181987824,6000000077615848018
gent,1,1,6000000002043178604,6000000020011302139
gervaise,1,1,6000000007151252193,6000000013123356092
gjertsen,1,1,6000000008115048412,6000000020547110167
godefroi,1,1,6000000012407025621,6000000106966195206
gotfrid,1,1,6000000006128411604,6000000098173021840
guilaume,1,1,6000000002614652459,6000000018657281168
gunnarsdotter,1,1,6000000024530921386,6000000002864906491
hagensen,1,1,6000000002105385667,6000000032435279810
hainault,1,1,6000000005705768014,6000000003219759759
hakansson,1,1,6000000006963922639,6000000002864927659
halland,1,1,6000000000307274596,6000000001568365817
hanneman,1,1,6000000007636213600,6000000198164429826
haraldsen,1,1,6000000001935619159,6000000178251894827
haug,1,1,6000000003904017710,6000000006598854112
haverson,1,1,6000000003094932993,6000000001324165414
hegau,1,1,6000000006994999074,6000000025967500958
hermansdatter,1,1,6000000180973916967,6000000136978446835
hermansdotter,1,1,6000000005948039197,6000000000146760741
hjelm,1,1,6000000177921501834,6000000170029237079
hohenwart,1,1,6000000003827270984,6000000031976549253
holding,1,1,6000000010312277548,6000000023799651187
horka,1,1,6000000073555622860,6000000022304090503
hroar,1,1,5604981270600103134,4232910388280122810
hungria,1,1,6000000000687202972,6000000001095667515
icel,1,1,6000000002290867232,6000000195049384823
ingri,1,1,6000000001721459003,6000000032300409253
iniga,1,1,6000000004313804007,6000000008137777449
ironside,1,1,6000000001935619159,6000000016606553657
itier,1,1,6000000020575108001,6000000225680987831
izyaslav,1,1,6000000006727873134,6000000190930830857
jedvard,1,1,6000000003616518558,6000000020747930983
jerichow,1,1,6000000103957478343,6000000043402946307
johannesen,1,1,6000000003492033721,6000000224656799892
jordal,1,1,6000000219357926861,6000000067958462939
josserand,1,1,6000000006422194686,6000000042193461104
karlson,1,1,6000000005607082512,6000000010400093007
karolus,1,1,6000000001669662426,6000000067865400001
known,1,1,6000000198332507821,6000000023760099242
landas,1,1,6000000002006130483,6000000059941887821
landen,1,1,6000000000490564196,6000000211235333831
langres,1,1,6000000000186456686,6000000027607647266
laurenburg,1,1,6000000023105513899,6000000001753229214
leiv,1,1,6000000001169345035,6000000011250551878
lens,1,1,6000000006714534494,6000000132394809993
lies,1,1,6000000000141500093,6000000201233965834
lineage,1,1,6000000013124401188,6000000000293367254
linz,1,1,4932952221030036762,6000000076937591713
lisabet,1,1,6000000005607373046,6000000209690394079
lothair,1,1,6000000005002217707,6000000179280169842
lothaire,1,1,6000000002198257381,6000000113742215904
lupa,1,1,6000000001744902607,6000000175350565908
lusatia,1,1,6000000000769560303,6000000094338272877
lutgard,1,1,6000000174932596342,6000000199118321822
madli,1,1,6000000006462578008,6000000023185236529
mard,1,1,6000000009585795873,6000000001750227491
margraf,1,1,6000000010226740465,6000000009689662575
mattsson,1,1,6000000177921940825,6000000041381239887
mauleon,1,1,6000000179121296822,6000000021662360425
mestwin,1,1,6000000002401218202,6000000009257873500
mihailo,1,1,6000000001624977289,6000000108671648856
montfaucon,1,1,6000000002061639741,6000000027307706134
montreuil,1,1,6000000114862408093,6000000015719000855
most,1,1,6000000004533664872,6000000015894058575
mstislavna,1,1,6000000007958767639,6000000002188005065
neda,1,1,6000000002187893099,6000000005232325704
nieder,1,1,6000000008248430400,6000000034025526963
niederlausitz,1,1,6000000003827294829,6000000015894782410
nivelles,1,1,6000000001867425629,6000000092446060113
obizzo,1,1,6000000015212208636,6000000008851276069
offa,1,1,6000000002290445635,6000000075737783862
olava,1,1,6000000033075260580,6000000032296016665
olina,1,1,6000000178119644821,6000000154599827898
ossory,1,1,6000000003820968814,5580033191070128781
pais,1,1,6000000003151941079,6000000020474060512
palatin,1,1,6000000000595794863,6000000016442583270
pavia,1,1,6000000034889390140,6000000001468340138
presles,1,1,6000000002187840489,6000000026134332013
procopia,1,1,6000000003645870795,6000000017048093912
rabold,1,1,6000000002858954507,6000000216040858821
ramborg,1,1,6000000004870648136,6000000024323413991
reginleif,1,1,6000000006802815962,6000000015253311661
rigaud,1,1,386639408610006240,6000000021209133083
rise,1,1,6000000001205071868,6000000017252382846
rodes,1,1,6000000004533625918,6000000017798388110
rodez,1,1,6000000007337182569,6000000075433861822
salzburg,1,1,6000000002859177255,6000000093902295851
samuelsen,1,1,6000000003253539762,6000000007868846867
sancia,1,1,4179621973270034928,6000000001045004845
scot,1,1,6000000001068387165,6000000186151849505
serina,1,1,6000000014522158621,6000000002341718824
sigmundsdottir,1,1,6000000007525324625,6000000001116645144
sigriður,1,1,6000000018086389424,6000000002773440651
sint,1,1,6000000012397140348,6000000080064328680
sira,1,1,6000000033843947695,6000000022365121958
skretting,1,1,6000000005609398151,6000000023114704326
sobiesław,1,1,6000000010867911906,5209782574760031724
solar,1,1,6000000008463025320,6000000075407116886
stary,1,1,6000000017633634986,6000000003827527255
sulpice,1,1,6000000003122446437,6000000006569887244
sunhild,1,1,6000000007160176211,6000000077053625151
swanhilde,1,1,6000000004533664872,6000000196636548837
templar,1,1,6000000001868498051,6000000007097680967
theodelinde,1,1,6000000002612124257,6000000056806958868
theon,1,1,6000000001412968290,6000000040214056349
thordis,1,1,6000000003646023927,6000000025248137020
thorun,1,1,6000000001169186893,6000000102779459851
toralvur,1,1,6000000001164043951,6000000000122370169
torkil,1,1,6000000002791716644,6000000009205294024
torvi,1,1,5473900875460120094,6000000155056731856
tostenson,1,1,6000000001480929116,6000000053128164083
toucy,1,1,6000000018852567136,6000000024132650121
uppland,1,1,6000000001200495470,6000000000333559871
utter,1,1,6000000011079076356,6000000012645934760
vana,1,1,6000000002172915806,6000000098961833448
vazul,1,1,6000000000687202972,6000000182374134014
veliky,1,1,3967262167710039627,6000000090862935207
vilborg,1,1,6000000003242524599,6000000186247531921
vojislav,1,1,6000000002187893088,6000000024023917666
wallerand,1,1,6000000192356731821,318988109090002537
wartislaw,1,1,6000000002188021209,6000000006727805383
willibirg,1,1,6000000004545929704,6000000058985219344
wojsław,1,1,6000000008550767648,6000000164295437060
yaropolk,1,1,6000000003098118619,6000000009179099761
yngvesson,1,1,5620764032290123026,6000000003274473758
zombor,1,1,6000000035132848146,6000000025721212920
zweden,1,1,6000000001909464738,6000000221735329845
alpin,1,2,6000000001041459819,6000000025718353866 6000000054974325897
alvhild,1,2,6000000007511733965,6000000007860448791 6000000019083163168
arnau,1,2,391017930360010721,6000000017614377450 6000000021329482773
arnfinn,1,2,6000000013724102661,6000000001374945428 6000000014291346704
asti,2,1,6000000000424678273 6000000198863246849,6000000211014030822
astri,1,2,6000000006608203220,6000000021437900748 6000000023604449988
ataulfo,2,1,6000000006591978194 6000000012436281929,6000000002394045025
athanasius,1,2,6000000008630657211,6000000004097311150 6000000053437490889
atto,2,1,6000000000640482990 6000000009304936558,6000000004034909758
basco,2,1,6000000047981931549 6000000047982516882,6000000214172856824
beauvais,2,1,6000000003827217451 6000000009305095965,6000000029618614197
belley,2,1,6000000190928021858 6000000190928480835,6000000091344026859
bengta,2,1,4947248545210089938 6000000003897585979,6000000002864988925
berthilde,2,1,6000000031981954902 6000000056738728691,6000000217802801166
bjarnesson,1,2,6000000007453268163,6000000025205900303 6000000025206327944
bjornsdotter,2,1,4102602 6000000003349982019,6000000002483644206
boel,1,2,6000000178284761893,6000000001753218203 6000000048489280018
bolt,2,1,6000000001195536539 6000000001195604575,6000000068683421829
boman,2,1,6000000177921472823 6000000177942804849,6000000021910199839
brynolf,1,2,6000000006414187221,6000000005436379634 6000000186081509963
clemen,2,1,6000000006727895068 6000000011158782423,6000000222069559842
conquistador,1,2,6000000002244370573,6000000014312677662 6000000016000971011
constantinos,1,2,6000000012891768004,6000000000129356083 6000000000129356093
dagfinn,2,1,6000000007002925015 6000000008035184455,6000000018806275700
danielsdotter,2,1,6000000011078918407 6000000017535961052,6000000063643167821
demetrios,1,2,6000000181923354821,6000000008415722429 6000000066761374946
dietmar,1,2,6000000000437594732,6000000008290679303 6000000015074095893
ditlef,1,2,6000000008915422590,6000000007337933670 6000000012618165946
eilika,2,1,6000000002061633624 6000000185129150821,6000000002188612381
ekkehard,1,2,6000000224579892838,6000000077467889030 6000000204508091921
eldrid,2,1,6000000001200204262 6000000201537137830,6000000192987794821
eller,1,2,6000000007582536248,6000000054082719827 6000000152280959286
ellida,1,2,6000000156623852821,6000000000617341255 6000000082567232289
fredriksdatter,1,2,6000000004217921163,6000000007606013091 6000000091208421096
frodi,2,1,5604995726450058939 5607132972010028238,4895006977770022462
froilan,1,2,6000000000816280268,6000000004654514990 6000000013239235630
gavril,1,2,6000000002188304178,6000000004563382788 6000000006410901048
gerold,2,1,350073993520001998 6000000005794085315,6000000056903188830
gille,2,1,6000000009503269198 6000000223524555848,6000000192119374840
grave,1,2,6000000002947577496,6000000025029996045 6000000108729059861
grima,2,1,6000000000545804371 6000000078951052889,6000000027965565931
guda,1,2,6000000109725492821,6000000007929880922 6000000049373494924
guillem,2,1,384193863740013678 6000000003828371779,6000000109710966888
