geni_id	qid	label	name_kept	tail_dropped
1077697		Jeanne La Baveuse Dame de Fresnes, Baillet, Mailleboix et Franconville	Jeanne La Baveuse	Dame de Fresnes, Baillet, Mailleboix et Franconville
1078045		Jeanne d'Amboise Dame du Parc	Jeanne d'Amboise	Dame du Parc
1341507	Q3350138	Óláfr Guðrøðarson king of Man	Óláfr Guðrøðarson	king of Man
1341991		Godred Haraldsson King of the Isle of Man and of Dublin	Godred Haraldsson	King of the Isle of Man and of Dublin
1354801	Q434077	Napoléon Joseph Charles Paul Bonaparte 3rd prince de Montfort	Napoléon Joseph Charles Paul Bonaparte 3rd	prince de Montfort
1415824	Q665649	Gustaf David Hamilton till Barsebäck	Gustaf David Hamilton	till Barsebäck
2047850	Q91971400	Kjell Christoffer Barnekow till Ralsvik	Kjell Christoffer Barnekow	till Ralsvik
2119970		Mogens Pedersen Baden til Gundestrup	Mogens Pedersen Baden	til Gundestrup
2120117		Peder Lauridsen (Baden) til Ellinge	Peder Lauridsen (Baden)	til Ellinge
2425565		Laxmand Mogensen Gyldenstierne, til Biersgård	Laxmand Mogensen Gyldenstierne,	til Biersgård
2434187	Q2353183	Walraven II van Brederode van Cloetinge lord of Brederode and Vianen and bailiff of Utrecht	Walraven II van Brederode van Cloetinge	lord of Brederode and Vianen and bailiff of Utrecht
2455952		Udard de Swinton 2nd Lord of Swinton	Udard de Swinton 2nd	Lord of Swinton
2455963		Liulf de Swinton 1st Lord of Swinton	Liulf de Swinton 1st	Lord of Swinton
2598170		Nils Svensson till Hevonpää	Nils Svensson	till Hevonpää
2598217		Cecilia Kristersdotter till Hevonpää	Cecilia Kristersdotter	till Hevonpää
2598311		Krister Pedersson till Hevonpää till Hevonpää	Krister Pedersson	till Hevonpää till Hevonpää
2598370		Peder i Hevonpää	Peder	i Hevonpää
284163373700001067		Nils Jespersson Kruus till Håberg	Nils Jespersson Kruus	till Håberg
