token	first_given	later_given	family
Hagen	0	1	0
!	0	0	1
!!	4	1	6
!?	0	1	1
!ver	1	0	0
""""	0	3	12
"""13Th"	0	1	0
"""a"	0	0	1
"""Abbahu"""	0	0	5
"""Abu"	0	0	2
"""Adam"""	0	0	1
"""adopted"""	0	0	1
"""Alhastac"""	0	0	1
"""Alissani"""	0	0	1
"""Almanzor"""	0	0	1
"""Anne'"	0	1	0
"""av"	0	0	1
"""Ba'al"	0	0	1
"""Babouchka"""	0	0	2
"""Backman"""	0	0	1
"""Bailye"","	0	0	1
"""Bekki"""	0	0	1
"""Benkestok"""	0	0	1
"""Bishop"""	0	0	1
"""bjóla"""	0	0	1
"""Blum"""	0	0	1
"""Bom"""	0	0	1
"""BonJudah"""	0	0	1
"""Botha"""	0	0	1
"""Bricken"	0	1	0
"""Brito"""	0	0	2
"""Brockett"""	0	0	2
"""Broket"""	0	0	1
"""Bréhal"""	0	0	1
"""Byerkerp"""	0	0	1
"""Bøgeskov"""	0	0	1
"""bøyet"	0	0	2
"""Cajsa"	0	1	0
"""Cativo"""	0	0	1
"""Cavalier"""	0	0	1
"""Choutz"""	0	0	1
"""Claus"	1	0	0
"""Conquistador"""	0	0	1
"""Contessina"""	0	0	1
"""d'Acre"""	0	0	1
"""Dabwaihides"""	0	0	1
"""Daeng"	0	0	1
"""Danaast"""	0	0	1
"""Darcy"""	0	0	1
"""de"	0	0	2
"""del"	0	0	2
"""della"	0	0	1
"""den"	0	0	3
"""der"	0	1	1
"""Dons"""	0	0	1
"""Draeckenbaert"""	0	0	1
"""Egeland"""	0	0	2
"""El"	0	0	12
"""el"	0	0	4
"""enska"""	0	0	1
"""Escacha"""	0	0	1
"""Fafnirsbane"""	0	0	1
"""Fairhair"""	0	0	1
"""First"	0	0	1
"""Foege"""	0	0	1
"""Fredsted"""	0	0	1
"""from"	0	0	1
"""Fru"	2	0	0
"""Fáfnisbana"""	0	0	1
"""Fåvnesbane"""	0	0	1
"""Gallardo"""	0	0	1
"""Gamle"""	0	0	1
"""Gammeleje"	0	0	1
"""Gasco"""	0	0	1
"""Gernosides"""	0	0	2
"""Gevira"""	0	0	1
"""Gl"	0	0	1
"""Goch"""	0	0	1
"""Gotlenderen"""	0	0	1
"""Hamilton"""	0	0	1
"""Hanna"	0	1	0
"""Harun"	0	1	0
"""Hir"""	0	0	2
"""hirni"""	0	0	1
"""Hiyya"""	0	0	1
"""Hélène"	0	1	0
"""I"	0	0	1
"""ibn"	0	0	1
"""Jack"	0	1	0
"""Jodie"	0	1	0
"""Jutta"""	0	0	1
"""Jöns"	0	0	1
"""Ka'b"	0	0	1
"""Khosasi"""	0	0	1
"""Klockare"""	0	0	1
"""Knoppersdatter"""	0	0	1
"""Köpsven"""	0	0	1
"""l'Histoire"	0	0	1
"""La"	0	0	1
"""Le"	0	0	1
"""le"	0	0	1
"""Lena)"	0	1	0
"""Levitzer"""	0	0	1
"""Løvenbalk"""	0	0	1
"""Mademoiselle"	0	0	1
"""Mar"	0	0	1
"""Marcellus"""	0	0	2
"""Mari"""	0	0	1
"""Mary"	1	0	0
"""Matrus"""	0	0	1
"""Merini"""	0	0	2
"""Mevorakh"""	0	0	1
"""Meyer"""	0	0	2
"""mit"	0	1	0
"""mjögsiglandi"""	0	0	1
"""Mochiach"""	0	0	1
"""Mort"""	0	0	1
"""Moshok"""	0	0	1
"""Nanny"""	0	0	1
"""Natt"	0	0	1
"""Nesja""Knjúksson"	0	0	1
"""Nesthouse"""	0	0	1
"""Nico"	0	0	1
"""O"	0	0	2
"""o"	0	0	7
"""Olifard"""	0	0	1
"""Osmomyslas"""	0	0	1
"""Pereira"""	0	0	1
"""Pop"""	0	0	2
"""Prost"	0	0	1
"""Puzik"""	0	0	1
"""Rabad"	0	0	2
"""Rabad"""	0	0	2
"""Rabbah"""	0	0	1
"""Raja"	0	0	1
"""Reece"""	0	0	1
"""Rev"""	0	0	1
"""Rheged"""	0	0	1
"""Ries"""	0	0	1
"""Romare"""	0	0	1
"""Rå"""	0	0	1
"""Samuel"""	0	0	1
"""Schiavona"""	0	0	1
"""Seversen"""	0	0	1
"""Shemyaka"""	0	0	1
"""Siepielak"""	0	0	1
"""Silfverskiöld""Nilsson"	0	0	1
"""Silkbeard"""	0	0	1
"""Skafnörtung"""	0	0	2
"""Skaga"""	0	0	1
"""Skrædder"	0	0	1
"""Skrædder"""	0	0	1
"""Slindingen"""	0	0	1
"""Sneis"""	0	0	1
"""Sosadel"	0	0	2
"""Sowa"""	0	0	3
"""Spahandelin"""	0	0	2
"""Starup"	0	0	3
"""Stenderupgård"""	0	0	1
"""Stensgård"""	0	0	2
"""Stephen"	0	0	2
"""Støyper"""	0	0	1
"""Sveinsvoll"""	0	0	1
"""Swierzy"""	0	0	1
"""Sæling"""	0	0	1
"""Tairbith'"	0	1	0
"""Tamerlane"""	0	0	1
"""THE"	0	0	1
"""The"	0	2	3
"""the"	0	0	11
"""Tree"	0	0	1
"""Tschudi"""	0	0	1
"""Tun-Hane"""	0	0	1
"""Turei"	0	0	1
"""Turf-Einar”"	0	0	1
"""Tötra"""	0	0	1
"""van"	0	0	1
