cluster,geni_id,qid,label_en,born,died,wikidata_component,in_world_tree,geni_url,wikidata_url
wife of Baruch Jafe,2233799,Q7174248,Peter Robin Gimbel,1927,1987,1116499,yes,https://www.geni.com/people/x/2233799,https://www.wikidata.org/wiki/Q7174248
wife of Baruch Jafe,5559476916760136704,Q117865957,Martha Loeb,1891,1942,2,no,https://www.geni.com/people/x/5559476916760136704,https://www.wikidata.org/wiki/Q117865957
wife of Baruch Jafe,5559476916820136705,Q98070,Otto Seligman Hirsch,1885,1941,2,no,https://www.geni.com/people/x/5559476916820136705,https://www.wikidata.org/wiki/Q98070
wife of Baruch Jafe,6000000000475297120,Q105390893,Jenny Schloss,1869,1942,1,no,https://www.geni.com/people/x/6000000000475297120,https://www.wikidata.org/wiki/Q105390893
wife of Baruch Jafe,6000000000508720517,Q76399,Elga Andersen,1935,1994,1116499,yes,https://www.geni.com/people/x/6000000000508720517,https://www.wikidata.org/wiki/Q76399
wife of Baruch Jafe,6000000001482606369,Q139863629,Aline Françoise Lucy Coignet,1884,1977,1116499,yes,https://www.geni.com/people/x/6000000001482606369,https://www.wikidata.org/wiki/Q139863629
wife of Baruch Jafe,6000000002501819220,Q30346415,Elcha (Elsa) Weil,1789,1872,1116499,yes,https://www.geni.com/people/x/6000000002501819220,https://www.wikidata.org/wiki/Q30346415
wife of Baruch Jafe,6000000002802269239,Q122258936,Hannah Brüll,1746,1810,1116499,yes,https://www.geni.com/people/x/6000000002802269239,https://www.wikidata.org/wiki/Q122258936
wife of Baruch Jafe,6000000002803189146,Q105516724,Rosa Brüll,1873,1942,1,no,https://www.geni.com/people/x/6000000002803189146,https://www.wikidata.org/wiki/Q105516724
wife of Baruch Jafe,6000000002955189736,Q29880672,Simon Koschland,1825,1896,1116499,yes,https://www.geni.com/people/x/6000000002955189736,https://www.wikidata.org/wiki/Q29880672
wife of Baruch Jafe,6000000003495145301,Q59628926,George Sidney Hellman,1878,1958,1116499,yes,https://www.geni.com/people/x/6000000003495145301,https://www.wikidata.org/wiki/Q59628926
wife of Baruch Jafe,6000000004628249472,Q47946,Henry Morgenthau Sr.,1856,1946,1116499,yes,https://www.geni.com/people/x/6000000004628249472,https://www.wikidata.org/wiki/Q47946
wife of Baruch Jafe,6000000004880328995,Q1465068,George Frederick Myddelton Cornwallis-West,1874,1951,1116499,yes,https://www.geni.com/people/x/6000000004880328995,https://www.wikidata.org/wiki/Q1465068
