geni_id	qid	en_label	n_cjk_forms	candidate_label	given|surname|_MARNM per record	display_join_forms
6000000002188099829	Q10484874	Yelü Keling	3	耶律頦領	頦領|臨潢|耶律 ;; || ;; 頦領|臨潢|耶律 ;; ||	頦領 臨潢 | Yelü Heling 耶律頦領 | 耶律頦領
6000000007512887719	Q11095892	Li Tianci	2	李天賜	天賜|隴西狄道|李 ;; || ;; 天賜|隴西狄道|李	天賜 隴西狄道 | Lǐ Tiāncì 李天賜, 86, 53G
6000000007512954111	Q11097387	Li Xi	2	李熙	熙|隴西狄道|李 ;; || ;; 熙|隴西狄道|李	熙 隴西狄道 | Lǐ Xī 李熙, 85, 52G
6000000009719963077	Q75977812	Lee Chin Koon	2		|| ;; 搌坤|李|	LEE Chin Koon, 李搌坤 | 搌坤 李
6000000009719967598	Q75977832	Lee Hoon Leong	2		|| ;; 雲龍|李|	LEE Hoon Leong, 李雲龍 | 雲龍 李
6000000010476940324	Q45374295	Zhang Junzheng	2	Zhāng 張	Jūn Zhèng 君政||Zhāng 張 ;; ||	Jūn Zhèng 君政 | Zhang Jun Zheng 張君政 105,104,25世
6000000010801664345	Q67444172	Lady Gao	1	高	|渤海蓨縣|高 ;; |渤海蓨縣|高	渤海蓨縣
6000000012370532905	Q45614719	Murong Yuan	2	慕容遠	遠||慕容 ;; 遠|慕容|	遠 | 遠 慕容
6000000012371593301	Q45614656	Murong Yu	2	慕容郁	郁||慕容 ;; 郁|慕容|	郁 | 郁 慕容
6000000012653535544	Q16075300	Zhao Qi	2	趙愭	愭|杭州錢塘|趙 ;; || ;; 愭|杭州錢塘|趙	愭 杭州錢塘 | Zhao Qi 趙愭
6000000012827436581	Q7482540	Zeng Jihong	1	曾紀鴻	紀鴻 粟誠|湖南湘鄉|曾 ;; 紀鴻 粟誠|湖南湘鄉|曾	紀鴻 粟誠 湖南湘鄉
6000000012827465485	Q61305502	Zeng Guangshan	3		Guangshan|湖南湘鄉|Zeng ;; || ;; 廣珊|湖南湘鄉|曾	Guangshan 湖南湘鄉 | Zeng Guangshan 曾廣珊 | 廣珊 湖南湘鄉
6000000012827586454	Q11091434	Zeng Guohuang	2	曾國潢	國潢 澄侯|湖南湘鄉|曾 ;; 国潢|曾| ;; 國潢 澄侯|湖南湘鄉|曾	國潢 澄侯 湖南湘鄉 | 国潢 曾
6000000012850887082	Q11091493		1	曾廣鑾	廣鑾 君和|湖南湘鄉|曾 ;; 廣鑾 君和|湖南湘鄉|曾	廣鑾 君和 湖南湘鄉
6000000012850928490	Q11091495		1	曾廣銓	廣銓 敬貽|湖南湘鄉|曾 ;; 廣銓 敬貽|湖南湘鄉|曾	廣銓 敬貽 湖南湘鄉
6000000012851081023	Q11091540	Zeng Zhaolun	3		Chao-Lun 叔偉|湖南湘鄉|Tseng ;; || ;; 昭掄 叔偉|湖南湘鄉|曾	Chao-Lun 叔偉 湖南湘鄉 | Chao-Lun Tseng 曾昭掄 | 昭掄 叔偉 湖南湘鄉
6000000012967226176	Q22812632	Kong Ni	2	孔嶷	嶷 成功||孔 ;; 嶷 成功|孔|	嶷 成功 | 嶷 成功 孔
6000000012967245121	Q22812636	Kong Cheng	2	孔乘	乘 敬山||孔 ;; 乘 敬山|孔|	乘 敬山 | 乘 敬山 孔
6000000012967275156	Q22812635	Kong Xian	2	孔鮮	鮮 鮮之||孔 ;; 鮮 鮮之|孔|	鮮 鮮之 | 鮮 鮮之 孔
6000000012967276191	Q22812633	Kong Fu	2	孔撫	撫||孔 ;; 撫|孔|	撫 | 撫 孔
6000000012967278186	Q22812622	Kong Wu	2	孔武	武 子威||孔 ;; 武 子威|孔|	武 子威 | 武 子威 孔
6000000012967300599	Q22812629	Kong Zan	3	孔讚	讚||孔 ;; || ;; 讚|孔| ;; ||	讚 | 孔讚 | 讚 孔
6000000012967332540	Q22812627	Kong Sun	2	孔損	損 君益||孔 ;; 損 君益|孔|	損 君益 | 損 君益 孔
6000000012967336646	Q22812628	Kong Yao	2	孔曜	曜 君曜||孔 ;; 曜 君曜|孔|	曜 君曜 | 曜 君曜 孔
6000000012967336680	Q22812631	Kong Zhen	2	孔震	震 伯起||孔 ;; 震 伯起|孔|	震 伯起 | 震 伯起 孔
6000000012967351909	Q22812620	Kong Bai	1	孔白	白|孔|孔	白 孔
6000000012967352005	Q22812640	Kong Zhangsun	2	孔長孫	長孫||孔 ;; 長孫|孔|	長孫 | 長孫 孔
6000000012967356967	Q15924364	Kong Sizhe	2	孔嗣悊	嗣悊||孔 ;; 嗣悊|孔|	嗣悊 | 嗣悊 孔
6000000012967356972	Q22812642	Kong Chongji	2	孔崇基	崇基||孔 ;; 崇基|孔|	崇基 | 崇基 孔
6000000012967359906	Q22812623	Kong Yannian	2	孔延年	延年||孔 ;; 延年|孔|	延年 | 延年 孔
6000000012967402827	Q22812638	Kong Wentai	2	孔文泰	文泰||孔 ;; 文泰|孔|	文泰 | 文泰 孔
6000000012967402833	Q22812639	Kong Qu	2	孔渠	渠||孔 ;; 渠|孔|	渠 | 渠 孔
6000000012967410661	Q22812641	Kong Delun	2	孔德倫	德倫 大經||孔 ;; 德倫 大經|孔|	德倫 大經 | 德倫 大經 孔
6000000012967668576	Q10944446	Kong Teng	1	孔騰	騰|孔|孔	騰 孔
6000000012967671413	Q22812634	Kong Yi	2	孔懿	懿||孔 ;; 懿|孔|	懿 | 懿 孔
6000000012967677450	Q10944341	Kong Fang	2	孔房	房||孔 ;; 房|孔|	房 | 房 孔
6000000012967686435	Q22812637	Kong Lingzhen	2	孔靈珍	靈珍||孔 ;; 靈珍|孔|	靈珍 | 靈珍 孔
6000000012967687548	Q22812630	Kong Xian	2	孔羨	羨 子餘||孔 ;; 羨 子餘|孔|	羨 子餘 | 羨 子餘 孔
6000000012967698299	Q10944385	Kong Qiu	1	孔求	求|孔|孔	求 孔
6000000012967698304	Q22812621	Kong Ji	1	孔箕	箕|孔|孔	箕 孔
6000000012967705264	Q22812682	Kong Zhong	2	孔忠	忠 子貞||孔 ;; 忠 子貞|孔|	忠 子貞 | 忠 子貞 孔
6000000012967717254	Q22812625	Kong Jun	2	孔均	均 長平||孔 ;; 均 長平|孔|	均 長平 | 均 長平 孔
6000000012974243474	Q22812626	Kong Zhi	2	孔志	志 道甫||孔 ;; 志 道甫|孔|	志 道甫 | 志 道甫 孔
6000000012977074008	Q11091470	Zeng Xianzhi	3		憲植||Zeng ;; || ;; 憲植|曾| ;; ||	憲植 | 曾憲植 | 憲植 曾
6000000012977245979	Q78083157		1	曾紀官	紀官 劍龍|湖南湘鄉|曾 ;; 紀官 劍龍|湖南湘鄉|曾	紀官 劍龍 湖南湘鄉
6000000012977282998	Q30610932	Zeng Jifen	1	曾紀芬	紀芬|湖南湘鄉|曾 ;; 紀芬|湖南湘鄉|曾	紀芬 湖南湘鄉
6000000012977293772	Q65032765	Zeng Jiliang	1	曾紀梁	紀梁 介石|湖南湘鄉|曾 ;; 紀梁 介石|湖南湘鄉|曾	紀梁 介石 湖南湘鄉
6000000012977365790	Q65032741	Zeng Guangzuo	1	曾廣祚	廣祚|湖南湘鄉|曾 ;; 廣祚|湖南湘鄉|曾	廣祚 湖南湘鄉
6000000012977391636	Q78083395		2	曾昭和	昭和||曾 ;; 昭和|曾|	昭和 | 昭和 曾
6000000012977484356	Q133281715		1	曾紀耀	紀耀 仲坤|湖南湘鄉|曾 ;; 紀耀 仲坤|湖南湘鄉|曾	紀耀 仲坤 湖南湘鄉
6000000013567302988	Q10869034	Prince Sheng	1		勝|子姓|‏‏‎ ‎ ;; 勝|子姓|‏‏‎ ‎	勝 子姓
6000000013567421999	Q10944401	Kong Fujia	1		嘉 孔父|子姓|‏‏‎ ‎ ;; 嘉 孔父|子姓|‏‏‎ ‎	嘉 孔父 子姓
6000000013567653171	Q11093231	Mu Jinfu	1		木 金父|子姓|‏‏‎ ‎ ;; 木 金父|子姓|‏‏‎ ‎	木 金父 子姓
6000000013567666036	Q15940896	Qi Fu	1		睾 祁父|子姓|‏‏‎ ‎ ;; 睾 祁父|子姓|‏‏‎ ‎	睾 祁父 子姓
6000000013567681047	Q11123538	Zheng Kaofu	1		正 考父|子姓|‏‏‎ ‎ ;; 正 考父|子姓|‏‏‎ ‎	正 考父 子姓
6000000013567684089	Q10947776	Song Fu Zhou	1		周 宋父|子姓|‏‏‎ ‎ ;; 周 宋父|子姓|‏‏‎ ‎	周 宋父 子姓
6000000013860461844	Q107028308		2	曾丞	丞|曾|曾 ;; || ;; 丞|曾|曾	丞 曾 | Zēng Chéng 曾丞, 102, 90, 37, 33世
6000000013860573802	Q107028264		3	曾煬	煬|Zēng 曾|曾 ;; || ;; 煬|曾|曾	煬 Zēng 曾 | 曾煬 | 煬 曾
6000000013860591279	Q107028277		2	曾略	略|曾|曾 ;; || ;; 略|曾|曾	略 曾 | Zēng Lüè, 曾略, 103, 91, 38, 34世
6000000013869857183	Q63258241	Zeng Jishou	1	曾紀壽	紀壽 岳崧|湖南湘鄉|曾 ;; 紀壽 岳崧|湖南湘鄉|曾	紀壽 岳崧 湖南湘鄉
6000000013873799917	Q11091615	Beauson Tseng	2	曾昭檆	昭檆 約農||曾 ;; 昭檆 約農|曾|	昭檆 約農 | 昭檆 約農 曾
6000000013874366325	Q78083316		1	曾廣江	廣江|湖南湘鄉|曾 ;; 廣江|湖南湘鄉|曾	廣江 湖南湘鄉
6000000016688518758	Q45425179	Lu Hong	2	陸閎	閎 子春|吳郡吳縣|陸 ;; || ;; 閎 子春|吳郡吳縣|陸	閎 子春 吳郡吳縣 | Lu Hong 陸閎
6000000016688688543	Q45425223	Lu Huan	2	陸桓	桓 叔文|吳郡吳縣|陸 ;; || ;; 桓 叔文|吳郡吳縣|陸	桓 叔文 吳郡吳縣 | Lu Huan 陸桓
6000000016688722416	Q45426692	Lu Gong	2	陸恭	恭 彥祖|吳郡吳縣|陸 ;; || ;; 恭 彥祖|吳郡吳縣|陸	恭 彥祖 吳郡吳縣 | Lu Gong 陸恭
6000000016688741429	Q45426735	Lu Huang	2	陸璜	璜 公伯|吳郡吳縣|陸 ;; || ;; 璜 公伯|吳郡吳縣|陸	璜 公伯 吳郡吳縣 | Lu Huang 陸璜
6000000016688833266	Q45426857	Lu Zhong	2	陸眾	眾 世業|吳郡吳縣|陸 ;; || ;; 眾 世業|吳郡吳縣|陸	眾 世業 吳郡吳縣 | Lu Zhong 陸眾
6000000016688843270	Q45426816	Lu Qin	2	陸親	親 公道|吳郡吳縣|陸 ;; || ;; 親 公道|吳郡吳縣|陸	親 公道 吳郡吳縣 | Lu Qin 陸親
