qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q42771,Q12308941,Nicholas,Nicholas,ニコラス,尼古拉斯,니컬러스,نيقولاس,ניקולס,Николас,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas,Nicholas
Q45459,Q12308941,سلطان,Sultan,スルターン,,,سلطان,,,Sultan,Sultan,Sultan,,,Sultan,,,,,Sultan
Q122787,Q101352,Bellucci,Bellucci,ベルッチ,贝鲁奇,,بيلوكي,בלוצ'י,Беллуччи,Bellucci,,,,,,,,,,
Q123651,Q12308941,Caesar,Caesar,,,,,סיזר,Чезаре,Caesar,Caesar,Caesar,Caesar,Caesar,Caesar,Caesar,Caesar,Caesar,Caesar,Caesar
Q123699,Q11879590,Галина,Galina,ガリーナ,加利娜,,غالينا,גלינה,Галина,Galina,Galina,Galina,Galina,Galina,Galina,Galina,,,Galina,
Q142931,Q12308941,みのる,Minoru,みのる,,미노루,مينورو,מינורו,Минору,Minoru,Minoru,Minoru,Minoru,Minoru,Minoru,Minoru,Minoru,Minoru,Minoru,Minoru
Q168563,Q12308941,Jiří,Jiří,イジー,伊日,,جيري,ייז'י,Йиржи,Jiří,Jiří,Jiří,Jiří,Jiří,Jiří,Jiří,Jiří,,Jiří,
Q174115,Q12308941,Tivadar,Tivadar,トードル,,,,תיוודאר,Тивадар,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar,Tivadar
Q178083,Q12308941,Zvezdan,Zvezdan,,,,,,Звездан,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan,Zvezdan
Q180515,Q12308941,Siegbald,Siegbald,,,,,,,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald,Siegbald
Q187603,Q12308941,Thorolf,Thorolf,トロルフ,,,,,Турольф,Thorolf,Thorolf,Thorolf,Thorolf,Thorolf,Thorolf,Thorulf,Thorolf,Thorolf,Thorolf,Thorolf
Q191379,Q11879590,Zephyrine,Zephyrine,,,,,,,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine,Zephyrine
