geni_id	relation	other	verdict	other_in_post_merge
287707823020004311	parents	287709007490004266	would be dropped	no
287707823020004311	parents	287709570660003699	would be dropped	no
302030903370006491	parents	302036169990003799	would be dropped	no
302030903370006491	parents	6000000003420164243	would be dropped	no
302208610790002901	parents	6000000006101322429	would be dropped	no
302208610790002901	parents	6000000006101322433	would be dropped	no
302215187310001320	parents	6000000041282906308	would be dropped	no
302215187310001320	parents	6000000041283108934	would be dropped	no
302228662390004875	parents	6000000018208307129	would be dropped	no
3096772	parents	3096838	would be dropped	no
3096772	parents	6000000000170205207	would be dropped	no
3096772	spouses	3096790	would be dropped	no
3096772	children	3096797	would be dropped	no
3096772	children	3096812	would be dropped	no
3096772	children	6000000000348814972	would be dropped	no
3096772	children	6000000004959347819	would be dropped	no
3096772	children	6000000216613657943	would be dropped	no
312459439110001607	spouses	6000000007434599483	would be dropped	no
312459439110001607	children	6000000000348842400	would be dropped	no
312459439110001607	children	6000000219946878956	would be dropped	no
315253981270003195	parents	383702722290003247	would be dropped	yes
315253981270003195	parents	6000000000348864773	would be dropped	no
315253981270003195	spouses	4950928906290042156	would be dropped	yes
319468628080003023	spouses	319773115220002230	would be dropped	no
319468628080003023	children	310999018810005702	would be dropped	no
319468628080003023	children	6000000002184652673	would be dropped	no
319470472250001951	parents	319470772710006115	would be dropped	no
319482826420006111	parents	6000000002803002621	would be dropped	no
319482826420006111	parents	6000000025707692038	would be dropped	no
328063119760006951	children	327831486820004482	would be dropped	no
328063119760006951	children	6000000004028134037	would be dropped	no
328063119760006951	children	6000000129278640863	would be dropped	no
329278277070007431	parents	3383072	would be dropped	no
329278277070007431	parents	6000000010741940175	would be dropped	no
3381543	parents	6000000001926377257	would be dropped	no
3381543	parents	6000000006709474304	would be dropped	no
356646836790006714	spouses	356645000790013473	would be dropped	no
356646836790006714	children	6000000000348814888	would be dropped	yes
356646836790006714	children	6000000032035388200	would be dropped	no
356648135780001258	children	6000000003370387188	would be dropped	yes
356648135780001258	children	6000000032170142397	would be dropped	no
374151683850013651	parents	4435440	would be dropped	no
374151683850013651	parents	6000000008947306016	would be dropped	no
376147127120002731	parents	6000000001926362305	would be dropped	no
376147127120002731	parents	6000000004588054615	would be dropped	no
377698687950012500	spouses	6000000078371032653	would be dropped	no
377698687950012500	children	377699408010013819	would be dropped	no
377698687950012500	children	6000000002764736592	would be dropped	no
377698687950012500	children	6000000002764817148	would be dropped	no
377698687950012500	children	6000000003639871531	would be dropped	no
383702722290003247	spouses	6000000000348835430	would be dropped	no
383702722290003247	spouses	6000000000348864773	would be dropped	no
383702722290003247	children	315253981270003195	would be dropped	yes
383702722290003247	children	4074349122330031864	would be dropped	no
383702722290003247	children	4075021651870031992	would be dropped	no
383702722290003247	children	6000000000348848221	would be dropped	no
383702722290003247	children	6000000000348848329	would be dropped	no
383702722290003247	children	6000000000348864750	would be dropped	no
383702722290003247	children	6000000000348864780	would be dropped	no
383702722290003247	children	6000000004588296826	would be dropped	no
383702722290003247	children	6000000114239693834	would be dropped	no
383702722290003247	children	6000000224314209872	would be dropped	no
383919492090013483	spouses	348881984560013524	would be dropped	no
383919492090013483	children	383933584620011556	would be dropped	no
383919492090013483	children	6000000010070584037	would be dropped	no
4074595931200021871	spouses	6000000136639783966	would be dropped	yes
4074699818040021752	spouses	6000000001926375166	would be dropped	no
4074699818040021752	children	6000000001926381642	would be dropped	no
4074699818040021752	children	6000000091143251991	would be dropped	no
4086009739050073260	children	6000000036340378451	would be dropped	no
4086009739050073260	children	6000000191731198867	would be dropped	no
4086013463710051332	children	6000000010119621758	would be dropped	no
4086013463710051332	children	6000000048442010996	would be dropped	no
4086013463710051332	children	6000000080937621889	would be dropped	no
4191493838810126643	spouses	6000000001926363641	would be dropped	yes
4191493838810126643	children	6000000001926375578	would be dropped	no
4191493838810126643	children	6000000001926375661	would be dropped	no
4191493838810126643	children	6000000001926375767	would be dropped	no
4208896597950126492	spouses	4208896651320030890	would be dropped	no
4208896597950126492	children	5320855079910072356	would be dropped	no
4304704214010031755	parents	6000000193229834821	would be dropped	no
4304704214010031755	parents	6000000193229916822	would be dropped	no
4304704214010031755	spouses	4304704294180010462	would be dropped	no
4304704214010031755	children	4304466546090010445	would be dropped	no
4304704214010031755	children	4304763092520031867	would be dropped	no
4304704214010031755	children	4304834382470043539	would be dropped	no
4304704214010031755	children	4304847550660068157	would be dropped	no
4304704214010031755	children	6000000192800233824	would be dropped	no
4304704214010031755	children	6000000193135441822	would be dropped	no
4304704214010031755	children	6000000193169147864	would be dropped	no
4304704214010031755	children	6000000193190948912	would be dropped	no
4304704214010031755	children	6000000193191062868	would be dropped	no
4304704214010031755	children	6000000193191560827	would be dropped	no
4304704214010031755	children	6000000193192008822	would be dropped	no
4304704214010031755	children	6000000193192022822	would be dropped	no
