kind	name	occurrences	description	qids
family	Schloss	107	family name	Q105540652 | Q37300956
given	Joanna	97	female given name	Q106481439 | Q4248351
family	Strauss	88	family name	Q10450274 | Q15731389
family	de Sousa	69	family name	Q55739047 | Q99908123
family	Rodríguez	33	family name	Q1654058 | Q63315319
given	Leroy	29	male given name	Q19839067 | Q19839124
family	Strauß	27	family name	Q10450274 | Q15731389
family	Reiss	25	family name	Q15725918 | Q60170844
family	FitzGerald	23	family name	Q16466739 | Q55550590
family	Fitzgerald	20	family name	Q16466739 | Q55550590
family	Hess	19	family name	Q21482735 | Q57661293
family	FitzRoy	18	family name	Q21233885 | Q92288868
family	da Costa	15	family name	Q23038711 | Q63677459
family	Schloß	11	family name	Q105540652 | Q37300956
given	Demetrios	11	male given name	Q19803788 | Q30127367
family	de Mesquita	10	family name	Q101038014 | Q130724081
family	Gross	8	family name	Q14290163 | Q57645534
family	Angress	7	family name	Q105975011 | Q107527023
family	Heß	6	family name	Q21482735 | Q57661293
family	Haussmann	6	family name	Q1591313 | Q74081542
family	Macdonald	6	family name	Q2778569 | Q52984204
given	LeRoy	6	male given name	Q19839067 | Q19839124
family	de Zúñiga	5	family name	Q133254410 | Q99981154
family	Mackay	4	family name	Q21506751 | Q63978307
given	Evaristo	4	male given name	Q18402192 | Q21156914
given	Máximo	4	male given name	Q20000642 | Q4475314
family	Pruss	3	family name	Q37491734 | Q83495364
family	MacWilliam	3	family name	Q105623240 | Q36873851
family	de Witt	3	family name	Q106352426 | Q16869461
family	de Vries	3	family name	Q1180481 | Q83345792
family	Reiß	3	family name	Q15725918 | Q60170844
family	MacKenzie	3	family name	Q13553907 | Q59196750
given	Macdonald	3	male given name	Q21513094 | Q55747656
family	Fitzroy	2	family name	Q21233885 | Q92288868
family	van Cleef	2	family name	Q136230075 | Q21492169
family	du Parc	2	family name	Q104594425 | Q62705779
family	de Guevara	2	family name	Q111669728 | Q99981096
family	Nussbaum	2	family name	Q30106376 | Q83500875
family	Dubois	2	family name	Q16798403 | Q57905938
given	Yael	2	female given name	Q104409736 | Q8046631
family	Da Costa	1	family name	Q23038711 | Q63677459
family	fitzRoy	1	family name	Q21233885 | Q92288868
family	MacDowall	1	family name	Q6723006 | Q99910038
family	STRAUSS	1	family name	Q10450274 | Q15731389
family	Sass	1	family name	Q111605746 | Q21484988
family	Nußbaum	1	family name	Q30106376 | Q83500875
family	MacDonald	1	family name	Q2778569 | Q52984204
family	fitzGerald	1	family name	Q16466739 | Q55550590
family	Haußmann	1	family name	Q1591313 | Q74081542
family	Glass	1	family name	Q16870200 | Q57249851
family	Clauss	1	family name	Q21482988 | Q83500996
family	MacMillan	1	family name	Q26709983 | Q77024917
family	fitzgerald	1	family name	Q16466739 | Q55550590
family	De Sousa	1	family name	Q55739047 | Q99908123
given	Maclean	1	male given name	Q29960616 | Q64349020
given	Fitzroy	1	male given name	Q21079620 | Q92240617
given	Marsden	1	given name	Q104265037 | Q52186513
given	Mackenzie	1	unisex given name	Q14667660 | Q84323319
given	Maryanne	1	female given name	Q20898971 | Q63339460
