sha,category,bytes,copies,example_path
6f3a1bb7586382f1ce3e170fb8a664d6bdab39ec,Facebook like-button frame,30849,1,paths_for_wikidata_isolates/Geni - Sven Emanuel Dedering (1897-1986)_files/like.html
250d9949c319093c7ccf3b514783a92c02851230,Facebook like-button frame,30846,1,"paths_for_wikidata_isolates/Geni - Frederick of Lorraine, pope Stephen IX (c.1020-1058)- Florence_files/like.html"
3645452549636f71f02727f1ed46a8d6b152cb80,Facebook like-button frame,30844,1,paths_for_wikidata_isolates/Geni - Arnaldo Deodato da Fonseca Rozeira (1912-1984)- Lordelo do Ouro_files/like.html
c116cee3c0e54e36f26f8cc95b6877f4013d56e2,Facebook like-button frame,30844,1,paths_for_wikidata_isolates/Geni - Bjørn Føyn (1898-1985)_files/like.html
5a86392e06934db19294b0c975c2a3f0f1efaa83,Facebook like-button frame,30841,1,paths_for_wikidata_isolates/Geni - Kaj Gabriel Franck (1911-1989)_files/like.html
34bf8c4ad23c79e8ae7e5f9a9a63683aaf149da1,Facebook like-button frame,30837,1,paths_for_wikidata_isolates/Geni - Paul Stohrer (1909-1975)- Stuttgart_files/like.html
a5e18e6c364329c35538e6ecb3b2958676b5ebfd,Facebook like-button frame,30837,1,paths_for_wikidata_isolates/Geni - Lauritz Scavenius (1562-1626)- Stavanger_files/like.html
01c4ffe7af020b7839f91a97a36b82fe139dad2a,Facebook like-button frame,30835,1,paths_for_wikidata_isolates/Geni - Gustav Schmahl (1929-2003)- Schwielowsee_files/like.html
22e26f706d7542ec236a61039030ea1b33880f2d,Facebook like-button frame,30835,1,paths_for_wikidata_isolates/Geni - Sogneprest i Spydeberg Jacob Nicolai Wilse (1735-1801)_files/like.html
ac24f8ef00e254d28c5db2f705c3e3cd1eb8f3bc,Facebook like-button frame,30832,1,paths_for_wikidata_isolates/Geni - Sultan Jalal al-Din Muhammad Gurkani (1542-1605)- Fatehpur Sikri_files/like.html
6326acc55cee7883b526ea7de4fd05b688074da5,Facebook like-button frame,30831,1,paths_for_wikidata_isolates/Geni - Nick Bostrom_files/like.html
b2eba26cf8105a104394b31212c9bbb7b43934ab,Facebook like-button frame,30831,1,paths_for_wikidata_isolates/Geni - Georg Backer (Berg) (1900-1980)_files/like.html
a3d0d0023c61bda7d0b83bc96d731268f5768277,Facebook like-button frame,30830,1,paths_for_wikidata_isolates/Geni - Dr Olav Gjærevoll (1916-1994)- Trondheim_files/like.html
