qid	lang	label
Q101247444	cs	Ingegerd Svantepolksdotter
Q101247444	en	Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö
Q101247444	en-ca	Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö
Q101247444	en-us	Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö
Q101247444	ja	インゲゲルド・スヴァンテポルクスドッテル
Q101247444	mul	Ingegerd Svantepolksdotter
Q101247444	nl	Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö
Q101247444	sv	Ingegerd Svantepolksdotter
Q101247444	zh	英格格德·斯万特波尔克斯多特
Q1036858	arz	كارل اوجوسانت اهرينسڤارد
Q1036858	ast	Carl August Ehrensvärd
Q1036858	be	Карл Аўгуст Эрэнсверд
Q1036858	ca	Carl August Ehrensvärd
Q1036858	cs	Carl August Ehrensvärd
Q1036858	da	Carl August Ehrensvärd
Q1036858	de	Carl August Ehrensvärd
Q1036858	en	Carl August Ehrensvärd
Q1036858	es	Carl August Ehrensvärd
Q1036858	fa	کارل آوگوست ارنسوارد
Q1036858	fi	Carl August Ehrensvärd
Q1036858	fr	Carl August Ehrensvärd
Q1036858	ga	Carl August Ehrensvärd
Q1036858	hu	Carl August Ehrensvärd
Q1036858	it	Carl August Ehrensvärd
Q1036858	ja	カール・アウグスト・エーレンスヴァルド
Q1036858	ko	칼 아우구스트 에렌스보르드
Q1036858	nb	Carl August Ehrensvärd
Q1036858	nl	Carl August Ehrensvärd
Q1036858	nn	Carl August Ehrensvärd
Q1036858	pl	Carl August Ehrensvärd
Q1036858	pt	Carl August Ehrensvärd
Q1036858	pt-br	Carl August Ehrensvärd
Q1036858	ru	Карл Август Эренсверд
Q1036858	sl	Carl August Ehrensvärd
Q1036858	sq	Carl August Ehrensvärd
Q1036858	sv	Carl August Ehrensvärd
Q103771956	en	Olof Rudbeck
Q103771956	mul	Olof Rudbeck
Q103771956	nl	Olof Rudbeck
Q103771971	en	Anna Maria Törne
Q103771971	mul	Anna Maria Törne
Q103771971	nl	Anna Maria Törne
Q10411463	ast	Andreas Olai
Q10411463	ca	Andreas Olai
Q10411463	en	Andreas Olai
Q10411463	es	Andreas Olai
Q10411463	fi	Andreas Olai
Q10411463	fr	Andreas Olai
Q10411463	ga	Andreas Olai
Q10411463	it	Andreas Olai
Q10411463	mul	Andreas Olai
Q10411463	sl	Andreas Olai
Q10411463	sq	Andreas Olai
Q10411463	sv	Andreas Olai
Q10418965	ast	Arvid Sigismund Horn af Åminne
Q10418965	de	Arvid Sigismund Horn af Åminne
Q10418965	en	Arvid Sigismund Horn af Åminne
Q10418965	mul	Arvid Sigismund Horn af Åminne
Q10418965	sv	Arvid Sigismund Horn af Åminne
Q104550158	en	Ernald Forbes
Q104550158	en-us	Ernald Forbes
Q104550158	es	Ernald Forbes
Q104550158	fr	Ernald Forbes
Q104550158	mul	Ernald Forbes
Q104550158	nl	Ernald Forbes
Q104550158	ru	Эрнальд Форбс
Q104550167	en	Karin Mattsdotter Björnram
Q104550167	es	Karin Mattsdotter Björnram
Q104550167	fr	Karin Mattsdotter Björnram
Q104550167	nl	Kaarina Martintytär Björnram Jokiniemi
Q104550167	pl	Karin Mattsdotter Björnram
Q104550167	ro	Karin Mattsdotter Björnram
Q104550167	ru	Карин Маттсдоттер Бьёрнрам
Q104550167	sl	Karin Mattsdotter Björnram
Q104550167	sv	Carin Björnram
Q104550167	tr	Karin Mattsdotter Björnram
Q10480021	ast	Edvard Fredrik von Saltza
Q10480021	ca	Edvard Fredrik von Saltza
Q10480021	da	Edvard Fredrik von Saltza
Q10480021	de	Edvard Fredrik von Saltza
Q10480021	en	Edvard Fredrik von Saltza
Q10480021	es	Edvard Fredrik von Saltza
Q10480021	eu	Edvard Fredrik von Saltza
Q10480021	fi	Edvard Fredrik von Saltza
Q10480021	fr	Edvard Fredrik von Saltza
Q10480021	ga	Edvard Fredrik von Saltza
Q10480021	hu	Edvard Fredrik von Saltza
Q10480021	it	Edvard Fredrik von Saltza
Q10480021	mul	Edvard Fredrik von Saltza
Q10480021	nb	Edvard Fredrik von Saltza
Q10480021	nl	Edvard Fredrik von Saltza
Q10480021	nn	Edvard Fredrik von Saltza
Q10480021	pap	Edvard Fredrik von Saltza
Q10480021	pl	Edvard Fredrik von Saltza
Q10480021	pt	Edvard Fredrik von Saltza
Q10480021	pt-br	Edvard Fredrik von Saltza
Q10480021	ro	Edvard Fredrik von Saltza
Q10480021	ru	Эдвард Фредрик фон Зальца
Q10480021	se	Edvard Fredrik von Saltza
Q10480021	sl	Edvard Fredrik von Saltza
Q10480021	sq	Edvard Fredrik von Saltza
Q10480021	sv	Edvard Fredrik von Saltza
Q10480021	tr	Edvard Fredrik von Saltza
Q10511031	ca	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	da	Gustaf von Essen
Q10511031	de	Gustaf von Essen
Q10511031	ee	Gustaf von Essen
Q10511031	el	Γουσταύος Αδόλφος Φρειδερίκος Γουΐλχελμ φον Έσσεν
Q10511031	en	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	es	Gustaf von Essen
Q10511031	fi	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	fr	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	ga	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	it	Gustaf von Essen
Q10511031	nb	Gustaf von Essen
Q10511031	nl	Gustaf von Essen
Q10511031	nn	Gustaf von Essen
Q10511031	pap	Gustaf von Essen
Q10511031	pl	Gustaf von Essen
Q10511031	pt	Gustaf von Essen
Q10511031	pt-br	Gustaf von Essen
Q10511031	ru	Густав Адольф Фредерик Вильгельм фон Эссен
Q10511031	sl	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	sq	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511031	sv	Gustaf Adolf Fredrik Wilhelm von Essen
Q10511224	ast	Guttorm jarl
Q10511224	en	Guttorm jarl
Q10511224	es	Guttorm jarl
Q10511224	mul	Guttorm jarl
Q10511224	nb	Guttorm jarl
Q10511224	nn	Guttorm jarl
Q10511224	sv	Guttorm jarl
Q10608167	ast	Olaus Petri Niurenius
Q10608167	br	Olaus Petri Niurenius
Q10608167	ca	Olaus Petri Niurenius
Q10608167	co	Olaus Petri Niurenius
Q10608167	da	Olaus Petri Niurenius
Q10608167	de	Olaus Petri Niurenius
Q10608167	en	Olaus Petri Niurenius
Q10608167	es	Olaus Petri Niurenius
Q10608167	fr	Olaus Petri Niurenius
Q10608167	ga	Olaus Petri Niurenius
Q10608167	id	Olaus Petri Niurenius
Q10608167	it	Olaus Petri Niurenius
Q10608167	mul	Olaus Petri Niurenius
Q10608167	nds	Olaus Petri Niurenius
Q10608167	nl	Olaus Petri Niurenius
Q10608167	pap	Olaus Petri Niurenius
Q10608167	pt	Olaus Petri Niurenius
Q10608167	pt-br	Olaus Petri Niurenius
Q10608167	ro	Olaus Petri Niurenius
Q10608167	sl	Olaus Petri Niurenius
Q10608167	sq	Olaus Petri Niurenius
Q10608167	sv	Olaus Petri Niurenius
Q10608167	ty	Olaus Petri Niurenius
Q108615809	ast	Margareta Jernstedt
Q108615809	en	Margareta Jernstedt
Q108615809	mul	Margareta Jernstedt
Q108615809	nl	Margareta Jernstedt
Q108615809	sl	Margareta Jernstedt
Q108615809	sv	Margareta Jernstedt
Q108615842	ast	Mårten Bunge
Q108615842	de	Mårten Bunge
Q108615842	en	Mårten Bunge
Q108615842	es	Mårten Bunge
Q108615842	fr	Mårten Bunge
Q108615842	mul	Mårten Bunge
Q108615842	nl	Mårten Bunge
Q108615842	sl	Mårten Bunge
Q108615842	sv	Mårten Bunge
Q108937197	ast	Charlotte Rudbeck
Q108937197	en	Charlotte Rudbeck
Q108937197	mul	Charlotte Rudbeck
Q108937197	nl	Charlotte Rudbeck
Q108937197	sl	Charlotte Rudbeck
Q108937197	sv	Charlotte Rudbeck
Q109265381	ast	Jonas Rudberus
Q109265381	en	Jonas Rudberus
Q109265381	mul	Jonas Rudberus
Q109265381	nl	Jonas Rudberus
Q109265381	sl	Jonas Rudberus
Q109265381	sv	Jonas Rudberus
Q109266155	ast	Magdalena Bureus
Q109266155	en	Magdalena Bureus
Q109266155	ja	マグダレーナ・ブレウス
Q109266155	mul	Magdalena Bureus
Q109266155	nl	Magdalena Bureus
Q109266155	sl	Magdalena Bureus
Q109266155	sv	Magdalena Bureus
Q109296043	en	Ulrika Catharina Koskull
Q109296043	nl	Ulrika Catharina Koskull
Q109296043	ru	Ульрика Катарина Коскуль
Q109296043	sv	Ulrika Catharina Koskull
Q109296398	cs	Fredrika Eleonora Hornová
Q109296398	de	Fredrika Eleonora Horn
Q109296398	en	Fredrika Eleonora Horn af Ekebyholm
Q109296398	mul	Fredrika Eleonora Horn
Q109296398	nl	Fredrika Eleonora Horn af Ekebyholm
Q109296398	sv	Fredrika Eleonora Horn
Q109660986	ast	Eva Walaas
Q109660986	da	Eva Walaas
Q109660986	dag	Eva Walaas
Q109660986	en	Eva Walaas
Q109660986	mul	Eva Walaas
Q109660986	nb	Eva Walaas
Q109660986	nl	Eva Walaas
Q109660986	nn	Eva Walaas
Q109660986	sl	Eva Walaas
Q109660986	sv	Eva Walaas
Q109829800	en	Eva Helena von Fersen
Q109829800	nl	Eva Helena von Fersen
Q109829800	ru	Ева Хелена фон Ферзен
Q109829800	sv	Eva Helena von Fersen
Q109829893	da	Ulrika Elisabet Sandels
Q109829893	de	Ulrika Elisabet Sandels
Q109829893	en	Ulrika Elisabet Sandels
Q109829893	en-us	Ulrika Elisabet Sandels
Q109829893	es	Ulrika Elisabet Sandels
Q109829893	fr	Ulrika Elisabet Sandels
Q109829893	ja	ウルリカ・エリーザベト・サンデルス
Q109829893	mul	Ulrika Elisabet Sandels
Q109829893	nb	Ulrika Elisabet Sandels
Q109829893	nl	Ulrika Elisabet Sandels
Q109829893	ru	Ульрика Элисабет Хермелин
Q109829893	sv	Ulrika Elisabet Sandels
Q109835397	en	Carl Gustaf Lagerfelt, Lord of Lagerlunda and Gismestad
Q109835397	nl	Carl Gustaf Lagerfelt, Lord of Lagerlunda and Gismestad
Q109835397	sv	Carl Gustaf Lagerfelt
Q109835398	en	Baroness Maria von der Osten genannt Sacken
Q109835398	nl	Baroness Maria von der Osten genannt Sacken
Q109835398	sv	Maria von der Osten
Q109835400	ast	Baroness Magdalena Christina Appelbom
Q109835400	en	Baroness Magdalena Christina Appelbom
Q109835400	nl	Baroness Magdalena Christina Appelbom
Q109835400	sl	Baroness Magdalena Christina Appelbom
Q109835400	sv	Magdalena Christina Appelbom
Q110231041	ast	Anna Terserus
Q110231041	en	Anna Terserus
Q110231041	mul	Anna Terserus
Q110231041	nl	Anna Terserus
Q110231041	sl	Anna Terserus
Q110231041	sv	Anna Terserus
Q110302791	bn	নামহীন
Q110302791	en	Anna Fartegnsdatter Seim
Q110302791	mul	Anna Fartegnsdatter Seim
Q110302791	nl	NN
Q110313452	en	Carl Hisingh
Q110313452	en-us	Carl Hisingh
Q110313452	es	Carl Hisingh
Q110313452	fr	Carl Hisingh
