geni_id,structural_qid,already_linked_to,position,geni_name,structural_label,anchor_geni_id,anchor_qid,anchor_name
4102701,Q320977,Q442876,father,Canute I Erikska King of Sweden,Canute I of Sweden,4102767,Q365103,Erik Knutsson
4181250114820035915,Q41864,Q310152,father,Eric Jedvardsson of Sweden IX,Sigurd Snake-in-the-Eye,4102701,Q442876,Canute I Erikska King of Sweden
4363165195640021509,Q55236875,Q2041044,father,"Patrikas, prince of Starodub & Zwenihorod",,6000000011242594971,Q4060947,Alexander Patrikeyevich of Koretsk and Starodubsk
4815871921640078239,Q85853286,Q85854401,father,Pons de Traynel-en-Champagne I,Garnier Ier de Traînel,6000000015364189001,Q85854399,Pons 'Le Jeune' de Traynel
5235605714220070458,Q2616032,Q2241510,mother,Rikissa of Sweden of Poland,Christina Ingesdotter of Sweden,6000000006727876082,Q15615597,Svyatopolk Duke Of Novgorod Volynia Duke Of Polotsk & Minsk
5266305885070130046,Q5860561,Q5860568,father,Fernando Alvarez de Toledo Zuñiga de Oropesa I Conde de Oropesa,Fernando Álvarez de Toledo y Herrera,6000000031409292021,Q134986484,Luis de Toledo y Pacheco
5302730665420049530,Q134985942,Q134986323,father,Juan Diego Pizarro de Aguilar,Hernando Alonso Pizarro de Hinojosa Regidor de Trujillo,6000000009533008858,Q134986473,Diego Pizarro Hinojosa
5302730678270049536,Q133284526,Q134986472,mother,Aldonza Hinojosa,Isabel Rodríguez de Aguilar,6000000009533008858,Q134986473,Diego Pizarro Hinojosa
6000000000124890646,Q259267,Q235657,mother,Maria de Portugal rainha consorte de Castela e Leão,Constanza Manuel,6000000000736830679,Q137796884,Fernando de Borgoña infante de Castilla y León
6000000000138405383,Q5850040,Q4129783,mother,Æthelflæd Queen of England,Æthelflæd,6000000003219766282,Q192920,Edward ~aka~ Eadweard 'The Martyr' King of the English
6000000000307250674,Q75273387,Q588852,mother,Mary Tudor Queen consort of France,Lady Elizabeth Talbot,6000000003408989816,Q75273509,Eleanor Brandon Countess of Cumberland
6000000000315893217,Q1174079,Q1239423,father,Vettius Justus I,Vettius Justus,6000000005747740478,Q29603990,Vettius Justus II
6000000000321812032,Q134985816,Q134986449,father,Cristóbal de Lucero,Francisco de Xocoyotzin Cacique de Xicalango,6000000000321789062,Q134986450,Isabel Lucero Xocoyotzin
6000000000350860821,Q2978315,Q517,father,Napoléon Bonaparte emperor of the French,Claude de Beauharnais,6000000117134008095,Q62024,Stephanie de Beauharnais
