geni_id	person	token	father_geni	father_qid	father_p735	p144_targets	status	person_qid
1354011	Katarina Magnusdotter (Aspenäs)	magnusdotter	6000000004992848601	Q5916057	Q18109457	Q18109457	RESOLVES	
1415236	Adolf Ludvig Gustafsson Hamilton	gustafsson	1415824	Q665649	Q15646212 Q18057751	Q15646212 Q15646212	RESOLVES	Q2824703
1468928	Carl* Edvard Hansson Wachtmeister	hansson	1467360	Q6228020	Q632842	Q632842 Q4413537	RESOLVES	
1618652	Helena Jakobsdotter Chydenius	jakobsdotter	6000000000583643059	Q141224209	Q25999604	Q16747395 Q25999604 Q15921890	RESOLVES	
1803816	Drude Cathrine Haar Christiansdatter Magelssen	christiansdatter	5014312169540074097	Q125743679	Q21034625	Q12794332 Q21034625 Q11279730	RESOLVES	
2399215	Mogens Mogensen Gyldenstierne	mogensen	6000000000781697178	Q4580418	Q937447	Q937447	RESOLVES	Q110303305
2594944	Anna Johansdotter Cajana	johansdotter	5438265457230125201	Q11866571	Q10989273	Q10989273 Q2117521 Q11122389 Q10989273 Q2117521 Q4120836	RESOLVES	
2598534	Hans Magnusson Fleming	magnusson	5321213157610072043	Q101247592		Q18109457	father has no P735 given name object	
285870909560004081	Carl Hildebrandsson Uggla	hildebrandsson	285873262450008531	Q110313601	Q1618300	Q1618300	RESOLVES	
285873262450008531	Hildebrand Claesson Uggla, till Knistad (stamfar Värmländska ättegrenen)	claesson	6000000004455240002	Q110313602		Q19818179 Q16274791 Q19818183 Q18177178 Q15635230 Q31522621	father has no P735 given name object	Q110313601
286678166540006125	Benjamin Fredriksson Bagge	fredriksson	6000000006595591723	Q5563964	Q4926491	Q4926491 Q33120605 Q14038597 Q16275883 Q21146824	RESOLVES	
287607698350008017	Anna Katarina Fredriksdotter Bagge	fredriksdotter	6000000006595591723	Q5563964	Q4926491	Q4926491 Q33120605 Q14038597	RESOLVES	
289231776480002981	Karen Knudsdatter Bildt	knudsdatter	6000000005745346330	Q103780426		Q18565341 Q943881 Q28798237	father has no P735 given name object	
2915061	Rollo «Gange-Rolv» Ragnvaldsson	ragnvaldsson	6000000001045491041	Q1367604	Q113009353	Q3417518	P735 not among the patronymic's P144 values	Q273773
294552057720007024	Lennart Hildebrandsson Uggla	hildebrandsson	285873262450008531	Q110313601	Q1618300	Q1618300	RESOLVES	
304318283800003857	Anne Pedersdatter Oxe	pedersdatter	6000000003377980847	Q11995026	Q10622039	Q10622039 Q15897204 Q10622039 Q21148379	RESOLVES	
304668966290007122	Ingeborg Mathiasdatter Foss	mathiasdatter	6000000000594734180	Q5858973	Q4927273	Q1818817 Q17483952 Q4927273 Q16279186 Q1208363	RESOLVES	
3052110	Gillius Gilliusson De Besche	gilliusson	2470149	Q5618220	Q10504943	Q34364478	P735 not among the patronymic's P144 values	
305283560570005599	Jacob Jonsen Bille til Bjergbygård	jonsen	6000000008549672602	Q96240768	Q13501137	Q11978684 Q14436586 Q2246251 Q21142553	P735 not among the patronymic's P144 values	
305332989800002467	Cecilie Ebbesdatter Hvide	ebbesdatter	6000000003166417414	Q16063657	Q10478964		patronymic item has no P144 derivation	Q116150300
305483671290006498	Brita Nilsdotter Posse	nilsdotter	6000000002360157423	Q110548953	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	
305484483240002616	Mauritz Nilsson Posse	nilsson	6000000002360157423	Q110548953	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	
305484713400003871	Anna Nilsdotter Posse	nilsdotter	6000000002360157423	Q110548953	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	
305485534310002601	Maria Nilsdotter Posse	nilsdotter	6000000002360157423	Q110548953	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	
305835495250007137	Margareta Abrahamsdotter Brahe	abrahamsdotter	6000000001340455349	Q5584469	Q17997608	Q17997608	RESOLVES	Q526343
308295775780004350	Kanilken Henriksdatter Sampson	henriksdatter	3940424	Q112540616		Q594279 Q2018484 Q117829414	father has no P735 given name object	
311834992670008258	Anders Eriksson Brandberg	eriksson	6000000002158012534	Q130312607		Q750186 Q12788459 Q953931 Q15277196 Q15277207 Q19798835 Q19828986	father has no P735 given name object	
3119955	Narfi Vigfússon	vigfússon	3119993	Q135529188		Q16429993 Q16429993	father has no P735 given name object	Q135529178
3119993	Vigfús Flosason	flosason	3120040	Q135529195		Q16424079	father has no P735 given name object	Q135529188
3120040	Flosi Jónsson	jónsson	3120072	Q135529196		Q1715043	father has no P735 given name object	Q135529195
312651639360007088	Zachris Zachrisson Troilius	zachrisson	5085575389260054081	Q116979903	Q20174193	Q61957868 Q20174193 Q41796451 Q61957868 Q108491635 Q19868629	RESOLVES	
3128066	Egill Hrifluson	hrifluson	3128084	Q133796446			father has no P735 given name object	Q133796445
3128084	Hrifla Þorsteinsson	þorsteinsson	6000000001169157255	Q16652447		Q16282077 Q16282077	father has no P735 given name object	Q133796446
3137588	Þórarinn Fálkason	fálkason	3137599	Q133796453			father has no P735 given name object	Q133796451
3137599	Fálki Þórarinsson	þórarinsson	3137656	Q16652509	Q16421223	Q16421223	RESOLVES	Q133796453
3137656	Þórarinn Þórisson	þórisson	3137665	Q15901190		Q64404734	father has no P735 given name object	Q16652509
3153718	Klas Pedersson Fleming	pedersson	3153782	Q101247694		Q10622039 Q15897708 Q15897204	father has no P735 given name object	Q101247693
319525151940001880	Johannes Olufsen Bagger	olufsen	285640246410003190	Q5564029	Q18089653 Q2097883	Q2021323 Q18089653 Q3881452	RESOLVES	
319526734990001934	Hans Olufsen Bagger	olufsen	285640246410003190	Q5564029	Q18089653 Q2097883	Q2021323 Q18089653 Q3881452	RESOLVES	Q1783353
321248926590006355	Lars Siggesson till Simonstorp	siggesson	6000000003253292144	Q101247179		Q10667540	father has no P735 given name object	Q16650335
321249986350006345	Ingeborg Bengtsdotter (bjälke)	bengtsdotter	6000000003791053983	Q101247185		Q817199	father has no P735 given name object	
322081175290004003	Isak Jönsson Svinhufvud af Qvalstad till Kvalsta	jönsson	6000000008021511898	Q136383907		Q47526977 Q2246251 Q11978684 Q12319119 Q123820137	father has no P735 given name object	Q106041080
322109408570002355	Abraham Eriksson Leijonhufvud till Ekeberg	eriksson	3137562	Q5715509	Q750186	Q750186 Q12788459 Q953931 Q15277196 Q15277207 Q19798835 Q19828986	RESOLVES	Q5945044
322112186500007391	Margareta Svantesdotter Sture	svantesdotter	6000000006587230361	Q3742134	Q2370551	Q2370551	RESOLVES	
322124492150002341	Elisabet Gabrielsdotter Oxenstierna	gabrielsdotter	329660282540006121	Q6031752	Q4925914	Q4925914	RESOLVES	
3242794	Fredrik Christian Petersen Dreyer	petersen	6000000008217231969	Q17130826	Q10622039	Q10622039 Q15897204 Q21148379 Q10625184 Q65824536	RESOLVES	
324523266570007919	Gabriel Gustafsson Oxenstierna af Eka och Lindö till Nynäs	gustafsson	4591334	Q2253913	Q15646212	Q15646212 Q15646212	RESOLVES	Q5515663
324597064610007976	Gustaf Larsson Cruus af Gudhem	larsson	6000000013254533368	Q5924868	Q15635262	Q15635262 Q1303231 Q15635262	RESOLVES	
3249050	Ove Willum Gerlofsen Nettelhorst	gerlofsen	6000000001669596740	Q116068079	Q20981195	Q20981195	RESOLVES	
3250062	Snorri Sturluson	sturluson	6000000000266081784	Q9080161	Q3482028	Q3482028	RESOLVES	Q102323
