qid	geni_id
Q714044	6000000003022010249
Q792154	6000000001827582117
Q50368774	5328189268700111491
Q141493463	4976573922110117540
Q141493478	6000000000757999620
Q141450322	6000000002621242041
Q623497	6000000001459346066
Q141499460	6000000227819884848
Q141499439	6000000032057186093
Q141499443	6000000227816621867
Q141499453	6000000227816363824
Q9353042	6000000006906428932
Q695735	6000000001199993264
Q3736064	363554498970006647
Q141498380	6000000196282195908
Q141498390	6000000004839304936
Q141498426	6000000000424678903
Q141498435	6000000022587109295
Q141498456	6000000001169340539
Q141498621	4729782856380028421
Q141498652	6000000001412873288
Q141498725	6000000000196425114
Q3754184	6000000004313804007
Q250731	6000000001821187530
Q141502960	375732891600013185
Q105819709	5576581004760066388
Q141539936	
