geni_id,our_name,qid,parent_geni,parent_name,our_siblings_recorded,their_siblings_recorded,shape,sex,dates,round,our_exports,sex_refused_it
6000000005014851083,Sophie Jelling,Q470199,6000000003805720033,Berenguela de Portugal rainha-consorte da Dinamarca,4,4,BOTH sides record more,agree,within 10y,1,,
6000000005068879377,Laurens Ulfsson (Aspenäsätten),Q5936151,6000000006271970257,Margareta Pedersdotter Bonde,1,1,both sides record ONE child,agree,,1,,
6000000005381776537,Erik Nilsson,Q132025283,6000000033699394911,Katarina Petersdotter,2,2,BOTH sides record more,agree,,1,,
6000000005425766070,Eduard van Gelre Graaf van Zutphen,Q1287846,6000000001057847146,Eleanor of Woodstock,2,2,BOTH sides record more,agree,within 10y,1,,
6000000005441261979,Aletta Petronelle Elisabeth Boyesen,Q81623878,6000000019691119179,Ulrik Frederik Bøyesen,1,1,both sides record ONE child,agree,within 10y,1,,
6000000005621044694,Juliane Frederikke Christiane Reventlow,Q22249783,6000000005621130238,Christian Ditlev af Reventlow,1,1,both sides record ONE child,agree,within 10y,1,,
6000000005747654539,Sergia Plautilla,Q112865351,6000000003645864863,Gaius Octavius Laenas,2,3,BOTH sides record more,agree,,1,,
6000000005806138008,Sofia Nielsdatter Ulfstand,Q110154721,6000000003310051427,Niels Truidsen Ulfstand,1,1,both sides record ONE child,agree,,1,,
6000000005911895391,Fulk de Anjou,Q526100,4956689915380130680,Adelais d'Amboise,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006100879740,"Walter Tailboys MP, de jure Baron Kyme",Q53648978,6000000008270513750,Eleanor de Boroughdon Baroness Kyme,2,2,BOTH sides record more,agree,within 10y,1,,
6000000006101209841,Henry Grey,Q7611333,6000000001299342816,John Grey,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006101240955,Salomé of Judaea,Q228896,6000000015496074997,"Herod Boethus II, of Judaea",1,1,both sides record ONE child,agree,within 10y,1,,
6000000006101264760,William Plantagenet,Q75384441,6000000000424760602,Henry,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006101317598,Annia Aurelia Faustina,Q241466,302211628310006481,Tiberius Claudius Severus Proculus,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006101344830,Dermide Louis Napoléon Leclerc,Q16857818,6000000006101322544,Charles Victor Emmanuel Leclerc,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006101386553,Laodice of Pontus,Q448188,6000000031641646075,"Laodice Princess of Syria, Queen of Pontus",3,3,BOTH sides record more,agree,,1,,
6000000006127048888,Jakob August Teodor Tersmeden,Q110681537,6000000014046188610,Jakob Johan Tersmeden,2,2,BOTH sides record more,agree,within 10y,1,,
6000000006127159768,Anna Eriksdotter (Leijonhufvud),Q110548138,6000000001448151252,Ebba Eriksdotter (Vasa),6,6,BOTH sides record more,agree,,1,,
6000000006127272177,Johan Carlsson de Mornay till Helgerum,Q5994078,6000000006127496759,Anna Turesdotter Trolle,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006127355558,Beata Märta Larsdotter Sparre,Q117277811,6000000006127355545,Lars Svantesson Sparre till Kronoberg,1,1,both sides record ONE child,agree,within 10y,1,,
6000000006127496886,Erik Julius Cederhielm,Q22661641,6000000006127284484,Erik Germund Cederhielm,2,2,BOTH sides record more,agree,within 10y,1,,
6000000006130127140,Gilbert de Brionne comte d'Eu,Q1378618,6000000002043260623,Geoffrey FitzRichard Count d'Eu et Brionne,1,1,both sides record ONE child,agree,21y apart,1,,
6000000006206633097,Theodosius,Q30939087,6000000006267433069,Aelia Galla Placidia Augusta,3,3,BOTH sides record more,agree,within 10y,1,,
6000000006277481172,Anna Victoire de Habsburg-Lothringen-Gueroust,Q75523628,6000000002188434233,Ludwig Joseph Anton Johann von Habsburg-Lothringen Erzherzog,1,1,both sides record ONE child,agree,,1,,
