geni_id,our_name,qid,parent_geni,parent_name,our_siblings_recorded,their_siblings_recorded,shape,sex,dates,round,our_exports,sex_refused_it
6000000001473403387,Cocceia,Q12283343,6000000001511313911,Marcus Cocceius Nerva III,2,2,BOTH sides record more,agree,,1,,
6000000001500944231,Scholastique de Champagne,Q7185768,6000000000424802891,"Marie de France, comtesse",4,4,BOTH sides record more,agree,within 10y,1,,
6000000001504907714,Christian Henrik Otto Poulsen,Q21518016,6000000001504907633,Valdemar Poulsen,1,1,both sides record ONE child,agree,within 10y,1,,
6000000001504971300,Mathilde de Savoie Kurfürstin zu der Pfalz,Q2153473,6000000007105284488,Catherine de Genève,2,2,BOTH sides record more,agree,13y apart,1,,
6000000001516968497,Margaret de Beaumont 7th Countess of Warwick,Q3846903,6000000003024829052,Henry of Warwick de Beaumont Comte de Warwick,2,2,BOTH sides record more,agree,,1,,
6000000001544613200,Adam Fitzroy,Q4679050,4194863017010128979,Edward of Caernarfon II,5,5,BOTH sides record more,agree,,1,,
6000000001563284308,Adrienne von Schwaben,Q60650591,6000000002240801354,Judith de Welfos,3,2,BOTH sides record more,agree,within 10y,1,,
6000000001732862223,Francis Jean Pierre Seyrig de Saussure,Q27951058,6000000001732799412,Hermine de Saussure,2,2,BOTH sides record more,agree,within 10y,1,,
6000000001744991593,Adelisa de Huntingdon,Q61911687,6000000005154005003,Waltheof II Earl of Huntingdon Northumberland Earl of Northumbria,2,2,BOTH sides record more,agree,,1,,
6000000001809964559,,Q11162886,6000000001809638693,,1,1,both sides record ONE child,agree,,1,,
6000000001824792339,"Erik III ""Lam"" Estridsen Konge af Danmark",Q365064,299241483040004362,Håkon,1,1,both sides record ONE child,agree,,1,,
6000000001848683215,Henrik Gerhardsson von Snakenborg,Q101247136,6000000003713201964,Gerhard Gerhardsson Snakenborg,2,2,BOTH sides record more,agree,,1,,
6000000001878188825,Gustav Alfred af Hällström,Q103505754,6000000001877601076,Gustaf Gabriel Hällström,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002002655580,Mathilde Johanna Sabine von Hüser,Q55896153,6000000002002459684,Charlotte Wilhelmine Louise Sack,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002043204130,Jutta von Luxemburg Gräfin von Arlon und Limburg,Q76207648,6000000002187723758,Friedrich von Luxemburg Herzog von Niederlothringen,1,1,both sides record ONE child,agree,15y apart,1,,
6000000002130828063,Hannah Willets,Q125984660,6000000001805483601,Richard Willets,1,1,both sides record ONE child,agree,,1,,
6000000002142178772,Ceolweald,Q5063242,6000000006323365059,Cutha Cathwulf,1,1,both sides record ONE child,agree,,1,,
6000000002172889756,John Bigod of Settrington,Q76308485,6000000003822621285,Hugh II Bigod Chief Justice of England,3,3,BOTH sides record more,agree,within 10y,1,,
6000000002174789551,Henry de Beauchamp,Q1521796,6000000005039198292,Isabel le Despenser Countess of Worcester,3,3,BOTH sides record more,agree,within 10y,1,,
6000000002176653046,"Théodéric IV, King of the Franks",Q108331,6000000003343258683,Dagobert III des Francs roi des Francs,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002187567896,"Friedrich 11, II. von Pfirt Graf von Pfirt, Comte de Ferrette",Q61140365,6000000002187888319,"Ludwig Louis 11, de Ferrette Graf von Pfirt, Comte de Ferrette",1,1,both sides record ONE child,agree,,1,,
6000000002187599790,Marcus Antonius Orator,Q176122,6000000006244006504,Gaius Antonius,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002187718440,Herod Phillip Antipas Tetrarch of Galilee and Perea,Q192950,6000000003645877085,"Malthace of Samaria, King Herod 6th wife",3,3,BOTH sides record more,agree,within 10y,1,,
6000000002187887026,Emich von Württemberg,Q1335687,6000000003827727709,Konrad II von Württemberg,2,2,BOTH sides record more,agree,,1,,
6000000002187968855,Octavia Major,Q517380,6000000001336571372,Gaius Octavius IV,3,3,BOTH sides record more,agree,,1,,
6000000002188101468,,Q45419209,6000000075337931944,,1,1,both sides record ONE child,agree,,1,,
6000000002188144705,"Liu Taigong, Grand Emperor of Han",Q711815,6000000074746875003,,1,1,both sides record ONE child,agree,,1,,
6000000002188162978,Otto II von Oldenburg Graf,Q1312259,6000000003827484436,Christian II von Oldenburg Graf zu Oldenburg-Oldenburg,2,2,BOTH sides record more,agree,,1,,
6000000002188182390,Froila da Cantábria duque de Cantabria,Q5869864,6000000003742102823,Pedro de Cantabria,2,2,BOTH sides record more,agree,within 10y,1,,
6000000002188289077,Julia Caesaris,Q235087,6000000001336610897,Gaius Julius Caesar,2,3,BOTH sides record more,agree,within 10y,1,,
6000000002188307768,Elizabeth of Hungary ÁRPÁD(házi),Q456526,6000000001500984923,"Andrew III ""the Venetian"" Árpád king of Hungary & Croatia",1,1,both sides record ONE child,agree,within 10y,1,,
6000000002188434154,Luigi Amedeo Giuseppe Maria Ferdinando Francesco Savoy-Aosta Duke of the Abruzzi,Q320618,6000000002188434142,"Marie Vittoria Carlotta Enrichette Cisterna Duchess of Aosta, Queen consort of Spain",3,3,BOTH sides record more,agree,within 10y,1,,
6000000002188444342,Maria Amalia Josepha Johanna Antonia Habsburg-Lothringen duchessa di Parma,Q236907,5318257919690026486,Francis Stephen de Lorraine I,16,16,BOTH sides record more,agree,within 10y,1,,
6000000002188578678,Pierre Joigny Count,Q2469845,6000000000134665152,Alice de Courtenay comtesse d'Angoulême,2,2,BOTH sides record more,agree,,1,,
6000000002188625177,Mathilde de Dammartin II,Q257001,6000000000112122272,"Renaud de Dammartin comte d'Aumale, de Dammartin, de Boulogne et de Mortagne",1,1,both sides record ONE child,agree,within 10y,1,,
6000000002204465217,Dietrich II von Wettin Markgraf von der Ostmark,Q632303,6000000003318546921,Thietburga von Haldensleben,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002240799191,Jadwiga (Hedwig),Q53449,6000000002240799135,Ludovic I (Louis I) 'The Great' Anžuvinski,3,3,BOTH sides record more,agree,within 10y,1,,
