qid	label	faults	statements
Q101247444	Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö	-	14
Q1036858	Carl August Ehrensvärd (1745–1800)	-	128
Q10411463	Andreas Olai	-	15
Q10418965	Arvid Sigismund Horn af Åminne	-	16
Q10480021	Edvard Fredrik von Saltza	-	47
Q10511031	Gustaf von Essen (1803–1874)	-	40
Q10511224	Guttorm jarl	-	16
Q10608167	Olaus Petri Niurenius	-	30
Q108615842	Mårten Bunge (1630–1694)	-	23
Q109266155	Magdalena Bureus	-	11
Q109660986	Eva Walaas	-	15
Q110302791	Anna Fartegnsdatter Seim	-	10
Q116150299	Jon Reimatsen	-	10
Q116150300	Cecilie Ebbesdatter	-	13
Q1168365	Samuel Troilius	-	55
Q11858191	Eric af Palén	-	36
Q11959067	Arne Olaus Fjørtoft Garborg	-	22
Q12598947	Buyeo Taebi	-	10
Q1340357	Jacob Benzelius	-	70
Q1340404	Erik Benzelius den yngre	-	107
Q1345250	Petrus Kenicius	-	47
Q135513404	Roland Martin (jurist)	-	13
Q138474188	Hans Syvertsen Nyvold	-	15
Q1393227	Eva Ekeblad	-	57
Q141152512	Eivind Aadnesson Garborg	-	22
Q141152523	Ane Oline Jonsdatter Raugstad	-	22
Q141152600	Stena Eivindsdatter Garborg	-	20
Q141152614	Jon Eivindson Garborg	-	27
Q141162040	Samuel Eivindsen Garborg	-	18
Q141162041	Even Eivindson Garborg	-	17
Q141162043	Inger Marie Mary Eivindsdatter Garborg	-	27
Q141162044	Abel Eivindsen Garborg	-	18
Q141162045	Ole Eivindsen Garborg	-	18
Q141162046	Ane Oline Lena Eivindsdatter Garborg	-	29
Q141168784	Aagot Garborg	-	11
Q141168785	Aagot Garborg	-	14
Q141168786	Alice Ronneberg	-	11
Q141168787	Alma Matilda Bring Iverson	-	10
Q141168788	Arne Garborg Tunheim	-	9
Q141168789	Arnold Ronneberg	-	11
Q141168792	Astrid Garborg	-	10
Q141168794	Betsy Tunheim	-	21
Q141168797	Christian Frederik Bergersen	-	19
Q141168801	Cora Estelle Pierson	-	12
Q141168803	Dagny Garborg	-	11
Q141168805	Edward Ronneberg	-	9
Q141168809	Edward Tunheim	-	13
Q141168811	Eivind Garborg	-	9
Q141168816	Elisabet Ådnesdatter Bø	-	19
Q141168820	Eliza Ronneberg	-	9
Q141168824	Ernest Anton Ronneberg	-	10
Q141168827	Hans Eivind Garborg	-	10
Q141168830	Ingeborg Garborg	-	12
Q141168833	Ingeborg Gurie Ådnesdatter Garborg	-	10
Q141168837	Ingebret Garborg	-	12
Q141168954	Jon Garborg	-	9
Q141168955	Jon Samuelsen Raustad	-	12
Q141168957	Jonas Jonson Heigre	-	16
Q141169041	Olaf Tunheim	-	9
Q141169046	Samuel Jonson	-	9
Q141169062	Thoralf Tunheim	-	9
Q141169072	Ådne Olsen Garborg	-	12
Q141178196	Elisabet Kirstine Eriksdatter Stangeland	-	16
Q141178197	Elisabeth Nyvold	-	12
Q141178198	Enevald Jonasson Heigre	-	15
Q141178199	Gunder Bergersen	-	15
Q141178200	Inger Kristoffersdatter	-	12
Q141178201	Marie Petrine Simensdatter Bergersen	-	16
Q141178202	Stine Persdatter Øksnevad	-	13
Q141178380	Samuel Jonson Raustad	-	10
Q141178381	Marta Jonsdatter Li	-	10
Q141180395	Maren Gulbrandsdatter Ommestad	-	14
Q141180396	Tollef Tollefson Tunheim	-	22
Q141180406	Ingeborg Gyntesdotter	-	8
Q141180408	Jon Larsson Mæle	-	12
Q141180409	Magdalena Andersdotter	-	17
Q141180410	Margareta Mårtensdotter Bång	-	12
Q141180412	Marta Rasmusdatter Li	-	12
Q141180413	Thomas Matthiæ	-	11
Q141189049	Alfred Tunheim	-	10
Q141189052	Anna Carine Gundersen	-	6
Q141189054	Anna Maria Helgesdatter Bø	-	7
Q141189055	Astri Torkelsdatter Gilja	-	6
Q141189056	Bella Jeanette Garfve	-	9
Q141189058	Brita Thomasdotter	-	7
Q141189061	Carl Bergersen	-	8
Q141189062	Cecilie Jonsdatter	-	9
Q141189063	Elsie Pauline Berggren	-	9
Q141189064	Georg August Bergersen	-	10
Q141189065	Gustav Adolf Gundersen	-	10
Q141189066	Helge Rasmusson Bø	-	12
Q141189067	Helmik Kristiansen Sør-Reime	-	8
Q141189068	Hilde Constance Marie Bergersen	-	10
Q141189069	Ingeborg Ådnesdatter Grøtheim	-	12
Q141189070	John Jonassen Hegre	-	13
Q141189071	Joren Jonsdatter Espedal	-	9
Q141189074	Joseph Tunheim	-	11
Q141189076	Kristian Larsen Sør-Reime	-	10
Q141189077	Lars Bernhard Kristiansen Sør-Reime	-	9
Q141189078	Lars Kristiansen Sør-Reime	-	8
Q141189079	Lars Tormodsen Mele	-	13
Q141189080	Lave	-	8
Q141189081	Lotte Birgithe Gustava Jonasdatter Lea	-	11
Q141189083	Martha Elida Frenning	-	10
Q141189084	Martin Tollefson Tunheim	-	17
Q141189086	Mats Törnesson (hjorthorn)	-	6
Q141189088	Ola Knutsen Grøtheim	-	18
Q141189090	Ole Christopher Christiansen	-	9
Q141189091	Ole Nicolai Bergersen	-	8
Q141189093	Oline Mathea Olsen	-	10
Q141189094	Oskar Haug	-	8
Q141189095	Peter Tunheim	-	8
Q141189097	Ragnhild Toresdatter Håland i Gjesdal	-	10
Q141189098	Rakel Jonasdatter Heigre	-	12
Q141189099	Rasmus Helgesen Bø	-	10
Q141189100	Rose Lindstrom	-	8
Q141189101	Samuel Tunheim	-	10
Q141189102	Sigrid Manilva Ekman	-	12
Q141189104	Siri Kristine Ivarsdatter Garborg	-	20
Q141189105	Sophia Birgitta Gundersen	-	7
Q141189107	Theodore Roosevelt Tunheim	-	10
Q141189108	Tillie Betsy Amundson	-	9
Q141189109	Tollef Bud Tunheim	-	11
Q141189110	Tøre Jonsen	-	8
Q141189111	Tørres Jonasson Hegre	-	7
Q141189112	Wilhelmine Sophie Christiansen	-	12
Q141189113	Ådne Helgesen Bø	-	7
Q141198370	father of Inger Kristoffersdatter	-	8
Q141198371	Anna Belestdatter Lauvsnes	-	7
Q141198375	Astri Torchelsdatter Øvre Time	-	11
Q141198381	Bengt Hafridsson Lejon	-	10
Q141198382	Berita Larsdatter Rossavik	-	11
Q141198384	Carl Johan Edlund	-	7
Q141198387	Donald Herbert Pierson	-	9
Q141198390	Elisabet Marie Osmundsdatter Sør-Reime	-	8
Q141198393	Erik Erikson Stangeland	-	14
Q141198396	Erling Juel Wendt	-	10
Q141198399	Eugene LeRoy Tunheim	-	7
Q141198408	Herbert August Pierson	-	9
Q141198414	Ingeborg Olsdatter Sandsmark	-	11
