geni_id,token,sex,qid,verdict
6000000003957598556,ABA,M,Q102227914,no recorded sex; generic given-name item
6000000010364148243,ADRIAN,M,Q372250,resolved by sex
6000000029855150499,ANDRE,M,Q16274896,resolved by sex
6000000164954857915,ANDREA,F,Q18177321,resolved by sex
6000000175948379844,ANNE,F,Q564684,resolved by sex
6000000008852784108,Aba,M,Q102227914,no recorded sex; generic given-name item
6000000014036421235,Aba,F,Q479129,resolved by sex
6000000044287729839,Aba,M,Q102227914,no recorded sex; generic given-name item
6000000077812308872,Aba,M,Q102227914,no recorded sex; generic given-name item
6000000090381186821,Aba,M,Q102227914,no recorded sex; generic given-name item
6000000138653556021,Aba,F,Q479129,resolved by sex
6000000215562129821,Aba,M,Q102227914,no recorded sex; generic given-name item
6000000222850413871,Aba,F,Q479129,resolved by sex
383363629910003171,Abba,M,Q4663625,resolved by sex
6000000000028908393,Abba,M,Q4663625,resolved by sex
6000000000348850434,Abba,M,Q4663625,resolved by sex
6000000000348850449,Abba,F,Q65089281,resolved by sex (unisex; no item for that sex)
6000000000348876558,Abba,F,Q65089281,resolved by sex (unisex; no item for that sex)
6000000000348889168,Abba,M,Q4663625,resolved by sex
6000000002187920079,Abba,M,Q4663625,resolved by sex
6000000002673981936,Abba,M,Q4663625,resolved by sex
6000000003327792288,Abba,M,Q4663625,resolved by sex
6000000003495148202,Abba,M,Q4663625,resolved by sex
6000000003495148225,Abba,M,Q4663625,resolved by sex
6000000010258093420,Abba,M,Q4663625,resolved by sex
6000000010381493939,Abba,M,Q4663625,resolved by sex
6000000016881769431,Abba,M,Q4663625,resolved by sex
6000000017178028146,Abba,M,Q4663625,resolved by sex
6000000018728531001,Abba,M,Q4663625,resolved by sex
6000000018728745018,Abba,M,Q4663625,resolved by sex
6000000018740185546,Abba,M,Q4663625,resolved by sex
6000000018790747203,Abba,M,Q4663625,resolved by sex
6000000019072029582,Abba,M,Q4663625,resolved by sex
6000000019072042752,Abba,M,Q4663625,resolved by sex
6000000019129303521,Abba,M,Q4663625,resolved by sex
6000000020150242929,Abba,M,Q4663625,resolved by sex
6000000029578806959,Abba,M,Q4663625,resolved by sex
6000000037838622089,Abba,M,Q4663625,resolved by sex
6000000039184901764,Abba,M,Q4663625,resolved by sex
6000000052078102998,Abba,M,Q4663625,resolved by sex
6000000052078511010,Abba,M,Q4663625,resolved by sex
6000000052079627078,Abba,M,Q4663625,resolved by sex
6000000052079764865,Abba,M,Q4663625,resolved by sex
6000000072073286961,Abba,M,Q4663625,resolved by sex
6000000077113950223,Abba,M,Q4663625,resolved by sex
6000000201239451839,Abba,F,Q65089281,resolved by sex (unisex; no item for that sex)
6000000206224874880,Abba,M,Q4663625,resolved by sex
6000000206225117837,Abba,M,Q4663625,resolved by sex
6000000206225152821,Abba,M,Q4663625,resolved by sex
6000000001323263397,Adda,M,Q20576000,resolved by sex
6000000004977778649,Adda,M,Q20576000,resolved by sex
6000000007747896401,Adda,M,Q20576000,resolved by sex
6000000025299030308,Adda,M,Q20576000,resolved by sex
6000000025299737861,Adda,M,Q20576000,resolved by sex
6000000039356169014,Adda,M,Q20576000,resolved by sex
6000000041608230186,Adda,M,Q20576000,resolved by sex
6000000041739096096,Adda,M,Q20576000,resolved by sex
6000000053400239477,Adda,M,Q20576000,resolved by sex
6000000053401249992,Adda,M,Q20576000,resolved by sex
6000000056032409887,Adda,M,Q20576000,resolved by sex
6000000056479086174,Adda,M,Q20576000,resolved by sex
6000000120890187947,Adda,M,Q20576000,resolved by sex
6000000122770749942,Adda,M,Q20576000,resolved by sex
6000000122770913887,Adda,M,Q20576000,resolved by sex
6000000169609038117,Adda,F,Q107317460,resolved by sex
6000000170095829826,Adda,M,Q20576000,resolved by sex
6000000175612585827,Adda,M,Q20576000,resolved by sex
6000000175652697885,Adda,M,Q20576000,resolved by sex
6000000198785365863,Adda,M,Q20576000,resolved by sex
284100417120005027,Adrian,M,Q372250,resolved by sex
4495861554670061535,Adrian,M,Q372250,resolved by sex
4840241237810085207,Adrian,M,Q372250,resolved by sex
4840241237810085207,Adrian,M,Q372250,resolved by sex
4840241237810085207,Adrian,M,Q372250,resolved by sex
6000000001994562374,Adrian,M,Q372250,resolved by sex
6000000001994562374,Adrian,M,Q372250,resolved by sex
6000000003584830627,Adrian,M,Q372250,resolved by sex
6000000005746825763,Adrian,M,Q372250,resolved by sex
6000000006101437199,Adrian,M,Q372250,resolved by sex
6000000006352609017,Adrian,M,Q372250,resolved by sex
6000000006792984307,Adrian,M,Q372250,resolved by sex
6000000007402541425,Adrian,M,Q372250,resolved by sex
6000000007402598250,Adrian,M,Q372250,resolved by sex
6000000007417143446,Adrian,M,Q372250,resolved by sex
6000000007417143446,Adrian,M,Q372250,resolved by sex
6000000007789578913,Adrian,M,Q372250,resolved by sex
6000000008078727101,Adrian,M,Q372250,resolved by sex
6000000008685805558,Adrian,M,Q372250,resolved by sex
6000000009316304473,Adrian,M,Q372250,resolved by sex
6000000012361233780,Adrian,M,Q372250,resolved by sex
6000000012361233780,Adrian,M,Q372250,resolved by sex
6000000012483324875,Adrian,F,Q372250,resolved by sex
6000000017029779104,Adrian,M,Q372250,resolved by sex
6000000018271302536,Adrian,M,Q372250,resolved by sex
6000000019452239151,Adrian,M,Q372250,resolved by sex
6000000019749804325,Adrian,M,Q372250,resolved by sex
6000000019749804325,Adrian,M,Q372250,resolved by sex
6000000020037783347,Adrian,M,Q372250,resolved by sex
6000000022245791153,Adrian,M,Q372250,resolved by sex
6000000025758759966,Adrian,M,Q372250,resolved by sex
6000000025758759966,Adrian,M,Q372250,resolved by sex
6000000030959130435,Adrian,M,Q372250,resolved by sex
6000000031771185892,Adrian,M,Q372250,resolved by sex
6000000032952613976,Adrian,M,Q372250,resolved by sex
6000000032953209381,Adrian,M,Q372250,resolved by sex
6000000039358751894,Adrian,M,Q372250,resolved by sex
6000000059570331847,Adrian,M,Q372250,resolved by sex
6000000070335188863,Adrian,M,Q372250,resolved by sex
6000000078811318472,Adrian,M,Q372250,resolved by sex
6000000083142302004,Adrian,M,Q372250,resolved by sex
6000000114998618822,Adrian,M,Q372250,resolved by sex
6000000164282008328,Adrian,M,Q372250,resolved by sex
6000000167339587927,Adrian,M,Q372250,resolved by sex
6000000167339587927,Adrian,M,Q372250,resolved by sex
6000000198772002842,Adrian,M,Q372250,resolved by sex
6000000224729806919,Adrian,M,Q372250,resolved by sex
6000000001500984301,Alison,F,Q16154105,resolved by sex
6000000001670393108,Alison,F,Q16154105,resolved by sex
6000000002928664976,Alison,F,Q16154105,resolved by sex
6000000003077191972,Alison,M,Q110929819,resolved by sex
6000000021976137801,Alison,F,Q16154105,resolved by sex
6000000024936848845,Alison,F,Q16154105,resolved by sex
6000000039460402197,Alison,F,Q16154105,resolved by sex
6000000039489056841,Alison,F,Q16154105,resolved by sex
6000000041905763282,Alison,M,Q110929819,resolved by sex
6000000175686202831,Alison,F,Q16154105,resolved by sex
6000000188119203837,Alison,F,Q16154105,resolved by sex
384719635230012572,Andre,M,Q16274896,resolved by sex
6000000002198377758,Andre,M,Q16274896,resolved by sex
6000000002765262167,Andre,M,Q16274896,resolved by sex
6000000002802601196,Andre,M,Q16274896,resolved by sex
6000000005029022028,Andre,M,Q16274896,resolved by sex
6000000005609028557,Andre,M,Q16274896,resolved by sex
6000000007210299408,Andre,M,Q16274896,resolved by sex
6000000008719087629,Andre,M,Q16274896,resolved by sex
6000000009710292409,Andre,M,Q16274896,resolved by sex
6000000012971160489,Andre,M,Q16274896,resolved by sex
6000000023026432348,Andre,M,Q16274896,resolved by sex
6000000023268575676,Andre,M,Q16274896,resolved by sex
6000000047160887961,Andre,M,Q16274896,resolved by sex
4066443476590023307,Andrea,F,Q18177321,resolved by sex
4066443476590023307,Andrea,F,Q18177321,resolved by sex
4423915138960021929,Andrea,F,Q18177321,resolved by sex
4474776,Andrea,F,Q18177321,resolved by sex
5232261967330102641,Andrea,F,Q18177321,resolved by sex
5467050497710136684,Andrea,F,Q18177321,resolved by sex
6000000000140146444,Andrea,F,Q18177321,resolved by sex
6000000000400773384,Andrea,F,Q18177321,resolved by sex
6000000000756572217,Andrea,F,Q18177321,resolved by sex
6000000000758433825,Andrea,F,Q18177321,resolved by sex
6000000000907467097,Andrea,F,Q18177321,resolved by sex
6000000000907524030,Andrea,F,Q18177321,resolved by sex
6000000000907583316,Andrea,F,Q18177321,resolved by sex
6000000000907583316,Andrea,F,Q18177321,resolved by sex
6000000001500984923,Andrea,M,Q18177306,resolved by sex
6000000001781741071,Andrea,F,Q18177321,resolved by sex
6000000002240799168,Andrea,M,Q18177306,resolved by sex
6000000002452527421,Andrea,F,Q18177321,resolved by sex
6000000002512328644,Andrea,F,Q18177321,resolved by sex
6000000003094916027,Andrea,F,Q18177321,resolved by sex
6000000003264652623,Andrea,F,Q18177321,resolved by sex
6000000003579143250,Andrea,F,Q18177321,resolved by sex
6000000003782319730,Andrea,F,Q18177321,resolved by sex
6000000003827521667,Andrea,M,Q18177306,resolved by sex
6000000003897426087,Andrea,F,Q18177321,resolved by sex
6000000005385448867,Andrea,F,Q18177321,resolved by sex
6000000005565536716,Andrea,F,Q18177321,resolved by sex
6000000005565536716,Andrea,F,Q18177321,resolved by sex
6000000005565536716,Andrea,F,Q18177321,resolved by sex
6000000005608867742,Andrea,F,Q18177321,resolved by sex
6000000005608897195,Andrea,F,Q18177321,resolved by sex
6000000005608927690,Andrea,F,Q18177321,resolved by sex
6000000005608927697,Andrea,F,Q18177321,resolved by sex
6000000005609513726,Andrea,F,Q18177321,resolved by sex
6000000005766650247,Andrea,M,Q18177306,resolved by sex
6000000006129618344,Andrea,F,Q18177321,resolved by sex
6000000006335707672,Andrea,F,Q18177321,resolved by sex
6000000006711569112,Andrea,F,Q18177321,resolved by sex
6000000006892129728,Andrea,F,Q18177321,resolved by sex
6000000007014053440,Andrea,F,Q18177321,resolved by sex
6000000007204062249,Andrea,F,Q18177321,resolved by sex
6000000007304605992,Andrea,F,Q18177321,resolved by sex
6000000007305661707,Andrea,F,Q18177321,resolved by sex
6000000007305661707,Andrea,F,Q18177321,resolved by sex
6000000007305661787,Andrea,F,Q18177321,resolved by sex
6000000007305661787,Andrea,F,Q18177321,resolved by sex
