geni_id	sv_title	qid	tree_url
6000000000839941745	Adolf Erik Nordenskiöld	Q156749	https://www.geni.com/family-tree/index/6000000000839941745
6000000003748326674	Adolf Fredrik Munck	Q2478781	https://www.geni.com/family-tree/index/6000000003748326674
6000000025022974646	Albrecht Elof Ihre	Q2694124	https://www.geni.com/family-tree/index/6000000025022974646
6000000019898891222	Anders Erik Knös	Q5916153	https://www.geni.com/family-tree/index/6000000019898891222
6000000006127570851	Aron Gustaf Silfversparre	Q6175928	https://www.geni.com/family-tree/index/6000000006127570851
6000000004594967673	Arvid Nils Stenbock	Q6188777	https://www.geni.com/family-tree/index/6000000004594967673
6000000018254235320	August Berwald	Q5574572	https://www.geni.com/family-tree/index/6000000018254235320
6000000011634551625	August Sandels	Q6092404	https://www.geni.com/family-tree/index/6000000011634551625
6000000019659798123	August von Hartmansdorff	Q5792035	https://www.geni.com/family-tree/index/6000000019659798123
344146815060011563	Axel Gustaf Gyllenkrok	Q4830275	https://www.geni.com/family-tree/index/344146815060011563
6000000008779183401	Axel Leonhard Klinckowström	Q5913812	https://www.geni.com/family-tree/index/6000000008779183401
6000000006127899214	Baltzar von Platen (1898–1984)	Q805827	https://www.geni.com/family-tree/index/6000000006127899214
6000000020128505901	Berge Frondin	Q5745627	https://www.geni.com/family-tree/index/6000000020128505901
6000000010894303789	Carl Georg Sparre	Q6184896	https://www.geni.com/family-tree/index/6000000010894303789
6000000007306021857	Carl Jesper Benzelius	Q5040378	https://www.geni.com/family-tree/index/6000000007306021857
6000000012597002570	Carl Lagerbring	Q5930909	https://www.geni.com/family-tree/index/6000000012597002570
6000000006127570365	Carl Mörner (1792–1870)	Q19828095	https://www.geni.com/family-tree/index/6000000006127570365
6000000007858436950	Carl Petter Törnebladh	Q6218068	https://www.geni.com/family-tree/index/6000000007858436950
5580434788100067215	Carl Reinhold Sahlberg	Q2361145	https://www.geni.com/family-tree/index/5580434788100067215
6000000007680468910	Carl Wilhelm von Düben	Q5626148	https://www.geni.com/family-tree/index/6000000007680468910
6000000007753195350	Charlotta Aurora De Geer	Q4944366	https://www.geni.com/family-tree/index/6000000007753195350
6000000008979441405	Christopher Falkengréen	Q5724521	https://www.geni.com/family-tree/index/6000000008979441405
6000000010837141342	Christopher Jacob Boström	Q821990	https://www.geni.com/family-tree/index/6000000010837141342
6000000172119806833	Daniel Djurberg (geograf)	Q5622753	https://www.geni.com/family-tree/index/6000000172119806833
6000000018625012640	Daniel Melanderhjelm	Q5983613	https://www.geni.com/family-tree/index/6000000018625012640
