english	japanese	qid	geni	lt_ja	succession
Amaterasu	天照大神	Q455602			N/A
Ame-no-oshihomimi		Q462555			N/A
Ame no Hohi	天穂日命				1
Ninigi-no-Mikoto	瓊瓊杵尊				N/A
Hoori	山幸彦				N/A
Takehi-Nateru	建比良鳥命				2
Ugayafukiaezu	鸕鶿草葺不合尊				N/A
Emperor Jimmu		Q200188			N/A
Kushiyatama-no-kami	櫛八玉神	Q86734749		伊佐我命	3
Isetsuhiko	出雲建子命				N/A
Emperor Suizei		Q313321			N/A
Tsusahime no Mikoto	津狭命	Q135579354			4
Takeyamikiru no Mikoto					N/A
Mishirushi no Mikoto					N/A
Kamisahime no Mikoto					N/A
Emperor Annei		Q313345			N/A
Kushifusakinomikoto	櫛瓺前命	Q135579355			5
Shikatahime					N/A
Inakubinomikoto					N/A
Misahimino Mikoto					N/A
Emperor Itoku		Q271536			N/A
Kushitsukinomikoto	櫛月命	Q135579356			6
Samanahime					N/A
Ikokonehikonomikoto					N/A
Emperor Kōshō		Q312841			N/A
Kushichitoriuminomikoto	櫛瓺鳥海命	Q135579358			7
Morojinomino Mikoto					N/A
Emperor Kōan		Q312821			N/A
Kushidanomikoto	櫛田命	Q135579359			8
Izumokusunemino Mikoto					N/A
Midorokimino Mikoto					N/A
Emperor Kōrei		Q313041			N/A
Chirinomikoto	知理命	Q135579360			9
Kaburakonomikoto					N/A
Shinonomikoto					N/A
Nintachikatapi no Mikoto					N/A
Hinarajuminomikoto					N/A
Hikosonomigoromino Mikoto					N/A
Emperor Kōgen		Q333572			N/A
Yomorosunomikoto	世毛呂須命	Q135579361			10
Aogatsuhikononomikoto					N/A
Isuminomikoto					N/A
Sugase no Mikoto					N/A
Etarabihinomikoto					N/A
Otomuhikonomikoto					N/A
Nintachikatapinomikoto					N/A
Takemisasuhinomikoto					N/A
Ikinaganomikoto					N/A
Emperor Kaika		Q333548			N/A
Ada no Mikoto	阿多命	Q135579362			N/A
Kotatemi no Mikoto					N/A
Aratahishi Sukune					N/A
Ōka kuni no atai	大鹿国直	Q97706278			N/A
Anawaihikonomikoto					N/A
Oyakinotominomikoto					N/A
Unagami no Isachi	海上五十狭茅	Q11558664		五十狭茅宿禰	N/A
Ikijirodome no Mikoto					N/A
Otakinomikoto					N/A
Kyosahinomikoto					N/A
Emperor Sujin		Q333530			N/A
Izumo no Furune	出雲振根	Q55533077			11
Iiirine	飯入根	Q55533680		伊幣根命	N/A
Amami Haniyasu no Mikoto	甘美韓日狭	Q136908598			N/A
Unochi no Mikoto					N/A
Emperor Suinin		Q314850			N/A
Miyoshiya no Mikoto					N/A
Ukatsu Kunu no Mikoto	宇迦都久怒	Q135579365		宇迦都久怒命	12
Hishirahime no Mikoto					N/A
Igasokumano Mikoto					N/A
Nomi no Sukune	野見宿禰	Q965742			N/A
Ikimiyatakenomikoto					N/A
Emperor Keikō		Q329723			N/A
Hiwa no Mimoto					N/A
Kanesune no Mikoto	襲髄命	Q109361305			13
Iimochi no Mikoto					N/A
Otofukuno Mikoto					N/A
Kisumino Mikoto					N/A
Mikihime					N/A
Minibunomikoto					N/A
Izumo Kasayano Mikoto					N/A
Yamato Takeru	日本武尊	Q461258			N/A
Kitashikomikoto					N/A
Kihisatsumi	来日田維穂命	Q123511663			14
Kutanomikoto					N/A
