qid,our_token,kind,bearers,missing,n_missing,mul,en,ja,zh
Q10989273,Johan,given,1405,zh,1,Johan,Johan,ヨハン,
Q29937870,David,given,1335,zh,1,Давид,David,ダヴィッド,
Q63611044,Elisabeth,given,1296,ja,1,Elisabeth,Elisabeth,,伊丽莎白
Q107321411,Olsen,given,1187,zh,1,Olsen,Olsen,オルセン,
Q617272,Josefa,given,1180,mul,1,,Josefa,ホセファ,何塞法/约瑟法
Q136771753,Karl,given,922,ja zh,2,Карл,Karl,,
Q97156058,Louis,given,697,mul zh,2,,Louis,ルイス,
Q17458337,Margrethe,given,682,zh,1,Margrethe,Margrethe,マルグレーテ,
Q138296676,Иванович,given,665,mul ja zh,3,,Иванович,,
Q53787734,Daniel,given,616,zh,1,דניאיל,Daniel,ダニエル,
Q21507093,Cahen,family,555,ja zh,2,Cahen,Cahen,,
Q96774689,Hansen,given,527,mul ja zh,3,,Hansen,,
Q16430214,von,given,469,ja,1,Von,Von,,冯
Q37167825,Swetland,family,453,ja zh,2,Swetland,Swetland,,
Q112079692,Larsson,given,449,ja,1,Larsson,Larsson,,拉尔松
Q2588576,Wolf,given,421,zh,1,Wolf,Wolf,ヴォルフ,
Q18171074,Fernão,given,417,ja zh,2,Fernão,Fernão,,
Q971710,Helene,given,415,zh,1,Helene,Helene,ヘレナ,
Q11967041,Elen,given,404,ja zh,2,Elen,Elen,,
Q16276979,Hugues,given,389,mul,1,,Hugues,ユーグ,于格
Q20000965,Martim,given,384,ja zh,2,Martim,Martim,,
Q1390292,Ragnhild,given,379,zh,1,Ragnhild,Ragnhild,ラグンヒルド,
Q14945080,Joana,given,376,zh,1,Joana,Joana,ジョアナ,
Q21507931,Pease,family,375,ja zh,2,Pease,Pease,,
Q17317997,Catharina,given,375,zh,1,Catharina,Catharina,カタリーナ,
Q307578,Abdullah,given,348,mul,1,,Abdullah,アブドゥッラー,阿卜杜拉
Q56071857,Sancha,given,339,ja zh,2,Sancha,Sancha,,
Q104518888,Brites,given,336,mul ja zh,3,,Brites,,
Q21452049,Stangeland,family,318,ja zh,2,Stangeland,Stangeland,,
Q18171848,Amalie,given,314,ja,1,Amalie,Amalie,,艾米丽
