qid,wikidata_name,geni_id,geni_name,shared_tokens,verdict
Q109888305,Yaacob I ben Aaharon ben Shalma,6000000178795028823,Yaacob I ben Aaharon ben Shalma,4,already linked
Q107534637,Yitzhaq II ben Amram ben Shalma ben Tabia,6000000178794973832,Yitzhaq II ben Amram ben Shalma ben Tabia,5,already linked
Q108907045,Matzliach ben Phinhas ben Yitzhaq ben Shalma,6000000178794683854,Matzliach ben Phinehas ben Yitzhaq ben Shalma,3,already linked
Q107534535,Abisha III ben Phinhas ben Yittzhaq ben Shalma,6000000178794440875,Abisha III ben Phinehas ben Yitzhaq ben Shalma,3,add_geni_id
Q107534557,Amram IX ben Yitzhaq ben Amram ben Shalma,6000000178793554881,Amram IX ben Yitzhaq ben Amram ben Shalma.,4,already linked
Q108764515,Asher ben Matzliach ben Phinhas,6000000178794680852,Asher ben Matzliach ben Phinehas,2,add_geni_id
Q108907046,Phinehas X ben Matzliach ben Phinehas,6000000178793727891,Phinehas X ben Matzliach ben Phinehas,3,add_geni_id
Q118782320,Yaacob II ben Uzzi ben Yaacob ben Aaharon,6000000178795086852,Yaacob II ben Uzzi ben Yaacob ben Aaharon,4,add_geni_id
Q8055954,Yoseph ben Ab-Hisda ben Yaacov ben Aaharon,6000000178794287858,Yoseph II ben Ab-Hisda ben Yaacov ben Aaharon,5,add_geni_id
Q2666440,Levi ben Abisha ben Phinhas ben Yitzhaq,6000000178794757852,Levi VI ben Abisha ben Phinehas ben Yitzhaq,3,add_geni_id
Q2067443,Saloum Cohen,6000000178793768878,Saloum Cohen,2,already linked
Q2164896,Elazar ben Tsedaka ben Yitzhaq,6000000178794668840,Elazar XX ben Tsedaka ben Yitzhaq,3,already linked
Q2031200,Aharon ben Ab-Chisda ben Yaacob,6000000178795253826,Aharon IV ben Ab-Hisda ben Yaacov ben Aaharon,2,add_geni_id
Q13485740,Aabed-El ben Asher ben Matzliach,6000000178795554821,Aabed-El V ben Asher ben Matzliach,4,add_geni_id
Q135489819,Amram VIII ben Shalma,6000000178794999821,Amram VIII ben Shalma,3,already linked
Q135489727,Shalma II ben Tabia,6000000178794831823,Shalma II ben Tabia,3,already linked
Q135489728,Tabia III ben Yitzhaq ben Abram,6000000178793980898,Tabia III ben Yitzhaq ben Abram,4,already linked
Q135489805,Levi V ben Abram,6000000178795717823,Levi V ben Abram,3,already linked
Q135489730,Abram ben Yitzhaq,6000000178795709821,Abram ben Yitzhaq,2,already linked
Q137394557,Yitzhaq I ben Tsedaka,,,0,NO MATCH - lineage does not agree
Q135489731,Tsedaka II ben Tabia ha'Åbtå'i,6000000178795360828,Tsedaka II ben Tabia ha'Åbtå'i,4,already linked
