han	corpus_count	ko_readings	zh_pinyin	kKorean	kJapaneseOn	kJapaneseKun	definition
諒	33	량 양	liàng	LYANG	RYOU	AKIRAKANISU MAKOTO MAKOTONI	excuse, forgive; guess, presume
郁	33	욱	yù	WUK	IKU	AKIRAKA KAGUWASHII SAKAN	sweet smelling, rich in aroma; (Cant.) to move, hit
回	33	회	huí	HOY	KAI E	MAWASU MAWARU KAERU	return, turn around; a time
麟	33	린 인	lín	LIN	RIN		female of Chinese unicorn
造	33	조	zào	CO	ZOU	TSUKURU ITARU NARU	construct, build, make, begin; prepare
禅	33		chán	SEN	ZEN	YUZURU SHIZUKA	meditation, contemplation
麗	33	려 여	lì	LI LYE	REI RI	URUWASHII TSURANARU NARABU	beautiful, magnificent, elegant
位	33	위	wèi	WI	I	KURAI KURAISURU	throne; position, post; rank, status; seat
縄	33		shéng		JOU BIN YOU	NAWA	rope, string, cord; control
遊	33	유	yóu	YU	YUU YU	ASOBU ASOBI SUSABI	wander, roam, travel
朽	33	후	xiǔ	HWU	KYUU	KUCHIRU	decayed, rotten; rot, decay
漢	33	한	hàn	HAN	KAN	KARA	the Chinese people, Chinese language
衙	33	아	yá	A	GYO GO GA	YAKUSHO	public office; official residence
杭	33	항	háng	HANG	KOU	WATARU KUI	cross stream; navigate
偉	33	위	wěi	WI	I	ERAI	great, robust; extraordinary
芈	33		mǐ	MI	BA MA BI MI		bleat of sheep; surname
郯	33	담	tán	TAM	TAN DAN		a county in Shandong
護	32	호	hù	HO	GO KO	MAMORU	protect, guard, defend, shelter
孚	32	부	fú	PWU	FU	TAMAGO HAGUKUMU	brood over eggs; have confidence
職	32	직	zhí	CIK	SHOKU TOKU SHIKI	TSUKASA TSUTOME TSUKASADORU	duty, profession; office, post
琮	32	종	cóng	CONG	SOU ZU SU		octagonal piece of jade with hole in middle
茲	32	자	zī	CA	JI SHI	SHIGERU MASU MUSHIRO	now, here; this; time, year
瓊	32	경	qióng	KYENG	KEI	TAMA	jade; rare, precious; elegant
佑	32	우	yòu	WU	YUU U	TASUKERU	help, protect, bless
暢	32	창	chàng	CHANG	CHOU	NOBIRU	smoothly, freely, unrestrained
申	32	신	shēn	SIN	SHIN	MOUSU NOBIRU SARU	to state to a superior, report; extend; ninth earthly branch
服	32	복	fú	POK	FUKU	KIRU KIMONO SHITAGAU	clothes; wear, dress
懋	32	무	mào	MWU	BOU	TSUTOMERU	splendid, grand, majestic
游	32	유	yóu	YU	YUU RYUU	OYOGU ASOBU ASOBI	to swim; float, drift; wander, roam
經	31	경	jīng	KYENG	KEI KYOU	HERU TATEITO TSUNE	classic works; pass through
琰	31	염	yǎn	YEM	EN		jewel, gem; glitter of gems
曜	31	요	yào	YO	YOU	HIKARI KAGAYAKU	glorious, as sun; daylight, sunlight; one of the seven plane
裔	31	예	yì	YEY	EI	SUSO SUE	progeny, descendants, posterity
軌	31	궤	guǐ	KWEY	KI	WADACHI MICHI	track, rut, path
柔	31	유	róu	YU	NYUU JUU	YAWARAKAI YAWARAGERU YAWARA	soft; gentle, pliant
者	31	자	zhě	CA	SHA	MONO	that which; he who; those who
綾	31	능 릉	líng	LUNG	RYOU	AYA	thin silk, damask silk
庵	31	암	ān	AM	AN	IORI	Buddhist monastery or nunnery
鳩	31	구	jiū	KWU	KYUU KU	HATO ATSUMERU	pigeon, dove; collect, assemble
奴	31	노	nú	NO	DO NU	YAKKO YATSU ME	slave, servant
鞮	31		dī	CEY	TEI TAI DAI	KAWAGUSHI	leather shoes
未	31	미	wèi	MI	MI BI	IMADA HITSUJI	not yet; eighth earthly branch
己	31	기	jǐ	KI	KI KO	ONORE TSUCHINOTO	self, oneself; personal, private; 6th heavenly stem
浩	31	호	hào	HO	KOU	HIROI OOKII	great, numerous, vast, abundant
絢	31	현	xuàn	HYEN	KEN	AYA	variegated, adorned; brilliant
其	31	기	qí	KI	KI GI	SONO SORE	his, her, its, their; that
适	31	괄	shì kuò	KWAL	KATSU GACHI	HAYAI	go, reach; appropriate, suitable
虔	31	건	qián	KEN	KEN	TSUTSUSHIMU	act with reverence; reverent
謝	30	사	xiè	SA	SHA JA	AYAMARU WABI KOTOWARU	thank; decline
饒	30	요	ráo	YO	JOU NYOU	YUTAKA	bountiful, abundant, plentiful
諶	30	심	chén	SIM	SHIN JIN	MAKOTO	sincere, faithful; surname
始	30	시	shǐ	SI	SHI	HAJIMERU HAJIME HAJIMARU	begin, start; then, only then
剛	30	강	gāng	KANG	GOU	TSUYOI KOWAI	hard, tough, rigid, strong
尉	30	위	wèi	WI WUL	I	OSAERU YASUNJIRU	officer, military rank
穂	30	수	suì		SUI	HO	ear of grain; tassel; Guangzhou
均	30	균 연	jūn	KYUN	KIN IN	TOTONOERU HITOSHII	equal, even, fair; all, also
徹	30	철	chè	CHEL	TETSU	TOORU	penetrate, pervade; penetrating
表	30	표	biǎo	PHYO	HYOU	OMOTE ARAWASU UWAGI	show, express, manifest, display
程	30	정	chéng	CENG	TEI	HODO HAKARU	journey, trip; schedule, agenda
肥	30	비	féi	PI	HI	KOERU KOYASU KOE	fat, plump, obese; fertile
遂	30	수	suì	SWU	SUI ZUI	TOGERU TSUINI	comply with, follow along; thereupon
受	30	수	shòu	SWU	JU SHUU	UKERU UKE	receive, accept, get; bear, stand
整	30	정	zhěng	CENG	SEI	TOTONOERU TOTONOU	orderly, neat, tidy; whole
穀	30	곡	gǔ	KOK KWU	KOKU	TANATSUMOTSU	corn, grain, cereal; lucky
坦	30	탄	tǎn	THAN	TAN	TAIRA	flat, smooth; self-possessed
鴻	30	홍	hóng	HONG	KOU	OOTORI HISHIKUI	species of wild swan; vast
炳	30	병	bǐng	PYENG	HEI	AKIRAKA	bright, luminous; glorious
澧	30	례	lǐ	LYEY	REI RAI		river in northern Hunan province
超	29	초	chāo	CHO	CHOU	KOERU KOSU	jump over, leap over; surpass
霸	29	패	bà	PHAY PAYK	HAKU HYAKU HA	HATAGASHIRA KASHIRA	rule by might rather than right
考	29	고	kǎo	KO	KOU	KANGAERU KANGAE	examine, test; investigate
観	29		guān	KWAN	KAN	MIRU SHIMESU	see, observe, view; appearance
品	29	품	pǐn	PHWUM	HIN HON	SHINA	article, product, commodity
淡	29	담	dàn	TAM	TAN EN	AWAI USUI	weak, watery; insipid, tasteless
材	29	재	cái	CAY	ZAI	MARUTA	material, stuff; timber; talent
績	29	적	jī	CEK	SEKI	TSUMUGU ISAO	spin; achievements
婉	29	완 원	wǎn	WAN	EN	UTSUKUSHII	amiable, congenial; restrained
芝	29	지	zhī	CI	SHI	SHIBA	sesame; a purplish or brown mushroom thought to have miracul
升	29	승	shēng	SUNG	SHOU	MASU NOBORU	arise, go up; hoist; advance; hexagram ䷭
臺	29	대	tái	TAY	TAI DAI	UTENA YOROKOBU	tower, lookout; stage, platform
邑	29	읍	yì	UP	YUU OU	KUNI MURA UREERU	area; district; city; state; Kangxi radical 163
毅	28	의	yì	UY	KI GI	TSUYOI TAKESHI	resolute, decisive, firm, persist
儔	28	주	chóu	CWU	CHUU JU	TOMOGARA	companion, mate, colleague
與	28	여	yǔ	YE	YO	KUMISURU ATAERU AZUKARU	and; with; to; for; give, grant
乃	28	내	nǎi	NAY	DAI AI NAI	SUNAWACHI NO	then; really, indeed; as it turned out, after all; namely
育	28	육	yù	YUK	IKU	SODATERU HAGUKUMU SODATSU	produce, give birth to; educate
器	28	기	qì	KI	KI	UTSUWA	receptacle, vessel; instrument
熈	28	희	xī	HUY	KI	HIKARU HIROI YOROKOBU	bright, splendid, glorious
毘	28	비	pí	PI	HI BI	HESO	help, assist; connect, adjoin
積	28	적	jī	CEK CA	SEKI SHI	TSUMU TSUMORU	accumulate, store up, amass
栗	28	률 율	lì	LYUL	RITSU	KURI ONONOKU	chestnut tree, chestnuts; surname
翰	28	한	hàn	HAN	KAN	YAMADORI HANE FUDE	writing brush, pen, pencil
圭	28	규	guī	KYU	KEI	TAMA	jade pointed at top
蔡	28	채	cài	CHAY SAL	SAI SATSU	AKUTA OTOROERU HERASU	surname; species of tortoise
圓	28	원	yuán	WEN	EN	MARUI	circle; round, circular; complete
問	28	문	wèn	MWUN	MON BUN	TOU TON	ask (about), inquire after
圖	28	도	tú	TO	TO ZU	HAKARU	diagram; chart, map, picture
昂	28	앙	áng	ANG	KOU GOU	AGARU TAKAI	rise, raise; proud, bold; upright
魏	28	위	wèi	WI	GI	TAKAI	kingdom of Wei; surname
杞	28	기	qǐ	KI	KO KI	SUKI FUGO MOKKO	willow; medlar tree; a small feudal state (Qi)
薛	28	설	xuē	SEL	SETSU SECHI	KAWARAYOMOGI HAMASUGE	kind of marsh grass; feudal state
丞	27	승	chéng	SUNG	SHOU JOU	SUKUU TASUKERU	assist, aid, rescue
牟	27	모	móu	MO	BOU MU	MUSABORU	make; seek, get; barley; low
穎	27	영	yǐng	YENG	EI	HOSAKI	rice tassel; sharp point; clever
稙	27	직	zhī	CIK	CHOKU SHOKU CHIKI	HAYAI TANE	grain ready for grinding
櫛	27	즐	zhì	CUL	SHITSU	KUSHI KUSHIKEZURU	comb out; weed out, eliminate
介	27	개	jiè	KAY	KAI	TASUKERU SUKE	forerunner, herald, harbinger; to lie between; sea shell; to
権	27	권	quán	KWEN	KEN GON	OMORI HAKARU KARI	power, right, authority
勤	27	근	qín	KUN	KIN GON	TSUTOMERU TSUTOME	industrious, diligent, attentive
攣	27	련	luán	LYEN	REN	HIKU	tangled; entwined; crooked
臧	27	장	zāng	CANG	ZOU	YOI ATSUI OSAMERU	good, right, generous; command
作	27	작	zuò	CAK CWU	SAKU SA	TSUKURU TSUKURI NASU	make; work; compose, write; act, perform
彬	27	빈	bīn	PIN	HIN	AKIRAKA	cultivated, well-bred
齡	27	령	líng	LYENG	REI	YOWAI	age; years
瑾	27	근	jǐn	KUN	KIN		brilliance of gems; fine jade
涇	27	경	jīng	KYENG	TEI KYOU	MIZO	name of a river
鄢	27	언	yān	EN	EN ON		name of a district in Honan
球	26	구	qiú	KWU	KYUU GU	TAMA	ball, sphere, globe; round
果	26	과	guǒ	KWA	KA RA	HATASU KUDAMONO HATE	fruit; result
包	26	포	bāo	PHO	HOU	TSUTSUMU TSUTSUMI	wrap, pack, bundle; package
兄	26	형	xiōng	HYENG	KEI KYOU	ANI E	elder brother
船	26	선	chuán	SEN	SEN	FUNE	ship, boat, vessel
襲	26	습	xí	SUP	SHUU JUU	OSOU KASANE TSUGU	raid, attack; inherit
尋	26	심	xún	SIM	JIN	TAZUNERU HIRO TSUNE	seek, search, look for; ancient
庶	26	서	shù	SE	SHO	MOROMORO KOINEGAU CHIKAI	numerous, various; multitude
渠	26	거	qú	KE	KYO	MIZO KARE NANZO	ditch, canal, channel, gutter
睦	26	목	mù	MOK	BOKU MOKU	MUTSUMAJII MUTSUBU	friendly, amiable, peaceful
褒	26	포	bāo	PHO	HOU	HOMERU	praise, commend, honor, cite
于	26	우	yú	WU	U KU	KOKONI YUKU	in, on, at; go to; surname
佳	26	가	jiā	KA KAY	KA	YOI	good, auspicious; beautiful; delightful
快	26	쾌	kuài	KHWAY	KAI	KOKOROYOI	rapid, quick, speedy, fast; soon
求	26	구	qiú	KWU	KYUU	MOTOMERU	seek; demand, request; beseech
默	26	묵	mò	MWUK	MOKU	DAMARU	silent; quiet, still; dark
楷	26	해	kǎi	HAY	KAI	KATA NOTTORU TADASHII	model style of Chinese writing
輿	25	여	yú	YE	YO	KOSHI	cart, palanquin; public opinion
肇	25	조	zhào	CO	CHOU	HAJIMERU HAJIME	begin, commence, originate
綜	25	종	zōng	CONG	SOU	SUBERU OSA	arrange threads for weaving
蕭	25	소	xiāo	SO	SHOU	YOMOGI	common artemisia; sighing of wind; mournful; dejected
因	25	인	yīn	IN	IN	YORU CHINAMU YOTTE	cause, reason; by; because (of)
地	25	지	de dì	CI	CHI JI	TSUCHI	earth; soil, ground; region
篠	25	소	xiǎo	SO	SHOU	SHINO	dwarf bamboo; diminutive in person's name
涼	25	량	liáng	LYANG	RYOU	SUZUSHII USUI MAKOTONI	cool, cold; disheartened
耳	25	이	ěr	I	JI JOU	MIMI NOMI	ear; merely, only; handle; Kangxi radical 128
豆	25	두	dòu	TWU	TOU ZU	MAME TAKATSUKI	beans, peas; bean-shaped; Kangxi radical 151
浪	25	낭 랑	làng	LANG	ROU RAN	NAMI	wave; wasteful, reckless
綸	25	륜	lún	LYUN KWAN	RIN KAN	ITO	green silk thread or tassel
辛	25	신	xīn	SIN	SHIN	KARAI TSURAI KANOTO	bitter; toilsome, laborious; 8th heavenly stem; Kangxi radic
寂	25	적	jì	CEK	JAKU SEKI	SABISHII SABI	still, silent, quiet; desolate
晦	25	회	huì	HOY	KAI	MISOKA KURAI	dark, unclear, obscure; night
筠	25	균	yún	KYUN	IN UN	TAKE	bamboo skin; bamboo
门	25		mén				gate, door, entrance, opening
馮	25	풍	féng	PHWUNG	HYOU FUU	YORU TANOMU	surname; gallop; by dint of
嚴	25	엄	yán	EM	GEN GON	KIBISHII OGOSOKA	strict, rigorous, rigid; stern
琳	25	림	lín	LIM	RIN		beautiful jade, gem
瑤	24	요	yáo	YO	YOU	TAMA	precious jade
緯	24	위	wěi	WI	I	YOKOITO	woof; parallels of latitude
洽	24	흡	qià	HUP	KOU	URUOSU AMANESHI	to blend with, be in harmony; to penetrate; to cover; a rive
邕	24	옹	yōng	ONG	YOU YU		former or literary name for Nanning (in Guangxi)
逵	24	규	kuí	KYU	KI	OUJI	thoroughfare, crossroads
敷	24	부	fū	PWU	FU	SHIKU SHIKI	spread, diffuse; apply, paint
愿	24	원	yuàn	WEN	GEN	TSUTSUSHIMU	sincere, honest, virtuous
摩	24	마	mó	MA	MA	SURU	rub, scour, grind; friction
厳	24	엄	yán	EM	GEN GON	KIBISHII OGOSOKA ITSUKUSHI	strict, rigorous, rigid; stern
堤	24	제	dī tí	CEY	TEI SHI	TSUTSUMI	dike
去	24	거	qù	KE	KYO KO	SARU	go away, leave, depart
殖	24	식	zhí	SIK	SHOKU	FUERU UERU FUYASU	breed, spawn; increase; prosper
至	24	지	zhì	CI	SHI	ITARU ITARI	reach, arrive; extremely, very; Kangxi radical 133
首	24	수	shǒu	SWU	SHU SHUU	KUBI KOUBE SHIRUSHI	head; first; leader, chief; a poem; Kangxi radical 185
置	24	치	zhì	CHI	CHI	OKU	place, lay out; set aside
彪	24	표	biāo	PHYO	HYOU HYUU	AYA	tiger; tiger stripes; tiger-like
妣	24	비	bǐ	PI	HI	NAKIHAHA	one's deceased mother
旭	24	욱	xù	WUK	KYOKU	ASAHI	rising sun; brilliance; radiant
庫	24	고	kù	KO	KO KU	KURA	armory, treasury, storehouse
壬	24	임	rén	IM	JIN NIN	MIZUNOE	ninth heavenly stem
卓	24	탁	zhuó	THAK	TAKU	SUGURERU	profound, brilliant, lofty
慧	24	혜	huì	HYEY	KEI E	SATOI	bright, intelligent; intelligence
載	24	재	zài	CAY	SAI	NOSERU SHIRUSU NORU	load; carry; transport, convey
機	24	기	jī	KI	KI	HATA KARAKURI ORI	machine; moment, chance
梓	24	재	zǐ	CAY	SHI	AZUSA	Chinese catalpa, Catalpa ovata
鄴	24	업	yè	EP	GYOU GOU		ancient place in modern Hebei province
彝	24	이	yí	I	I	TSUNE	Yi (nationality); tripod, wine vessel; rule
盧	24	노 로	lú	LO	RO RYO	MESHIBITSU SUBITSU KUROI	cottage, hut; surname; black
倩	24	천	qiàn	CHEN	SEN SEI	UTSUKUSHII TSURATSURA	beautiful, lovely; son-in-law
奕	23	혁	yì	HYEK	EKI YAKU	OOKII UTSUKUSHII NARERU	in sequence, orderly; abundant
說	23	설 세 열	shuō	SEL SEY YEL	SETSU ZEI ETSU	TOKU YOROKOBU	speak, say, talk; scold, upbraid
繹	23	역	yì	YEK	EKI YAKU	NUKU TAZUNERU	to unravel or unreel silk; to interpret, explain
社	23	사	shè	SA	SHA JA	YASHIRO KUMIAI KOSO	god of the soil and altars to him; group of families; compan
陶	23	도	táo	TO YO	TOU YOU	SUE	pottery, ceramics
寔	23	식	shí	SIK	SHOKU	MAKOTONI	real, true, solid, honest
半	23	반	bàn	PAN	HAN	NAKABA NAKABASURU	half
商	23	상	shāng	SANG	SHOU	AKINAU	commerce, business, trade
応	23		yīng	UNG	OU YOU	KOTAERU ATARU	should, ought to, must
豪	23	호	háo	HO	GOU KOU	YAMAARASHI	brave, heroic, chivalrous
醍	23	제	tí	CEY	TEI TAI DAI		essential oil of butter
醐	23	호	hú	HO	KO GO		purest cream
遐	23	하	xiá	HA	KA	TOOI NANZO	afar, distant; old, advanced in
藝	23	예	yì	YEY	GEI	UERU WAZA NORI	art; talent, ability; craft
巖	23	암	yán	AM EM	GAN GEN	KEWASHII IWAO IWA	cliff, precipice; cave, grotto
彰	23	창	zhāng	CHANG	SHOU SOU	AYA AKIRAKA ARAWARERU	clear, manifest, obvious
恆	23	항	héng	HANG	KOU	TSUNE	constant, regular, persistent; hexagram ䷟
謀	23	모	móu	MO	BOU MU	HAKARU HAKARIGOTO	plan, scheme; stratagem
藏	23	장	cáng	CANG	ZOU SOU	KURA KAKURERU OSAMERU	hide, conceal; hoard, store up
演	23	연	yǎn	YEN	EN	NOBERU	perform, put on; exercise
晏	23	안	yàn	AN	AN	OSOI	peaceful, quiet; clear; late in the day
恬	23	념	tián	NYEM	TEN	YASUI	quiet, calm, tranquil, peaceful
遜	23	손	xùn	SON	SON	YUZURU HERIKUDARU SHITAGAU	humble, modest; yield
翊	23	익	yì	IK	YOKU	AKE TASUKERU	flying; assist, help; respect
渾	23	혼	hún	HON	KON	NIGORU SUBETE	muddy, turbid; blend, merge, mix
潛	23	잠	qián	CAM	SEN	HISOMU MOGURU	hide; hidden, secret, latent
符	23	부	fú	PWU	FU BU	WARIFU	i.d. tag, tally, symbol, charm
聊	23	료	liáo	LYO	RYOU	ISASAKA	somewhat, slightly, at least
煌	23	황	huáng	HWANG	KOU	KAGAYAKU	bright, shining, luminous
當	22	당	dāng	TANG	TOU	ATARU	bear, accept, undertake; just
禹	22	우	yǔ	WU	U	MUSHI TASUKERU NOBIRU	legendary hsia dynasty founder
渋	22		sè		JUU	SHIBUI SHIBU	astringent; harsh; uneven, rough
錦	22	금	jǐn	KUM	KIN	NISHIKI	brocade, tapestry; embroidered
星	22	성	xīng	SENG	SEI SHOU	HOSHI	a star, planet; any point of light; 25th lunar mansion, dete
待	22	대	dài	TAY	TAI DAI	MATSU	treat, entertain, receive; wait
禰	22	니	mí	NI	DEI NAI NE	KATASHIRO	one's deceased father
盤	22	반	pán	PAN	BAN HAN	OOZARA TARAI	tray, plate, dish; examine
分	22	분	fēn	PWUN PHWUN	BUN FUN BU	WAKERU WAKARU WAKARERU	divide; small unit of time etc.
寅	22	인	yín	IN I	IN	TORA	to respect, reverence; respectfully; third earthly branch
妾	22	첩	qiè	CHEP	SHOU	MEKAKE WARAWA	concubine
咸	22	함	xián	HAM	KAN GEN	MINA	together; all, completely; united; hexagram ䷞
号	22	호	hào	HO	GOU	SAKEBU YOBINA	mark, sign; symbol; number
宰	22	재	zǎi	CAY	SAI	TSUKASADORU TSUKASA	to slaughter; to rule
孺	22	유	rú	YU	JU	CHINOMIGO OSANAI	child; blood relation; affection
何	22	하	hé	HA	KA GA	NANI NANZO IZUKU	what, why, where, which, how
潭	22	담	tán	TAM	TAN SHIN	FUCHI FUKAI	deep pool, lake; deep, profound
汶	22	문	wèn	MWUN	BUN MON		a river in Shandong province
瞻	22	첨	zhān	CHEM	SEN	MIRU	look; look out for; respect
灊	22		qián		SEN ZEN SHIN JIN		
鄚	22		mào		BAKU MAKU		place in today's Hebei province
藻	21	조	zǎo	CO	SOU	MO	splendid, magnificent; algae
謨	21	모	mó	MO	BO MO	HAKARU	scheme, plan; plan; be without
旦	21	단	dàn	TAN	TAN	ASHITA	dawn; morning; day
皋	21	고	gāo	KO	KOU	SAWA SAKAI SUSUMU	the high land along a river
妹	21	매	mèi	MAY	MAI	IMOUTO IMO	younger sister
晟	21	성	chéng	SENG	SEI JOU	AKIRAKA SAKAN MESHIBITSU	clear, bright; splendor, brightness
脇	21	협	xié	HYEP	KYOU	WAKI	ribs, armpits; flank; threaten
叡	21	예	ruì	YEY	EI	AKIRAKA	astute, profound, shrewd
穴	21	혈	xué	HYEL	KETSU	ANA	cave, den, hole; Kangxi radical 116
狩	21	수	shòu	SWU	SHU SHUU	KARU KARI	winter hunting; imperial tour
悟	21	오	wù	O	GO	SATORU SATORI	to apprehend, realize, become aware
閭	21	려 여	lǘ	LYE	RO RYO	MURA MACHI	village of twenty-five families
濬	21	준	jùn	CWUN	SHUN	SARAU FUKAI TONAERU	dredge, dig; profound, deep
工	21	공	gōng	KONG	KOU KU	TAKUMI WAZA TSUKASA	labor, work; worker, laborer
殷	21	은	yīn	UN AN	IN AN	SAKAN	many, great; abundant, flourishing
夢	21	몽	mèng	MONG	MU	YUME KURAI YUMEMIRU	dream; visionary; wishful
覺	21	각	jué	KAK KYO	KAKU KOU	OBOERU SAMASU SATORU	to wake up from sleep; conscious
敖	21	오	áo	O	GOU	ASOBU OGORU	ramble, play about; leisurely; surname
銳	21	예	ruì	YEY THAY	EI TAI	SURUDOI HAYAI	sharp, keen, acute, pointed
恢	21	회	huī	HOY	KAI	HIROI	restore; big, great, immense, vast
誼	21	의	yì	UY	GI	YOI YOSHIMI	friendship; appropriate, suitable
忱	21	침	chén	CHIM	SHIN	MAKOTO	truth, sincerity; sincere
燕	21	연	yàn	YEN	EN	TSUBAME	swallow (bird); comfort, enjoy
詡	21	후	xǔ	HWU	KU	HOKORU	boast, brag; popular, well known; to flatter
怡	21	이	yí	I	I	YOROKOBU	harmony; pleasure, joy; be glad
續	21	속	xù	SOK	ZOKU SHOKU	TSUZUKU TSUGU	continue, carry on; succeed
滑	21	골 활	huá	HWAL KOL	KATSU KOTSU	NAMERAKA SUBERU	slip, slide; slippery, polished
邢	21	형	xíng	HYENG	KEI GYOU		surname; state in today's Hebei
挺	21	정	tǐng	CENG	TEI CHOU	NUKU	to stand upright, straighten; rigid
訥	21	눌	nè	NWUL	TOTSU DOTSU	DOMORU	slow of speech; mumble; stammer
翟	21	적	dí	CEK CHAYK	KEKI JAKU TAKU	KIJI	surname; a kind of pheasant; plumes
媯	20		guī				family name
審	20	심	shěn	SIM	SHIN	TSUMABIRAKA	examine, investigate; judge
牛	20	우	niú	WU	GYUU	USHI	cow, ox, bull; Kangxi radical 93; 9th lunar mansion, determi
頊	20	욱	xū	WUK	KYOKU KOKU GYOKU GOKU	TADASHII	grieved; anxious
干	20	간	gàn	KAN	KAN	HOSU HIRU OKASU	oppose, offend; invade; dried
勒	20	늑 륵	lēi	LUK	ROKU	KUTSUWA	strangle, tighten
又	20	우	yòu	WU	YUU	MATA	and, also, again, in addition
輪	20	륜 윤	lún	LYUN	RIN	WA	wheel; revolve, turn; recur
籍	20	적	jí	CEK	SEKI SHAKU	FUMI	record, register, list; census
竜	20	룡	lóng	LYONG NONG	RYUU RYOU ROU	TATSU	dragon; symbolic of emperor
眞	20	진	zhēn	CIN	SHIN	MA MAKOTO MAKOTONI	real, actual, true, genuine
夜	20	야	yè	YA	YA	YO YORU	night, dark; in night; by night
押	20	압	yā	AP KAP	OU	OSU OSAERU OSHI	mortgage, pledge; deposit; to pawn; to arrest, detain, guard
綏	20	수	suī	YU SWU	SUI TA	YASUI	soothe, appease, pacify; carriage harness
鵜	20		tí	CEY	TEI	U	pelican
雪	20	설	xuě	SEL	SETSU	YUKI SUSUGU	snow; wipe away shame, avenge
鷲	20	취	jiù	CHWI	SHUU JU	WASHI	condor, vulture
標	20	표	biāo	PHYO	HYOU	KOZUE SUE SHIRUSHI	a mark, symbol, label, sign; standard
逢	20	봉	féng	PONG	HOU BU	AU MUKAU AI	come upon, happen meet; flatter
啓	20	계	qǐ	KYEY	KEI	HIRAKU MOUSU	open; begin, commence; explain
竇	20	두	dòu	TWU	TOU TOKU	ANA	surname; hole, burrow; corrupt
參	20	삼 참	cān	CHAM SAM	SAN	MAIRU	take part in, intervene; ginseng
娥	20	아	é	A	GA	MIMEYOI	be beautiful; good; surname
駿	20	준	jùn	CWUN SWUN	SHUN	SUGURERU OOKII NAGAI	excellent horse, noble steed
精	20	정	jīng	CENG	SEI SHOU	SHIRAGEYONE KUWASHII KOKORO	essence; semen; spirit
発	20		fā	PAL	HOTSU HOCHI HATSU	HANATSU TSUKAWASU OKORU	issue, dispatch, send out, emit
琛	20	침	chēn	CHIM	CHIN SHIN	TAKARA	treasure, valuables
姑	20	고	gū	KO	KO	SHUUTOME OBA SHIBARAKU	father's sister; husband's mother
將	20	장	jiāng	CANG	SHOU SOU	HIKIIRU MOTTE HATA	will, going to, future; general
渙	20	환	huàn	HWAN	KAN	AKIRAKA	scatter; scattered, dispersed; hexagram ䷺
迪	20	적	dí	CEK	TEKI	MICHI	enlighten, advance; progress
惲	20	운	yùn	WUN	UN KIN GIN	ATSUI	devise, plan, deliberate; consult
洲	20	주	zhōu	CWU	SHUU	SHIMA	continent; island; islet
顥	19	호	hào	HO	KOU GOU	SHIROI	luminous; white, hoary
著	19	저	zhù zhe	CE CHAK	CHO CHAKU JAKU	ARAWASU ICHIJIRUSHI TSUKU	manifest; (Cant.) to wear
徒	19	도	tú	TO	TO	KACHI TOMOGARA ITAZURANI	disciple, follower; go on foot
完	19	완	wán	WAN	KAN	MATTAI MATTOUSURU	complete, finish, settle; whole
羊	19	양	yáng	YANG	YOU	HITSUJI	sheep, goat; Kangxi radical 123
挙	19		jǔ		KYO	AGERU AGARU KOZORU	raise, lift up; recommend
誉	19		yù	YEY	YO	HOMARE HOMERU	fame, reputation; praise
誨	19	회	huì	HOY	KAI	OSHIERU	teach, instruct; encourage, urge
邇	19	이	ěr	I	JI NI	CHIKAI CHIKASHI CHIKA	be near, be close; recently
磐	19	반	pán	PAN	HAN BAN	IWA	large rock, boulder; firm
芸	19	예 운	yún	WUN YEY	GEI UN KON GON	WAZA KUSANOKOU KUSAGIRU	rue, herb used to keep insects away; to cut grass or weeds; 
刀	19	도	dāo	TO	TOU	KATANA	knife; old coin; measure
曽	19		cēng		ZO SOU SO	KATTE SUNAWACHI	already; sign of past
沙	19	사	shā	SA	SA SHA	SUNA YONAGERU	sand, gravel, pebbles; granulated
住	19	주	zhù	CWU	JUU	SUMU TODOMARU YAMU	reside, live at, dwell, lodge; stop
蕃	19	번	bō fān	PEN	BAN HAN	SHIGERU	foreign things
等	19	등	děng	TUNG	TOU	HITOSHII NADO RA	rank, grade; to wait; equal, “and so forth”
懐	19		huái		KAI	NATSUKU FUTOKORO OMOU	bosom, breast; carry in bosom
学	19	학	xué	HAK	GAKU	MANABU	learning, knowledge; school
暁	19		xiǎo	HYO	GYOU KYOU	AKATSUKI SATORU	dawn, daybreak; clear, explicit
嶷	19	의	yí	UY	GI GYOKU	SATOI	a range of mountains in Hunan province
嬰	19	영	yīng	YENG	EI	FURERU MIDORIGO	baby, infant; bother
爽	19	상	shuǎng	SANG	SOU	AKIRAKA SAWAYAKA TAGAU	happy, cheerful; refreshing
毗	19	비	pí	PI			help, assist; connect, adjoin
粹	19	수	cuì	SWU	SUI SAI	IKI SUI	pure; unadulterated; select
乂	19	예	yì	YEY	GAI GE	KARU OSAMERU OSAMARU	govern, control, manage; nurture
客	19	객	kè	KAYK	KYAKU KAKU	MAROUDO	guest, traveller; customer
詢	19	순	xún	SWUN	JUN SHUN	HAKARU TOU	inquire into, ask about; consult
勃	19	발	bó	PAL	BOTSU HOTSU	NIWAKANI OKORU	suddenly, sudden, quick
頤	19	이	yí	I	I	OTOGAI	cheeks; jaw; chin; rear; to nourish; hexagram ䷚
渭	19	위	wèi	WI	I	IKU SHIKU	name of a river in Shanxi
