qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q116974,Q101352,مرعشی,Marashi,,,,مرعشي,,,Marashi,Marashi,Marashi,Marashi,Marashi,Marashi,Marashi,Marashi,Marashi,Marashi,Marashi
Q140526,Q12308941,Zaharije,Zaharije,,,,,,Захарие,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije,Zaharije
Q143054,Q12308941,Dídac,Dídac,,迪达克,,,,,Dídac,Dídac,Dídac,Dídac,Dídac,Dídac,Dídac,Dídac,Dídac,Dídac,Dídac
Q165054,Q12308941,Marat,Marat,マラト,马拉特,,مارات,מאראט,Марат,Marat,Marat,Marat,Marat,Marat,Marat,Marat,Marat,Marat,Marat,Marat
Q168078,Q101352,Aramburu,,アランブル,阿拉姆布鲁,,أرامبورو,,Арамбуру,,,,,,,,,,,
Q168910,Q101352,Zdebel,,,,,,,,,,,,,,,,,,
Q181502,Q101352,Daniel,,ダニエル,丹尼尔,,دانيال,דניאל,Даниэль / Дэниел,,,,,,,,,,,
Q189182,Q101352,Zelman,,,泽尔曼,,,,Зельман,,,,,,,,,,,
Q191374,Q12308941,Zephyrin,Zephyrin,,,,,,,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin,Zephyrin
Q203150,"Q202444,Q12308941",Rino,Rino,リノ,里诺 (名字),리노,رينو,רינו,Рино,Rino,Rino,Rino,Rino,Rino,Rino,Rino,Rino,Rino,Rino,Rino
Q221774,Q12308941,Édouard,Édouard,エドゥアール,爱德华,에두아르,إدوار,אדוארד,Эдуар,Édouard,Édouard,Édouard,Édouard,Édouard,Édouard,Édouard,Édouard,Édouard,Édouard,Édouard
Q231342,Q12308941,Zvi,Zvi,,兹维,,زيفي,צבי,Цви,Zvi,Zvi,Zvi,Zvi,Zvi,Zvi,Zvi,Zvi,Zvi,Zvi,Zvi
Q237998,Q101352,Scheller,Scheller,,,,شيلر,,Шеллер,Scheller,Scheller,Scheller,Scheller,Scheller,Scheller,Scheller,Scheller,Scheller,Scheller,Scheller
Q240702,Q12308941,Timon,Timon,タイモン,蒂蒙,,,טימון,Тимон,Timon,Timon,Timon,Timon,Timon,Timon,Timon,Timon,Timon,Timon,Timon
Q248718,Q11879590,みどり,Midori,みどり,,미도리,,מידורי,Midori,Midori,Midori,Midori,Midori,Midori,Midori,Midori,Midori,Midori,Midori,Midori
Q250622,Q11879590,Álfrún,Álfrún,,阿尔弗伦,,,,Аульврун,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún,Álfrún
Q252558,Q12308941,Ásmundur,Ásmundur,,,,,,,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur,Ásmundur
Q254254,Q11879590,Élodie,Élodie,,伊洛蒂,,,אלודי,,Élodie,Élodie,Élodie,Élodie,Élodie,Élodie,Élodie,Élodie,Élodie,Élodie,Élodie
Q255470,Q12308941,بهروز,Behrouz,,贝赫鲁兹,,بهروز,,Бехруз,Behrouz,Behrouz,Behrouz,Behrouz,Behrouz,Behrouz,Behrooz,Behrouz,Behrouz,Behrouz,Behrouz
Q267326,Q101352,Dekker,Dekker,デッカー,德克尔,,ديكر,,,Dekker,Dekker,Dekker,Dekker,Dekker,Dekker,Dekker,Dekker,Dekker,Dekker,Dekker
Q300990,Q101352,Aamodt,Aamodt,,奥莫特,,آموت,,Омодт,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt,Aamodt
Q304622,Q101352,,Izzet,,,,,,,İzzet,Izzet,Izzet,Izzet,Izzet,Izzet,Izzet,Izzet,Izzet,Izzet,Izzet
Q307694,Q12308941,,Özay,,欧扎,,,,,Özay,Özay,Özay,Özay,Özay,Özay,Özay,Özay,Özay,Özay,Özay
Q317438,Q12308941,Abdur Razzaq,Abdur Razzaq,アブドゥル・ラザク,,,عبد الرزاق,,Абд ар-Раззак,Abdur Razzaq,Abdur Razzaq,Abdur Razzaq,Abdur Razzaq,Abdur Razzaq,Abdur Razzaq,Abdur Razzaq,Abdur Razzaq,,Abdur Razzaq,
Q318574,Q11879590,Abelina,Abelina,,,,,,,Abelina,Abelina,Abelina,Abelina,Abelina,Abelina,Abelina,Abelina,Abelina,Abelina,Abelina
Q329006,Q3409032,Sigfrid,Sigfrid,,西格弗里德,,,זיגפריד,Сигфрид / Зигфрид,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid,Sigfrid
Q336878,Q3409032,Jo,Jo,ジョー,,,جو,ג'ו,Джо,Jo,Jo,Jo,Jo,Jo,Jo,Jo,Jo,Jo,Jo,Jo
Q336958,Q12308941,Beat,Beat,,,,بيت,,Беат,Beat,Beat,Beat,Beat,Beat,Beat,Beat,Beat,Beat,Beat,Beat
Q345918,Q101352,Баландин,Balandin,,,,,,Баландин,,Balandine,,,,,,,,,Bałandin
Q346622,Q12308941,Hilding,Hilding,,希尔廷,,,,Хильдинг,Hilding,Hilding,Hilding,Hilding,Hilding,Hilding,Hilding,Hilding,Hilding,Hilding,Hilding
Q352078,Q101352,Adamski,Adamski,アダムスキー,亚当斯基,,آدمسكي,,Адамский,Adamski,Adamski,Adamski,Adamski,Adamski,Adamski,Adamski,Adamski,Adamski,Adamski,Adamski
Q359502,Q101352,Maurer,Maurer,マウラー,毛雷尔,,مورر,מאורר,Маурер,Maurer,Maurer,Maurer,Maurer,Maurer,Maurer,Maurer,Maurer,Maurer,Maurer,Maurer
Q360542,Q101352,Adolf,Adolf,アドルフ,阿道夫,,أدولف,,Адольф,Adolf,Adolf,Adolf,Adolf,Adolf,Adolf,Adolf,Adolf,Adolf,Adolf,Adolf
Q366030,Q12308941,Adomas,Adomas,,阿多马斯,,,,,Adomas,Adomas,Adomas,Adomas,Adomas,Adomas,Adomas,Adomas,Adomas,Adomas,Adomas
Q368894,Q101352,Haas,Haas,ハース,哈斯,,هاس,האס,Хаас,Haas,Haas,Haas,Haas,Haas,Haas,Haas,Haas,Haas,Haas,Haas
Q382158,Q11879590,Afet,Afet,アフェト,,,عفت,,,Afet,Afet,Afet,Afet,Afet,Afet,Afet,Afet,Afet,Afet,Afet
Q394062,Q12308941,Žilvinas,Žilvinas,,齐尔维纳斯,,,,,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas,Žilvinas
Q395150,Q11879590,Agnė,Agnė,,阿格尼,,آغني,אגנה,Агне,Agnė,Agnė,Agnė,Agnė,Agnė,Agnė,Agnė,Agnė,Agnė,Agnė,Agnė
Q417758,Q3409032,Aki,Aki,アキ,阿基,,آكي,אקי,Аки,Aki,Aki,Aki,Aki,Aki,Aki,Aki,Aki,Aki,Aki,Aki
Q423662,Q11879590,Akua,Akua,,,,,,,Akua,Akua,Akua,Akua,Akua,Akua,Akua,Akua,Akua,Akua,Akua
Q431758,Q101352,Nagy,Nagy,ナジ,纳吉,,ناغي,נאגי,Надь,Nagy,Nagy,Nagy,Nagy,Nagy,Nagy,Nagy,Nagy,Nagy,Nagy,Nagy
Q436862,Q101352,Altenburg,Altenburg,,阿尔滕堡,,,,Альтенбург,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg,Altenburg
Q454414,Q101352,Amann,Amann,アマン,,,,,Аманн,Amann,Amann,Amann,Amann,Amann,Amann,Amann,Amann,Amann,Amann,Amann
Q465790,Q12308941,Randolf,Randolf,,兰道夫,,,,Рэндольф,Randolf,Randolf,Randolf,Randolf,Randolf,Randolf,Randolf,Randolf,Randolf,Randolf,Randolf
Q473694,Q12308941,Børge,Børge,ボルゲ,博尔赫,,بورغ,בורגה,Бёрге,Børge,Børge,Børge,Børge,Børge,Børge,Børge,Børge,Børge,Børge,Børge
Q477534,Q11879590,,Dilara,,迪拉瓦尔,,,דילארה,Дилара / Диляра,Dilara,Dilara,Dilara,Dilara,Dilara,Dilara,Dilara,Dilara,Dilara,Dilara,Dilara
Q482014,Q12308941,Acsád,Acsád,,,,,,,Acsád,Acsád,Acsád,Acsád,Acsád,Acsád,Acsád,Acsád,Acsád,Acsád,Acsád
Q508894,Q12308941,Åke,Åke,オーケ,Åke,,أكي,אקה,Оке,Åke,Åke,Åke,Åke,Åke,Åke,Åke,Åke,Åke,Åke,Åke
Q511390,Q11879590,Anya,Anya,アーニャ,安雅,아냐,أنيا,אניה,Аня,Anya,Anya,Anya,Anya,Anya,Anya,Anya,Anya,Anya,Anya,Anya
Q516350,Q3409032,けい,Kei,けい,Kei,,كي,קיי,Кэй,Kei,Kei,Kei,Kei,Kei,Kei,Kei,Kei,Kei,Kei,Kei
Q517054,Q12308941,Agmánd,Agmánd,,,,,,,Agmánd,Agmánd,,,,,,,,,
Q531710,Q12308941,Ervin,Ervin,アーヴィン,歐文,,إرفين,ארווין,Эрвин,Ervin,Ervin,Ervin,Ervin,Ervin,Ervin,Ervin,Ervin,,Ervin,
Q535214,Q101352,King,King,キング,King,,كينغ,קינג,Кинг,King,King,King,King,King,King,King,King,King,King,King
Q537566,Q12308941,Furio,Furio,フリオ,弗里奥,,,פוריו,,Furio,Furio,Furio,Furio,Furio,Furio,Furio,Furio,Furio,Furio,Furio
Q545486,Q12308941,Marian,Marian,マリアン,马里安,,ماريان,מריאן,Мариан,Marian,Marian,Marian,Marian,Marian,Marian,Marian,Marian,Marian,Marian,Marian
Q546126,Q11879590,Griselda,Griselda,グリゼルダ,格里塞尔达,,جريزلدا,גריזלדה,Гризельда,Griselda,Griselda,Griselda,Griselda,Griselda,Griselda,Griselda,Griselda,Griselda,Griselda,Griselda
Q550334,Q12308941,Anatol,Anatol,,阿纳托尔,,أناتولي,אנטול,Анатол/Анатоль,Anatol,Anatol,Anatol,Anatol,Anatol,Anatol,Anatol,Anatol,Anatol,Anatol,Anatol
Q552110,Q101352,Agárdi,Agárdi,,,,,,,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi,Agárdi
Q558974,Q12308941,Aladin,Aladin,アラディン,,,علاء الدين,,Аладин,Aladin,Aladin,Aladin,Aladin,Aladin,Aladin,Aladin,Aladin,Aladin,Aladin,Aladin
Q569694,Q12308941,Ansgar,Ansgar,,安斯加,,أنسغار,אנסגאר,Ансгар,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar,Ansgar
Q573918,Q101352,Лосев,Losev,,,,,,Лосев,Lossew,Lossev,Losev,Losev,Losev,Losev,,,Losev,,
Q574510,Q11879590,Flavia,Flavia,フラヴィア,弗蕾维亚,,,פלאביה,Флавия,Flavia,Flavia,Flavia,Flavia,Flavia,Flavia,Flavia,Flavia,Flavia,Flavia,Flavia
Q594430,Q101352,Przybylski,Przybylski,プルシビルスキ,,,,,Пшибыльский,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski,Przybylski
Q596638,Q11879590,Antonella,Antonella,アントネッラ,安东内拉,안토넬라,أنطونيلا,אנטונלה,Антонелла,Antonella,Antonella,Antonella,Antonella,Antonella,Antonella,Antonella,Antonella,Antonella,Antonella,Antonella
Q608366,Q12308941,Ishana,Ishana,伊舎那天,伊舍那天,,إيشان,,,Ishana,Ishana,Ishana,Ishana,Ishana,Ishana,Ishana,Ishana,Iśana,Iśana,Iśana
Q610478,Q12308941,Arlo,Arlo,,,,,ארלו,,Arlo,Arlo,Arlo,Arlo,Arlo,Arlo,Arlo,Arlo,Arlo,Arlo,Arlo
Q615694,Q11879590,Aoife,Aoife,,奥菲,,,איפי,,Aoife,Aoife,Aoife,Aoife,Aoife,Aoife,Aoife,Aoife,Aoife,Aoife,Aoife
Q630846,Q11879590,Jessica,Jessica,ジェシカ,杰茜卡,제시카,جيسيكا,ג'סיקה,Джессика,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica
Q632894,Q12308941,Dankwart,Dankwart,,,,,,,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart,Dankwart
Q634062,Q12308941,Faustus,Faustus,ファウストゥス,,,,,Фавст,Faustus,Faustus,Faustus,Faustus,Faustus,Faustus,Faustus,Faustus,Faustus,Faustus,Faustus
Q641566,Q101352,Maij,Maij,,,,,,,Maij,Maij,Maij,Maij,Maij,Maij,Maij,Maij,Maij,Maij,Maij
Q642254,Q12308941,Graham,Graham,グレアム,格雷厄姆 (英语),,غراهام,,Грэм,Graham,,,,,,,,,,
Q643838,Q11879590,Delfina,Delfina,,德尔菲娜,,,,Дельфина,Delfina,Delfina,Delfina,Delfina,Delfina,Delfina,Delfina,Delfina,Delfina,Delfina,Delfina
Q650494,Q3409032,Vivian,Vivian,ヴィヴィアン,Vivian,,فيفيان,ויויאן,Вивиан,Vivian,Vivian,Vivian,Vivian,Vivian,Vivian,Vivian,Vivian,,Vivian,
Q652878,Q12308941,Benigny,Benigny,,,,,,Бенигны,Benigny,Benigny,Benigny,Benigny,Benigny,Benigny,Benigny,Benigny,Benigny,Benigny,Benigny
Q656590,Q11879590,Ingeborg,Ingeborg,インゲボルク,英格堡,잉게보르크,إنجبورج,אינגבורג,Ингеборг,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg,Ingeborg
Q659150,Q12308941,Jeremias,Jeremias,ジェレミアス,杰里迈亚斯,,,ירמיהו,,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias,Jeremias
Q660206,Q12308941,Trygve,Trygve,トリグヴェ,特里夫,,تريغفه,טריגווה,Трюгве,Trygve,Trygve,Trygve,Trygve,Trygve,Trygve,Trygve,Trygve,Trygve,Trygve,Trygve
Q660542,Q101352,Tewes,Tewes,,,,,,,Tewes,Tewes,Tewes,Tewes,Tewes,Tewes,Tewes,Tewes,Tewes,Tewes,Tewes
Q667918,Q101352,Gonthier,Gonthier,,贡蒂尔,,,,,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier,Gonthier
