qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q741,Q12308941,Ярослав,Yaroslav,ヤロスラフ,雅罗斯拉夫,,ياروسلاف,ירוסלב,Ярослав,Jaroslaw,Iaroslav,Yaroslav,Yaroslav,Jaroslav,Jaroslav,Jaroslav,Jaroslav,Jaroslav,Jaroslav,Jarosław
Q1557,Q12308941,Simeon,Simeon,シメオン,西面,시메온,سيميون,סימאון,Симеон,Simeon,Simeon,Simeon,Simeon,Simeon,Simeon,Simeon,Simeon,Simeon,Simeon,Simeon
Q18549,Q101352,Bowers,Bowers,バウアーズ,鲍尔斯,,باورز,בוורס,Бауэрс,Bowers,,,,,,,,,,
Q38405,Q101352,Engström,Engström,エングストローム,恩斯特龙,,إنغستروم,,Энгстрём,Engström,,,,,,,,,,
Q45749,Q101352,安,An,,,안,آن,אן,Ань,An,An,An,,,An,An,An,,,
Q75781,Q12308941,Barak,Barak,バラク,,,باراك,ברק,Барак,Barak,Barak,Barak,Barak,Barak,Barak,Barak,Barak,Barak,Barak,Barak
Q127733,Q11879590,Giulia,Giulia,ジュリア,朱利亚,,جوليا,ג'וליה,Джулия,Giulia,Giulia,Giulia,Giulia,Giulia,Giulia,Giulia,Giulia,Giulia,Giulia,Giulia
Q128373,Q11879590,Jovita,Jovita,,,,,ג'וביטה,,Jovita,Jovita,Jovita,Jovita,Jovita,Jovita,Jovita,Jovita,Jovita,Jovita,Jovita
Q153957,Q11879590,Barbara,Barbara,バーバラ,芭芭拉,,بربارة,ברברה,Варвара / Барбара,Barbara,Barbara,Barbara,Barbara,Barbara,Barbara,Barbara,Barbara,,Barbara,
Q173877,"Q202444,Q11879590",Gaëlle,Gaëlle,ガエル,盖勒,,جاليلي,גאל,Гаэлль,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle,Gaëlle
Q179205,Q101352,Mitchell,Mitchell,ミッチェル,米切尔,,ميتشيل,מיטשל,Митчелл,Mitchell,,,,,,,,,,
Q187733,Q101352,Zeller,,ツェラー,泽勒,,زيلر,זלר,Целлер,,,,,,,,,,,
Q203541,Q101352,Zimmer,Zimmer,ツィンマー,齐默尔/齐默/西默,,زيمر,צימר,Циммер,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer,Zimmer
Q211877,Q12308941,Yakup,Yakup,ヤクプ,,,يعقوب,יקופ,Якуп,Yakup,Yakup,Yakup,Yakup,Yakup,Yakup,Yakup,Yakup,Yakup,Yakup,Yakup
Q222053,Q11879590,Doreen,Doreen,ドリーン,多琳,,دورين,דורין,Дорин,Doreen,Doreen,Doreen,Doreen,Doreen,Doreen,Doreen,Doreen,Doreen,Doreen,Doreen
Q228101,Q11879590,Hermiona,Hermiona,ヘルミオナ,赫敏,,,הרמיוני,Гермиона / Хермиона,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona,Hermiona
Q230229,Q101352,Hecht,Hecht,ヘクト,赫特,,هيشت,הכט,Хект,Hecht,Hecht,Hecht,Hecht,Hecht,Hecht,Hecht,Hecht,Hecht,Hecht,Hecht
Q240085,Q101352,Wechsler,Wechsler,ウェクスラー,,웩슬러,,וקסלר,,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler,Wechsler
Q246629,Q12308941,Božidar,Božidar,ボジダル,博兹达尔,보지다르,,בוז'ידאר,Божидар,Božidar,Božidar,Božidar,Božidar,Božidar,Božidar,Božidar,Božidar,Božidar,Božidar,Božidar
Q247781,Q101352,Zöllner,Zöllner,ツェルナー,,,زولنر,,Цёлльнер,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner,Zöllner
Q250661,Q12308941,Álmos,Álmos,アールモシュ,,,,אלמוש,,Álmos,Álmos,Álmos,Álmos,Álmos,Álmos,Álmos,Álmos,Álmos,Álmos,Álmos
Q253493,Q11879590,Raffaella,Raffaella,ラファエッラ,拉法埃拉,,رافاييلا,רפאלה,,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella,Raffaella
Q253589,Q11879590,Oktawia,Oktawia,オクタヴィア,,,,אוקטביה,Октавия,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia,Oktawia
Q272853,Q101352,Çiçek,Çiçek,,奇切克,,,,,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek,Çiçek
