geni_id,qid,label_en
6000000008737218535,Q77895,Pujie
6000000008872633869,Q4410224,Yury Sverchkov-Saburov
6000000009179165501,Q2501720,Vladimir of Polotsk
6000000009796535956,Q185152,Puyi
6000000010209255196,Q88383074,Jakob Koppel Fränkel
6000000010210244379,Q124476305,Haggai Hanoch Fränkel
6000000010476331025,Q45374299,Zhang Zizhou
6000000010476591987,Q45374312,Zhang Hongyu
6000000010476940324,Q45374295,Zhang Junzheng
6000000010477090370,Q712065,Zhang Jiuling
6000000010800867099,Q4310626,Zhangsun Sheng
6000000010801428651,Q9753,Emperor Daizong of Tang
6000000010801513590,Q9760,Emperor Shunzong of Tang
6000000010801514264,Q1192341,Zhangsun Wuji
6000000010801664345,Q67444172,Lady Gao
6000000010942456696,Q113411919,Dmitry Kurakin
6000000011249640031,Q4604,Confucius
6000000011249866679,Q7239950,Ba Xia
6000000011249892406,Q847621,Shuliang He
6000000011282458405,Q9372,Sima Qian
6000000012134577337,Q3313682,Mikhail Golitsyn
6000000012370532905,Q45614719,Murong Yuan
6000000012371593301,Q45614656,Murong Yu
6000000012371886214,Q6134394,Murong Shaozong
6000000012431667989,Q339595,Nashimoto Morimasa
6000000012562127252,Q11499521,Atsumi-shinnō
6000000012580151007,Q7301,Prince of Hongnong
6000000012580196539,Q204077,Cao Cao
6000000012580196588,Q698890,Cao Zhi
6000000012580289955,Q313333,Cao Pi
6000000012580345035,Q7316,Emperor Xian of Han
6000000012580428694,Q699910,Cao Song
6000000012580469095,Q378470,Cao Rui
6000000012653113520,Q7488,Emperor Qinzong of Song
6000000012653136468,Q7486,Emperor Huizong of Song
6000000012653535544,Q16075300,Zhao Qi
6000000012653570212,Q3341509,Nikita Akinfiyevich Demidov
6000000012827361516,Q6143342,Zeng Guoquan
6000000012827436581,Q7482540,Zeng Jihong
6000000012827465485,Q61305502,Zeng Guangshan
6000000012827488681,Q189512,Zeng Guofan
6000000012827501848,Q11515259,Zeng Guohua
6000000012827521360,Q971925,Zeng Jize
6000000012827586454,Q11091434,Zeng Guohuang
6000000012851081023,Q11091540,Zeng Zhaolun
6000000012967226176,Q22812632,Kong Ni
6000000012967245121,Q22812636,Kong Cheng
6000000012967255967,Q10944422,Kong Fu
6000000012967275156,Q22812635,Kong Xian
6000000012967276191,Q22812633,Kong Fu
6000000012967278186,Q22812622,Kong Wu
6000000012967300599,Q22812629,Kong Zan
6000000012967304091,Q10944537,Kong Ba
6000000012967332540,Q22812627,Kong Sun
6000000012967336646,Q22812628,Kong Yao
6000000012967336680,Q22812631,Kong Zhen
6000000012967352005,Q22812640,Kong Zhangsun
6000000012967356967,Q15924364,Kong Sizhe
6000000012967356972,Q22812642,Kong Chongji
6000000012967359906,Q22812623,Kong Yannian
6000000012967402827,Q22812638,Kong Wentai
6000000012967402833,Q22812639,Kong Qu
6000000012967410661,Q22812641,Kong Delun
6000000012967608603,Q7240164,Kong Li
6000000012967671413,Q22812634,Kong Yi
6000000012967677450,Q10944341,Kong Fang
6000000012967686435,Q22812637,Kong Lingzhen
6000000012967687548,Q22812630,Kong Xian
6000000012967705264,Q22812682,Kong Zhong
6000000012967717254,Q22812625,Kong Jun
6000000012974243474,Q22812626,Kong Zhi
6000000012977074008,Q11091470,Zeng Xianzhi
6000000012977282998,Q30610932,Zeng Jifen
6000000012977293772,Q65032765,Zeng Jiliang
6000000012977365790,Q65032741,Zeng Guangzuo
6000000012979098751,Q24835105,Qiguan Shi
6000000013157063808,Q378356,Wei Zheng
6000000013331157405,Q699199,Huisheng
6000000013331296246,Q109173757,Tang Shi-xia
6000000013567302988,Q10869034,Prince Sheng
6000000013567421999,Q10944401,Kong Fujia
6000000013567576377,Q15939908,Fang shu
6000000013567653171,Q11093231,Mu Jinfu
6000000013567666036,Q15940896,Qi Fu
6000000013567681047,Q11123538,Zheng Kaofu
6000000013567684089,Q10947776,Song Fu Zhou
6000000013651042782,Q103805721,Vasily Khovansky
6000000013651053601,Q103805707,Pyotr Khovansky
6000000013651163015,Q15061772,Nikita Khovansky
6000000013651163071,Q2088116,Ivan Andreyevich Khovansky
6000000013651176024,Q15061774,Andrey Khovansky
6000000013651224310,Q113411589,Khovansky Fedor Ivanovich Telitsa
6000000013651237230,Q112996373,Khovansky Ivan Ivanovich Jerd
6000000013869716667,Q11091436,Zeng Guobao
6000000013869857183,Q63258241,Zeng Jishou
6000000013873799917,Q11091615,Beauson Tseng
6000000015292449558,Q33772,Du Fu
6000000016688518758,Q45425179,Lu Hong
6000000016688688543,Q45425223,Lu Huan
6000000016688722416,Q45426692,Lu Gong
6000000016688741429,Q45426735,Lu Huang
6000000016688833266,Q45426857,Lu Zhong
6000000016688843270,Q45426816,Lu Qin
6000000016688843277,Q45426900,Lu Ci
6000000016688906019,Q45426775,Lu Wen
6000000016688956120,Q45425263,Lu Xu
6000000016688977296,Q45425304,Lu Bao
6000000016689085145,Q3818137,Lu Kang
6000000016689085149,Q45425348,Lu Yu
6000000016691894608,Q1041879,Lu Ji
6000000016692115452,Q45426405,Lu Hong
6000000016697088719,Q45425389,Lu Jun
6000000016697095787,Q45426448,Lu Rui
6000000016697537425,Q378492,Lu Xun
6000000016698290515,Q862768,Lu Mao
6000000016699746684,Q45422167,Lu Rong
6000000016707215683,Q45588206,Lu Yi
6000000016708955792,Q1069914,Lu You
6000000016708988944,Q45358111,Lu Zai
6000000016925394642,Q5948949,Duke Min I of Song
6000000016925422854,Q11066329,Fu Fu He
6000000016925433518,Q735420,Di Yi
6000000016925447297,Q855836,Weizhong Yan
6000000016925467044,Q5949181,Duke Ding of Song
6000000016925474001,Q5948927,"Ji, Duke of Song"
6000000017342443836,Q16637531,Pyotr Golitsyn
6000000017522820282,Q11097477,Li Zhang
6000000017547984176,Q10484733,Yelü Pidie
6000000017553305700,Q45489405,Yan Baoshou
6000000017553391422,Q8251489,Yan Defei
6000000017553753538,Q11102246,Yang Shixiong
6000000017554351446,Q4309963,Li Mengjiang
6000000017554354336,Q4309050,Li Shen
6000000017554490033,Q45438460,Zhou Daowu
6000000017555555563,Q11124869,Wu Hua
6000000017567440111,Q130401849,Ivan Kropotkin
6000000017567538062,Q124316608,Vasily Sviatoslavovich of Smolensk
6000000017768502015,Q4060928,Alexander Nos
6000000017971623013,Q124316513,Dmitry Vasilievich Kropotka
6000000017986715716,Q4331763,Fyodor Odoyevsky
6000000018002013434,Q4189478,Ivan Zvenigorodsky
6000000018175300799,Q107004272,Nie Qipu
6000000018175300844,Q112683787,Nie Qichun
6000000018175373678,Q11611223,Nie Qijie
6000000018799875364,Q3350466,Olga Varen
6000000019262861829,Q5548901,Gustaf Aminoff
6000000019351158032,Q45388520,Lu Ziyu
6000000019472371141,Q11093751,Zhu Zai
6000000019587777673,Q13030451,Gleb Rogvolodovich of Drutsk
6000000019587884419,Q4189496,Zvenyslava Rogvolodovna
6000000019587959588,Q21684249,Vseslav Rogvolodovich of Drutsk
6000000019863336788,Q45400323,Zeng Xiaochun
6000000019864296842,Q45375499,Zeng Gongdu
6000000019864575796,Q45362817,Zeng Gongwang
6000000019864619667,Q45375502,Zeng Gongshi
6000000019865077518,Q45375504,Zeng Gongding
6000000019865504060,Q45400347,Zeng Cheng
6000000019867728243,Q45375497,Zeng Yu
6000000019867751396,Q45400330,Zeng Mu
6000000019867860153,Q45375490,Zeng Hui
6000000020601831750,Q10566119,Yuansun Yan
6000000020601867750,Q15892829,Yan Qinli
6000000020602103496,Q758566,Yan Zhenqing
6000000020602121434,Q22814233,Yan Zhaofu
6000000020602168168,Q18909081,Yan Weizhen
6000000020992263311,Q15615597,Svyatopolk Mstislavich
6000000021121514279,Q45421751,Liu Jiatai
6000000021121709617,Q11109368,Liu Heng
6000000021121976747,Q10350503,Liu Ji
6000000021122034508,Q45420321,Liu Hong
6000000021122065158,Q28479674,Liu Shuang
6000000021122067554,Q1567136,Liu Shi
6000000021122112187,Q10350820,Liu Shu
6000000021122163291,Q28481660,Liu Ze
6000000021122189021,Q11534325,Liu Dan
6000000021122246892,Q11534599,Liu Su
6000000021122271856,Q11109696,Liu Qing
6000000021137800721,Q836203,Emperor Ming of Western Liang
6000000021138184308,Q26208790,Wei Xu
6000000021138320696,Q736726,Wu
6000000021138478189,Q45526862,Wei Ji
