qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q37080,Q12308941,Leon,Leon,レオン,莱昂,,ليون,לאון,Леон,Leon,Leon,Leon,Leon,Leon,Leon,Leon,Leon,Leon,Leon,Leon
Q39000,Q101352,Κωνσταντόπουλος,Konstantopoulos,コンスタントプロス,康斯坦托普洛斯,,,,Константопулос,Konstantopoulos,Konstantopoulos,Konstantopoulos,Konstantopoulos,Konstantopoulos,Konstantopoulos,Konstantopoulos,,Konstantopoulos,,
Q113240,Q11879590,Irmela,Irmela,,,,,,,Irmela,Irmela,Irmela,Irmela,Irmela,Irmela,Irmela,Irmela,Irmela,Irmela,Irmela
Q118680,Q101352,Boissonade,Boissonade,,布瓦索纳德,,,,,Boissonade,,,,,,,,,,
Q120408,Q12308941,Артем,Artem,アルテム,阿尔焦姆,,أرتيم,ארטם,Артём,Artem,Artem,Artem,Artem,Artem,Artem,Artem,Artem,Artem,Artem,Artem
Q168280,Q12308941,Dušan,Dušan,ドゥシャン,杜尚,두샨,دوشان,דושאן,Душан,Dušan,Dušan,Dušan,Dušan,Dušan,Dušan,Dušan,Dušan,Dušan,Dušan,Dušan
Q174840,Q101352,Morávek,,モラーヴェク,莫拉韦克,,مورافيك,,Моравек,,,,,,,,,,,
Q180312,Q12308941,Torben,Torben,,托本,,توربن,טורבן,Торбен,Torben,Torben,Torben,Torben,Torben,Torben,Torben,Torben,Torben,Torben,Torben
Q180488,Q12308941,Osmar,Osmar,,奥斯马尔,,,אוסמר,Осмар,Osmar,Osmar,Osmar,Osmar,Osmar,Osmar,Osmar,Osmar,Osmar,Osmar,Osmar
Q197032,Q12308941,Zeuxippos,Zeuxippos,,,,,זאוקסיפוס,Зевксипп,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos,Zeuxippos
Q200600,Q12308941,Selahattin,Selahattin,セラハッティン,塞拉赫丁,,,סלהאטין,,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin,Selahattin
Q202664,Q101352,冯,Feng,馮,馮,펑,فونغ,,Фэн,Feng,Feng,Feng,Feng,Feng,Feng,Feng,Feng,Feng,Feng,Feng
Q221800,Q101352,Werthner,Werthner,,,,ويرثنر,,,Werthner,Werthner,Werthner,Werthner,Werthner,Werthner,Werthner,Werthner,Werthner,Werthner,Werthner
Q226904,Q12308941,Zoticus,Zoticus,,,,,,Изот,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus,Zoticus
Q227896,Q101352,Zuckermandel,Zuckermandel,,,,,,,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel,Zuckermandel
Q243304,Q101352,Langevin,Langevin,ランジェヴィン,朗之万,,لانجفان,,Ланжевен,Langevin,Langevin,Langevin,Langevin,Langevin,Langevin,Langevin,Langevin,Langevin,Langevin,Langevin
Q245304,Q12308941,Zygmunt,Zygmunt,ジグムント,齐格蒙特,지그문트,زيغمونت,זיגמונט,Зыгмунт / Сигизмунд / Зигмунд,Zygmunt,Zygmunt,Zygmunt,Zygmunt,Zygmunt,Zygmunt,Zygmunt,Zygmunt,,Zygmunt,
Q249832,Q101352,,Ban,班,班,반,بان,,Бань (фамилия),Ban,Ban,Ban,Ban,Ban,Ban,,,Ban,,
Q256744,Q3409032,Kirsten,Kirsten,キルステン,柯尔斯滕,,كيرستن,קירסטן,Кирстен,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten,Kirsten
Q257176,Q11879590,Benigna,Benigna,,,,,,Бенигна,Benigna,Benigna,Benigna,Benigna,Benigna,Benigna,Benigna,Benigna,Benigna,Benigna,Benigna
Q262776,Q12308941,Nepomuk,Nepomuk,ネポムク,尼波默克,,,נפומוק,Непомук,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk,Nepomuk
Q264344,Q101352,Davidsson,Davidsson,ダーヴィッドソン,,,,,,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson,Davidsson
Q285912,Q101352,Nicolai,Nicolai,ノト,尼古拉,,نيكولاي,,Николаи,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai,Nicolai
Q300824,Q101352,Aakula,Aakula,,,,,,,Aakula,Aakula,Aakula,Aakula,Aakula,Aakula,Aakula,Aakula,Aakula,Aakula,Aakula
Q300872,Q3409032,Aale,Aale,,,,,,,Aale,Aale,Aale,Aale,Aale,Aale,Aale,Aale,Aale,Aale,Aale
Q307288,Q12308941,,Abdul Malik,アブドゥルマリク,阿都马烈,,عبد الملك,עבד אל-מלכ,Абд аль-Малик,Abd al-Malik,Abd el-Malik,Abd al-Malik,Abdul-Malik,Abdul-Malik,Abdul-Malik,Abdul-Malik,Abdul Malik,Abdul-Malik,Abdul Malik,Abd al-Malik
Q307944,Q101352,,Özmert,,,,,,,Özmert,Özmert,Özmert,Özmert,Özmert,Özmert,Özmert,Özmert,Özmert,Özmert,Özmert
Q317304,Q12308941,,Abd al-Karīm,アブドゥル・カリーム,阿卜杜勒·卡里姆,,عبد الكريم,עבד אל-כרים,Абд аль-Карим,Abdul Karim,Abdul Karim,Abdul Karim,,,Abdul Karim,,,,,
Q330808,Q101352,Übelacker,Übelacker,,,,,,,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker,Übelacker
Q334808,Q3409032,,Ümit,,于米特,,,אומיט,,Ümit,Ümit,Ümit,Ümit,Ümit,Ümit,Ümit,Ümit,Ümit,Ümit,Ümit
