geni_id,field,value,numeral_tokens,found_in
1077060,GIVN,Robert VII dit Robin,VII,exports/gaps/export-Forest-6000000227086717913.ged
1077692,GIVN,Robert VI,VI,exports/gaps/export-Forest-6000000227086717913.ged
1106315,GIVN,Hugues I,I,exports/gaps/export-Forest-6000000227086380915.ged
1292632,_MARNM,Sörhus II,II,exports/8-19 exports/export-Forest-6000000227293344963.ged
1349900,GIVN,Dániel IV,IV,exports/chain-seeds/export-Forest-6000000227315959846.ged
1354307,GIVN,Louis II,II,exports/abul-hamza-descendants/export-Descendants-6000000227707589983.ged
1405891,GIVN,Sofia / Sonja,/,exports/bure-campaign/export-Forest-6000000227477211859.ged
1667063,NICK,"""""]","""""]",exports/Wife of John Harvey/export-Descendants-6000000227143930843.ged
1762284,GIVN,Bengt I.,I.,exports/chain-seeds/export-Forest-6000000227313817874.ged
2160061,GIVN,Magdalena / Malin Charlotta,/,exports/8-19 exports/export-Forest-6000000227297537905.ged
2247499,SURN,Waern (Nr: 2326),2326),exports/8-19 exports/export-Forest-6000000227297694836.ged
2258010,SURN,Waern (Nr: 2326),2326),exports/bure-campaign/export-Forest-6000000227475085853.ged
2429511,GIVN,Friedrich III,III,exports/8-19 exports/export-Forest-6000000227297393968.ged
2430192,NICK,Lodewijk II,II,exports/bure-campaign/export-Ancestors-6000000227464556886.ged
2430192,NICK,Ludvig II Änkyttäjä,II,exports/bure-campaign/export-Ancestors-6000000227464556886.ged
2433557,GIVN,Dirck II,II,exports/gaps/export-Descendants-6000000227086244080.ged
2433557,GIVN,Dirk II,II,exports/gaps/export-Descendants-6000000227086244080.ged
2433557,NICK,Dirk II van Voorne,II,exports/gaps/export-Descendants-6000000227086244080.ged
2433762,GIVN,Willem III,III,exports/chain-seeds/export-Forest-6000000227298391886.ged
2433878,GIVN,Reinoud I,I,exports/chain-seeds/export-Forest-6000000227322001858.ged
2434187,GIVN,Walraven II,II,exports/8-19 exports/export-Forest-6000000227295142836.ged
2434473,GIVN,Reinier IV,IV,exports/abul-hamza-descendants/export-Descendants-6000000227710647857.ged
2510651,NICK,1658 Thomasgumman,1658,exports/bure-campaign/export-Forest-6000000227474865984.ged
2569425,GIVN,James I,I,exports/northern-dfa/export-Descendants-6000000227726348824.ged
284974664930006097,GIVN,Brita (I) Tomasdatter,(I),exports/chain-seeds/export-Forest-6000000227310727839.ged
285601342810004065,NICK,"Emund II ""The Old"" Olafsson Konge af Sverige",II,exports/abul-hamza/export-Forest-6000000227676734863.ged
