given_name,records,looks_placeholder
Private,16945,yes
,9270,yes
<private>,4065,yes
John,2260,no
Maria,1992,no
NN,1874,yes
Elizabeth,1770,no
William,1561,no
Pedro,1496,no
Mary,1471,no
Thomas,1432,no
N.N.,1390,yes
Juan,1351,no
Anna,1283,no
Isabel,1245,no
Francisco,1183,no
María,1011,no
Joseph,1004,no
Anne,896,no
Sarah,868,no
Jean,855,no
Robert,847,no
João,801,no
Samuel,791,no
Jeanne,785,no
James,781,no
Richard,758,no
Margaret,732,no
Juana,703,no
Marie,684,no
Antonio,676,no
Ana,672,no
Diego,670,no
Leonor,654,no
?,647,yes
Henry,616,no
Anders,612,no
David,603,no
Marguerite,594,no
Teresa,560,no
Catherine,553,no
Francisca,551,no
Jane,517,no
Abraham,516,no
Hannah,516,no
Guillaume,505,no
George,505,no
Elisabeth,503,no
Sara,477,no
Jacob,473,no
Catalina,466,no
Isaac,460,no
Ann,458,no
Charles,454,no
Hans,453,no
Unknown,429,yes
Agnes,429,no
Manuel,419,no
Fernando,414,no
Beatriz,413,no
Lars,407,no
Peder,396,no
Gonçalo,369,no
Alice,367,no
Catarina,358,no
Erik,350,no
José,348,no
Martha,348,no
Edward,341,no
Esther,337,no
Simon,336,no
N,335,no
Diogo,335,no
Rodrigo,333,no
Louis,332,no
Johannes,330,no
Mathilde,330,no
Rachel,328,no
Miguel,323,no
Alonso,322,no
Elvira,321,no
Luis,321,no
Antonia,320,no
Fernão,314,no
Pierre,308,no
Heinrich,304,no
Daniel,304,no
Moses,304,no
Sophie,303,no
Johan,299,no
Salomon,296,no
Benjamin,295,no
Nils,294,no
Joan,289,no
Brites,288,no
Josefa,287,no
Ole,287,no
Joana,271,no
Sancha,270,no
Mariana,269,no
Olof,269,no
Jakob,267,no
Margareta,266,no
Martim,265,no
Ingeborg,264,no
Johanna,264,no
Jacques,260,no
Emma,259,no
Rebecca,258,no
Muhammad,256,no
Álvaro,256,no
某,255,no
Jens,254,no
Per,251,no
Inês,250,no
Niels,248,no
Hugues,246,no
Bertha,245,no
Gonzalo,243,no
Karen,236,no
Judith,233,no
Adelheid,232,no
Abigail,232,no
Rui,230,no
Urraca,230,no
Luisa,228,no
Nathan,228,no
Mary Ann,224,no
Henriette,223,no
Martin,221,no
Brita,220,no
Isabelle,218,no
Alix,213,no
Afonso,212,no
Clara,205,no
Abdullah,205,no
Caroline,205,no
Vasco,202,no
Ali,201,no
Alexander,200,no
Peter,200,no
Gaspar,199,no
Otto,199,no
Roger,199,no
Rosa,198,no
Mrs.,198,no
Guy,196,no
Jon,196,no
Jonas,196,no
António,195,no
Magdalena,195,no
Ruth,195,no
Louise,194,no
Margrethe,190,no
Henri,190,no
Margarita,188,no
Maren,188,no
Lucy,188,no
Albert,187,no
Violante,184,no
Walter,184,no
Eleanor,182,no
Inés,181,no
Gabriel,181,no
Fanny,178,no
Blanche,177,no
Guiomar,176,no
Philippe,175,no
Nicolás,173,no
Karin,173,no
Catharina,172,no
Antoine,171,no
Helena,169,no
María Josefa,169,no
Agnès,169,no
Hermann,169,no
Isabeau,168,no
Stephen,168,no
Julius,166,no
Charlotte,163,no
Nicolas,160,no
Sancho,159,no
Grace,158,no
Isabella,156,no
Frances,155,no
Nathaniel,155,no
Nancy,153,no
Bernard,152,no
Ida,152,no
Jonathan,152,no
Barbara,151,no
Jan,151,no
Helene,150,no
Kirsten,149,no
Filipa,148,no
Cristóbal,147,no
Julie,146,no
Christopher,144,no
François,143,no
Lorenzo,142,no
Hugh,142,no
Margarida,138,no
Karl,138,no
Michael,138,no
Alfred,138,no
Ana María,137,no
Juan Antonio,137,no
Jørgen,136,no
Edmund,136,no
Katherine,136,no
Christian,135,no
Gertrudis,134,no
Moshe,134,no
Carl,134,no
Pauline,134,no
Martín,133,no
Philip,133,no
Sophia,133,no
Friedrich,133,no
Inger,131,no
Gruffudd,131,no
Mécia,130,no
Lopo,129,no
Bernardo,129,no
Ellen,129,no
Andreas,129,no
Jorge,128,no
Michel,128,no
Hanna,128,no
Ludwig,126,no
Francis,126,no
Ebenezer,126,no
Paul,125,no
Ingrid,125,no
Arthur,125,no
Nicholas,124,no
氏,124,no
Constança,122,no
Johanne,122,no
محمد,122,no
Nuno,121,no
Sigrid,121,no
Dorothy,121,no
Kerstin,120,no
Edel,119,no
Henrik,118,no
Aron,118,no
