qid	geni_id	neighbourhood_size	last_attempted
Q45383466	6000000074746709861	451	2026-09-10
Q45383468	6000000074746768841	451	2026-09-10
Q45439797	6000000074746781821	451	2026-09-10
Q45439859	6000000074746492080	451	2026-09-10
Q45439922	6000000074746360097	451	2026-09-10
Q45439985	6000000074746111427	451	2026-09-10
Q45440046	6000000074745830467	451	2026-09-10
Q45440109	6000000074746124370	451	2026-09-10
Q45440171	6000000074746625957	451	2026-09-10
Q45440236	6000000074746749852	451	2026-09-10
Q45440297	6000000074746720861	451	2026-09-10
Q45440361	6000000074746663941	451	2026-09-10
Q45440424	6000000074746553034	451	2026-09-10
Q45440488	6000000074746673917	451	2026-09-10
Q45440549	6000000074746356172	451	2026-09-10
Q45440615	6000000074746781840	451	2026-09-10
Q45440677	6000000074746247274	451	2026-09-10
Q45440737	6000000074746328268	451	2026-09-10
Q45440801	6000000074746346133	451	2026-09-10
Q45440863	6000000074746677880	451	2026-09-10
Q45440925	6000000074746745848	451	2026-09-10
Q45440986	6000000074746546039	451	2026-09-10
Q45441050	6000000074745717602	451	2026-09-10
Q45441114	6000000074746695915	451	2026-09-10
Q45441177	6000000074746782858	451	2026-09-10
Q45441240	6000000074746530015	451	2026-09-10
Q45441303	6000000074746392134	451	2026-09-10
Q45441366	6000000074746020370	451	2026-09-10
Q45441429	6000000074746762871	451	2026-09-10
Q45441492	6000000074746624912	451	2026-09-10
Q45441557	6000000074746456092	451	2026-09-10
Q45441619	6000000074746111444	451	2026-09-10
Q45441684	6000000074746497085	451	2026-09-10
Q45441745	6000000074746757871	451	2026-09-10
Q45441809	6000000074746777846	451	2026-09-10
Q45441874	6000000074746483036	451	2026-09-10
Q45441935	6000000074746454118	451	2026-09-10
Q45441998	6000000074746507097	451	2026-09-10
Q45442061	6000000074746722880	451	2026-09-10
Q45442126	6000000074745860395	451	2026-09-10
Q45442189	6000000074746814821	451	2026-09-10
Q45442255	6000000074746516018	451	2026-09-10
Q45442319	6000000074746688938	451	2026-09-10
Q45442383	6000000074746709884	451	2026-09-10
Q45442445	6000000074746726897	451	2026-09-10
Q45442507	6000000074746619016	451	2026-09-10
Q45442569	6000000074746646955	451	2026-09-10
Q45442632	6000000074746206075	451	2026-09-10
Q45442695	6000000074745864619	451	2026-09-10
Q45442756	6000000074746530030	451	2026-09-10
Q45442822	6000000074746805849	451	2026-09-10
Q45442886	6000000074746823821	451	2026-09-10
Q45442949	6000000074746497095	451	2026-09-10
Q45443010	6000000074746191306	451	2026-09-10
Q45443074	6000000074745752707	451	2026-09-10
Q45443137	6000000074746655921	451	2026-09-10
Q45443200	6000000074746792848	451	2026-09-10
Q45443263	6000000074746683895	451	2026-09-10
Q45443327	6000000074746224439	451	2026-09-10
Q45443392	6000000074746777867	451	2026-09-10
Q45443455	6000000074746832833	451	2026-09-10
Q45443519	6000000074746762907	451	2026-09-10
Q45443581	6000000074746500131	451	2026-09-10
Q45443645	6000000074746724877	451	2026-09-10
Q45443709	6000000074746334230	451	2026-09-10
Q45443773	6000000074746842821	451	2026-09-10
Q45443839	6000000074746729861	451	2026-09-10
Q45443900	6000000074746439222	451	2026-09-10
Q45443964	6000000074746536091	451	2026-09-10
Q45444026	6000000074746775866	451	2026-09-10
Q45444090	6000000074746781884	451	2026-09-10
Q45444151	6000000074746688956	451	2026-09-10
Q45444214	6000000074746476071	451	2026-09-10
Q45444278	6000000074746674957	451	2026-09-10
Q45444340	6000000074746680941	451	2026-09-10
Q45444414	6000000074746467197	451	2026-09-10
Q45444476	6000000074746824843	451	2026-09-10
Q45444539	6000000074746686944	451	2026-09-10
Q45444602	6000000074746680945	451	2026-09-10
Q45444668	6000000074746198384	451	2026-09-10
Q45444732	6000000074746264184	451	2026-09-10
Q45444794	6000000074746854821	451	2026-09-10
Q45444857	6000000074746805867	451	2026-09-10
Q45444920	6000000074746781907	451	2026-09-10
Q45444983	6000000074745982419	451	2026-09-10
Q45445046	6000000074746111458	451	2026-09-10
Q45445112	6000000074746827849	451	2026-09-10
Q45445174	6000000074746845825	451	2026-09-10
Q45445237	6000000074746749930	451	2026-09-10
Q45445301	6000000074745830522	451	2026-09-10
Q45445366	6000000074746732948	451	2026-09-10
Q45445428	6000000074746664909	451	2026-09-10
Q45445490	6000000074746588022	451	2026-09-10
Q45445552	6000000074746796874	451	2026-09-10
Q45445614	6000000074746138349	451	2026-09-10
Q45445677	6000000074746835835	451	2026-09-10
Q45445741	6000000074746799860	451	2026-09-10
Q45445805	6000000074746586971	451	2026-09-10
Q45445866	6000000074746627058	451	2026-09-10
Q45445930	6000000074746235222	451	2026-09-10
Q45445994	6000000074746565127	451	2026-09-10
Q45446057	6000000074745980564	451	2026-09-10
Q45446119	6000000074746645981	451	2026-09-10
Q45446182	6000000074746405238	451	2026-09-10
Q45446248	6000000074746356305	451	2026-09-10
Q45446309	6000000074746835848	451	2026-09-10
Q45446374	6000000074746788900	451	2026-09-10
Q45446438	6000000074746720925	451	2026-09-10
Q45446501	6000000074745830542	451	2026-09-10
Q45446563	6000000074746829904	451	2026-09-10
Q45446626	6000000074746728927	451	2026-09-10
Q45446690	6000000074746803890	451	2026-09-10
Q45446750	6000000074746647032	451	2026-09-10
Q45446814	6000000074746238252	451	2026-09-10
Q45446876	6000000074746889821	451	2026-09-10
Q45448377	6000000074746804905	451	2026-09-10
Q45448441	6000000074746891821	451	2026-09-10
Q45448504	6000000074746191361	451	2026-09-10
Q45448568	6000000074746878837	451	2026-09-10
Q45448628	6000000074746874850	451	2026-09-10
Q45448691	6000000074746527039	451	2026-09-10
