script	people	share	with_a_latin_label	without	implies_languages	example_geni_id	example
Latin	1271353	95.64%	1251607	19746	en, no, sv, da, de, nl, fr, es, it		
Han	47296	3.56%	2438	44858	zh, ja, ko (hanja)	3044162	大唐帝國 謝氏
Cyrillic	9411	0.71%	4863	4548	ru, uk, be, bg, sr, mk	288390320120001964	Карл Мартелл
Hebrew	6086	0.46%	5071	1015	he, yi	1673490	יצחק נתן ליפשיץ
Hangul	5355	0.40%	427	4928	ko	6000000002187576411	원세조 쿠빌라이 칸
Arabic	4283	0.32%	4101	182	ar, fa, ur	376469510660012902	خداوندگار
Greek	445	0.03%	400	45	el	359281527140013083	Μιχαήλ Ζ΄ Δούκας Αυτοκράτορας 
Kana	331	0.02%	71	260	ja	347803456540001332	クヌート1世 (イングランド王)
other (Ideographic)	90	0.01%	8	82		6000000001749963001	寧々 高台院 杉原
Armenian	35	0.00%	35	0	hy	6000000000437008616	Տիգրան Առաջին արքան Հայաստան
Georgian	28	0.00%	23	5	ka	359282141180013088	Ბაგრატ
Mongolian	26	0.00%	14	12	mn	6000000001662438182	ᠪᠣᠷᠵᠢᠭᠢᠨ ᠬᠢᠶᠠᠨ
Tibetan	24	0.00%	6	18	bo	6000000017522862329	Mongsa Chinjam མོང་བཟའ་ཁྲི་ལནྕ
Devanagari	8	0.00%	8	0	hi, mr, ne, sa	6000000000206304213	ब्रह्मा
other (Katakana-Hiragana)	5	0.00%	5	0		347803456540001332	クヌート1世 (イングランド王)
Ethiopic	5	0.00%	4	1	am, ti	6000000004084415927	ደቅስዮስ
Tamil	3	0.00%	3	0	ta	6000000003243324914	Aguillon.(அகிலன்)
other (Egyptian)	3	0.00%	0	3		6000000074750137120	子𓉌 京兆萬年
other (Runic)	2	0.00%	2	0		6000000000314924873	Hler-Ægi (ᚺᛚᛖ-ᚨᚷᛁ)
other (Gothic)	2	0.00%	2	0		6000000003827147352	𐌰𐌼𐌰𐌻𐌰𐍆𐍂𐌹𐌳𐌰
Bengali	1	0.00%	1	0	bn		
Thai	1	0.00%	1	0	th	6000000220360076823	(ชลชนัย)
