geni_id,qid,name,occupation,in_local_store,item_geni_ids,status,exports
5020588832990036045,Q465426,Elisabeth /de Misnie/ Burgravine of Nuremberg,,yes,6000000010621270762 5020588832990036045,already linked,exports\archive\export-geni\export-Forest-27.ged exports\fleshing-out\export-geni\export-Forest-29.ged exports\fleshing-out\export-geni\export-Forest-32.ged
6000000000437174624,Q694696,Raoul (Rodolphe) I comte de Sens,"Count of Ponthieu 866, Count of Troyes, Abbé de Saint Riquier 856, Abbot of Jumièges 849)",yes,,"in store, no Geni ID -> add",exports\gaps\export-Forest-6000000227086244080.ged exports\gaps\export-Forest-6000000227086455824.ged exports\gaps\export-Forest-6000000227227104853.ged
6000000001126393441,Q908278,Domenico /Selvo/ 31st doge of Venice,"Venecie et Dalmacie dux 1071-1084 destituito, protoproedos bizantino",yes,,"in store, no Geni ID -> add",exports\archive\export-geni\export-Forest-23.ged exports\archive\export-geni\export-Forest-27.ged exports\fleshing-out\export-geni\export-Forest-29.ged exports\gaps\export-Forest-6000000227227104853.ged
6000000001479998258,Q457586,"Sophia /Jagiellon/ Princess, Markgravine of Brandenburg-Ansbach-Bayreuth",,yes,6000000001479998258,already linked,exports\fleshing-out\export-geni\export-Forest-29.ged
6000000002187798500,Q2031173,Mechtild (Mathilda) /van Gelre en Zutphen/,,yes,,"in store, no Geni ID -> add",exports\gaps\export-Forest-6000000227225628908.ged exports\n n\export-geni (1)\export-Forest.ged
6000000003087154313,Q455269,Philipp Von /Heinsberg/ Archbishop Of Koln,,yes,,"in store, no Geni ID -> add",exports\gaps\export-Descendants-6000000227086244080.ged exports\gaps\export-Forest-6000000227225628908.ged exports\n n\export-geni (1)\export-Forest.ged
6000000003828248322,Q110574913,"Pons I /de Caylus/ Baron de Castelnau, Calmont-d'Olt",Baron de Castelnau,yes,6000000003828248322,already linked,exports\archive\export-geni\export-Forest-2.ged
6000000004167822768,Q382339,"William 'the Grand' /of Aquitaine/ III Count of Poitou, V Duke of Aquitaine","Duc d'Aquitaine, Comte de Poitou, COUNT OF AQUITAINE V AND POITOU III, 'THE GREAT', Duque de Aquitania, Duke of Aquitaine, Count of Poitou, Sieur, des fiefs Chabot, Duc, d'Aquitaine, Comte, de Poitiers, de Poitou, Abbé laïc, de Sa",yes,6000000004167822768,already linked,exports\archive\export-geni\export-Forest-19.ged exports\fleshing-out\export-geni\export-Forest-20.ged exports\gaps\export-Ancestors-6000000177921459114.ged exports\gaps\export-Descendants-6000000227086455824.ged exports\gaps\export-Forest-6000000227086244080.ged exports\gaps\export-Forest-6000000227086455824.ged exports\gaps\export-Forest-6000000227225487992.ged exports\gaps\export-Forest-6000000227227035828.ged exports\gaps\export-Forest-6000000227227104853.ged
6000000004533725733,Q694696,Hruodun - Roduna /Elsass/,,yes,,"in store, no Geni ID -> add",exports\gaps\export-Forest-6000000227086244080.ged exports\gaps\export-Forest-6000000227086455824.ged
6000000004868902258,Q346968,Pierre /d'Amboise/ III,,yes,,"in store, no Geni ID -> add",exports\archive\export-geni\export-Forest-2.ged
6000000006444125910,Q4444793,Thomas /Stanley/,"2nd Earl of Derby, 2nd earl of derby, kb   - Lord of Man and the Isles, 10th Lord Strange of Knokyn.  Lord of Man and the Isles",yes,6000000006444125910,already linked,exports\descendants\export-Descendants-6000000227086380915.ged
6000000006727810001,Q124108,Sophie /von Sachsen-Lauenburg/,"Herzogin zu Jülich-Berg, Gräfin von Ravensberg, Wife & Duchess of Julich-Berg",yes,,"in store, no Geni ID -> add",exports\fleshing-out\export-geni\export-Forest-32.ged
6000000007038023043,Q75527286,Isabella /Rothschild/,,yes,,"in store, no Geni ID -> add",exports\gaps\export-Descendants-6000000227227194942.ged
6000000007090942276,Q327869,Antoinette Marie /Murat/,"Antoinette Marie Murat, Princesse Murat",yes,,"in store, no Geni ID -> add",exports\wife of Ignazio Malerba\export-Forest-6000000227147141927.ged
6000000007316403023,Q1567543,Adrien,"Comte d'Orléans et de Wormsgau, Comte d'Orléans, Comte d'Orleans, Graaf van Orleans, comte d'Orléans, comte palatin du Rhin, Count of Orleans, Comte Palatin Du Rhin Allemagne-France",yes,6000000007316403023,already linked,exports\gaps\export-Ancestors-6000000177921459114.ged exports\gaps\export-Descendants-6000000227086455824.ged exports\gaps\export-Forest-6000000227086244080.ged exports\gaps\export-Forest-6000000227086455824.ged
6000000008152198021,Q354949,Adelheid /von Weimar-Orlamünde/,,yes,,"in store, no Geni ID -> add",exports\gaps\export-Ancestors-6000000177921459056.ged exports\gaps\export-Ancestors-6000000177921459114.ged exports\gaps\export-Descendants-6000000227086244080.ged exports\gaps\export-Descendants-6000000227086455824.ged exports\gaps\export-Forest-6000000227086244080.ged exports\gaps\export-Forest-6000000227227104853.ged exports\n n\export-geni (1)\export-Forest.ged
6000000008162308283,Q25984055,Berit Gøril /Havrevold/,sosionom,yes,,"in store, no Geni ID -> add",exports\fleshing-out\export-geni\export-Forest-34.ged
6000000008640446405,Q76355849,"Conan /de Fiennes/ chevalier, seigneur de Fiennes","chevalier, seigneur de Fiennes",yes,,"in store, no Geni ID -> add",exports\gaps\export-Descendants-6000000227086244080.ged exports\gaps\export-Descendants-6000000227086455824.ged
6000000010671354763,Q3102581,Zayd Abu Zayd,Emir Almohade de Valence (1224-1229),yes,,"in store, no Geni ID -> add",exports\fleshing-out\export-geni\export-Forest-31.ged
6000000013376335548,Q55858484,Rudolf /Schiff/,,yes,6000000013376335548,already linked,exports\gaps\export-Descendants-6000000227227194942.ged
6000000013953053734,Q18225319,Lodewijk /van Egmont/,Graaf van Egmond Prins van Gavere,yes,,"in store, no Geni ID -> add",exports\descendants\export-Descendants-6000000177955802827.ged
6000000016254584618,Q751918,"Sanballat ""the Horonite"" Governor of Samaria",,no,,not in local store -> add,exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000018911102139,Q16272585,Aribert II /of the Obotrites/,,yes,,"in store, no Geni ID -> add",exports\gaps\export-Forest-6000000227086455824.ged
6000000066689644853,Q6793829,Mauritz /Gisiko/,,yes,6000000066689644853,already linked,exports\gaps\export-Forest-6000000227227142945.ged
6000000174188145416,Q105488237,Shad Molouk Malik /Timurid/,,no,,not in local store -> add,exports\archive\export-geni\export-Forest-36.ged exports\fleshing-out\export-geni\export-Forest-10.ged
6000000177656672888,Q120564,“Okiko” Meisho 109th Emperor 1629–1643,,yes,6000000011626883169,"additional P2600 - item already carries 6000000011626883169, unmergeable Geni duplicate",exports\archive\export-geni\export-Forest-50.ged exports\descendants\export-Descendants-6000000210455376824.ged exports\descendants\export-Descendants-6000000210457327856.ged exports\descendants\export-Descendants-6000000227040613855.ged exports\edges\export-Forest-6000000227085797849.ged exports\fleshing-out\export-geni\export-Descendants-21.ged exports\gaps\export-Forest-6000000227086500885.ged exports\stragglers\export-geni\export-Forest-42.ged
6000000178917300876,Q20502598,Jonathan I /Samaritan High Priest/,,no,,not in local store -> add,exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000178918027844,Q2911644,Baba Rabba /Samaritan High Priest/,,no,,not in local store -> add,exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000184120509831,Q3721829,Eleonora /d'Este/,,yes,,"in store, no Geni ID -> add",exports\descendants\export-Descendants-6000000227086380915.ged
6000000227239142939,Q51676,Aaron I /Samaritan High Priest/,,yes,6000000000792907064,"additional P2600 - item already carries 6000000000792907064, unmergeable Geni duplicate",exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239206857,Q1675214,Itamar ben Aaron,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239234867,Q477527,Amram,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged
6000000227239238885,Q594805,Jochebed,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged
6000000227239364860,Q1941782,Nadab /ben Aaron/,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239386881,Q159443,Eleazar I /ben Aaron/,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239421822,Q128063,Phinehas I /Samaritan High Priest/,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239426835,Q321166,Abihu /ben Aaron/,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239506922,Q2836764,Bakhi ben Sashai /Samaritan High Priest/,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239529842,Q2338482,Abishua I /Samaritan High Priest/,,yes,,"in store, no Geni ID -> add",exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
6000000227239653826,Q115804497,Sashai ben Abishua /Samaritan High Priest/,,no,,not in local store -> add,exports\samaritans\export-Ancestors-6000000227240714964.ged exports\samaritans\export-Forest-6000000227240691895.ged
