geni_id,qid,characters,mul
6000000001850512806,,磐之媛命,磐之媛命
6000000001903958792,,寶 皇極天皇 斉明天皇,皇極天皇
6000000012422668422,,高野新笠,高野新笠
6000000012562127252,Q11499521,敦実親王,敦実親王
6000000001843084838,,薊瓊入媛,薊瓊入媛
6000000001843193481,,真砥野媛,真砥野媛
6000000001849152023,,宮主宅媛,宮主宅媛
6000000001860233615,,橘仲皇女,橘仲皇女
6000000001904744169,,但馬皇女,但馬皇女
6000000001749047220,,充房 万里小路,万里小路充房
6000000001752744491,,覚円 勧修寺門,覚円
6000000001752798334,,道応 聖護院門,道応
6000000001752874209,,尭胤 仁和寺門,尭胤
6000000001831487883,,天穂日命,天穂日命
6000000001835919021,,千千衝倭,千千衝倭
6000000001844390361,,櫛角別王,櫛角別王
6000000001844466621,,弟姫皇女,弟姫皇女
6000000001846137912,,石社別命,石社別命
6000000001846205772,,天帯根命,天帯根命
6000000001846233638,,武押別命,武押別命
6000000001846294182,,稚屋彦命,稚屋彦命
6000000001846306980,,豊津彦命,豊津彦命
6000000001846356304,,色焦別命,色焦別命
6000000001846386315,,豊手別命,豊手別命
6000000001846401908,,武弟別命,武弟別命
6000000001846533532,,豊日別命,豊日別命
6000000001846564160,,手事別命,手事別命
6000000001846576449,,倭宿禰命,倭宿禰命
6000000001846594091,,大焦別命,大焦別命
6000000001848514027,,荒田皇女,荒田皇女
6000000001849032173,,高城入姫,高城入姫
6000000001858443311,,中磯皇女,中磯皇女
6000000001904486073,,阿陪 元明天皇,元明天皇
6000000002280996127,,松平乗春,松平乗春
6000000014042372031,,冬秀 江,江冬秀
6000000032481251880,,李見龍,李見龍
6000000120898755877,,陳,
6000000130209560993,,木元 姬,姬木元
6000000130211033869,,傳光 姬,姬傳光
6000000130211161851,,日龍 姬,姬日龍
6000000133683059077,,貞純親王,貞純親王
6000000220958007995,,黃淑清,黃淑清
6000000001752679378,,興信 勧修寺門,興信
6000000001753095045,,椎野寺主,椎野寺主
6000000001753871743,,満子女王,満子女王
6000000001765368974,,熈仁親王,熈仁親王
6000000001830396497,,泣沢女神,泣沢女神
6000000001830593926,,神直毘神,神直毘神
6000000001830699195,,時量師神,時量師神
6000000001830805167,,伊豆能売,伊豆能売
6000000001830820139,,大直毘神,大直毘神
6000000001832951596,,鳥鳴海神,鳥鳴海神
6000000001835980844,,大入杵命,大入杵命
6000000001843143864,,息速別命,息速別命
6000000001843183905,,苅幡戸辺,苅幡戸辺
6000000001843554082,,磐撞別命,磐撞別命
6000000001843567013,,袁那弁王,袁那弁王
6000000001843653568,,胆武別命,胆武別命
6000000001844426482,,水歯郎媛,水歯郎媛
6000000001844553245,,五十河媛,五十河媛
6000000001846360986,,稲依別王,稲依別王
6000000001846444746,,稚武彦王,稚武彦王
6000000001846548598,,弟財郎女,弟財郎女
6000000001846720041,,吉備郎姫,吉備郎姫
6000000001846936068,,足鏡別王,足鏡別王
6000000001846945008,,十城別王,十城別王
6000000001858561336,,青海皇女,青海皇女
6000000001859061040,,太姫郎姫,太姫郎姫
6000000001859062113,,高鶴郎姫,高鶴郎姫
6000000001859169555,,衣通郎姫,衣通郎姫
6000000001859446559,,酒見皇女,酒見皇女
6000000001860393276,,樟氷皇女,樟氷皇女
6000000001860629101,,朝嬬皇女,朝嬬皇女
6000000001860689532,,真稚皇女,真稚皇女
6000000001861638155,,出雲皇女,出雲皇女
6000000001893406143,,世毛呂須,世毛呂須
6000000001902304396,,茨田皇女,茨田皇女
6000000001902399039,,神前皇女,神前皇女
6000000001902482178,,赤姫皇女,赤姫皇女
6000000001902515801,,円娘皇女,円娘皇女
6000000001902898135,,箭田珠勝,箭田珠勝
6000000001903697277,,橘大郎女,橘大郎女
6000000001903835743,,手島女王,手島女王
6000000001903843770,,麻呂古王,麻呂古王
6000000001903901280,,片岡女王,片岡女王
6000000001903902125,,白髪部王,白髪部王
6000000001903902254,,舂米女王,舂米女王
6000000001903909004,,膳大郎女,膳大郎女
6000000001903940405,,錦代皇女,錦代皇女
6000000001929058311,,天八下尊,天八下尊
6000000001930697533,,公朝正室 万里小路,万里小路公朝正室
6000000001949292005,,惟房 万里小路,万里小路惟房
6000000001952063951,,重高 長宗我部,長宗我部重高
6000000001952184791,,兼光 長宗我部,長宗我部兼光
6000000001952285686,,氏幸 長宗我部,長宗我部氏幸
6000000001952315276,,明友 秦,秦明友
6000000001952395155,,広国 秦,秦広国
6000000001966787262,,御伊茶 万里小路,万里小路御伊茶
6000000002054570713,,宮簀媛命,宮簀媛命
6000000002243338919,,松平真乗,松平真乗
6000000002416221491,,僧文賛女,僧文賛女
6000000002441035713,,具平次女,具平次女
6000000002848943806,,尾張女王,尾張女王
6000000004303102492,,祇園女御,祇園女御
6000000004668747931,,秦石勝,秦石勝
6000000006806456268,,槿栄院宮,槿栄院宮
6000000006993847522,,比那良岐,比那良岐
6000000006994281451,,天日槍命,天日槍命
6000000007162493432,,乙訓女王,乙訓女王
6000000007332338260,,物部真椋,物部真椋
6000000007332352312,,物部石持,物部石持
6000000008104859662,,天日鷲命,天日鷲命
6000000008643617955,,建沼河別,建沼河別
6000000008737218535,Q77895,傑 愛新覺羅,愛新覺羅傑
6000000011627412821,,阿倍 孝謙天皇 稱德天皇,孝謙天皇
6000000012935227137,,大庭景親,大庭景親
6000000013331157405,Q699199,生 愛新覺羅,愛新覺羅生
6000000013567576377,Q15939908,子姓,
6000000019495197692,,豁阿 孛罗黑臣,孛罗黑臣豁阿
6000000032170128401,,秋月種任,秋月種任
6000000032494322343,,"李立斌, 138,24世",李立斌
6000000120897477989,,胡,
6000000130210345924,,花桂 姬,姬花桂
6000000130210491947,,草立 姬,姬草立
6000000133688619074,,高野新笠,高野新笠
6000000137827415510,,譚,
6000000143697957826,,Чильгир-Боко 兀都亦惕,Чильгир-Боко
6000000143698893833,,剌溫 兀都亦惕,兀都亦惕剌溫
6000000143698895834,,札兒 兀都亦惕,兀都亦惕札兒
6000000143698949838,,勒 兀都亦惕,兀都亦惕勒
6000000143699010827,,古思 兀都亦惕,兀都亦惕古思
6000000143699365821,,都 兀都亦惕,兀都亦惕都
6000000149803803154,,匹孤 禿髪,禿髪匹孤
6000000186285688281,,夫餘,
6000000203743988841,,張,
6000000211159428867,,松平乗久,松平乗久
6000000211731248822,,松平乗勝,松平乗勝
