kind,name,occurrences,verdict,qids
family,隴西狄道,2526,no item,
family,曾,2319,no item,
family,陳,1871,no item,
family,河南洛陽,1528,no item,
family,Chén 陳,1340,no item,
family,京兆長安,1205,no item,
family,藤原,1135,no item,
family,이,902,no item,
family,김,880,no item,
family,京兆杜陵,812,no item,
family,譚,794,no item,
family,松平,743,no item,
family,琅邪臨沂,736,no item,
family,河東聞喜,724,no item,
family,弘農華陰,682,no item,
family,范陽涿縣,632,no item,
family,Борджигин,564,no item,
family,姬姓,560,no item,
family,鄭州榮澤,528,no item,
family,南蘭陵,512,no item,
family,Webster,490,ambiguous — several items share the label,Q15075893 | Q21484845
family,Al-Husayni,471,no item,
family,晉昌冥安,470,no item,
family,Swetland,453,resolved,Q37167825
family,李,450,no item,
family,河東解縣,442,no item,
family,邱,428,no item,
family,范陽,428,no item,
family,吳郡吳縣,424,no item,
family,Pease,374,resolved,Q21507931
family,滎陽開封,355,no item,
family,Warren,346,resolved,Q2256715
family,源,328,no item,
family,Burnham,327,resolved,Q16865194
family,권,322,no item,
family,趙州贊皇,322,no item,
family,Larsson,320,resolved,Q21504742
family,京兆萬年,308,no item,
family,博陵安平,306,no item,
family,河南,290,no item,
family,Zēng 曾,283,no item,
family,劉,277,no item,
family,허,275,no item,
family,NN,268,no item,
family,Andersson,267,resolved,Q2817217
family,彭城,264,no item,
family,織田,262,no item,
family,Phelps,254,resolved,Q16881170
family,Olsen,246,resolved,Q12042571
family,清河武城,246,no item,
family,河南府,244,no item,
family,張,243,no item,
family,河內溫縣,240,no item,
family,홍,239,no item,
family,박,233,no item,
family,Ball,232,resolved,Q805107
family,前田,232,no item,
family,清河東武城,232,no item,
family,Sexton,218,resolved,Q10816799
family,Wright,217,resolved,Q2594455
family,子姓,213,no item,
family,Rosenkrantz,210,ambiguous — several items share the label,Q1794551 | Q30574091
family,陳郡陽夏,210,no item,
family,太原,208,no item,
family,蘭陵,206,no item,
family,大名莘縣,204,no item,
family,Carlsson,199,resolved,Q21492117
family,黄,196,no item,
family,Smith,194,resolved,Q1158446
family,Bassett,193,resolved,Q16479741
family,王,191,no item,
family,Olofsson,189,resolved,Q23645132
family,孔,186,no item,
family,鄭州管城,186,no item,
family,深州安平,185,no item,
family,Porter,182,resolved,Q2105042
family,Stanley,181,resolved,Q2331622
family,清河,180,no item,
family,Washington,178,resolved,Q2550388
family,Al-Abbasi,177,resolved,Q65096431
family,Tan 陳,176,no item,
family,Nelson,175,resolved,Q2782528
family,안,175,no item,
family,Olsdatter,173,resolved,Q122838009
family,왕,173,no item,
family,Bille,172,no item,
family,윤,172,no item,
family,Andersdotter,166,resolved,Q42223005
family,الأموي,165,no item,
family,Larsdotter,165,no item,
family,Сабуров,165,no item,
family,الحسيني,164,no item,
family,Eriksson,162,resolved,Q1354604
family,최,160,no item,
family,Lewis,158,resolved,Q426463
family,池田,157,no item,
family,沛國譙縣,157,no item,
family,本多,154,no item,
family,Al-Umawi,153,no item,
family,???,152,no item,
family,Stangeland,152,resolved,Q21452049
family,de Bourgogne,150,resolved,Q104837093
family,Hansen,150,ambiguous — several items share the label,Q2712367 | Q41027654
family,السليمي,146,no item,
family,Spivey,145,no item,
family,Brown,144,resolved,Q13421990
family,Karlsson,144,resolved,Q16455420
family,渤海蓨縣,144,no item,
family,Chinn,141,resolved,Q21492875
family,姬,141,no item,
family,고,141,no item,
family,de Noronha,140,resolved,Q100435926
family,潁川潁陰,140,no item,
family,Al-Hashemi,139,no item,
family,橘,139,no item,
family,黃,138,no item,
family,Brahe,138,resolved,Q35799957
family,Øksnevad,138,resolved,Q30583490
family,河東汾陰,138,no item,
family,太原晉陽,138,no item,
family,de Lorraine,137,resolved,Q98890791
family,趙,135,no item,
family,الحسني,134,no item,
family,Andersen,134,ambiguous — several items share the label,Q20036568 | Q21501893
family,扶風平陵,134,no item,
family,眉州眉山,134,no item,
family,Welf,133,no item,
family,Williams,132,resolved,Q1688722
family,Hauge,132,resolved,Q21487823
family,Lea,132,resolved,Q6508166
family,酒井,129,no item,
family,민,129,no item,
family,陳郡長平,128,no item,
