role,name,people,kind,item_state,qids
family,隴西狄道,2526,place misfiled as a name,no item found,
family,曾,2319,CJK clan name,no item found,
family,陳,1871,CJK clan name,no item found,
family,河南洛陽,1528,place misfiled as a name,no item found,
family,Chén 陳,1340,place misfiled as a name,no item found,
family,京兆長安,1205,place misfiled as a name,no item found,
family,藤原,1135,CJK clan name,no item found,
family,이,902,non-Latin script (HANGUL),no item found,
family,김,880,non-Latin script (HANGUL),no item found,
family,.,841,not a name,no item found,
family,京兆杜陵,812,place misfiled as a name,no item found,
family,譚,794,CJK clan name,no item found,
family,松平,743,CJK clan name,no item found,
family,琅邪臨沂,736,place misfiled as a name,no item found,
family,河東聞喜,724,place misfiled as a name,no item found,
family,弘農華陰,682,place misfiled as a name,no item found,
family,范陽涿縣,632,place misfiled as a name,no item found,
family,Борджигин,564,non-Latin script (CYRILLIC),no item found,
family,姬姓,560,CJK clan name,no item found,
family,鄭州榮澤,528,place misfiled as a name,no item found,
family,南蘭陵,512,place misfiled as a name,no item found,
family,Webster,490,ordinary Western surname,ambiguous,Q15075893 | Q21484845
family,Al-Husayni,471,ordinary Western surname,no item found,
family,晉昌冥安,470,place misfiled as a name,no item found,
family,Swetland,453,ordinary Western surname,exists,Q37167825
family,李,450,CJK clan name,no item found,
family,河東解縣,442,place misfiled as a name,no item found,
family,邱,428,CJK clan name,no item found,
family,范陽,428,CJK clan name,no item found,
family,吳郡吳縣,424,place misfiled as a name,no item found,
family,Pease,374,ordinary Western surname,exists,Q21507931
family,滎陽開封,355,place misfiled as a name,no item found,
family,Warren,346,ordinary Western surname,exists,Q2256715
family,源,328,CJK clan name,no item found,
family,Burnham,327,ordinary Western surname,exists,Q16865194
family,권,322,non-Latin script (HANGUL),no item found,
family,趙州贊皇,322,place misfiled as a name,no item found,
family,Larsson,320,patronymic,exists,Q21504742
family,京兆萬年,308,place misfiled as a name,no item found,
family,博陵安平,306,place misfiled as a name,no item found,
family,河南,290,CJK clan name,no item found,
family,Zēng 曾,283,place misfiled as a name,no item found,
family,劉,277,CJK clan name,no item found,
family,허,275,non-Latin script (HANGUL),no item found,
family,NN,268,not a name,no item found,
family,Andersson,267,patronymic,exists,Q2817217
family,彭城,264,CJK clan name,no item found,
family,織田,262,CJK clan name,no item found,
family,Phelps,254,ordinary Western surname,exists,Q16881170
family,Olsen,246,patronymic,exists,Q12042571
family,清河武城,246,place misfiled as a name,no item found,
family,河南府,244,place misfiled as a name,no item found,
family,張,243,CJK clan name,no item found,
family,河內溫縣,240,place misfiled as a name,no item found,
family,홍,239,non-Latin script (HANGUL),no item found,
family,박,233,non-Latin script (HANGUL),no item found,
family,Ball,232,ordinary Western surname,exists,Q805107
family,前田,232,CJK clan name,no item found,
family,清河東武城,232,place misfiled as a name,no item found,
family,Sexton,218,ordinary Western surname,exists,Q10816799
family,Wright,217,ordinary Western surname,exists,Q2594455
family,子姓,213,CJK clan name,no item found,
family,Rosenkrantz,210,ordinary Western surname,ambiguous,Q1794551 | Q30574091
family,陳郡陽夏,210,place misfiled as a name,no item found,
family,太原,208,CJK clan name,no item found,
family,蘭陵,206,CJK clan name,no item found,
family,大名莘縣,204,place misfiled as a name,no item found,
family,Carlsson,199,patronymic,exists,Q21492117
family,黄,196,CJK clan name,no item found,
family,Smith,194,ordinary Western surname,exists,Q1158446
family,Bassett,193,ordinary Western surname,exists,Q16479741
family,王,191,CJK clan name,no item found,
family,Olofsson,189,patronymic,exists,Q23645132
family,孔,186,CJK clan name,no item found,
family,鄭州管城,186,place misfiled as a name,no item found,
family,深州安平,185,place misfiled as a name,no item found,
family,Porter,182,ordinary Western surname,exists,Q2105042
family,Stanley,181,ordinary Western surname,exists,Q2331622
family,清河,180,CJK clan name,no item found,
family,Washington,178,ordinary Western surname,exists,Q2550388
family,Al-Abbasi,177,ordinary Western surname,exists,Q65096431
family,Tan 陳,176,place misfiled as a name,no item found,
family,Nelson,175,patronymic,exists,Q2782528
family,안,175,non-Latin script (HANGUL),no item found,
family,Olsdatter,173,patronymic,exists,Q122838009
family,왕,173,non-Latin script (HANGUL),no item found,
family,Bille,172,ordinary Western surname,no item found,
family,윤,172,non-Latin script (HANGUL),no item found,
family,Andersdotter,166,patronymic,exists,Q42223005
family,الأموي,165,non-Latin script (ARABIC),no item found,
family,Larsdotter,165,patronymic,no item found,
family,Сабуров,165,non-Latin script (CYRILLIC),no item found,
family,الحسيني,164,non-Latin script (ARABIC),no item found,
family,Eriksson,162,patronymic,exists,Q1354604
family,최,160,non-Latin script (HANGUL),no item found,
family,Lewis,158,ordinary Western surname,exists,Q426463
family,池田,157,CJK clan name,no item found,
family,沛國譙縣,157,place misfiled as a name,no item found,
family,本多,154,CJK clan name,no item found,
family,Al-Umawi,153,ordinary Western surname,no item found,
family,???,152,not a name,no item found,
family,Stangeland,152,ordinary Western surname,exists,Q21452049
family,de Bourgogne,150,toponymic or territorial byname,exists,Q104837093
family,Hansen,150,patronymic,ambiguous,Q2712367 | Q41027654
family,السليمي,146,non-Latin script (ARABIC),no item found,
family,Spivey,145,ordinary Western surname,no item found,
family,Brown,144,ordinary Western surname,exists,Q13421990
family,Karlsson,144,patronymic,exists,Q16455420
family,渤海蓨縣,144,place misfiled as a name,no item found,
family,Chinn,141,ordinary Western surname,exists,Q21492875
family,姬,141,CJK clan name,no item found,
family,고,141,non-Latin script (HANGUL),no item found,
family,de Noronha,140,toponymic or territorial byname,exists,Q100435926
family,潁川潁陰,140,place misfiled as a name,no item found,
family,Al-Hashemi,139,ordinary Western surname,no item found,
family,橘,139,CJK clan name,no item found,
family,黃,138,CJK clan name,no item found,
family,Brahe,138,ordinary Western surname,exists,Q35799957
family,Øksnevad,138,ordinary Western surname,exists,Q30583490
family,河東汾陰,138,place misfiled as a name,no item found,
family,太原晉陽,138,place misfiled as a name,no item found,
family,de Lorraine,137,toponymic or territorial byname,exists,Q98890791
family,趙,135,CJK clan name,no item found,
family,الحسني,134,non-Latin script (ARABIC),no item found,
family,Andersen,134,patronymic,ambiguous,Q20036568 | Q21501893
family,扶風平陵,134,place misfiled as a name,no item found,
family,眉州眉山,134,place misfiled as a name,no item found,
family,Welf,133,ordinary Western surname,no item found,
family,Williams,132,ordinary Western surname,exists,Q1688722
family,Hauge,132,ordinary Western surname,exists,Q21487823
family,Lea,132,ordinary Western surname,exists,Q6508166
family,酒井,129,CJK clan name,no item found,
family,민,129,non-Latin script (HANGUL),no item found,
family,陳郡長平,128,place misfiled as a name,no item found,
family,Sehested,126,ordinary Western surname,exists,Q29654330
