cut	rank	people	max_dist	min_dist	median_dist	p2600_linked	common	farthest	farthest_geni
60	31	104	153	60	108	0	king 99% axum 98%	Makeda Queen of Sheba | Solomon King of Israel | Menelik I Dawit I King of Axum | Handeyon I King of Axum | Sera I Tomai King of Axum	6000000210521076830 | 6000000210521125824 | 6000000210521110821 | 6000000210521072828 | 6000000210521031851
60	32	97	92	60	65	0	曾 100%	廣蘇 受之 福時 曾 | 紀鑣 汝霖 志一 曾 | 傳進 曾 | 毓郯 曾 | 興樗 白廬 曾	6000000106987610011 | 6000000106987697876 | 6000000106987678000 | 6000000106986787234 | 6000000106986532129
60	33	92	63	60	62	0	amram 10%	(no label) | (private) | (private) | (no label) | (no label)	6000000016295970661 | 6000000016296025476 | 6000000001833305720 | 6000000016295198684 | 6000000016295198654
60	34	85	64	60	63	0		(private) | (private) | (private) | (private) | (private)	6000000012179757112 | 6000000012179281593 | 6000000012179475729 | 6000000010943352380 | 6000000012685339271
60	35	79	76	60	65	0	izumo 51% mikoto 27% no 27% ashinazu-ni-mikoto 18%	Chikuni 31 Izumo | Kunikami 28 Izumo | Kuninari 29 Izumo | Otoyama 26 Izumo | Ka'an 24 Izumo	6000000227334372830 | 6000000227334396821 | 6000000227334231868 | 6000000227334262869 | 6000000227331924854
60	36	78	63	60	61	0	zerbib 19%	Benjamin Nakache | (private) | (private) | (private) | (private)	6000000031050484738 | 6000000003717427761 | 6000000003717900308 | 6000000003718140059 | 6000000003717809667
60	37	74	62	60	61	0	doukhan 21% assoun 13% beze 13% el 13% elbeze 13%	(private) | (private) | (private) | (private) | (private)	6000000109916936841 | 6000000094835422840 | 6000000109278539845 | 6000000081212175821 | 6000000024346479106
60	38	72	69	60	65	0	陳 63% chén 51% 陈 20%	濃奕 Chén 陳 | 濃安 Chén 陳 | 濃燦 Chén 陳 | 濃禮 Chén 陳 | 濃芳 Chén 陳	6000000023406792693 | 6000000023406932496 | 6000000016685236001 | 6000000023407016271 | 6000000023406331457
60	39	69	67	60	65	0	hempstead 10%	(private) | (private) | (private) | (private) | (private)	6000000001926217040 | 6000000001925994881 | 6000000001926100451 | 6000000001926088882 | 6000000001926160660
60	40	68	70	60	68	0	曾 54% surname 10%	(private) | (private) | (private) | (private) | (private)	6000000116737783903 | 6000000116737782946 | 6000000001818493357 | 6000000001818254824 | 6000000001818514132
60	41	68	66	60	64	0	hirschtritt 11%	(private) | (private) | (private) | (private) | (private)	6000000223539110059 | 6000000198632167821 | 6000000211479931836 | 6000000180474717823 | 6000000211479915838
60	42	65	79	60	77	0	黄 43% huang 12% wong 10%	(no label) | (no label) | (no label) | (private) | (private)	6000000093677926901 | 6000000093678250839 | 6000000093678019834 | 6000000093672443298 | 6000000093419376032
60	43	64	67	60	65	0	chén 100% 陳 100%	吉慈 Chén 陳 | 啓明 Chén 陳 | 晓曙 Chén 陳 | 石卿 Chén 陳 | 茂初 Chén 陳	6000000027056736826 | 6000000027056717825 | 6000000027056693878 | 6000000027056540874 | 6000000027055897183
60	44	64	62	60	61	0	zerbib 29% allouche 20% melki 17%	(no label) | (no label) | (no label) | (no label) | (no label)	6000000204068382005 | 6000000204068382001 | 6000000204068381994 | 6000000204068381984 | 6000000204067289355
60	45	64	62	60	61	0	halimi 56% zerbib 12%	(private) | (private) | (private) | (private) | (private)	3988119893060072735 | 3988118695070072342 | 3988116617000072643 | 3988112711790047522 | 3988110736560034986
60	46	63	67	60	64	0	no 82% mikoto 74% kuni 19% miyatsuko 19%	Ikijirodome no Mikoto Ijimu Kuni no Miyatsuko | Kyosahinomikoto Taka no Kuni no Miyatsuko | NN no Mikoto | NN no Mikoto Awa no Kuni no Miyatsuko | NN no Mikoto Ijimu Kuni no Miyatsuko	6000000227350371829 | 6000000227350391880 | 6000000227332491020 | 6000000227333087955 | 6000000227333077969
60	47	62	74	60	70	0	曾 100%	眞保 曾 | 眞忠 曾 | 眞恕 曾 | 眞惠 曾 | 眞懋 曾	6000000178341588881 | 6000000178343859821 | 6000000178342741832 | 6000000178343635831 | 6000000178343546832
60	48	61	62	60	61	0	zerbib 19% el 18% bèze 16% melki 14%	(no label) | (no label) | (no label) | (private) | (private)	6000000203765903349 | 6000000203765903353 | 6000000203765476499 | 6000000002823788390 | 6000000002823782228
60	49	58	62	60	61	0	halimi 37% hayoun 10%	(private) | (no label) | (private) | (private) | (private)	6000000225377983946 | 6000000225378124840 | 6000000225378159853 | 6000000225377923959 | 6000000225378129867
60	50	57	79	60	76	0	胡 78%	(private) | Margaret Margaret Hu | 治平 程 | Ssu-Du Hu | Tsu-wang Hu	6000000014042390153 | 6000000014042302182 | 6000000014118987482 | 6000000014041726438 | 6000000014041541820
60	51	56	69	60	63	0	陳 100%	國椿 陳 | 國部 陳 | 國飾 陳 | 國餞 陳 | 國饌 陳	6000000021122902336 | 6000000021123309974 | 6000000021123022702 | 6000000021122752334 | 6000000021123080568
60	52	53	75	60	72	0	李 16%	(no label) | (private) | (private) | (private) | (private)	6000000188013687821 | 6000000188013469843 | 6000000188013217876 | 6000000188013558821 | 6000000188013482836
60	53	50	62	60	61	0		(private) | (private) | (no label) | (no label) | (private)	6000000029477504467 | 6000000030486988603 | 6000000030487204091 | 6000000030486899259 | 6000000103974460118
60	54	48	65	60	64	0		(private) | (private) | (private) | (private) | (private)	6000000008997151221 | 6000000008997013624 | 6000000086804097903 | 6000000086801225160 | 6000000086800018587
60	55	48	63	60	62	1	dadoun 10%	(private) | (private) | (private) | (private) | (private)	6000000022097876083 | 6000000022097819229 | 6000000022097876090 | 6000000022097952830 | 6000000022097872197
60	56	47	97	60	83	0	曾 95%	(private) | 繁山 靜齋 曾 | 繁琪 曾 | 倩源 養泉 曾 | 慶潼 曾	6000000106991188914 | 6000000106989823958 | 6000000106990966057 | 6000000106989954900 | 6000000106990625013
60	57	47	73	60	68	0	曾 40%	(no label) | (no label) | (no label) | (private) | (no label)	6000000226848994935 | 6000000226849147823 | 6000000226849120831 | 6000000226849117828 | 6000000226849141844
60	58	47	72	60	67	0	三宅 55% 和田 36%	宗家室 児島 | 正之 三宅 | 正光 三宅 | 貞吉 三宅 | 元貞 三宅	6000000006993985879 | 6000000007879219012 | 6000000007879458230 | 6000000006992256936 | 6000000006993317720
60	59	47	64	60	63	0	tan 91% 陳 91%	保佑 TAN 陳 | 保壽 TAN 陳 | 保祺 TAN 陳 | 保鼎 TAN 陳 | 保鼐 TAN 陳	6000000039582217823 | 6000000039581496127 | 6000000039579772683 | 6000000039581162165 | 6000000039582171941
60	60	45	79	60	67	0	huáng 68% 黃 68%	(no label) | (private) | (no label) | (private) | (no label)	6000000036358902787 | 6000000036359518075 | 6000000036359070623 | 6000000036359112519 | 6000000036359537895
60	61	43	78	60	69	0	黃 48% huáng 37% <private> 32%	黄炳滏 | (private) | <private> HUÁNG 黃 | <private> HUÁNG 黃 | <private> HUÁNG 黃	6000000215545373837 | 6000000215549008821 | 6000000215943689839 | 6000000215943856822 | 6000000215943900824
60	62	43	69	60	64	0	chén 100% 陳 100%	乆先 Chén 陳 | 乆蕃 Chén 陳 | 乆藹 Chén 陳 | 乆邦 Chén 陳 | 允衍 Chén 陳	6000000030557729590 | 6000000030557613433 | 6000000030557326688 | 6000000030557661648 | 6000000030556366954
60	63	43	69	60	65	0	陳 90%	Quon Loy / Yi Chin | 擢傳 陳 | 擢珪 陳 | 擢琯 陳 | 暢宜 陳	6000000023328798440 | 6000000186277178268 | 6000000186600678826 | 6000000186625980842 | 6000000023328798459
60	64	42	77	60	69	0		(no label) | (no label) | (no label) | (no label) | (no label)	6000000012932029204 | 6000000012931993501 | 6000000012932006314 | 6000000012931637200 | 6000000012931813945
60	65	40	72	60	65	0	gebro 17% hailezgi 15% tesfatsion 15% meharezgi 12% oqubazgi 10%	Hizba Zewabezgi | Tsega Zewabezgi | Tekeste Yonas | Ziwabezgi X | Adhanom Meharezgi	334584224770014541 | 334584100400011015 | 334582066610005492 | 6000000008079897498 | 334581607390014574
60	66	40	65	60	64	0	keuerleber 42% fehleisen 22% georg 12% ulrich 12% agnes 10% anna 10%	Agnes Fehleisen | Agnes Hölderlin | Agnes Keuerleber | Anna Fehleisen | Bartholomay Fehleisen	6000000197393078841 | 6000000049848152276 | 6000000039184708553 | 6000000197393059832 | 6000000197392491843
60	67	40	63	60	62	0		(private) | (private) | (private) | (private) | (private)	6000000010057917290 | 6000000010057902275 | 6000000010057754126 | 6000000010057914623 | 6000000010057844014
60	68	38	70	60	69	0	wáng 44% 133,127,23,18g 13% 132,126,22,17g 10% zì 10%	(private) | (private) | (private) | (private) | (private)	6000000177931738856 | 6000000177932379821 | 6000000177931989832 | 6000000178280393837 | 6000000178280235831
60	69	37	84	60	76	0	jarlung 21% tsenpo 21% kuru 10%	Esho Leg Jarlung | Lorepind | Gawal | Pude Gunggyal Jarlung | Drigum Tsenpo Jarlung	6000000202476782821 | 6000000009746315289 | 6000000009745974489 | 6000000202476730829 | 6000000202476682837
60	70	37	69	60	67	0	chén 100%	Chén Xiánghuái 陳祥槐 | Chén Xiánghuì 陳祥會 | Chén Xiánghóng 陳祥宏 | Chén Xiángkǎi 陳祥愷 | Chén Xiángmíng 陳祥銘	6000000003954770040 | 6000000003954294699 | 6000000003954213695 | 6000000003954598865 | 6000000003954517761
60	71	37	62	60	61	0	barkats 27% barkat 13% ghozland 10%	(private) | (private) | Georges Moise Ghozland | Prosper Abraham Ghozland | Richard Ghozland	4376551307740041864 | 4376549907510038949 | 6000000059517608833 | 6000000057593365066 | 6000000184631274873
60	72	36	92	60	75	0	秦 50% 長宗我部 16% hata 13% chōsokabe 11%	信能 長宗我部 | 重宗 長宗我部 | 重高 長宗我部 | Shigetoshi Chōsokabe | 兼光 長宗我部	6000000001952320032 | 6000000001952335094 | 6000000001952063951 | 6000000001952356038 | 6000000001952184791
60	73	36	69	60	66	0	chén 100% 陳 33%	Liáng □ Chén 145, 104, 57, 22 | Liángguāng Chén 145, 104, 57, 22 | Liángqí Chén 145, 104, 57, 22 | Xiáncōng Chén 144, 103, 56, 21 | Xiánlún Chén 144, 103, 56, 21	6000000084604571995 | 6000000043283173378 | 6000000084603664104 | 6000000054308386834 | 6000000043283184674
