cut	rank	people	max_dist	min_dist	median_dist	p2600_linked	common	farthest	farthest_geni
60	115	19	62	60	61	0	attali 21% baze 15% el 15% alencer 10% allouche 10% binesti 10%	Eliaou Binesti | Isaac Alencer | Samuel Allouche | Élie Zaffran | Berthe Traki ATTALI	6000000058938389032 | 6000000059654083021 | 6000000039156551988 | 6000000054824175904 | 6000000172339637092
60	116	18	77	60	69	0	alarka 11% bhārg 11% bhīmarath 11% dhanvantari 11% dharmaketu 11% dhrishtaketu 11%	BHĀRGABHUMI Bhārg | BHĀRG Vītihotra | VĪTIHOTRA Sukumār | SUKUMĀR Dhrishtaketu | DHRISHTAKETU Satyaketu	6000000009705390539 | 6000000009705295763 | 6000000009705425207 | 6000000009705357681 | 6000000009705421241
60	117	18	71	60	67	0	河辺 77% 大中臣 22%	精長 河辺 | 辰長 河辺 | 仁清 河辺 | 常長 河辺 | 伊長 河辺	6000000007333046385 | 6000000007333106252 | 6000000007333106237 | 6000000007333075324 | 6000000007333003436
60	118	18	70	60	66	0	kitajima 77% naotaka 11% yakura 11% yoritaka 11%	Naotaka 75 Kitashima | Nobutaka 71 Kitajima | Zentaka 74 Kitajima | Akitaka 70 Kitajima | Okitaka 72 Kitajima	6000000227335402830 | 6000000227335365856 | 6000000227335365861 | 6000000227335337887 | 6000000227335008051
60	119	18	63	60	62	0		(private) | (private) | (private) | (private) | (private)	6000000010056931830 | 6000000010056781933 | 6000000010057103319 | 6000000010056617781 | 6000000010056652758
60	120	18	61	60	60	0	guedj 72% louisa 11% raymond 11%	Leha Guedj | Louisa Guedj | Louisa Guedj | Rachel Guedj | Rahmouna Laloum	6000000034318990022 | 6000000034318568616 | 6000000060244532191 | 6000000060241948989 | 6000000034318617748
60	121	18	61	60	61	0	ghenassia 77% bitoun 11% rahmim 11% simon 11%	Charles Ghenassia | Gabriel Ghenassia | Immouna Zaouï | Israël Ghenassia | Julie Ghenassia	6000000071158251221 | 6000000041344728011 | 6000000041344317454 | 6000000071158759966 | 6000000041344363378
60	122	17	76	60	68	0	小月山 52% 小槻 35% 阿保 11%	祐俊 小槻 | 孝信 小槻 | 貞行 小槻 | 奉親 小槻 | 忠臣 小槻	6000000006956251423 | 6000000006824265185 | 6000000006957490086 | 6000000006957479061 | 6000000006824304127
60	123	17	68	60	64	0	brihadratha 11% devamidha 11% dhristaketu 11% kritiratha 11% maharoma 11% mahiidhraka 11%	MARU Haryashva | HARYASHWA Dhristaketu | PRATIINDHAKA Maru | DHRISTAKETU Sudhriti | KRITIRATHA Pratiindhaka	6000000009708421372 | 6000000025538990261 | 6000000025538711441 | 6000000025538933118 | 6000000009708574202
60	124	17	63	60	62	6	peintner 52% maria 23% rieger 23% anton 11%	Josefa Ladurner | Anton Peintner | Johann Peintner | Josef Peintner | Kathburg Peintner	6000000208275067831 | 6000000190299771826 | 6000000190299738823 | 6000000190299770821 | 6000000190299501849
60	125	17	62	60	62	0	itzhakov 23% barkate 11%	(private) | (private) | (private) | (private) | (private)	6000000003754631025 | 6000000003804507236 | 6000000003804433594 | 6000000003804306914 | 6000000003804323965
60	126	16	69	60	64	10	孔 100%	子歡 孔 | 崇基 孔 | 德倫 大經 孔 | 嗣悊 孔 | 英悊 孔	6000000012975206626 | 6000000012967356972 | 6000000012967410661 | 6000000012967356967 | 6000000012967245138
60	127	16	69	60	65	0	陳 100%	陳 | 家絡 陳 | 成嚖? 陳 | 成映 陳 | 成時 陳	6000000179316293884 | 6000000179317900823 | 6000000179316260898 | 6000000179316704875 | 6000000179317627842
60	128	16	66	60	63	0	afat 18% gebreselase 18% bariagabir 12% enticho 12% eshet 12% fares 12%	Habtemariam Awaala | Zerabruk Gebreselase | Zewde Gebreselase | Gebreselase Bariagabir | Tekenkiel Habtemariam	6000000008080142900 | 6000000008080225674 | 6000000008080143045 | 6000000008080239502 | 6000000008080188542
