qid,label,token,position,father_qid,father_given,sex,verdict,evidence,form
Q108734053,"Antoinette de Glerens, Dame de Berchier, L'Isle sur gollion",sur,7,Q108742528,Louis,F,not patronymic,,
Q108734053,"Antoinette de Glerens, Dame de Berchier, L'Isle sur gollion",gollion,8,Q108742528,Louis,F,not patronymic,,
Q124405,Adrian von Bubenberg,von,1,Q116057722,Heinrich,M,not patronymic,,
Q124405,Adrian von Bubenberg,Bubenberg,2,Q116057722,Heinrich,M,not patronymic,,
Q116087291,Dorothea von Bubenberg,von,1,Q124405,Adrian,F,not patronymic,,
Q116087291,Dorothea von Bubenberg,Bubenberg,2,Q124405,Adrian,F,not patronymic,,
Q116177593,"Jean de Menthon, seigneur d'Aubonne",de,1,Q116095061,,M,father has no label,,
Q116177593,"Jean de Menthon, seigneur d'Aubonne","Menthon,",2,Q116095061,,M,father has no label,,
Q116177593,"Jean de Menthon, seigneur d'Aubonne",seigneur,3,Q116095061,,M,father has no label,,
Q116177593,"Jean de Menthon, seigneur d'Aubonne",d'Aubonne,4,Q116095061,,M,father has no label,,
Q116177596,Gullemette des Clets,des,1,,,F,no father recorded,,
Q116177596,Gullemette des Clets,Clets,2,,,F,no father recorded,,
Q116096464,Jürgen von Hagen,von,1,,,M,no father recorded,,
Q116096464,Jürgen von Hagen,Hagen,2,,,M,no father recorded,,
Q116096465,Catherine von Lützow,von,1,,,F,no father recorded,,
Q116096465,Catherine von Lützow,Lützow,2,,,F,no father recorded,,
Q116102394,Claus von Kardorff auf Grantz,von,1,Q116102397,,M,father has no label,,
Q116102394,Claus von Kardorff auf Grantz,Kardorff,2,Q116102397,,M,father has no label,,
Q116102394,Claus von Kardorff auf Grantz,auf,3,Q116102397,,M,father has no label,,
Q116102394,Claus von Kardorff auf Grantz,Grantz,4,Q116102397,,M,father has no label,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,Fychan,1,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,ab,2,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,Ieuan,3,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,ap,4,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,Cuhelyn,5,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,ap,6,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,Rhys,7,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,of,8,Q99302515,Ieuaf,M,not patronymic,,
Q116147354,Ieuan Fychan ab Ieuan ap Cuhelyn ap Rhys of Llwyn-y-maen,Llwyn-y-maen,9,Q99302515,Ieuaf,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,Cyffin,1,Q99302465,Madog,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,ap,2,Q99302465,Madog,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,Madog,3,Q99302465,Madog,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,Gôch,4,Q99302465,Madog,M,not patronymic,,
