qid	live	why
Q104484515	Aynon de Ives (Ince|Ines)	bracketed-or-uneven
Q105770439	Joan Penniles (Pennells|Pennalls)	bracketed-or-uneven
Q105794793	Agnes Roo (Row|Rowe)	bracketed-or-uneven
Q105794798	Walter|William Roo (Row|Rowe), of Dartford	bracketed-or-uneven
Q105794854	Margaret Squerrie (Squerry|Squiry)	bracketed-or-uneven
Q105794858	Sir? Thomas Squerry (Squiry|Squerries), of Westenham, Kent	bracketed-or-uneven
Q105799097	Elizabeth Cornew (Carnewe|Carminow?)	bracketed-or-uneven
Q105799099	William|Walter Cornew (Cornu|Carminow)	bracketed-or-uneven
Q105800406	Elizabeth Stukeley (Stewkley|Stucley)	bracketed-or-uneven
Q105800519	Jane Grenville (Granville|Grenfeld)	bracketed-or-uneven
Q105801168	Margaret Read (or Reade|Rede)	bracketed-or-uneven
Q105802790	NN Crews (Cruwys|Cruse)	bracketed-or-uneven
Q105805204	Margery Knolles (Knowles|Knollys)	bracketed-or-uneven
Q105805264	John Farby (or Foreby|Farnby)	bracketed-or-uneven
Q105805941	Joan|Jennetta Guise (Guys|Wise)	bracketed-or-uneven
Q105814966	Anne Frogenhall (Frognall|Frogenhale), of Buckland	bracketed-or-uneven
Q105815273	Margaret|(Isabel) Kiddall	bracketed-or-uneven
Q105816960	Dorothy Hughson (Huson|Hewson|Hulse)	bracketed-or-uneven
Q105821245	Margaret Sprencheaux (Sprenchose|Sprencieulx)	bracketed-or-uneven
Q105826289	Robert Walcot (Walbyf|Walbeoffe), of Barholm, Lincs	bracketed-or-uneven
Q105877825	Richard Seymour (Semer|Seamer)	bracketed-or-uneven
Q106503217	Sir John Mitchell (Michell|Mychell)	bracketed-or-uneven
Q106703166	Anne Haselrigge (Hesilrige|Hazelrigg)	bracketed-or-uneven
Q106703167	Thomas Haselrigge (Hesilrige|Hazelrigg), of Noseley	bracketed-or-uneven
Q106703519	Elizabeth de la Pole (Mawddwy|Mowbray)	bracketed-or-uneven
Q106703836	Thomas Mudge (Mugg|Mugge)	bracketed-or-uneven
Q106703837	Stephen Mudge (Mugg|Mugge)	bracketed-or-uneven
Q106704508	Mary Cheyne (Cheyney|Cheney)	bracketed-or-uneven
Q107211464	Katharina|(Anna|Elisabeth) van Bronckhorst	bracketed-or-uneven
Q107211522	Johanna von Heinsberg (Loon|Spanheim)	bracketed-or-uneven
Q110066993	NN (Mary|Elizabeth) Verney	bracketed-or-uneven
Q110067101	Isabella|Sibell Lee (Leigh|Legh)	bracketed-or-uneven
Q110067505	Margaret Hewet (Hewett|Hewit), of Walsall	bracketed-or-uneven
Q110278697	Margaret Garnon (Gamond|Gernon)	bracketed-or-uneven
Q110278717	Joan Paronte (Punt|Pounte|Pound)	bracketed-or-uneven
Q110315584	Agnes Hollacombe (Hallacombe|Holcombe)	bracketed-or-uneven
Q110315749	William Hingeston (Henston|Hyndeston)	bracketed-or-uneven
Q110316045	Alice Stukeley (Stuckley|Stucley)	bracketed-or-uneven
Q110325533	NN von Heynitz (Haynitz|Heinitz)	bracketed-or-uneven
Q110332393	Muriel Brews (Brewse|Brewes)	bracketed-or-uneven
Q110399719	boier Sherban [de Sitoaia|Coiani], seneschal & ban of Valachia	bracketed-or-uneven
Q110413374	Margaret Genny (Jenney|Jermyn)	bracketed-or-uneven
Q110426951	Elizabeth Wardedieu (Wardieu|Wardeux)	bracketed-or-uneven
Q110439200	Maud|Matilda Quatermayne (Quatremain|Quatermain)	bracketed-or-uneven
Q110618700	Alice Nix (Nicks|Nytche|Knytche), of Warslow	bracketed-or-uneven
Q110618701	John Nix (Nicks|Nytche|Knytche), of Warslow	bracketed-or-uneven
Q110622582	Lucy|(Lettice) Hampton	bracketed-or-uneven
Q110622622	Matthew Crewys (Cruse|Cruwys), of Pynne, Devon	bracketed-or-uneven
Q110623530	Margaret (not Cecily) Francis (Frauncis|Franceys|Frauncys)	bracketed-or-uneven
Q110637528	James|John Odim (Obbone|Oddone)	bracketed-or-uneven
Q110639125	Jean Midorge (Mydorge|Muidorge)	bracketed-or-uneven
Q110653236	Frances Landon (Lenden|Lander)	bracketed-or-uneven
Q110730538	Margaret Anger (Auger|Aucher), of Kent	bracketed-or-uneven
Q111465056	Elizabeth (Bargrave|Burgan)	bracketed-or-uneven
Q111466255	Isabel Frankville (Freschvile|Freschevile)	bracketed-or-uneven
Q111466684	John de Cornhill (Cornwall|Cornwell)	bracketed-or-uneven
Q111506753	William Crewys (Cruse|Cruwys)	bracketed-or-uneven
Q111971878	Elizabeth Sandford (Stanford|Stafford), of Derbyshire	bracketed-or-uneven
Q112383258	Ellen Roucliffe (Rowcliffe|Radcliffe)	bracketed-or-uneven
