missing,steps,destination,destination_geni_id,destination_missing,action,path,first_missing,first_missing_geni_id
35,85,George R.R. Martin,6000000081001962237,1,export,isolate-geni-george-raymond-richard-martin.tsv,Cecily Davenport Venables,6000000001322198603
24,56,Kentucky Representative Andy Barr,6000000002625917550,1,export,isolate-geni-representative-garland-hale-barr-iv.tsv,lise von nassau,6000000078015960008
24,55,Uli Zech,6000000004016043175,0,export,isolate-geni-ulrich-oskar-zech-1927-2010-munich.tsv,"Councillor/Bishop Ásulf 'Owl' Kjetilsson Galle/Galde, I Biskopsrud",6000000011402310326
23,75,Lindor Serrurier,6000000172736611835,1,export,isolate-geni-lindor-serrurier-1846-1901.tsv,"Dietrich IV van Meurs, III. Graf von Moers",6000000003827445367
23,59,Jim Peebles,6000000109139929839,1,export,isolate-geni-phillip-james-edwin-jim-peebles.tsv,Otto Krafft,6000000023839923714
23,77,Roman* August Adelheim,6000000025590724230,1,export,isolate-geni-roman-august-adelheim-1881-1938.tsv,von Büren,6000000010173040618
22,74,Alan C. Ashton,6000000020128946533,1,export,isolate-geni-alan-c-ashton.tsv,"Iye Roy Mackay, 10th of Strathnaver",6000000016743553483
22,53,Alexandra Lindh,6000000064115854341,1,export,isolate-geni-alexandra-lindh-gjestvang-1882-1939.tsv,Sevald Dyresen Hove,6000000003651112753
22,63,Arne Oddvar Dørumsgaard,6000000006327229028,1,export,isolate-geni-arne-oddvar-d-rumsgaard-1921-2006-marzio.tsv,Sjøfar Sjøfarsen,6000000010470807330
22,74,Dennis Ritchie,6000000014300629210,1,export,isolate-geni-dennis-macalistair-ritchie-1941-2011-berkeley-heights.tsv,"William Gregg, Sr.",6000000002866250576
22,56,Erik Robert Lindahl,6000000020104796553,1,export,isolate-geni-erik-robert-lindahl-1891-1960.tsv,Anngerd Arnesdatter,6000000006982188945
22,69,Karl Gösta* Liebert,6000000043443420498,1,export,isolate-geni-karl-g-sta-liebert-1916-1998.tsv,Ove Hendriksson Thegner,6000000010207688547
22,35,Vasilijs Sinaiskis,6000000182814226840,1,export,isolate-geni-vasilijs-sinaiskis-1876-1949-brussels.tsv,Nils Nilson Øritsland,6000000004170144811
22,77,Wilhelm Adolf Diesterweg,6000000021228638868,1,export,isolate-geni-wilhelm-adolf-diesterweg-1782-1835-bonn.tsv,Nicolaus Schaufuss,6000000134993850981
21,56,August Allebé,6000000015052941471,1,export,isolate-geni-august-alleb-1838-1927-amsterdam.tsv,Mahaut de Houffalize,6000000003828061125
21,65,Bengt Broms,6000000000498185763,1,export,isolate-geni-bengt-henry-gabriel-arne-broms-1929-2023-helsinki.tsv,Kristina Freijtag,6000000010360837805
21,51,Johannes Hendrikus Becking,6000000025563581024,1,export,isolate-geni-johannes-hendrikus-becking-1890-1972.tsv,Hendrik II de Rovere van Montfoort,4210703618220074360
21,54,prof.dr. Cornelis Pijnacker Hordijk,6000000017204494763,1,export,isolate-geni-prof-dr-cornelis-pijnacker-hordijk-1847-1908-haarlem.tsv,Wouters Van Uyternesse,6000000196957071886
21,33,Ramon Prieto Bances,6000000073631541927,1,export,isolate-geni-ramon-prieto-bances-1889-1972-oviedo.tsv,John Cary,6000000003496237058
20,71,Cyrus Thomas,6000000070666622029,1,export,isolate-geni-cyrus-thomas-1825-1910.tsv,Margaretha Ferni Celjska / od Celja Graff,6000000056034390012
20,50,Gunnar Brodin,6000000017512587298,1,export,isolate-geni-gunnar-brodin-1931-2009-hedvig-eleonora-stockholm.tsv,Hovpräst Andreas Nicolai,6000000007511564057
20,57,Jan Arvid Hellström,4315742410860030603,1,export,isolate-geni-jan-arvid-hellstr-m-1941-1994-v-xj.tsv,Jon Marstrand Tordson,6000000009897859618
20,48,Knut Emil Lundmark,6000000000378545599,1,export,isolate-geni-knut-emil-lundmark-1889-1958-apotekaren-5.tsv,Olof Nilsson,6000000007511564112
