geni_id	descendants	ancestors	blood_relatives	family_tree	followers	at
6000000000321789107	1800	90	15000	437	10	2026-09-14T05:52:35.777Z
6000000011319589440	1740	10867	15000	15000	6	2026-09-14T05:49:18.435Z
4560941173110045723	951	5310	15000	602	1	2026-09-14T05:54:23.321Z
6000000037344039185	871	393	15000	669	1	2026-09-14T05:55:33.075Z
6000000140112298058	708	7563	15000	4939	4	2026-09-14T05:54:06.464Z
6000000096666864876	164	2461	15000	5428	1	2026-09-14T05:53:33.047Z
6000000023184991051	146	10931	15000	15000	6	2026-09-14T05:52:27.955Z
6000000223231755278	74	12008	15000	15000	1	2026-09-14T05:52:03.903Z
6000000041745323340	48	6784	15000	5510	3	2026-09-14T05:49:56.122Z
6000000060274098453	10	12141	15000	15000	1	2026-09-14T05:55:46.385Z
6000000190339917821	9	11002	15000	3974	1	2026-09-14T05:53:21.849Z
6000000206064176775	8	4696	15000	4873	1	2026-09-14T05:50:46.545Z
6000000179933617884	7	5248	15000	1435	2	2026-09-14T05:48:24.369Z
6000000186097956837	2	145	15000	340	1	2026-09-14T05:51:39.927Z
6000000152693671822	2	4762	15000	7786	2	2026-09-14T05:52:47.180Z
6000000178055478997	1	10264	15000	8256	2	2026-09-14T05:51:52.745Z
6000000182815572844	0	4795	15000	8010	1	2026-09-14T05:48:41.340Z
6000000174356607848	0	12028	15000	15000	1	2026-09-14T05:48:54.848Z
6000000100382642856	0	8687	15000	4269	2	2026-09-14T05:49:05.503Z
6000000152688433883	0	7599	15000	4186	2	2026-09-14T05:49:51.728Z
6000000200837377489	0	7582	15000	3542	1	2026-09-14T05:50:12.478Z
6000000185140436463	0	9443	15000	3122	1	2026-09-14T05:50:24.197Z
6000000152669788051	0	4820	15000	6598	1	2026-09-14T05:50:33.136Z
6000000152673015367	0	4701	15000	4570	1	2026-09-14T05:50:55.794Z
6000000223775848961	0	12028	15000	15000	1	2026-09-14T05:51:10.084Z
6000000200837377473	0	7582	15000	3542	1	2026-09-14T05:51:19.961Z
6000000007455541938	0	65	15000	382	2	2026-09-14T05:51:27.742Z
6000000152691513934	0	8689	15000	4021	1	2026-09-14T05:52:13.106Z
6000000000868534078	0	117	15000	531	0	2026-09-14T05:52:56.629Z
6000000014655732862	0	217	15000	6629	1	2026-09-14T05:53:07.522Z
6000000152650257043	0	4797	15000	8107	1	2026-09-14T05:53:45.015Z
6000000129473639847	0	68	15000	283	1	2026-09-14T05:53:50.633Z
6000000188175413126	0	213	15000	7329	1	2026-09-14T05:54:16.092Z
6000000146007292868	0	7594	15000	4101	1	2026-09-14T05:54:38.827Z
6000000204537329082	0	8657	15000	3690	1	2026-09-14T05:54:51.008Z
6000000182815229822	0	5017	15000	8563	1	2026-09-14T05:54:58.994Z
6000000196831475505	0	4793	15000	9167	1	2026-09-14T05:55:12.456Z
6000000152693671935	0	4762	15000	7786	2	2026-09-14T05:55:21.440Z
6000000096671372861	0	5791	15000	4496	1	2026-09-14T05:55:55.318Z
