token,usage,bearers,script,marker,existing_qid,action
Louise,given,514,Latin,,Q3215140,link
Luis,given,513,Latin,,Q2598693,link
Olson,given,511,Latin,,,create
Fernando,given,509,Latin,,Q18115751,link
Esther,given,506,Latin,,,"AMBIGUOUS - review, do not create"
Hansen,given,503,Latin,,Q96774689,link
Rachel,given,503,Latin,,Q935489,link
Emma,given,502,Latin,,Q541194,link
Marcus,given,501,Latin,,Q4642,link
Rosa,given,501,Latin,,Q1640276,link
Ratu,given,501,Latin,,,create
Johann,given,501,Latin,,Q11122389,link
Rasmusdatter,patronymic,498,Latin,sdatter,,create
Knut,given,497,Latin,,Q943881,link
Webster,family,492,Latin,,,"AMBIGUOUS - review, do not create"
García,family,486,Latin,,Q980636,link
譚,family,486,Han,,,create
Alfred,given,483,Latin,,Q3480335,link
Peter,given,481,Latin,,Q2793400,link
Gabriel,given,480,Latin,,,"AMBIGUOUS - review, do not create"
Kari,given,479,Latin,,Q1333594,link
Andersen,given,476,Latin,,,create
Fernández,family,473,Latin,,Q164892,link
Alexander,given,472,Latin,,Q923,link
Kirsten,given,472,Latin,,Q256744,link
Al-Husayni,family,471,Latin,,,create
Catarina,given,471,Latin,,Q17597434,link
Henriette,given,469,Latin,,Q19688844,link
Eriksdatter,patronymic,465,Latin,sdatter,,create
Jonsdatter,patronymic,465,Latin,sdatter,,create
verch,family,464,Latin,,,create
Caroline,given,463,Latin,,,create
Per,given,461,Latin,,Q13582800,link
Charlotte,given,459,Latin,,Q264002,link
Swetland,family,453,Latin,,Q37167825,link
Pierre,given,447,Latin,,Q2093070,link
Beatriz,given,443,Latin,,Q13762856,link
Larsen,given,442,Latin,,,"AMBIGUOUS - review, do not create"
Castro,family,437,Latin,,Q1049855,link
Gertrudis,given,437,Latin,,Q19689425,link
Rodríguez,family,435,Latin,,,"AMBIGUOUS - review, do not create"
Nilsdatter,patronymic,435,Latin,sdatter,Q122837798,link
Jørgen,given,432,Latin,,Q13409273,link
Rd,given,432,Latin,,,create
Ellen,given,428,Latin,,Q2235472,link
Ludwig,given,427,Latin,,,"AMBIGUOUS - review, do not create"
Lucius,given,427,Latin,,Q12382759,link
Wilhelm,given,426,Latin,,,create
Gonçalo,given,426,Latin,,Q18699663,link
Margareta,given,426,Latin,,Q8274988,link
Treviño,family,424,Latin,,Q30669817,link
Larsson,family,418,Latin,,Q21504742,link
Kristine,given,416,Latin,,Q16859157,link
邱,family,415,Han,,,create
Afonso,given,414,Latin,,Q2085286,link
Wolf,given,414,Latin,,Q2588576,link
Warren,family,411,Latin,,Q2256715,link
Clara,given,410,Latin,,Q1114146,link
Magdalena,given,408,Latin,,Q842544,link
Sofie,given,408,Latin,,Q18201530,link
Ignacio,given,407,Latin,,Q18220016,link
Villarreal,family,406,Latin,,,create
Elias,given,404,Latin,,Q11878157,link
Larsson,given,403,Latin,,Q112079692,link
Helene,given,403,Latin,,Q971710,link
京兆杜陵,family,403,Han,,,create
Alonso,given,401,Latin,,Q18552177,link
Jonas,given,401,Latin,,Q16646115,link
Nielsdatter,patronymic,398,Latin,sdatter,,create
Luisa,given,396,Latin,,Q18092018,link
Michael,given,395,Latin,,,"AMBIGUOUS - review, do not create"
h.,family,393,Latin,,,create
Henrik,given,392,Latin,,Q594279,link
Rebecca,given,392,Latin,,Q503607,link
Diogo,given,391,Latin,,Q13479698,link
Elisabet,given,391,Latin,,Q16423275,link
Elen,given,389,Latin,,Q11967041,link
Иван,given,386,Cyrillic,,,create
Jacques,given,383,Latin,,Q941049,link
Bertha,given,382,Latin,,Q16420820,link
李,family,380,Han,,,create
Rodrigo,given,379,Latin,,Q4927979,link
Ali,given,378,Latin,,,"AMBIGUOUS - review, do not create"
Olsen,family,377,Latin,,Q12042571,link
August,given,377,Latin,,Q370731,link
Kristian,given,377,Latin,,Q12794332,link
Andersson,family,375,Latin,,Q2817217,link
López,family,375,Latin,,Q1158701,link
Hermann,given,375,Latin,,Q1158570,link
Levy,family,374,Latin,,Q14626636,link
Pease,family,374,Latin,,Q21507931,link
D.,given,374,Latin,,Q19803500,link
Ayu,given,373,Latin,,,create
Ruiz,family,371,Latin,,Q11196273,link
Goldschmidt,family,369,Latin,,Q21502372,link
Paul,given,369,Latin,,Q4925623,link
Larsdotter,patronymic,369,Latin,sdotter,,create
琅邪臨沂,family,368,Han,,,create
Jensen,given,366,Latin,,Q47500184,link
Fernão,given,366,Latin,,Q18171074,link
Walter,given,364,Latin,,Q499249,link
Hugues,given,364,Latin,,Q16276979,link
Иванович,given,362,Cyrillic,,Q138296676,link
河東聞喜,family,362,Han,,,create
Andersdotter,patronymic,360,Latin,sdotter,,create
Bernheim,family,359,Latin,,Q24514233,link
Elvira,given,359,Latin,,,"AMBIGUOUS - review, do not create"
Johannesdatter,patronymic,358,Latin,sdatter,,create
Ernst,given,351,Latin,,Q292691,link
Catharina,given,351,Latin,,Q17317997,link
Rodriguez,family,348,Latin,,Q37519455,link
Frances,given,347,Latin,,Q1440778,link
Guri,given,347,Latin,,Q11973376,link
Olav,given,345,Latin,,Q16511262,link
wife,given,343,Latin,,,create
Joana,given,342,Latin,,Q14945080,link
弘農華陰,family,342,Han,,,create
Joan,given,341,Latin,,,"AMBIGUOUS - review, do not create"
Olof,given,341,Latin,,Q18089653,link
Abdullah,given,337,Latin,,Q307578,link
3,given,337,none,,,create
Martim,given,337,Latin,,Q20000965,link
Ragnhild,given,337,Latin,,Q1390292,link
Sven,given,335,Latin,,Q2370957,link
ben,given,333,Latin,,,"AMBIGUOUS - review, do not create"
源,family,329,Han,,,create
Else,given,329,Latin,,,create
Oppenheim,family,327,Latin,,Q21043524,link
Burnham,family,327,Latin,,Q16865194,link
Anton,given,327,Latin,,,"AMBIGUOUS - review, do not create"
Mariana,given,327,Latin,,Q14437342,link
Judith,given,326,Latin,,Q5954149,link
Nyi,given,326,Latin,,,create
Henri,given,325,Latin,,Q4497249,link
Ruth,given,324,Latin,,Q18014868,link
Jan,given,323,Latin,,,"AMBIGUOUS - review, do not create"
권,family,321,Hangul,,,create
Ida,given,318,Latin,,,"AMBIGUOUS - review, do not create"
范陽涿縣,family,316,Han,,,create
Gustaf,given,315,Latin,,Q15646212,link
Gaius,given,314,Latin,,Q367122,link
NR,given,314,Latin,,,create
Sánchez,family,312,Latin,,Q1158617,link
no,given,312,Latin,,,create
Restrepo,family,311,Latin,,Q7316283,link
Brites,given,311,Latin,,Q104518888,link
Arthur,given,310,Latin,,Q1778168,link
Malena,given,310,Latin,,Q5990536,link
Margarita,given,309,Latin,,,"AMBIGUOUS - review, do not create"
Helena,given,308,Latin,,Q1035239,link
Mendoza,family,307,Latin,,Q1158517,link
Stangeland,family,307,Latin,,Q21452049,link
Hermosillo,family,307,Latin,,,create
Pérez,family,306,Latin,,Q383010,link
Georg,given,305,Latin,,Q1985538,link
Álvaro,given,305,Latin,,Q3576980,link
Hanna,given,304,Latin,,,"AMBIGUOUS - review, do not create"
Julie,given,301,Latin,,Q15725563,link
Eriksen,given,300,Latin,,,create
Julia,given,299,Latin,,Q2737173,link
Ane,given,299,Latin,,Q11958077,link
Kristina,given,299,Latin,,Q19798802,link
Matilda,given,298,Latin,,Q2054021,link
Roger,given,297,Latin,,,create
Moshe,given,297,Latin,,,"AMBIGUOUS - review, do not create"
Sophia,given,297,Latin,,,"AMBIGUOUS - review, do not create"
Fanny,given,296,Latin,,,create
Michel,given,295,Latin,,Q14626626,link
Pauline,given,294,Latin,,Q18009833,link
劉,family,292,Han,,,create
Amalie,given,292,Latin,,Q18171848,link
Nielsen,given,291,Latin,,,create
Adolf,given,291,Latin,,Q18145837,link
Gutiérrez,family,290,Latin,,,create
Gunnar,given,290,Latin,,Q120416,link
Fernandez,family,289,Latin,,Q28912637,link
Lucy,given,289,Latin,,Q13365715,link
Barbara,given,289,Latin,,Q153957,link
Bernard,given,288,Latin,,Q14649171,link
Nicolas,given,288,Latin,,Q7029481,link
(Wife,given,287,Latin,,,create
Moritz,given,285,Latin,,Q16422573,link
Dorothea,given,285,Latin,,Q909253,link
mac,family,284,Latin,,,create
Garcia,family,283,Latin,,Q29014547,link
Zēng,family,283,Latin,,,create
Aron,given,283,Latin,,,"AMBIGUOUS - review, do not create"
Hansen,family,282,Latin,,Q2712367,link
Leopold,given,282,Latin,,Q1076652,link
Augusta,given,282,Latin,,Q1370330,link
Hirsch,given,281,Latin,,Q21146930,link
Inês,given,281,Latin,,Q19776508,link
姬姓,family,281,Han,,,create
Francis,given,280,Latin,,,"AMBIGUOUS - review, do not create"
Israel,given,278,Latin,,,"AMBIGUOUS - review, do not create"
Sancha,given,278,Latin,,Q56071857,link
Thomas,family,277,Latin,,Q1413324,link
Rasmussen,given,277,Latin,,,create
허,family,277,Hangul,,,create
Bernhard,given,276,Latin,,Q221978,link
Rui,given,275,Latin,,,"AMBIGUOUS - review, do not create"
Guerra,family,274,Latin,,Q14075030,link
António,given,273,Latin,,Q19801054,link
Tore,given,273,Latin,,Q1548096,link
Nicolás,given,272,Latin,,,create
Sofia,given,272,Latin,,,"AMBIGUOUS - review, do not create"
León,family,271,Latin,,Q5974539,link
Salazar,family,271,Latin,,Q1158459,link
Isabelle,given,271,Latin,,Q6078151,link
Rasmusson,given,269,Latin,,,create
某,given,268,Han,,,create
Jørgensdatter,patronymic,268,Latin,sdatter,,create
Chén,given,267,Latin,,,"AMBIGUOUS - review, do not create"
Gustav,given,267,Latin,,,create
Sigrid,given,267,Latin,,Q634916,link
Axel,given,266,Latin,,Q5407300,link
Christina,given,266,Latin,,,"AMBIGUOUS - review, do not create"
Emilie,given,266,Latin,,Q16275679,link
Mette,given,266,Latin,,Q1158302,link
Guy,given,265,Latin,,Q1159023,link
鄭州榮澤,family,264,Han,,,create
張,family,262,Han,,,create
Trevino,family,262,Latin,,,create
Pederson,given,262,Latin,,,create
Abigail,given,262,Latin,,Q2769157,link
Adelheid,given,262,Latin,,Q4057477,link
Gunhild,given,262,Latin,,Q2634697,link
Montemayor,family,261,Latin,,,create
Gomez,family,260,Latin,,Q37499550,link
Trembath,family,260,Latin,,Q37028917,link
織田,family,260,Han,,,create
Ivar,given,260,Latin,,Q127069,link
Nancy,given,260,Latin,,Q2102316,link
Herz,given,259,Latin,,,create
Daughter,given,259,Latin,,,create
Berte,given,259,Latin,,Q11960827,link
Christopher,given,257,Latin,,,"AMBIGUOUS - review, do not create"
Bore,family,256,Latin,,,create
南蘭陵,family,256,Han,,,create
Campo,family,255,Latin,,,create
Phelps,family,254,Latin,,Q16881170,link
Philippe,given,254,Latin,,Q15727189,link
Meyer,family,253,Latin,,Q46767,link
4,given,253,none,,,create
Mari,given,253,Latin,,,"AMBIGUOUS - review, do not create"
Josef,given,253,Latin,,Q15730712,link
Frederick,given,253,Latin,,Q3273004,link
Eriksson,family,252,Latin,,Q1354604,link
Magnus,given,252,Latin,,Q18109457,link
Fredrik,given,252,Latin,,Q4926491,link
Eleanor,given,251,Latin,,Q988818,link
Manuela,given,250,Latin,,Q6753023,link
Emil,given,250,Latin,,,"AMBIGUOUS - review, do not create"
Alix,given,249,Latin,,Q2837257,link
Nyai,given,249,Latin,,,create
Nilsen,given,247,Latin,,,create
Katz,family,246,Latin,,Q8114053,link
Nilsdotter,patronymic,246,Latin,sdotter,,create
ab,family,245,Latin,,,create
Leib,given,245,Latin,,Q23465018,link
Gonzalo,given,245,Latin,,Q19901997,link
Mrs.,given,244,Latin,,,create
김,given,243,Hangul,,,create
Andersen,family,242,Latin,,Q21501893,link
Karin,given,241,Latin,,Q1814118,link
Rønneberg,family,240,Latin,,Q7386722,link
Jonson,given,240,Latin,,,create
Pereira,family,239,Latin,,Q21450564,link
Martinez,family,239,Latin,,Q28812761,link
Kyai,given,239,Latin,,,create
Jonsen,given,238,Latin,,,create
홍,family,238,Hangul,,,create
e,family,237,Latin,,,create
Olofsdotter,patronymic,237,Latin,sdotter,,create
Nilsson,given,236,Latin,,Q69380264,link
Melo,family,236,Latin,,Q10328432,link
Eliza,given,236,Latin,,,"AMBIGUOUS - review, do not create"
Martínez,family,235,Latin,,Q906471,link
Vasco,given,235,Latin,,Q16620432,link
Ingrid,given,235,Latin,,Q903741,link
晉昌冥安,family,235,Han,,,create
Ball,family,234,Latin,,Q805107,link
Raymond,given,234,Latin,,Q2127728,link
Stephen,given,234,Latin,,Q4927100,link
Helga,given,234,Latin,,Q1035107,link
M.,given,234,Latin,,Q19803510,link
los,family,233,Latin,,,create
Weil,family,232,Latin,,Q17035149,link
박,family,232,Hangul,,,create
Inés,given,232,Latin,,Q13403917,link
前田,family,231,Han,,,create
Ageng,given,231,Latin,,,create
Smith,family,230,Latin,,Q1158446,link
Lévy,family,229,Latin,,Q25343981,link
Romo,family,229,Latin,,Q25125932,link
Philip,given,229,Latin,,Q827311,link
Antoine,given,229,Latin,,Q15235674,link
Silva,family,228,Latin,,Q6327150,link
Philipp,given,228,Latin,,Q18145728,link
Gaspar,given,227,Latin,,Q18200023,link
Urraca,given,227,Latin,,Q16619921,link
Count,given,226,Latin,,,create
Andersson,given,225,Latin,,,create
Lozano,family,225,Latin,,Q16875844,link
Ahmad,given,225,Latin,,,"AMBIGUOUS - review, do not create"
عبد,given,225,Arabic,,,create
Grace,given,225,Latin,,Q1541047,link
Christen,given,225,Latin,,,"AMBIGUOUS - review, do not create"
Siri,given,225,Latin,,Q1772342,link
Christine,given,224,Latin,,Q2087646,link
Javier,given,224,Latin,,Q1142232,link
Muñoz,family,223,Latin,,Q1670164,link
Nassau,family,223,Latin,,Q37267291,link
Eva,given,223,Latin,,Q64412279,link
Meyer,given,221,Latin,,Q19915007,link
Wright,family,221,Latin,,Q2594455,link
河東解縣,family,221,Han,,,create
Lopez,family,220,Latin,,Q26078995,link
François,given,220,Latin,,Q1166840,link
Kirstine,given,220,Latin,,Q11980788,link
Sexton,family,218,Latin,,Q10816799,link
Max,given,218,Latin,,Q16422172,link
Siti,given,217,Latin,,Q67171480,link
Birgitte,given,215,Latin,,Q19816196,link
