token,usage,bearers,script,marker,existing_qid,action
Styve,family,44,Latin,,,create
Kvæven,family,44,Latin,,,create
Monsen,given,44,Latin,,,create
Oates,family,44,Latin,,,create
Craon,family,44,Latin,,Q105532619,link
Etling,family,44,Latin,,,create
Nicolai,given,44,Latin,,Q19830590,link
Bat,given,44,Latin,,,create
Domnall,given,44,Latin,,,create
Ommundson,given,44,Latin,,,create
Dunbar,family,44,Latin,,Q21452734,link
1st,given,44,Latin,,,create
Poyntz,family,44,Latin,,Q7237008,link
(Bupati,given,44,Latin,,,create
Finn,given,44,Latin,,Q1940938,link
Kristofferson,given,44,Latin,,,create
Timur,given,44,Latin,,,"AMBIGUOUS - review, do not create"
Achmad,given,44,Latin,,,create
Chester,given,44,Latin,,Q16274781,link
Flavia,given,44,Latin,,Q574510,link
Karaeng,given,44,Latin,,,create
山名,family,44,Han,,,create
채,family,44,Hangul,,,create
1:,given,44,none,,,create
2:,given,44,none,,,create
Abner,given,44,Latin,,Q9138312,link
Alexios,given,44,Latin,,,"AMBIGUOUS - review, do not create"
Birthe,given,44,Latin,,Q21563594,link
Bård,given,44,Latin,,,create
Elsie,given,44,Latin,,Q16423214,link
Eugenie,given,44,Latin,,Q21142133,link
Humbert,given,44,Latin,,Q9294936,link
Jorunn,given,44,Latin,,Q1799021,link
Mikal,given,44,Latin,,Q21467686,link
Märta,given,44,Latin,,Q1576232,link
Mélanie,given,44,Latin,,Q3332863,link
Nellie,given,44,Latin,,Q13137220,link
Ona,given,44,Latin,,Q2023693,link
Rafaela,given,44,Latin,,Q9302835,link
Rosina,given,44,Latin,,Q13403839,link
Sorle,given,44,Latin,,,create
Svensdotter,patronymic,44,Latin,sdotter,,create
Øystein,given,44,Latin,,Q317315,link
Святославич,given,44,Cyrillic,,,create
嬴姓,family,44,Han,,,create
Benjamin,family,43,Latin,,Q817365,link
Lehmann,given,43,Latin,,Q98636299,link
Iorwerth,family,43,Latin,,,create
Álvares,family,43,Latin,,Q2605629,link
Jacobsen,family,43,Latin,,Q1677742,link
Lambert,family,43,Latin,,Q19776313,link
Egypt,family,43,Latin,,,create
Cruz,given,43,Latin,,Q20639746,link
Russell,given,43,Latin,,Q14816494,link
Mac,given,43,Latin,,Q19901550,link
Fulda,family,43,Latin,,Q28126268,link
Sichel,family,43,Latin,,Q29957401,link
ingen,family,43,Latin,,,create
Malheiro,family,43,Latin,,,create
Mykkeltveit,family,43,Latin,,,create
Wilson,family,43,Latin,,Q1645480,link
Berlin,family,43,Latin,,Q2660845,link
Næsheim,family,43,Latin,,,create
Steen,given,43,Latin,,Q20872559,link
Miles,family,43,Latin,,Q13553902,link
im,family,43,Latin,,,create
Gui,given,43,Latin,,,"AMBIGUOUS - review, do not create"
Brooks,family,43,Latin,,Q1354011,link
Jåsund,family,43,Latin,,,create
לוי,family,43,Hebrew,,,create
Marseille,family,43,Latin,,,create
Måge,family,43,Latin,,,create
Ruíz,family,43,Latin,,Q56478226,link
Ahlefeldt,family,43,Latin,,Q23269693,link
Pole,family,43,Latin,,Q16881308,link
Koppel,given,43,Latin,,,create
רבי,given,43,Hebrew,,,create
Flesch,family,43,Latin,,Q21510931,link
Godeset,family,43,Latin,,,create
Cheng,given,43,Latin,,,"AMBIGUOUS - review, do not create"
Isla,family,43,Latin,,,create
Minor,given,43,Latin,,Q111072908,link
溝口,family,43,Han,,,create
Al-Adnani,family,43,Latin,,,create
鍋島,family,43,Han,,,create
Awf,given,43,Latin,,,create
Rocabertí,family,43,Latin,,,create
Tzvi,given,43,Latin,,Q96482919,link
dite,given,43,Latin,,,create
'le,given,43,Latin,,,create
Ioannes,given,43,Latin,,Q17493832,link
Maude,given,43,Latin,,Q19968566,link
Périgord,family,43,Latin,,,create
土井,family,43,Han,,,create
日野,family,43,Han,,,create
阿部,family,43,Han,,,create
Annette,given,43,Latin,,Q18071263,link
Boudewijn,given,43,Latin,,Q576970,link
Egas,given,43,Latin,,Q114239480,link
Einarsdatter,patronymic,43,Latin,sdatter,,create
G,given,43,Latin,,,create
Gideon,given,43,Latin,,Q1523103,link
Isidro,given,43,Latin,,Q6449552,link
Lois,given,43,Latin,,Q3836481,link
Mahmud,given,43,Latin,,Q2775739,link
Ranveig,given,43,Latin,,,create
Thierry,given,43,Latin,,Q18001848,link
Unnamed,given,43,Latin,,,create
Семенович,given,43,Cyrillic,,,create
العامري,family,43,Arabic,,,create
Llywarch,given,42,Latin,,Q21674660,link
Pizarro,family,42,Latin,,Q21004060,link
Morris,given,42,Latin,,Q16279740,link
Vestby,family,42,Latin,,,create
Wulff,family,42,Latin,,Q28317637,link
Soma,family,42,Latin,,,create
Karlsen,given,42,Latin,,,create
Bragança,family,42,Latin,,Q37086008,link
Feist,given,42,Latin,,,create
Hutchinson,family,42,Latin,,Q21501619,link
Munch,family,42,Latin,,Q16877606,link
Opstad,family,42,Latin,,Q37268235,link
Babcock,family,42,Latin,,Q29949678,link
Nankervis,family,42,Latin,,,create
Auglend,family,42,Latin,,,create
Vermandois,family,42,Latin,,,create
Baldwin,given,42,Latin,,Q20810783,link
Kvalbein,family,42,Latin,,Q30133009,link
Lauritsen,given,42,Latin,,,create
Scudamore,family,42,Latin,,Q7439386,link
Aslaksen,given,42,Latin,,,create
Vaca,family,42,Latin,,,create
Tollefsen,given,42,Latin,,,create
Al-Qahtani,family,42,Latin,,,create
Orm,given,42,Latin,,Q5199298,link
Melun,family,42,Latin,,,create
Gjesteland,family,42,Latin,,,create
Noblin,family,42,Latin,,,create
Øyre,family,42,Latin,,,create
Abū,given,42,Latin,,,create
Merrell,family,42,Latin,,Q28919317,link
Raphaël,given,42,Latin,,Q11702145,link
Eleazar,given,42,Latin,,,"AMBIGUOUS - review, do not create"
China,family,42,Latin,,Q37229573,link
Escamilla,family,42,Latin,,,create
一条,family,42,Han,,,create
aka,given,42,Latin,,,create
Roland,given,42,Latin,,Q1068487,link
(2),given,42,none,,,create
Al-Husayn,given,42,Latin,,,create
Burchard,given,42,Latin,,Q18579290,link
Seth,given,42,Latin,,Q3958283,link
син,given,42,Cyrillic,,,create
Aslaug,given,42,Latin,,Q324528,link
Bergitte,given,42,Latin,,,create
Berntsdatter,patronymic,42,Latin,sdatter,,create
Betsey,given,42,Latin,,Q87120561,link
Cajsa,given,42,Latin,,Q98969195,link
Cecília,given,42,Latin,,Q21285895,link
Dirk,given,42,Latin,,Q1605531,link
Donald,given,42,Latin,,Q13422248,link
Eiler,given,42,Latin,,Q30147472,link
Enoch,given,42,Latin,,Q476155,link
Eufemia,given,42,Latin,,Q76706504,link
Eustache,given,42,Latin,,Q18929064,link
Gershon,given,42,Latin,,Q22966139,link
Halvar,given,42,Latin,,Q30190541,link
Haraldsdatter,patronymic,42,Latin,sdatter,,create
Jessie,given,42,Latin,,Q16277375,link
Legarda,family,42,Latin,,,create
Marcel,given,42,Latin,,Q4927589,link
Mikhail,given,42,Latin,,,"AMBIGUOUS - review, do not create"
Mór,given,42,Latin,,Q62090716,link
Olena,given,42,Latin,,,"AMBIGUOUS - review, do not create"
Priscilla,given,42,Latin,,Q7165927,link
Rosalía,given,42,Latin,,,"AMBIGUOUS - review, do not create"
Salve,given,42,Latin,,Q12717110,link
Sybille,given,42,Latin,,Q18016262,link
Torsteinsdatter,patronymic,42,Latin,sdatter,,create
Torvald,given,42,Latin,,Q20020131,link
Ulrika,given,42,Latin,,Q18924998,link
Viktoria,given,42,Latin,,,"AMBIGUOUS - review, do not create"
القحطاني,family,42,Arabic,,,create
Levy,given,41,Latin,,Q21143999,link
Arias,given,41,Latin,,Q111039330,link
Löb,family,41,Latin,,Q105534565,link
Madog,family,41,Latin,,,create
Vaughan,family,41,Latin,,Q12805306,link
Knudsen,family,41,Latin,,Q21452407,link
Dafydd,family,41,Latin,,,create
Carvalho,family,41,Latin,,Q23774785,link
Barreto,family,41,Latin,,Q21493374,link
Mathisen,given,41,Latin,,,create
Baumann,family,41,Latin,,Q1227792,link
Moniz,family,41,Latin,,Q21492498,link
O,family,41,Latin,,,create
Gonzaga,family,41,Latin,,Q22992247,link
d'Ibelin,family,41,Latin,,,create
Grannes,family,41,Latin,,Q37442010,link
Manheimer,family,41,Latin,,Q37240599,link
Salinas,family,41,Latin,,Q16882541,link
Ulfstand,family,41,Latin,,Q49963450,link
Ådneram,family,41,Latin,,,create
Tomkins,family,41,Latin,,Q27517147,link
Cadena,family,41,Latin,,,create
Durán,family,41,Latin,,Q29476908,link
Pehrsson,family,41,Latin,,Q2067501,link
Todnem,family,41,Latin,,,create
Cooke,family,41,Latin,,Q658676,link
Vigre,family,41,Latin,,,create
Beaufort,family,41,Latin,,Q16479708,link
Hohenstaufen,family,41,Latin,,,create
Mark,given,41,Latin,,,"AMBIGUOUS - review, do not create"
Tomkyns,family,41,Latin,,,create
Al-Qaysi,family,41,Latin,,,create
Fürstenberg,family,41,Latin,,Q51079363,link
Tiffany,family,41,Latin,,Q16884688,link
Vistnes,family,41,Latin,,,create
Nomeland,family,41,Latin,,,create
Jaramillo,family,41,Latin,,Q6159497,link
Brimeu,family,41,Latin,,,create
Ishaq,given,41,Latin,,,create
Campany,family,41,Latin,,,create
Rochefoucauld,family,41,Latin,,,create
Tolleivsen,given,41,Latin,,,create
Ådnesen,given,41,Latin,,,create
Tolleivson,given,41,Latin,,,create
Uri,given,41,Latin,,,"AMBIGUOUS - review, do not create"
Beaujeu,family,41,Latin,,,create
Halvardsen,given,41,Latin,,,create
Nilsdtr.,given,41,Latin,,,create
Jaime,given,41,Latin,,,"AMBIGUOUS - review, do not create"
Litewska,family,41,Latin,,,create
Marius,given,41,Latin,,Q2159938,link
松浦,family,41,Han,,,create
Chapa,family,41,Latin,,Q18324542,link
Rector,family,41,Latin,,Q16881936,link
Simón,given,41,Latin,,Q18175382,link
Sulpicius,given,41,Latin,,,create
רפא,family,41,Hebrew,,,create
الزهري,family,41,Arabic,,,create
仙石,family,41,Han,,,create
生駒,family,41,Han,,,create
Berete,given,41,Latin,,,create
Clementine,given,41,Latin,,Q1043415,link
Dora,given,41,Latin,,,"AMBIGUOUS - review, do not create"
Frieda,given,41,Latin,,Q17485232,link
Harriett,given,41,Latin,,Q22340891,link
Holgersdatter,patronymic,41,Latin,sdatter,,create
Huldah,given,41,Latin,,Q121890089,link
IV.,given,41,Latin,,,create
Irma,given,41,Latin,,Q647872,link
Jachet,given,41,Latin,,Q106145447,link
Jøran,given,41,Latin,,,create
Marianna,given,41,Latin,,Q18141405,link
Mehitable,given,41,Latin,,Q34504340,link
Nepomuceno,given,41,Latin,,Q656520,link
Ngabei,given,41,Latin,,,create
Nji,given,41,Latin,,,create
Ovesdatter,patronymic,41,Latin,sdatter,,create
Petrine,given,41,Latin,,Q107227465,link
Prudence,given,41,Latin,,Q3924778,link
Ptolemy,given,41,Latin,,Q13416191,link
Stefan,given,41,Latin,,,"AMBIGUOUS - review, do not create"
Stig,given,41,Latin,,Q2003540,link
Sulayman,given,41,Latin,,,create
Sybil,given,41,Latin,,Q4851022,link
Sylvia,given,41,Latin,,Q10686817,link
Tørresdatter,patronymic,41,Latin,sdatter,,create
التغلبي,family,41,Arabic,,,create
撫州臨川,family,41,Han,,,create
植村,family,41,Han,,,create
Alonso,family,40,Latin,,Q18552178,link
Falk,family,40,Latin,,Q16390676,link
Johnson,family,40,Latin,,Q1158485,link
Ellis,family,40,Latin,,Q21452033,link
o,family,40,Latin,,,create
KOESOEMAH,given,40,Latin,,,create
Caradog,given,40,Latin,,Q22915127,link
Brandenburg,family,40,Latin,,Q897887,link
Morris,family,40,Latin,,Q2780710,link
Tresise,family,40,Latin,,,create
Baden,family,40,Latin,,Q20519374,link
Isserles,family,40,Latin,,,create
Bild,family,40,Latin,,Q7146554,link
Pierce,family,40,Latin,,Q14921982,link
Gausel,family,40,Latin,,,create
Sinzheim,family,40,Latin,,,create
Geer,family,40,Latin,,Q28605695,link
Young,family,40,Latin,,Q12678727,link
Cardenas,family,40,Latin,,Q37443731,link
Dysjaland,family,40,Latin,,,create
Greene,family,40,Latin,,Q1544694,link
Limoges,family,40,Latin,,,create
Falch,family,40,Latin,,Q30098080,link
Storhaug,family,40,Latin,,Q27892826,link
Njå,family,40,Latin,,,create
Re,family,40,Latin,,Q20148490,link
Vendôme,family,40,Latin,,,create
Kjerland,family,40,Latin,,,create
Fossmork,family,40,Latin,,,create
Iñigo,given,40,Latin,,Q43306123,link
Vere,family,40,Latin,,,create
Sundal,family,40,Latin,,,create
Harvaland,family,40,Latin,,,create
Torstensen,given,40,Latin,,,create
Gunnarsen,given,40,Latin,,,create
#3,given,40,none,,,create
Jadwiga,given,40,Latin,,Q4962685,link
Trinidad,given,40,Latin,,Q9361602,link
יחיאל,given,40,Hebrew,,,create
Aleksander,given,40,Latin,,,create
מרים,given,40,Hebrew,,,create
عامر,given,40,Arabic,,,create
Al-Bahrani,family,40,Latin,,,create
BRA,given,40,Latin,,,create
Betsy,given,40,Latin,,Q832242,link
Bridget,given,40,Latin,,Q913810,link
Edvin,given,40,Latin,,Q18115390,link
Elsebe,given,40,Latin,,,create
Erna,given,40,Latin,,Q599668,link
Fatimah,given,40,Latin,,Q27889967,link
Frédéric,given,40,Latin,,Q17539276,link
Geronimo,given,40,Latin,,Q20002168,link
Hanne,given,40,Latin,,Q1575808,link
Hindle,given,40,Latin,,,create
KH.,given,40,Latin,,,create
Kjell,given,40,Latin,,Q1785936,link
Lene,given,40,Latin,,Q16278322,link
Lina,given,40,Latin,,Q1873288,link
Mathiasdatter,patronymic,40,Latin,sdatter,,create
Poulsdatter,patronymic,40,Latin,sdatter,,create
Sjursdotter,patronymic,40,Latin,sdotter,,create
Tb.,given,40,Latin,,,create
Thea,given,40,Latin,,Q2415656,link
Thomasdatter,patronymic,40,Latin,sdatter,,create
Tord,given,40,Latin,,Q1750352,link
Viola,given,40,Latin,,Q301657,link
pangeran,given,40,Latin,,,create
Þórður,given,40,Latin,,Q8079578,link
Глебович,given,40,Cyrillic,,,create
Романович,given,40,Cyrillic,,,create
الهاشمي,family,40,Arabic,,,create
趙郡柏仁,family,40,Han,,,create
Harry,family,39,Latin,,Q23012892,link
Franklin,family,39,Latin,,Q2696075,link
Pais,family,39,Latin,,Q10343642,link
Svendsen,family,39,Latin,,Q21450611,link
Velho,family,39,Latin,,,create
Bingen,family,39,Latin,,Q37310258,link
Levie,family,39,Latin,,Q37020495,link
Tavora,family,39,Latin,,Q121335516,link
Ward,family,39,Latin,,Q2549042,link
Angel,given,39,Latin,,Q665157,link
Tapia,family,39,Latin,,,create
Ebbesen,family,39,Latin,,Q30307497,link
Trenel,family,39,Latin,,,create
Bocanegra,family,39,Latin,,,create
Komnene,family,39,Latin,,,create
Klotz,family,39,Latin,,Q1749430,link
Stevens,family,39,Latin,,Q1797561,link
秦,family,39,Han,,,create
Carafa,family,39,Latin,,Q21502021,link
Capua,family,39,Latin,,Q37458167,link
Watkin,family,39,Latin,,,create
Reynolds,family,39,Latin,,Q14648920,link
Gudmestad,family,39,Latin,,,create
Helleland,family,39,Latin,,Q30260615,link
Torsteinson,given,39,Latin,,,create
Abbe,family,39,Latin,,Q16001355,link
Mikkelsen,given,39,Latin,,,create
Garborg,family,39,Latin,,Q30250555,link
Auestad,family,39,Latin,,,create
Ingebretsen,given,39,Latin,,,create
Schweizer,family,39,Latin,,Q2255868,link
Shelton,family,39,Latin,,Q26224011,link
Stebbins,family,39,Latin,,,create
Qiū,family,39,Latin,,,create
Kjosavik,family,39,Latin,,,create
Farías,family,39,Latin,,Q20015005,link
Ōkubo,family,39,Latin,,Q21449469,link
2nd,given,39,Latin,,,create
Marsvin,family,39,Latin,,Q119240871,link
Castaño,family,39,Latin,,,create
Alain,given,39,Latin,,Q2829505,link
Karlson,given,39,Latin,,,create
Pallesen,given,39,Latin,,,create
Ramiro,given,39,Latin,,Q3929880,link
Roy,given,39,Latin,,Q2170752,link
Wesley,given,39,Latin,,Q18420725,link
Whitehead,family,39,Latin,,Q15709639,link
"""den",given,39,Latin,,,create
נפתלי,given,39,Hebrew,,,create
Bateman,family,39,Latin,,Q20979432,link
Jørgenson,given,39,Latin,,,create
Lage,given,39,Latin,,Q11982930,link
Natan,given,39,Latin,,,"AMBIGUOUS - review, do not create"
Pogoń,family,39,Latin,,,create
Puteri,given,39,Latin,,,create
2.,given,39,none,,,create
Abrahamsdatter,patronymic,39,Latin,sdatter,,create
Alan,given,39,Latin,,Q294833,link
BPH,given,39,Latin,,,create
Fannie,given,39,Latin,,Q23537310,link
Frumet,given,39,Latin,,,create
Giulia,given,39,Latin,,Q127733,link
Henrich,given,39,Latin,,Q13402305,link
Håvard,given,39,Latin,,Q1642720,link
Justa,given,39,Latin,,Q11729650,link
LÀI,family,39,Latin,,,create
Magne,given,39,Latin,,Q11987768,link
Mendo,given,39,Latin,,Q100165766,link
Mortensdatter,patronymic,39,Latin,sdatter,,create
Panji,given,39,Latin,,,create
Ragnar,given,39,Latin,,Q2127308,link
Reidar,given,39,Latin,,Q1537661,link
Reinert,given,39,Latin,,,create
Salmundsdatter,patronymic,39,Latin,sdatter,,create
Synnøve,given,39,Latin,,Q30644752,link
Valborg,given,39,Latin,,Q20726370,link
Дулов,family,39,Cyrillic,,,create
חנה,given,39,Hebrew,,,create
القيسي,family,39,Arabic,,,create
الكناني,family,39,Arabic,,,create
吳興武康,family,39,Han,,,create
赖,family,39,Han,,,create
Einion,family,38,Latin,,,create
Amundsen,given,38,Latin,,,create
Câmara,family,38,Latin,,Q60691711,link
Lawrence,family,38,Latin,,Q1544163,link
韓,family,38,Han,,,create
Távora,family,38,Latin,,Q54830782,link
Maluenda,family,38,Latin,,,create
Caldas,family,38,Latin,,Q28800621,link
Angel,family,38,Latin,,Q12648436,link
ADINATA,given,38,Latin,,,create
Merrill,family,38,Latin,,Q16876847,link
Hecht,family,38,Latin,,Q230229,link
Adams,family,38,Latin,,Q351735,link
en,family,38,Latin,,,create
Daa,family,38,Latin,,Q30512469,link
Bermúdez,family,38,Latin,,Q28819273,link
Heilprin,family,38,Latin,,Q21507799,link
Linz,family,38,Latin,,Q37437005,link
Ames,family,38,Latin,,Q12784464,link
Barcelona,family,38,Latin,,,create
Pogson,family,38,Latin,,Q37287779,link
Octavius,given,38,Latin,,Q18978400,link
Coronel,family,38,Latin,,Q105612564,link
Judd,family,38,Latin,,Q37537931,link
Relf,family,38,Latin,,Q20826817,link
Sierra,family,38,Latin,,,create
林,family,38,Han,,,create
Aceves,family,38,Latin,,,create
Angelina,given,38,Latin,,,"AMBIGUOUS - review, do not create"
Comminges,family,38,Latin,,,create
Gyldenstjerne,family,38,Latin,,Q54997273,link
Polignac,family,38,Latin,,,create
菅原,family,38,Han,,,create
西園寺,family,38,Han,,,create
Benito,given,38,Latin,,Q19826489,link
Haynie,family,38,Latin,,,create
Герай,family,38,Cyrillic,,,create
Cobos,family,38,Latin,,,create
Sari,given,38,Latin,,Q11892492,link
Arung,given,38,Latin,,,create
Bakr,given,38,Latin,,,create
Aelius,given,38,Latin,,,create
Asbjørnsdatter,patronymic,38,Latin,sdatter,,create
Camille,given,38,Latin,,Q5160736,link
Carrie,given,38,Latin,,Q16275174,link
Chloe,given,38,Latin,,Q2668516,link
Christoffersdatter,patronymic,38,Latin,sdatter,,create
Gitel,given,38,Latin,,Q124369016,link
Gladys,given,38,Latin,,Q13422277,link
Géraud,given,38,Latin,,Q29908027,link
Just,given,38,Latin,,Q19914462,link
Kirstina,given,38,Latin,,Q120908631,link
Klaus,given,38,Latin,,Q15635230,link
Liva,given,38,Latin,,Q20002223,link
Luitgard,given,38,Latin,,Q19760516,link
Mårten,given,38,Latin,,Q18964343,link
Nikolai,given,38,Latin,,Q30442370,link
Salmund,given,38,Latin,,,create
Sidney,given,38,Latin,,Q3960161,link
Torstensdatter,patronymic,38,Latin,sdatter,,create
Étienne,given,38,Latin,,Q15727982,link
Анастасия,given,38,Cyrillic,,,create
אסתר,given,38,Hebrew,,,create
婺州金華,family,38,Han,,,create
親王,given,38,Han,,,create
George,family,37,Latin,,Q1260558,link
TAN,family,37,Latin,,,"AMBIGUOUS - review, do not create"
Rasmussen,family,37,Latin,,Q1634177,link
Alfonso,family,37,Latin,,Q18327317,link
Jørgensen,family,37,Latin,,Q28858461,link
Leitão,family,37,Latin,,Q19953833,link
Johnsen,family,37,Latin,,Q423413,link
Mascarenhas,family,37,Latin,,Q13582530,link
Glandevès,family,37,Latin,,,create
Willis,family,37,Latin,,Q17149756,link
Gwyn,given,37,Latin,,Q3881656,link
Al-Thaqafi,family,37,Latin,,,create
Haugen,family,37,Latin,,Q16870574,link
Store,family,37,Latin,,,create
Asturias,family,37,Latin,,Q36940532,link
Bang,family,37,Latin,,Q12360193,link
Birkeland,family,37,Latin,,Q27888836,link
Ø.,family,37,Latin,,,create
Epstein,family,37,Latin,,Q18620837,link
Skinkel,family,37,Latin,,,create
Duke,given,37,Latin,,Q28056109,link
Peterson,family,37,Latin,,Q12191064,link
Schames,family,37,Latin,,Q105973664,link
Andersdtr,family,37,Latin,,,create
Ewell,family,37,Latin,,Q16275773,link
Lipman,given,37,Latin,,Q26943934,link
Kenner,family,37,Latin,,Q16871337,link
Skram,family,37,Latin,,Q40190249,link
Vasquez,family,37,Latin,,Q30315315,link
Kellogg,family,37,Latin,,Q16871329,link
Hurst,family,37,Latin,,Q1638721,link
Kijser,family,37,Latin,,,create
Mack,family,37,Latin,,Q16876201,link
Tracy,family,37,Latin,,,"AMBIGUOUS - review, do not create"
Roche,family,37,Latin,,,create
Judson,family,37,Latin,,Q16290335,link
Namur,family,37,Latin,,Q56640927,link
Austre,family,37,Latin,,,create
Løland,family,37,Latin,,Q27889353,link
Bouchard,given,37,Latin,,Q76527367,link
Conyers,family,37,Latin,,Q37538624,link
Loon,family,37,Latin,,Q36912236,link
Beckwith,family,37,Latin,,Q21475418,link
Engelsvåg,family,37,Latin,,,create
吉田,family,37,Han,,,create
Oñate,family,37,Latin,,Q6055241,link
Maximus,given,37,Latin,,Q20000647,link
Sør-Reime,family,37,Latin,,,create
Billung,family,37,Latin,,,create
Eliyahu,given,37,Latin,,Q121416548,link
Katteland,family,37,Latin,,,create
Hijar,family,37,Latin,,,create
Sotelo,family,37,Latin,,Q37044546,link
Pilkington,family,37,Latin,,Q1640958,link
施,family,37,Han,,,create
Rabbi,given,37,Latin,,,create
Simone,given,37,Latin,,Q602977,link
Earl,given,37,Latin,,Q8933847,link
Hendle,given,37,Latin,,,create
Joyce,given,37,Latin,,Q1089094,link
Mencia,given,37,Latin,,,create
Patrick,given,37,Latin,,Q18002623,link
Zeev,given,37,Latin,,Q19965915,link
רבקה,given,37,Hebrew,,,create
רפפורט,family,37,Hebrew,,,create
Alis,given,37,Latin,,Q16002525,link
Bartolomeu,given,37,Latin,,Q21285849,link
Chaya,given,37,Latin,,Q20000301,link
Cynthia,given,37,Latin,,Q944767,link
Egil,given,37,Latin,,Q11680006,link
Eugenio,given,37,Latin,,,create
Frummet,given,37,Latin,,,create
Geoffroi,given,37,Latin,,Q121047476,link
Guillemette,given,37,Latin,,Q28123321,link
Haakon,given,37,Latin,,Q9383939,link
Ira,given,37,Latin,,Q11864996,link
Janet,given,37,Latin,,Q13553631,link
Kate,given,37,Latin,,Q1735678,link
Leonardo,given,37,Latin,,Q18220847,link
Léa,given,37,Latin,,Q18202320,link
Mikhailovich,patronymic,37,Latin,ovich,,create
Omund,given,37,Latin,,Q30817828,link
Roeschen,given,37,Latin,,,create
Rurikov,family,37,Latin,,,create
Schönle,given,37,Latin,,,create
Syarifah,given,37,Latin,,,create
Syversdatter,patronymic,37,Latin,sdatter,,create
Valentin,given,37,Latin,,,"AMBIGUOUS - review, do not create"
Vladimirovich,patronymic,37,Latin,ovich,,create
Ysabel,given,37,Latin,,Q59445893,link
Елена,given,37,Cyrillic,,,create
Роман,given,37,Cyrillic,,,create
זלמן,given,37,Hebrew,,,create
泉州晉江,family,37,Han,,,create
越州山陰,family,37,Han,,,create
Wolf,family,36,Latin,,Q16093204,link
Gomez,given,36,Latin,,Q86589109,link
Jonsen,family,36,Latin,,Q37532457,link
N.,family,36,Latin,,,create
정,given,36,Hangul,,,create
Moura,family,36,Latin,,Q19611277,link
Spencer,given,36,Latin,,Q16281695,link
Aguilar,family,36,Latin,,Q5300634,link
Cabral,family,36,Latin,,Q27916589,link
Patterson,family,36,Latin,,Q2792882,link
Jenkins,family,36,Latin,,,create
Vognsen,family,36,Latin,,Q49612724,link
Gøye,family,36,Latin,,Q54597087,link
Richardson,family,36,Latin,,Q1479191,link
Seefeld,family,36,Latin,,Q37487485,link
Fuglestad,family,36,Latin,,,create
Gompertz,family,36,Latin,,Q21449959,link
Mejia,family,36,Latin,,,create
Malmeim,family,36,Latin,,,create
Rosenthal,family,36,Latin,,Q2167274,link
Evensen,given,36,Latin,,,create
Hameln,family,36,Latin,,,create
Spire,family,36,Latin,,,create
Alarcón,family,36,Latin,,Q28048677,link
Frankel,family,36,Latin,,Q21492940,link
Meißen,family,36,Latin,,,create
Gwrgeneu,given,36,Latin,,,create
Valadez,family,36,Latin,,,create
Stolberg,family,36,Latin,,Q37195936,link
Mortimer,family,36,Latin,,Q18822560,link
Müller,family,36,Latin,,Q8157228,link
Krummedige,family,36,Latin,,Q51059378,link
Kvåle,family,36,Latin,,,create
Fuller,family,36,Latin,,Q1158382,link
Chavez,family,36,Latin,,Q110845040,link
Ezra,given,36,Latin,,Q17642702,link
서,family,36,Hangul,,,create
Helgeson,given,36,Latin,,,create
Vienne,family,36,Latin,,,create
Bailleul,family,36,Latin,,,create
Jonsdtr.,given,36,Latin,,,create
Waaland,family,36,Latin,,,create
Cano,family,36,Latin,,Q27133570,link
Meulan,family,36,Latin,,,create
Monteil,family,36,Latin,,,create
Danielson,given,36,Latin,,Q55762250,link
Tovar,family,36,Latin,,Q16884858,link
Montagu,family,36,Latin,,,create
dau.,family,36,Latin,,,create
Renesse,family,36,Latin,,,create
Sprague,family,36,Latin,,Q36909949,link
Thor,given,36,Latin,,Q2428812,link
V.,given,36,Latin,,Q19803522,link
Calpurnius,given,36,Latin,,,create
Châlon,family,36,Latin,,,create
Srikrishna,family,36,Latin,,,create
Chiang,family,36,Latin,,,create
Genève,family,36,Latin,,,create
Enokson,given,36,Latin,,,create
França,family,36,Latin,,,create
高木,family,36,Han,,,create
鷹司,family,36,Han,,,create
(II),given,36,Latin,,,create
Jaya,given,36,Latin,,,"AMBIGUOUS - review, do not create"
Soo,given,36,Latin,,,create
שמעון,given,36,Hebrew,,,create
井伊,family,36,Han,,,create
Al-Qaydari,family,36,Latin,,,create
Вадбольский,family,36,Cyrillic,,,create
الحسن,given,36,Arabic,,,create
عوف,given,36,Arabic,,,create
Aamir,given,36,Latin,,,create
Alvar,given,36,Latin,,Q15831157,link
Astri,given,36,Latin,,Q30132931,link
Aulus,given,36,Latin,,,create
Dorotea,given,36,Latin,,Q14700868,link
Erika,given,36,Latin,,Q4962499,link
Eudokia,given,36,Latin,,Q99188972,link
Fred,given,36,Latin,,Q913073,link
Gaspard,given,36,Latin,,Q18146061,link
Hansine,given,36,Latin,,Q18699334,link
Hawise,given,36,Latin,,Q29551491,link
Hindel,given,36,Latin,,,create
Hubert,given,36,Latin,,Q13728754,link
Jeronima,given,36,Latin,,Q29551312,link
Liv,given,36,Latin,,Q1403590,link
Patience,given,36,Latin,,Q16280509,link
Pere,given,36,Latin,,Q18219701,link
Sayn,family,36,Latin,,Q66661616,link
Tyge,given,36,Latin,,Q18941424,link
Tøger,given,36,Latin,,Q67860599,link
Wei,given,36,Latin,,,"AMBIGUOUS - review, do not create"
Winifred,given,36,Latin,,Q13422280,link
Abraham,family,35,Latin,,Q13367920,link
Muhammad,family,35,Latin,,,create
