geni_id,qid,position,geni_name,wikidata_label,anchor_geni_id,anchor_qid,anchor_name
373825433260012185,Q2544015,father,Floris Carel van Beieren-Schagen,Floris Carel van Beieren-Schagen,373802532570013532,Q1885178,"Maria Isabella van Beieren-Schagen Vrouwe van Schagen, Barsingerhorn en Haringhuizen"
373825948450007046,Q106875612,mother,Jacoba Maria van Wassenaer,Jacoba Maria van Wassenaer,373802532570013532,Q1885178,"Maria Isabella van Beieren-Schagen Vrouwe van Schagen, Barsingerhorn en Haringhuizen"
375693712960012610,Q748091,father,Ivan Asen I,Ivan Asen I of Bulgaria,6000000000460726610,Q313427,Ivan II Asen
375743294250004675,Q715297,father,George I Terter,George I of Bulgaria,6000000003696173652,Q703842,Theodore Svetoslav
375771159210012562,Q574537,mother,N.N. Palaiologina,Smiltsena Palaiologina,375773065110012019,Q6763915,Marina Smilets of Bulgaria
375784738310012619,Q234805,mother,Börte Üjin Ujin Khatun Onggïrat,Börte,375783977160004715,Q186581,Jochi Tchingisov son Khan
376406918790013422,Q234568,mother,Maria Theresa Francesca Giuseppa Giovanna Benedicta von Habsburg-Lothringen regina di Sardegna,Maria Theresa of Austria,1354718,Q168691,Vittorio Emanuele Maria Alberto Eugenio Ferdinando Tommaso di Savoia
376411602640013414,Q181261,father,Carlo Alberto Amedeo Emanuele Vittorio Maria Clemente Saverio di Savoia Re di Sardegna,Carlo Alberto I of Sardinia,1354718,Q168691,Vittorio Emanuele Maria Alberto Eugenio Ferdinando Tommaso di Savoia
376456844520011080,Q131142450,mother,,Maria,4954353449500028686,Q453491,Michael III Asen Shishman
376460534500005789,Q735831,mother,"Maria Elisabeth Francesca Elisabetta Carlotta Giuseppina di Savoia-Carignano Erzherzogin von Österreich, viceré del Lombardo-Veneto",Princess Elisabeth of Savoy,6000000008584301393,Q86974,Ernst Karl Felix Maria Rainer Gottfried Cyriak Maria Rainer von Habsburg-Lothringen
376461877660013431,Q442756,father,"Rainer Joseph Johann Michael Franz Hieronymus von Habsburg-Lothringen Erzherzog, viceré del Lombardo-Veneto",Archduke Rainer Joseph of Austria,6000000008584301393,Q86974,Ernst Karl Felix Maria Rainer Gottfried Cyriak Maria Rainer von Habsburg-Lothringen
377256097400012303,Q20028150,father,Demetrius I Kantakuzin despot of Morea,Alexios I of Gothia,6000000017606616647,Q6761715,Helena Kantakouzene !\
377649183480004232,Q1327859,mother,Elen ferch Eudaf Hen,Elen,6000000003827309346,Q4067684,Antonius Donatus Gregorius
377663071280012351,Q116055661,father,Anlach Goronog mac Cormac King of Ireland,Anlach mac Coronac ab Eurbre Wyddel,377661791800005806,Q2398021,"Brychan Gododdin ap Anlach Saint, Brenin Brycheiniog"
3784382,Q464081,mother,Theophanu Skleraina,Theophanu,6000000003439632313,Q151090,Otto III
383205592810012430,Q75889756,father,Roger van Gistel Heer van Straete,"Roger de Ghistelles, Seigneur de Dudzeele et de Straten",6000000185361653909,Q75896094,Elisabeth van Gistel
384070862300011689,Q76298658,mother,Hadaburg N.N. Gräfin im Saalgau,Hadaburg (?),6000000003346787945,Q2746904,Poppo von Babenberg Graf im Grabfeldgau
387982253800007385,Q5715368,mother,Mama Palla Chimpu Tucto Coca 11va Colla Reina del Cusco,Añas Colque,5005151048670058255,Q1396437,Cristóbal Paullu Inca
388793565870003237,Q56258080,mother,Rotrude,Rotrude,6000000005792904234,Q231827,Ermengarde de Hesbaye
389789863260004418,Q45379787,father,,Chen Yishi,6000000074738195868,Q45379789,
3985322,Q108840739,father,Anders Nilsen Panter til Asdal,Anders Nielsen Panter Sappi,6000000003343999853,Q4988843,Johanne Andersdatter Panter til Asdal
4015183362770034969,Q87783197,mother,Mercy Tyng,Mercy Tyng,6000000007007346080,Q87783323,Mercy Bradstreet
4093676309000010109,Q96244826,mother,Isabelle Élisabeth de Montagu,"Isabelle (Bonne-Elisabeth) de Montaigu, Dame de Marcoussis et de Germaine",6000000006910563880,Q96244822,Jeanne de Pierrepont Comtesse de Roucy et de Braine
4093711337850033819,Q102830155,father,Simon de Roucy Pierrepont Comte de Roucy et de Braine,"Simon de Roucy, Count of Braine",6000000000474020128,Q57605554,Hugues II de Pierrepont comte de Roucy
4102602,Q2482366,mother,Christina Björnsdotter of Sweden,Christina of Denmark,6000000004533679272,Q4958289,Katarina Eriksdotter Blaka
4102701,Q320977,father,Canute I Erikska King of Sweden,Canute I of Sweden,4102767,Q365103,Erik Knutsson
4179623622700125728,Q3665517,father,Cesare Rasponi Bonanzi Conte,Cesare Rasponi Bonanzi,4179600881960025620,Q3756761,Gabriella Rasponi Bonanzi
4181250114820035915,Q41864,father,Eric Jedvardsson of Sweden IX,Sigurd Snake-in-the-Eye,4102701,Q442876,Canute I Erikska King of Sweden
4224136108080121326,Q229592,mother,"Mathilde de Boulogne Queen consort of England, comtessa de Boulogne",Matilda of Boulogne,6000000002131803922,Q237900,Marie
4225312789020057152,Q4450926,mother,Agnes Guelph,Agnes of the Palatinate,4202797373630036356,Q61467,"Ludwig ""the Severe"" von Bayern"
4258970970100070152,Q466257,mother,Rozala d'Ivrea,Rozala of Italy,6000000001412935350,Q378177,Baldwin
4259042,Q6214652,father,Jofré de Borja y Escrivà 1er Señor de la Casa de Borja en Xátiva,Jofré Llançol i Escrivà,6000000001045079246,Q108316,Roderic Borja pope Alexander VI
4259374,Q1955329,mother,"Charlotte d'Albret Dame de Châlu, regent of the Duchy of Valentinois",Charlotte of Albret,4259386,Q31240,"Louise Borgia d'Albret Borgia Duchessa di Valentinois suo jure, suo jure Dama di Chalus"
4264137824880038907,Q1188419,mother,Maria Borisovna of Tver',Maria of Tver,4264157822390053599,Q2651990,"Ivan ""the Young"" Ivanovich Rurikids Dynasty"
4265302014980128122,Q939520,father,Hugues de Lusignan Comte de la Marche,Hugh IX of Lusignan,6000000002304345688,Q257036,Hugues X 'le Brun' de Lusignan comte de la Marche
4285434,Q1305838,father,Jean I de Dampierre comte de Namur,"John I, Marquis of Namur",6000000021660737126,Q1934858,Guy II of Namur Marquis of Namur
4322668,Q958817,father,"Erik Arvidsson Trolle till Fånö, Ekholmen och Lagnö",Eric Trolle,6000000001922570507,Q99301929,Beata Eriksdotter Trolle
4342753987680065165,Q104211882,father,Meyer Ruben Henriques,Meyer Ruben Henriques,4342791738300125831,Q5801534,Wilhelm Julius Henriques
4349450,Q99301933,mother,Carin Eriksdotter Gyldenstierne,Karin Eriksdotter av Fogelvik och Vinstorp,6000000001922570507,Q99301929,Beata Eriksdotter Trolle
4363165195640021509,Q55236875,father,"Patrikas, prince of Starodub & Zwenihorod",,6000000011242594971,Q4060947,Alexander Patrikeyevich of Koretsk and Starodubsk
4369107,Q98697688,father,Bengt Heer Uddsson Vinstorp,Bengt Uddsson (Vinstorpaätten),6000000011590224598,Q103781939,Märta Bengtsdotter Vinstorp
4372078941100029399,Q3064488,mother,Faileuba,Faileuba,6000000004316193251,Q316869,Theuderic
4442868391570026354,Q96203262,mother,Mary Ellen Ball,Mary Ellen Ball,6000000003578810979,Q96203257,John Ball Chilton
4479332664060024502,Q11952039,mother,Adelaida Toda De Provença comtessa de Besalú,Tota of Provence,6000000004533664172,Q44828487,Garsenda de Besalú vescomtessa consort de Narbona
4510922817560034706,Q75241186,mother,Margery Willoughby,Marjery Willoughby,6000000006422146897,Q75464240,Elizabeth FitzHugh
4510970565170055851,Q5721272,father,Henry Fitz Hugh,"Henry FitzHugh, 3rd Baron FitzHugh",6000000006444299812,Q76268796,Maude Matilda Fitzhugh
4522575,Q11935483,mother,Marie Sibylla Nassau Herzogin zu Schleswig-Holstein-Sonderburg-Beck,Maria Sibylla of Nassau-Saarbrücken,6000000007295010814,Q89286,"August II Schleswig-Holstein, Oldenburg Herzog"
4543755,Q61829,father,George Welf Duke Prince of Calenberg,"George, Duke of Brunswick-Lüneburg",6000000005598803980,Q61574,"Georg II Wilhelm Welf Herzog, Fürst zu Calenberg und Lüneburg"
4614492462350078376,Q958918,father,Guy Troussel de Montlhéry Lord of Bray and Montlhéry,Guy I of Montlhéry,6000000001210401775,Q116005748,Mélisende de Montlhéry
4644828,Q237510,mother,Ēadgȳð of Wessex,Eadgyth,6000000001632206444,Q504535,Liudolf da Suábia
4645001,Q242746,mother,Świętosława «Gunhilda» Mieszkówna,Sigrid the Haughty,6000000000351011235,Q2981947,Estrid Margrethe Svendsdatter Jelling
4694677,Q510987,mother,Béatrice de Bourgogne,"Beatrice of Burgundy, Lady of Bourbon",6000000000720420100,Q536615,"Louis I ""le Boiteux"" de Bourbon duc de Bourbon"
4696016,Q1125417,mother,Marguerite de Lorraine,Marguerite of Lorraine,6000000008607142320,Q6606003,Marie Anne d'Orléans
4732226613930039269,Q110371457,mother,Barbora Schlick zu Passaun,"Barbara, Gräfin Schlick von Passaun",6000000025874848348,Q708618,Heinrich Matthias von Thurn-Valsássina
4774053172420033191,Q57520,mother,Hedwig von Andechs von Andechs of Silesia,Hedwig of Silesia,6000000003937220101,Q53446,"Henry II ""the Pious"" Piast"
4776106,Q651213,father,Henry von Speyer,Henry of Speyer,6000000002224457876,Q152256,Conrad Von Hohenstaufen Holy Roman Emperor
4815871921640078239,Q85853286,father,Pons de Traynel-en-Champagne I,Garnier Ier de Traînel,6000000015364189001,Q85854399,Pons 'Le Jeune' de Traynel
4876774528290014023,Q12382495,mother,Ausenda Guterres rainha consorte de Leão,Adosinda Gutiérrez,6000000004052699411,Q333627,Ordoño III de León rey de León
4924436745430137489,Q829907,mother,Esclarmonde de Foix reine consort de Majorque,Esclaramunda of Foix,6000000002188625529,Q1367881,Ferrán de Mallorca
4924448933160137503,Q51779,mother,Iolanda Jolán Iš Vengrijos,Violant of Hungary,6000000001338193719,Q229419,Isabel of Aragon queen consort of France
4925425003710087812,Q13589690,mother,Muriella de Normandie,Miruel of Hauteville,6000000002322298394,Q426192,Drogo de Hauteville
4927821250240067090,Q550343,father,Welf,"Welf I, Duke of Bavaria",4927794328070059657,Q60171,Henry
4932557422030107014,Q280371,father,Theobald d'Angelica,Theobald of Arles,6000000007043482057,Q705998,Boson d'Arles marchese di Toscana
4932952221030036762,Q1298015,father,"Conrad ""the Elder"" Welfen Graf von Linz und Argengau, Comte de Paris",Egon II de Fribourg,6000000003768386624,Q1782094,"Conrad II ""the Younger"" de Bourgogne Duke of Upper Burgundy"
4943319012480111251,Q98050967,mother,Sarah Clark,Sarah Clark,315336717180006465,Q98050960,Joseph Willard
4947248545210089938,Q2183430,mother,Bengta Ebbesdotter Ebbesdatter Galen Queen of Sweden,Benedicta Ebbesdotter of Hvide,6000000003827464432,Q2709490,Helena Sverkersdatter of Sweden
4953777140640042113,Q430736,father,Smilets,Smilets of Bulgaria,375773065110012019,Q6763915,Marina Smilets of Bulgaria
4953924217750131248,Q715486,father,Mitso Asen of Bulgaria,Mitso Asen of Bulgaria,4953926232780130809,Q285508,Ivan III Asen tsar of Bulgaria
4956074856530028188,Q103783916,father,Gotschalck Johansen Scharpenberg til Hald,Henning Wendelboe,6000000001504209390,Q103782034,Inger Godscalksdatter Skarpenberg til Knudstrup
4956197313950089851,Q136376182,father,Albrecht Andersen Skeel til Hegnet,"Albert Skeel, lord of Hegnet",6000000002162379328,Q110549699,Christen Albrechtsøn Skeel til Bøvling Len
4958047653390077861,Q928859,father,"Otto Guillaume I d'Ivrea comte de Mâcon & de Nevers, contested Duke of Burgundy","Otto-William, Count of Burgundy",4927683959580122814,Q723932,Reginald I of Ivrea count palatine of Burgundy
4958306130180027976,Q2986986,father,"Pandulf II-III ""the Old"" prince of Benevento & Capua",Pandulf II of Benevento,6000000001588464379,Q3757380,Gaitelgrima de Bénévento regent
4972589563730038769,Q5584478,father,Axel Brahe til Torstup og Krogholm,Axel Pedersen Brahe,6000000002525584585,Q3429122,Tyge Axelson Brahe til Tosterup
4972615116410039416,Q96240716,mother,Maren Tygesdatter Lunge til Tostrup,Maren Tygesdatter Lynge,6000000002525584585,Q3429122,Tyge Axelson Brahe til Tosterup
4992488967940044073,Q5792844,mother,Madragana Ben Ben Aloandro Mor Afonso,Madragana,6000000003056522441,Q10326839,Martim Afonso Afonso Chichorro governador de Chaves
4994184628330134042,Q229871,mother,Valeria Messalina,Messalina,6000000002187712437,Q313115,Tiberius Claudius Caesar Britannicus
4994272588560101934,Q154732,mother,Julia Agrippina Minor,Agrippina the Younger,6000000000424698537,Q1413,Lucius Domitius Ahenobarbus
5001540482550082932,Q101247292,mother,N.N,Signe,6000000003865794618,Q12309311,Ebbe Skjalmsen Hvide
5002422000440063513,Q99304147,father,Berenguièr I de Melguèlh comte de Melguèlh,Berenguer de Melgueil,6000000001588444082,Q2898087,Bernat II de Melguèlh comte de Melguèlh
5002841002530047022,Q103787584,mother,Gørvel Andersdatter Lunge,Gerver Andersdotter [Lunge],4117527068020122146,Q5715537,Erik Gyllenstjerne dä
5029010246940051089,Q75558721,mother,Elstrude,Elstrude de Flandre,6000000007014054306,Q2860749,Ardolph I de Guînes
5042461071610069323,Q28469900,father,Olof Larsson Hård till Segerstad,Olof Hård af Segerstad,6000000000658406753,Q104841806,Carl Olofsson Hård af Segerstad
5101278049640043917,Q130334530,mother,Christine Jensdatter,noble Kirsten Jensdatter af Naestved,6000000001827572230,Q96240772,Peder Torbernsen Torbernsen Galen
5105724221060128725,Q127270421,mother,Christina Olofsdotter,Kristina Olofsdotter,6000000000631669687,Q127270419,Olof Samuelsson Grubb
5106195884670114511,Q16649300,father,Andreas Persson,Andreas Petri Grubb,5105724209600128719,Q5773287,Samuel Andersson
5122422525060045462,Q75726723,father,Hans Grabow til Simblegaard,Hans Grabow,5122454247380137565,Q75726719,Joachim Grabow til Pederstrup
5129459882500045150,Q437712,father,Gundioc roi des Burgondes,Gondioc,6000000000277772708,Q918807,Godogisel
5149096265050047141,Q110302907,father,Erik Axelsen Rosenkrantz,Erik Axelsen Rosenkrantz,5269489820380073022,Q107025302,Axel Eriksen Rosenkrantz
5149096314280047148,Q110302910,mother,Margrethe Børgesdatter till Örup,"Margrethe Borgesdatter Ulfstand, heiress of Glimminge manor",5269489820380073022,Q107025302,Axel Eriksen Rosenkrantz
5149550446320139742,Q96240726,mother,Anna Nielsdatter Kabel af Tostrup,Anne Nielsdatter af Tostrup,6000000003410542343,Q103782095,Elisabeth Tygesdatter Thygesdatter Lunge til Basnes
5149696527850139761,Q110304283,father,Christen Eriksen Krag,squire Christiern Eriksen Krag,4967695136000069308,Q12310365,Erik Christensen Krag
5149696546690139767,Q110304284,mother,Ellen Christensdatter Vind,"Ellen Christensdatter Vind, heiress of Strellev Kaergaard",4967695136000069308,Q12310365,Erik Christensen Krag
5167685659070038226,Q26220844,father,Thomas Ferrers Esq.,Thomas Ferrers,5167626693580067656,Q38792539,Henry Ferrers Knight
5167685718320038232,Q75566210,mother,Elizabeth Freville,Elizabeth Freville,5167626693580067656,Q38792539,Henry Ferrers Knight
5190884585660088175,Q18576385,father,"James Douglas 4th Lord of Dalkeith, 1st Earl of Morton","James Douglas, 2nd Earl of Queensberry",6000000019840767335,Q16859687,Elizabeth Douglas
5202009888810053546,Q75262170,mother,Joan Stewart,Lady Margaret Stewart,6000000019840767335,Q16859687,Elizabeth Douglas
5233416830080054925,Q75776400,mother,Joan St. Owen Lady of Winchester,Joan (?),6000000003243284257,Q75776393,Geoffrey de Cornwall
5233537874200043084,Q2910443,father,Joscelin I de Courtenay seigneur de Courtenay,Joscelin de Courtenay,6000000006727902278,Q51719,Joscelin de Courtenay 1st count of Edessa
5235605714220070458,Q2616032,mother,Rikissa of Sweden of Poland,Christina Ingesdotter of Sweden,6000000006727876082,Q15615597,Svyatopolk Duke Of Novgorod Volynia Duke Of Polotsk & Minsk
5259638785100119928,Q61911161,mother,Elizabeth Hastings,Elizabeth de Hastings,6000000001744977030,Q7308717,Reginald de Grey 2nd Lord Grey de Ruthyn
5259804936550084244,Q434657,father,Alberic de Vere II,Aubrey de Vere II,6000000006188836878,Q3439788,Aubrey “Sanglier” de Vere 1st Earl of Oxford
5266305885070130046,Q5860561,father,Fernando Alvarez de Toledo Zuñiga de Oropesa I Conde de Oropesa,Fernando Álvarez de Toledo y Herrera,6000000031409292021,Q134986484,Luis de Toledo y Pacheco
5266885271690139524,Q510576,father,Fadrique Alfonso Enríquez de Castilla I Señor de Haro,"Fadrique Alfonso, Lord of Haro",6000000000131404602,Q1975522,Alonso Enríquez de Castilla
5269498957060121279,Q110304359,father,Børge Eriksen Rosenkrantz,Borge Axelsen Rosenkrantz,6000000002858496665,Q17130962,Palle Børgesen Rosenkrantz
5271489675500023723,Q2406584,mother,Urraca de Portugal rainha consorte de Leão,Urraca of Portugal,6000000008477543238,Q316115,Alfonso IX de León
5271608185130057937,Q113021,mother,Berenguela de Barcelona reina consort de Lleó i Castella,Berengaria of Barcelona,5271489662630023717,Q316768,Fernando de Castilla y León II
5272432907750102178,Q101403628,mother,Toda Fortúnez,Toda Ortiz,6000000039182794204,Q387179,"Lope II Díaz Iniguez Ortiz II señor de Vizcaya, IV Conde de Viscaya"
5284543506520122688,Q3292878,mother,Maria Komitopulos,Maria of Bulgaria,6000000000125517845,Q232714,Irene Augusta Doukaina
5302730665420049530,Q134985942,father,Juan Diego Pizarro de Aguilar,Hernando Alonso Pizarro de Hinojosa Regidor de Trujillo,6000000009533008858,Q134986473,Diego Pizarro Hinojosa
5302730678270049536,Q133284526,mother,Aldonza Hinojosa,Isabel Rodríguez de Aguilar,6000000009533008858,Q134986473,Diego Pizarro Hinojosa
5304572722780119951,Q105045834,father,Niels Eriksen Løvenbalk til Aunsbjerg,Niels Eriksen Løvenbalk,6000000003344745168,Q12319408,Jens Nielsen Løvenbalk til Aunsbjerg
5311926837990077645,Q18215269,father,Henry de Percy VI,Henry de Percy,6000000003614420649,Q18204227,William de Percy 6th Baron Percy
5327737682960022955,Q111442691,mother,Marguerite Sarah Nathan,Marguerite Nathan,6000000002765153877,Q111442689,Nathé Nathan Weill
5341333863140104281,Q75251800,father,John Talbot,John Talbot,6000000006444496226,Q93646,John Talbot
5341333886480104287,Q75251801,mother,Eleanor Baskerville,Eleanor Baskerville,6000000006444496226,Q93646,John Talbot
5423269005420118556,Q571471,father,Konrad I von Glogau książę,"Konrad I, Duke of Głogów",6000000006127668543,Q2797080,Anna von Schlesien-Glogau Anna głogowska
5441313740220126371,Q769720,mother,Judith Albertsdotter Askanier Queen Consort of Denmark,Jutta of Saxony,6000000001651502714,Q287511,Ingeborg Eriksdatter af Danmark
5473645767850120136,Q101248003,father,Jon Ranesen Rani,squire Jon Ranisen,6000000035338400732,Q101247862,Rane Jonsen
5473900875460120094,Q242395,mother,"Thyra Torvi ""Danebod""",Thyra,5473882692080138743,Q201041,"Harald ""Bluetooth"" Jelling King of Denmark"
5478155610770039297,Q237750,mother,Balthilde abbesse de Chelles,Balthild,347131736630013162,Q309922,Chlothar roi des Francs
5508648457330119210,Q30728996,mother,Helie (Petronille) de Semur duchesse consort de Bourgogne,Helena of Semur,6000000000008770128,Q2351549,Henri 'le Damoiseau' de Bourgogne duc de Bourgogne
5544231254350042383,Q230898,mother,Frédégonde,Fredegund,5544182020970135787,Q209118,"Chlotharius II ""le Jeune"" de Neustria roi des Francs"
5549506211080036645,Q6002897,father,Martin Suárez de Toledo y Saavedra 11° Gobernador del Río de la Plata y del Paraguay,Martín Suárez de Toledo,4683853949840074410,Q1376588,"Hernando ""Hernandarias"" Arias de Saavedra Gobernador del Río de la Plata y del Paraguay"
5585928797380086234,Q28984,father,"Chlothar I ""the Old"" Merovingian, Roi des Francs King of the Franks",Clothar I,6000000005913016304,Q243118,Chilperic I de Soissons roi des Francs
5604890545140087665,Q42307203,mother,Álfhildr Gandálfsdóttir,Álfhildr Gandálfsdóttir of Álfheimr,5604233735830047570,Q314492,Ragnar Sigurdsson King of Denmark and Norway
5604964914300127913,Q2895486,father,Harald Valdarsson,Harald the Old,5604954309240087415,Q1421647,Halfdan Haraldsson
5620659842590034492,Q1402591,father,Ottar in Egilsson,Ohthere,5620645208310020106,Q2608009,Adils Ottarsson King of Uppsala {Semi-Legendary}
5620814643950034262,Q20019270,father,Alrek Agnasson,Alaric,6000000006906376001,Q20019278,Alf Hjalpreksson Alreksson
5630093992950081663,Q2460032,mother,Auðr Ivarsdatter,Auðr the Deep-Minded,5605575857030117371,Q2335581,Randver Rádbardsson {Mythical King of Sweden and Denmark}
5630431836100135067,Q2667377,father,"Rørik ""Slængeborræ"" Halfdansson ""slaunvanbauga""",Hrœrekr Ringslinger,5630621361400021711,Q2450856,"Haraldur «Wartooth» Hraereksson King of Sweden, Denmark, Norway"
