geni_id,qid,position,geni_name,wikidata_label,anchor_geni_id,anchor_qid,anchor_name
1077692,Q116003570,father,Robert VI d'O Seigneur d'O,"Robert VI d'O, seingeur d'O",1077060,Q108743022,Robert VII dit Robin D'O Seigneur d'O & de Maillebois
1077697,Q116003577,mother,"Jeanne LeBaveux Dame de Fresnes, Baillet, Mailleboix et Franconville","Jeanne Le Baveux, Dame de Fresnes, Baillet, Mailleboix et Franconville",1077060,Q108743022,Robert VII dit Robin D'O Seigneur d'O & de Maillebois
1312227,Q96201650,mother,Bethia Lathrop,Bethiah Lathrop,6000000028930136870,Q96201647,Gershom Hinckley
2852356,Q126089031,father,Peder Arvidsson Roman,Per Arvidsson,6000000004708247018,Q6077504,Arvid Persson Roman
290458573020002572,Q3417511,mother,Regintrude I de Bourgogne,Ragnétrude,6000000005023230047,Q316892,Sigebert III King of the Franks in Austrasia
290459821900001444,Q3431489,father,Richemer d'Orleans Duke of the Burgundians and Franconians,Richomer,6000000005913162130,Q2899786,Haldetrude Adaltrudis
290460696890002594,Q3104400,mother,Garitrudis,Gertrud of Hamage,6000000005913162130,Q2899786,Haldetrude Adaltrudis
294505619910001663,Q5053006,mother,Katarzyna,"Catherine of Hungary, Duchess of Świdnica",6000000006727863185,Q258917,Anna von Schweidnitz Svídnická
294505796020003642,Q553884,father,Henry II of Świdnica,"Henry II, Duke of Świdnica",6000000006727863185,Q258917,Anna von Schweidnitz Svídnická
298732052860003667,Q261237,mother,"Elisabeth Wittelsbach Römisch-Deutsche Königin, Königin von Sizilien und Jerusalem","Elisabeth of Bavaria, Queen of Germany",6000000002187834676,Q275408,Henry VI Meinhardiner king of Bohemia
303017853050005647,Q7879756,mother,Ulpia Domitia,Ulpia,6000000006101317642,Q2280800,Publius Aelius Hadrianus Afer Hadrian Roman Senator
305976324250005669,Q254374,mother,Judith of Swabia,Judith of Swabia,6000000010107772824,Q96239458,Judith Maria of Poland
310795735510001425,Q61212,father,Wilhelm Ludwig von Württemberg Herzog,"William Louis, Duke of Württemberg",6000000013093047464,Q61169,Eberhard Ludwig von Württemberg Herzog
311731497930005744,Q62481,father,"Wilhelm Welf the Younger, Duke of Brunswick-Lüneburg","William the Younger, Duke of Brunswick-Lüneburg",6000000007527524235,Q68652,"Friedrich IV Welf Herzog, Fürst zu Lüneburg"
312092994390004595,Q238458,mother,"Augusta Frederica Welf, Guelph",Princess Augusta of Great Britain,6000000002188445630,Q75381535,Georg Wilhelm Christian Welf Prinz
3137692,Q14841647,father,"Hámundur ""heljarskinn"" Hjörsson prince of Rogaland",Hámundur heljarskinn Hjörsson,3137665,Q15901190,Þórir Hámundarson
3137997,Q130896,father,Ingjald Anundsson,Ingjaldr,6000000010132173972,Q2664809,Olof Ingjaldsson
315331424140002728,Q98050963,father,Samuel Willard,Samuel Willard,315336717180006465,Q98050960,Joseph Willard
316665486200008333,Q50383861,father,Lucien Vidal-Naquet,Lucien Vidal-Naquet,316670476240006520,Q205185,Pierre Emmanuel Vidal-Naquet
3249363,Q103780603,mother,Margrethe Clausdatter Clausdatter Thott til Tøndelgaard,Margrethe Clausdotter [Thott],6000000012116876542,Q3356793,"Jens Ovesen Bjelke til Østraat, Tøndel, Holden"
3250235,Q103780589,mother,Gunhild Ovesdatter Bing,Gunhild Ovesdatter (Bing),6000000000407999879,Q6179855,Jens Tillufsen Bielke
328058257770004654,Q75767077,mother,Anne Steptoe,Anne Steptoe,6000000000669136730,Q5544830,George Steptoe Washington
328064865480001109,Q114458273,father,Samuel Walter Washington,Samuel Walter Washington,6000000002649969062,Q114458288,Lucy Elizabeth Payne Washington
335848880110006014,Q45485638,father,,Chen Boxuan,6000000074734555845,Q45485699,
341670938620011531,Q108133411,father,Erik Ottesen Ottesson til Vatne og Valvatne,Erik Ottesen Orning,6000000001169087683,Q107147764,Bernt Eriksson Orning
342024963440013580,Q131048256,father,Johan Peter von Sydow,Johan Peter Sydow,6000000019949561249,Q6200306,Axel Reinhold Von Sydow
347217641430012561,Q12298066,mother,Chimnechildis,Chimnechild of Burgundy,347216548970004818,Q316874,Dagobert II King of the Franks in Austrasia
347657700690011265,Q161831,father,Siemomysł Piast,Siemomysl,363871132870012262,Q53435,Mieszko I
356601173070003496,Q3112191,mother,Helena Torildsdotter princess of Sweden,Helena,6000000003087125859,Q2616032,Christina Ingesdotter Ingesdotter
359279068060001896,Q110738135,father,Andronikos Doukas,Andronikos Doukas,6000000002187821274,Q41660,Constantine Doukas
361089647570003508,Q240407,mother,Anna of Savoy,Anna of Savoy,361089507860011643,Q37070,John V Palaiologos Byzantine emperor
361239376580007703,Q2658379,mother,Helena Kantakouzene,Helena Kantakouzene,361244423510011619,Q37078,Andronikos IV Palaiologos byzantine emperor
361239904280001373,Q37084,father,Jovan VI Kantakouzenos Byzantine emperor,John VI Kantakouzenos,361242720430013551,Q329708,Matthew Asen Kantakouzenos
361240244600012699,Q2574542,mother,Irene Asanina,Irene Asanina,361242720430013551,Q329708,Matthew Asen Kantakouzenos
361246584430007702,Q3657814,mother,Eugenia Irene Gattilusio of Lesbos,Irene Gattilusio,361246792660007630,Q37089,Andronikos V Palaiologos
361247784740007621,Q272418,mother,Helena Dragaš saint Hypomone,Helena Dragaš,6000000009965449321,Q37062,John VIII Palaiologos byzantine emperor
361249243780011638,Q878962,father,Jean de Lusignan King of Cyprus,John II of Cyprus,6000000008467712710,Q878977,James II de Lusignan king of Cyprus
361255292390013563,Q15844653,mother,Catherine Asenina Zaccariaina lady of Arkadia,Catherine Zaccaria,6000000008415678736,Q2603165,Manuel Palaiologos
361885454580013913,Q4060972,mother,Alexandra (Maria) Ivanovna Velyaminova,Alexandra Velyaminova,6000000000671874700,Q188995,Dmitry Ivanovich 'of the Don' Rurikov
361889592490004752,Q2287599,father,Dmitri Konstantinovich of Suzdal,Dmitry of Suzdal,6000000000672141254,Q2624015,Eudoxia of Moscow
361899168470007979,Q30879239,mother,Feodosia Mstislavovna of Vladimir,Feodossiya Mstislavna,6000000006101381611,Q547839,Yaroslav Yaroslavich of Tver
363554498970006647,Q3736064,father,Sune Sverkersson Sik,Sune Sik,6000000010160508821,Q468729,Ingrid Ylva Sunesdotter Sunesdotter
363883666190011719,Q53442,father,Bolesław IV the Curly IV The Curly High Duke of Poland,Bolesław IV the Curly,363886034950010574,Q3228728,Leszek Mazowiecki Duke of Masovia
363920011020004040,Q53445,father,"Henry I ""the Bearded"" ´der Bärtige`",Henry I the Bearded,6000000003937220101,Q53446,"Henry II ""the Pious"" Piast"
365411847800006405,Q7184742,mother,Philippa de Beauchamp Countess of Stafford,Philippa de Beauchamp,6000000007606458254,Q6376583,Katherine de Stafford Countess of Suffolk
368713820640003185,Q631524,father,Ludvig Louis d'Anjou Graf,"Louis of Durazzo, Count of Gravina",368714613840011374,Q311861,"Charles III ""the Short"" d'Angiò Durazzo"
368714154710012201,Q75394476,mother,Margareta Sanseverino,Margaret of San Severino,368714613840011374,Q311861,"Charles III ""the Short"" d'Angiò Durazzo"
3696730,Q263296,mother,"Maria Dobronega of Kiev, Rurikid",Maria Dobroniega of Kiev,6000000007458867515,Q5542406,Mieszko Kazimierzowic
