geni_id,qid,geni_label,wikidata_label,geni_abbreviated
6000000002187718423,Q10308667,Josephus Sr.,Joseph,yes
6000000007180791286,Q110066505,Nicholas ‘ ’ de Criol Jr.,Nicholas de Criol,yes
6000000039842937304,Q110540792,Hartmut XII. von Cronberg-Kronen,Hartmuth X (Hartmann) von Kronberg,yes
6000000003827467866,Q110570727,Benedikta von Julbach III.,Benedikta von Ollersbach,yes
6000000080610954150,Q110613409,Berthold I. von Querfurt Maidburg Hardegg Retz,"Berthold II, Burggraf von Magdeburg, Graf von Hardegg",yes
6000000012126473179,Q111559,Judas Maccabaeus br. #3,Yehuda ha-Makabi,yes
6000000031263355341,Q116187108,Friedrich* Johann Christoph Ulrich Frhr. von der Osten-Sacken,"Fritz, Baron von der Osten gen. Sacken",yes
6000000041324454927,Q12285131,Lutatia Q. Hortensi,Lutatia,yes
6000000006645331010,Q1340404,Eric Benzelius Jr.,Erik Benzelius the Younger,yes
6000000027847542821,Q1369897,Strachkwas Christ. Przemyślid,Strachkvas,yes
6000000029983034410,Q141199826,Anna Maria Samuelsdtr. Tunheim,Anna Maria Samuelsdatter Tunheim,yes
6000000003095172404,Q141200094,Siri Rasmusdtr. Erevik,Siri Rasmusdater Erevik,yes
6000000169074443823,Q141216363,Anne Govertsdtr. Bratland,Anne Govertsdatter Bratland,yes
6000000003043756033,Q141219336,Tore Sebjørnsson Talgje Jr.,Tore Sebjørnsson Talgje II,yes
6000000005608905668,Q141224746,Bellest Bellestsen Lauvsnes Sr.,Bellest Bellestsen Lauvsnes d.e.,yes
6000000030085852982,Q141225175,Malene Larsdtr. Alvseike,Malene Larsdatter Alvseike,yes
328122852240006970,Q141244118,Nils Nilsson Midt-Fister Jr.,Nils Nilsson Midt-Fister,yes
6000000024762555454,Q141283784,Lars Jonson Skrudland Jr.,Lars Jonson Skrudland II,yes
6000000037754203020,Q141290466,Mikael von Törne Jr.,Mikael von Törne II,yes
6000000003094956449,Q141312671,Rasmus Fanuelson Mork Sr.,Rasmus Fanuelson Mork I,yes
6000000001770176883,Q141318914,Helga Olavsdtr. Ringja,Helga Olavsdatter Ringja,yes
6000000014276983733,Q141336535,Guri Jonsdatter Soma Jr.,Guri Jonsdatter Soma,yes
6000000007442573457,Q141352317,Helga Tårnsdtr. Aubø Sjernarøy,Helga Tårnsdatter Aubø Sjernarøy,yes
6000000177688179832,Q141353042,Anne Marie Nilsdtr. Talle,Anne Marie Nilsdotter Talle,yes
6000000037009077797,Q141381766,Anna Olsdatter Nord-Varhaug Sr.,Anna Olsdatter Nord-Varhaug I,yes
6000000182737184828,Q141382087,Dorthe Sofie Nilsdtr. Sofie Kyllingstad. Fosdal,Dorthe Sofie Nilsdatter Sofie Kyllingstad. Fosdal,yes
6000000005608905526,Q141403524,Belest Bellestson Lauvsnes Jr.,Belest Bellestson Lauvsnes II,yes
6000000005609488636,Q141403527,Berit Ormsdatter Bjorland Sr.,Berit Ormsdatter Bjorland I,yes
6000000020341882809,Q141403573,Gunhild Paalsdtr. Teig,Gunhild Paalsdatter Teig,yes
6000000082774377122,Q141419834,Ola Olson Torland Sr.,Ola Olson Torland I,yes
6000000001169238166,Q141422226,Karin Eriksdtr. Byre,Karin Eriksdotter Byre,yes
6000000003492033721,Q141422293,Ola Johannesen Hodne Jr.,Ola Johannesen Hodne II,yes
6000000008932693435,Q141436632,David Patriksson Lyell Sr.,David Patriksson Lyell I,yes
6000000007980672776,Q141440592,Kari Johannesdtr. Vormestrand,Kari Johannesdatter Vormestrand,yes
6000000003095034926,Q141442271,Anna Rasmusdtr. Li,Anna Rasmusdatter Li,yes
6000000007442702331,Q141443308,Annikken Nilsdtr. Vik,Annikken Nilsdotter Vik,yes
6000000150602290202,Q141443314,Berit Jespersdatter Bjelland Sr.,Berit Jespersdatter Bjelland I,yes
6000000000414402424,Q141444560,Anna Olsdtr. Atletveit,Anna Olsdatter Atletveit,yes
6000000000496982673,Q141444589,Gyrid Knutsdatter Skurve Sr.,Gyrid Knutsdatter Skurve I,yes
6000000000534840466,Q141448483,Johan Jean Bruno häradsskrivare Jr.,Johan Jean Bruno häradsskrivare II,yes
6000000003094956440,Q141448491,Malena Fanuelsdtr. Mork,Malena Fanuelsdatter Mork,yes
6000000016793999710,Q141448512,Ola Johannesson Øystre Bore Sr.,Ola Johannesson Øystre Bore I,yes
6000000005607491088,Q141450282,Malena Lauritsdatter Hauge Sr.,Malena Lauritsdatter Hauge I,yes
6000000020930778893,Q141450293,Marte Larsdtr. Raunes,Marte Larsdatter Raunes,yes
6000000003491978043,Q141451028,Ingeborg Berte Svensdtr.,Ingeborg Berte Svensdotter,yes
6000000014025952629,Q141451111,Sigrid Olsdtr. Galta,Sigrid Olsdatter Galta,yes
6000000004001825738,Q141456359,Ingeborg Alvsdtr. Alvseike,Ingeborg Alvsdatter Alvseike,yes
6000000082512178486,Q141456381,Karen Gabrielsdatter Sr.,Karen Gabrielsdatter I,yes
6000000019442474913,Q141456599,Brynhild Osmundsdtr. Ile,Brynhild Osmundsdatter Ile,yes
6000000092897155927,Q141457306,Marta Svensdtr.,Marta Svensdotter,yes
6000000082822675871,Q141457330,Regina Rasmusdtr. Johansen Oswald,Regina Johansen Oswald,yes
6000000014032409455,Q16650430,Per Gustaf G. Svedelius,Pehr Gustaf Svedelius,yes
6000000003063208081,Q1761066,Stoislaw 1. von Rügen,Stoislav I,yes
6000000007412720498,Q178823,Carl von Linné Jr.,Carl Linnaeus II,yes
6000000003827521405,Q2173021,"Rudolf III. später Rudolf I., der Scherrer, Graf von Tübingen und Herrenberg",Rudolf I,yes
6000000025022974646,Q2694124,Albrecht Elof Ihre Jr.,Albrecht Elof Ihre,yes
6000000007749519563,Q2697631,Henry Howard 1st Earl of Northampton Jr.,Henry Howard,yes
6000000012648547676,Q3428167,Olof Kolmodin Sr.,Olof Kolmodin,yes
6000000006444632113,Q5345401,Edward Stafford Kt.,Edward Stafford,yes
6000000015250487075,Q557302,Václav I. Opavský,Wenceslaus I of Opava,yes
6000000014803664573,Q57677031,"Nikolai Christoph von Hagemeister, Linie Drostenhof u. Gotthardsberg",Nikolaus Christopher von Hagemeister,yes
6000000013884663025,Q58040913,D. Sancha Pires de Bragança,Sancha Pires de Bragança,yes
6000000000282746460,Q5918044,Olof Kolmodin Jr.,Olof Kolmodin den yngre,yes
284138677450001022,Q6082487,Nicolaus Iohannis Rudbeckius Jr.,Nicolaus Johannis Rudbeckius,yes
6000000013502803868,Q64829391,Abraham Johansson Fought Sr.,Abrahamus Johannis Fougt,yes
5127285429390045668,Q66196079,Wilhelm III. von Montfort-Tettnang-Bregenz,"William, Count of Montfort-Bregenz",yes
6000000002447290433,Q75238488,John de St. John Esq.,Sir John St. John,yes
6000000007015301723,Q75449793,"Thomas Cave III, Kgt. & 1st Baronet","Sir Thomas Cave, 1st Bt.",yes
6000000003827872428,Q75669363,Randle Mainwaring Esq.,Randall Mainwaring,yes
6000000001563359492,Q75776416,John Cornwall Jr.,Sir John Cornwall,yes
6000000021076450687,Q76291981,D. Maria Ana Vitória de Sousa Coutinho,Dona Maria-Ana-Vitoria de Sousa Coutinho,yes
6000000058353999857,Q97207794,Joachim IV. Johann von Alvensleben,Joachim von Alvensleben,yes
6000000003494656599,Q99805126,Robert Plumpton Kt.,Sir Robert Plumpton,yes
6000000004250708393,Q100369234,María de Pallars Sobirá,Maria de Pallars Sobirà,no
6000000003611861221,Q100995353,Gustaf Magnus Oskar Rogér Björnstjerna,Gustaf Björnstjerna,no
6000000011851454732,Q101247028,Anna Catharina Fleming af Liebelitz,baroness Anna Kaarina Fleming,no
5542933444820063488,Q101247544,Anna Göransdotter Snakenborg,Anna Snakenborg,no
6000000003827663468,Q101353830,Arnold VI Graf von Sirck-Moncler V,"Arnold VI von Sirck, Graf von Moncler",no
6000000040287657550,Q101402700,Iñigo López de Orozco y Fernández de Valdés I Señor de Escamilla,"Iñigo Lopez de Orozco, Señor de Escamilla",no
6000000012460614118,Q101424903,"Per Bring, adlad Lagerbring",Pehr Lagerbring,no
6000000006241826534,Q101508034,Elizabeth Davidsdaughter Rollo,"Elizabeth Rollock (Rollo), of Ballachie",no
6000000003122317213,Q101509606,Josserande de Chateauneuf d'Apchier,"Jausserande d'Apchier, Dame de Polettin et de Montjezieu",no
6000000006727790251,Q101877,"Klare, von Braunschweig-Wolfenbüttel Prinzessin",Clara of Brunswick-Wolfenbüttel,no
6000000225223584852,Q102010,Friedrich von Oettingen III,Frederick IV of Oettingen,no
6000000008966294330,Q102070255,Sándor Erdődy de Monyorókerék et Monoszló,"Sándor, Graf Erdödy de Monyorókerék et Monoszló",no
6000000014907035152,Q102227210,Marguerite Dauphine d'Auvergne dame de Saint-Ilpize,Marguerite Dauphin d'Auvergne,no
6000000001864350849,Q10281618,Fernão Peres Pelegrin,Fernão Pires de Lumiares,no
6000000015767278849,Q102818863,Renée de Couesme Vicomtesse de St.Nazaire,"Renée de Coësmes, Vicomtesse de St.Nazaire",no
6000000000473895824,Q102828921,Marie of Commercy Dame of Bailleul Saarbrücken,Marie de Saarbrucken-Roucy,no
6000000000473881068,Q102829039,Marguerite de Montmorency Nivelles,Margaret of Montmorency,no
6000000001412904706,Q10283044,Flávio Alarico Sisebuto de Coimbra Conde de Coimbra,Flávio Alarico,no
6000000016980997647,Q102836664,Pierre de Sainte Maure,"Pierre II de Sainte-Maure, Seigneur de Montgaugier",no
6000000003122450472,Q102859546,Raymond IV Pelet d'Alès co-seigneur d'Alès,"Raymond Pelet, Seigneur d'Alès, de Caumont et de Rousson",no
6000000003122380542,Q102860154,Géofrine de Tournon,Geoffrine de Tournon,no
6000000008197040743,Q10288304,García Fernández Manrique de Lara Señor de Estar,Garci III Fernández Manrique de Lara,no
6000000041145533904,Q10308667,Joseph of Idumaea,Joseph,no
6000000016333468176,Q10319978,Lourenço José Boaventura de Almada 1.° conde de Almada,Lourenço José Boaventura de Almada,no
6000000014463639153,Q10343615,Paio Mendes Arcebispo de Braga,Paio Mendes,no
6000000010987743930,Q10374817,Seniofredo abat d'Arles,Sunifred de Barcelone,no
6000000003883345592,Q103771971,"Anna Maria Törnstjerna, Törne",Anna Maria Törne,no
6000000006127223821,Q103772007,Anna Sofia Gyllenhaal,Anna Sophia Gyllenhaal,no
5501867237950074875,Q104172926,Carl Johan Oskar von Numers,Karl Johan Oskar von Numers,no
6000000030347394345,Q104224002,Gaius Calpurnius Bibulus,Calpurnius Bibulus,no
6000000000274988385,Q104383015,Evert Wilhelm Bruncrona,Evert Vilhelm Bruncrona,no
6000000015228135141,Q104538299,Magdalena van Egmont,Magdalena van Egmond,no
6000000009785796787,Q104549962,Katarina Gerdtsdotter von Glaen,Katarina Gertsdotter von Glaen,no
6000000013007809177,Q104550158,Ernald Mattsson Forbes of Corsindae,Ernald Forbes,no
6000000006101348460,Q104637503,Amelia Plancina,Aemilius Lepidus,no
6000000010859543717,Q10511224,Guttorm Ostmannson of Jämtland & Svealand,Guttorm jarl,no
6000000007965697382,Q105356987,Margarete von Plauen,Markéta z Plavna,no
6000000185876121856,Q1054435,Centulle de Béarn,Centulle VI de Béarn,no
6000000013338208452,Q105499437,Anders Henriksson Frosterus,Andreas Frosterus,no
6000000009968757483,Q105636176,Heinrich Vl von Plauen III,Henry VII (VIII) Reuss of Plauen & Greiz,no
6000000006880491517,Q105726316,Irmgard von Schwarzburg Gräfin,Irmgard von Weimar-Orlamünde,no
4085368611040124960,Q105796231,Margareta Gödiksdotter Fincke till Kanckas,Margareta Fincke,no
6000000003494751766,Q105815062,Gerard De Furnival,Gerard de Furnival,no
6000000008682150745,Q105815780,Baldassare Gaetani dell'Aquila conte di Traetto,"Baldassarre Caetani, dei Conti di Fondi",no
6000000026673860891,Q105817297,Léopoldine Eberhardine von Württemberg,"Leopoldine Eberhardine, Gräfin von Sponeck, Comtesse de Coligny",no
6000000006728419095,Q105819478,Joanne Radcliffe,Jane Trafford,no
6000000225172653922,Q105834490,Abdullah Al-Umawi,Abd Allah ibn Yazid,no
6000000003827719119,Q105887544,Mathilde von Saarbrücken-Commercy,Metza de Saarbrücken,no
6000000007015116238,Q105900312,Philippus Bononius (Bondesson),Philippus Bononius,no
6000000017582686705,Q105906043,Michel Gaillard,"Michel III Gaillard, Seigneur de Chilly et de Longjumeau",no
6000000040133332567,Q105944783,Agnès von Forbach,Agnes von Lichtenberg  I.,no
6000000011714053165,Q106072786,Johanna Andriesdr Heijmans,Johanna Heymans,no
6000000019266411640,Q106206114,Hans Gustaf Vilhelm Elias Lagerheim,Elias Lagerheim II,no
6000000014786421799,Q106427969,Fernando de Menezes o Narizes,Fernão de Meneses,no
6000000147121329863,Q106466498,João Henriques de Noronha,João de Noronha,no
6000000025955734360,Q106501319,Astorg de Peyre Baron de Peyre,"Astorg XI de Peyre, Baron de Peyre",no
6000000038093464655,Q106590904,Elin Elisabet Maria von Heijne-Lillienberg,E von Heijne,no
6000000025096315132,Q106631309,Carl Herman Vilhelm Leuhusen,Wilhelm Leuhusen,no
6000000006595206853,Q106704547,Dulcia Bold,Alice Savage,no
6000000003645864806,Q106794997,Gaius Ummidius Quadratus Annianus Verus Fulvius,Ummidius Quadratus,no
6000000021373007660,Q106836569,Amna Al-Umawi,Amina bint Affan,no
6000000009600603517,Q106967442,"Jean VII de Sarrebruche, comte de Roucy VII",Jean VII de Sarrebruck-Commercy,no
6000000097624451913,Q107058328,François III d'Avaugour dit de Bretagne Comte de Vertus,"François III d'Avaugour ou de Bretagne, comte de Vertus & de Goëllo",no
6000000011988552046,Q107116257,Ana Enríquez de Cabrera,Ana Enríquez de Cabrera y Colonna,no
6000000021542229776,Q107211410,Catharina Quadt von Landscron,"Katharina Scheiffart von Merode, Heiress of Beffort",no
6000000000172363594,Q107315159,Isabeau de Mayenne,Isabelle de Mayenne,no
6000000041313787914,Q107492417,Ruqayya bint Umar,Ruqayyah bint Umar,no
5503016610520047492,Q107797800,Hugo Casimir Nordenswan,Hugo Kasimir Nordenswan,no
6000000006727753196,Q108184561,Johann Wilhelm of Nassau Count,John William of Nassau-Siegen,no
6000000029266353268,Q108291713,Petronelle de Beaumont,Pétronille de Beaumont,no
6000000015765085772,Q108312177,Isabeau d'Avaugour,Isabelle of Avaugour,no
6000000003243439858,Q108319034,Fleuri de France seigneur de Nangis,Fleury de France,no
6000000018447390008,Q108410149,Johan van Bylandt van Halt,Johan van Bylandt,no
6000000010742355467,Q108431579,Paolo de' Sangro I,"Paolo I de'Sangro, 1.Marchese di Torremaggiore",no
6000000009144928401,Q108478428,"Titus Flavius Claudius Sulpicianus, Consul c170",Titus Flavius Sabinus,no
6000000007804304521,Q108491754,Måns Larsson Göthe,Måns Giöthe,no
6000000017369871503,Q108582402,Kunigunde von Zweibrücken,Cunégonde von Ochsenstein,no
6000000007755407668,Q108615809,Margareta Jacobsdotter Jernstedt,Margareta Jernstedt,no
6000000017550321832,Q108654845,Melosine Agnes Freiin von Spörcken,Melusine Agnes von Spörcken,no
6000000018610336409,Q108654979,Petronella Ottilia Schwencken von Friesen,Petronella Ottilie von Schwencke,no
6000000076005021009,Q108673638,Margareta Behm,Margreta Behm,no
6000000013352959474,Q108743048,Augusta Maria Sophia Rålamb,Augusta Maria Sofia Tamm born Rålamb,no
6000000006127291667,Q108914600,Gustaf Leonardsson Ribbing af Zernava,Gustaf Ribbing,no
