qid	geni_id	proposed_mul	why_withheld	derived_from
Q10721524	6000000074767464979	公主 隴西狄道	one item, two different mul labels proposed	culture zh: carries the clan seat 隴西狄道, which is Chinese
Q10721524	6000000074767755875	隴西狄道	one item, two different mul labels proposed	culture zh: carries the clan seat 隴西狄道, which is Chinese
Q15954845	6000000074750788964	某 李	one item, two different mul labels proposed	culture zh: graph traversal, 1 hop(s)
Q15954845	6000000074766717720	隴西狄道	one item, two different mul labels proposed	culture zh: carries the clan seat 隴西狄道, which is Chinese
Q45421949	6000000075060956830	䎖 隴西狄道	one item, two different mul labels proposed	culture zh: carries the clan seat 隴西狄道, which is Chinese
Q45421949	6000000075060870891	隴西狄道	one item, two different mul labels proposed	culture zh: carries the clan seat 隴西狄道, which is Chinese
Q6645502	6000000074759622191	叔裕 京兆杜陵	one item, two different mul labels proposed	culture zh: carries the clan seat 京兆杜陵, which is Chinese
Q6645502	6000000075329016910	寬 孝寬 京兆杜陵	one item, two different mul labels proposed	culture zh: carries the clan seat 京兆杜陵, which is Chinese
