qid	regnal	lineage	name	geni_ids
Q135579354	4	other	Tsusahime no Mikoto	6000000012789160423
Q135579355	5	other	Kushifusakinomikoto	6000000012789283534
Q135579356	6	other	Kushitsukinomikoto	6000000012789489311
Q135579358	7	other	Kushichitoriuminomikoto	6000000012789429513
Q135579359	8	other	Kushidanomikoto	6000000012789332311
Q135579360	9	other	Chirinomikoto	6000000012789365875
Q135579361	10	other	Yomorosunomikoto	6000000012789539255
Q55533077	11	Izumo	Izumo no Furune	6000000012789418407
Q135579365	12	other	Ukatsu Kunu no Mikoto	6000000227332010844
Q109361305	13	other	Kanesune no Mikoto	6000000227332010837
Q123511663	14	other	Kihisatsumi	6000000227331880928
Q135579366	15	other	Mishima no Ashinazunomikoto	6000000227332000825
Q55406423	16	other	Ou no Sukune	6000000227332013831
Q135579367	17	other	Miyamukasu Ashinine no Mikoto	6000000227331911824
Q135579368	18	Izumo	Izumo no Funin	6000000227331940873
Q135579369	19	Izumo	Izumo no Funei	6000000227331888918
Q135579370	20	Izumo	Izumo no Ihohiku	6000000227331898875
Q135579371	21	Izumo	Izumo no Miko	6000000227331898861
Q135579373	22	Izumo	Izumo no Eiya	6000000227331968838
Q135579374	23	Izumo	Izumo no Obitake	6000000227331852896
Q95161958	24	Izumo	Izumo no Hatayasu	6000000227331924854
Q92924732	25	Izumo	Izumo no Hiroshima	6000000227332003822
Q95161949	26	Izumo	Izumo no Otoyama	6000000227334262869
Q95161959	27	Izumo	Izumo no Masukata	6000000227331968828
Q135579375	28	Izumo	Izumo no Kunikami	6000000227334396821
Q135579376	29	Izumo	Izumo no Kuninari	6000000227334231868
Q135579377	30	Izumo	Izumo no Hitonaga	6000000227331711977
Q135579379	31	Izumo	Izumo no Chikuni	6000000227334372830
Q135579378	32	Izumo	Izumo no Kanemutsu	6000000227334291838
Q135579380	33	Izumo	Izumo no Tabito	6000000227331940846
Q135579381	34	Izumo	Izumo no Toyomochi	6000000227331882876
Q135579382	35	Izumo	Izumo no Tokinobu	6000000227331950830
Q135579384	36	Izumo	Izumo no Tsunesuke	6000000227331989821
Q135579385	36	Izumo	Izumo no Ujihiro	6000000227331939856
Q135579386	38	Izumo	Izumo no Harutoshi	6000000227331884904
Q135579387	39	Izumo	Izumo no Yoshitada	6000000227331885873
Q135579388	40	Izumo	Izumo no Kuniaki	6000000227331789887
Q135579389	41	Izumo	Izumo no Kunitake	6000000227331619947
Q135579391	42	Izumo	Izumo no Yukikane	6000000227331796880
Q135579394	43	Izumo	Izumo no Munefusa	6000000227334351847
