token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
abrahamson	patronymic	47		create	abrahamson	Q17997608 Q323415	Abraham Abram	Abrahamus(2)			abrahamsdotter	abraham	
abrahamsson	patronymic	429		create	abrahamsson	Q17997608 Q323415	Abraham Abram	Abrahamus(2)			abrahamsdotter	abraham	Q9027
abrahamssson	patronymic	1		create	abrahamssson	Q323415	Abram				abrahamsdotter	abrahams	Q9027
abrahmsdotter	patronymic	1		create	abrahmsdotter	Q17997608	Abraham					abrahms	Q9027
abramhamsdotter	patronymic	1		create	abramhamsdotter	Q17997608	Abraham					abramhams	Q9027
abramsdotter	patronymic	24		create	abramsdotter	Q17997608 Q323415	Abraham Abram	Abrahamus(2)			abramsson	abrams	Q9027
abramsson	patronymic	29		create	abramsson	Q323415 Q17997608	Abram Abraham				abramsdotter	abram	Q9027
abrehamsen	patronymic	1		create	abrehamsen				Abreham			abreham	Q9043
absalonsdatter	patronymic	12		create	absalonsdatter	Q19274345	Absalon		Absalen		absalonsen	absalon	Q9043
absalonsdotter	patronymic	4		create	absalonsdotter	Q19274345	Absalon				absalonsen	absalons	Q9027
absalonsen	patronymic	16		create	absalonsen	Q19274345	Absalon		Absalen		absalonsdatter	absalon	Q9043
absalonson	patronymic	4		create	absalonson	Q19274345	Absalon				absalonsdatter	absalon	
adamdotter	patronymic	1		create	adamdotter	Q347181	Adam				adamsson	adam	
adami	patronymic	2		create	adami	Q347181	Adam						
adamsdatter	patronymic	24		create	adamsdatter	Q347181	Adam				adamsson	adam	Q9043
adamsdotter	patronymic	135		create	adamsdotter	Q347181 Q6673450	Adam Aatami		Aadam		adamsson	adams	Q9027
adamsen	patronymic	14		create	adamsen	Q347181	Adam				adamsdotter	adam	Q9043
adamson	patronymic	14		create	adamson	Q347181 Q6673450	Adam Aatami				adamsdotter	adam	
adamsson	patronymic	134		create	adamsson	Q347181 Q6673450	Adam Aatami				adamsdotter	adam	Q9027
addickdotter	patronymic	1		create	addickdotter				Addick		addicksson	addick	
addicksdotter	patronymic	1		create	addicksdotter				Addick		addicksson	addicks	Q9027
addicksson	patronymic	2		create	addicksson				Addick		addicksdotter	addick	Q9027
adilbertson	patronymic	1		create	adilbertson	Q347243	Adalbert					adilbert	
adilsson	patronymic	1		create	adilsson				Adils			adil	Q9027
admasdotter	patronymic	1		create	admasdotter	Q347181	Adam					admas	Q9027
adolfsdatter	patronymic	14		create	adolfsdatter	Q18145837	Adolf				adolfsson	adolf	Q9043
adolfsdotter	patronymic	55		create	adolfsdotter	Q18145837 Q18526132 Q365967	Adolf Adolph Adolphus				adolfsson	adolfs	Q9027
adolfsen	patronymic	25		create	adolfsen	Q18145837	Adolf				adolfsdotter	adolf	Q9043
adolfson	patronymic	9		create	adolfson	Q18145837	Adolf				adolfsdotter	adolf	
adolfsson	patronymic	67		create	adolfsson	Q18145837 Q18526132	Adolf Adolph				adolfsdotter	adolf	Q9027
adolphsdatter	patronymic	8		create	adolphsdatter	Q18526132	Adolph				adolphsson	adolph	Q9043
adolphsdotter	patronymic	6		create	adolphsdotter	Q18145837 Q18526132	Adolf Adolph				adolphsson	adolphs	Q9027
adolphsen	patronymic	3		create	adolphsen	Q18526132 Q18145837	Adolph Adolf				adolphsdatter	adolph	Q9043
adolphson	patronymic	1		create	adolphson	Q18526132	Adolph				adolphsdatter	adolph	
adolphsson	patronymic	5		create	adolphsson	Q18526132 Q18145837	Adolph Adolf				adolphsdatter	adolph	Q9027
adriaensen	patronymic	1		create	adriaensen	Q17497662	Adrianus					adriaen	Q9043
adriaenssen	patronymic	1		create	adriaenssen	Q4684789	Adriaen					adriaens	Q9043
adriansdatter	patronymic	23		create	adriansdatter	Q372250	Adrian				adriansen	adrian	Q9043
adriansdotter	patronymic	6		create	adriansdotter	Q372250	Adrian				adriansen	adrians	Q9027
adriansen	patronymic	14		create	adriansen	Q372250	Adrian				adriansdatter	adrian	Q9043
adrianson	patronymic	3		create	adrianson	Q372250	Adrian				adriansdatter	adrian	
adriansson	patronymic	8		create	adriansson	Q372250	Adrian				adriansdatter	adrian	Q9027
aedsson	patronymic	1		create	aedsson	Q2825500	Aed					aed	Q9027
aggesen	patronymic	1		create	aggesen				Agge			agge	Q9043
agmundsen	patronymic	2		create	agmundsen	Q29550239	Agmund					agmund	Q9043
agmundsson	patronymic	1		create	agmundsson	Q29550239	Agmund					agmund	Q9027
agnarsson	patronymic	2		create	agnarsson	Q3480266	Agnar					agnar	Q9027
agnasson	patronymic	1		create	agnasson	Q59080725	Agni					agna	Q9027
agnesson	patronymic	1		create	agnesson	Q59080725	Agni					agne	Q9027
agrimsen	patronymic	1		create	agrimsen				Agrim			agrim	Q9043
ahlsdatter	patronymic	6		create	ahlsdatter				Ahl		ahlsen	ahl	Q9043
ahlsen	patronymic	6		create	ahlsen				Ahl		ahlsdatter	ahl	Q9043
akseli	patronymic	1		create	akseli			Aksel(2)					
akselsdatter	patronymic	29		create	akselsdatter			Aksel(2)			akselsen	aksel	Q9043
akselsdotter	patronymic	1		create	akselsdotter			Aksel(2)			akselsen	aksels	Q9027
akselsen	patronymic	32		create	akselsen			Aksel(2)			akselsdatter	aksel	Q9043
akselson	patronymic	8		create	akselson			Aksel(2)			akselsdatter	aksel	
akselsson	patronymic	5		create	akselsson			Aksel(2)			akselsdatter	aksel	Q9027
al-abbasi	patronymic	12		create	al-abbasi				Al-Abbas al-Abbas				
al-aghlabi	patronymic	2		create	al-aghlabi				al-Aghlab				
al-awsi	patronymic	1		create	al-awsi				Al-Aws				
al-azdi	patronymic	2		create	al-azdi				Al-Azd				
al-dari	patronymic	1		create	al-dari				Al-Dar				
al-futuhi	patronymic	1		create	al-futuhi				Al-Futuh				
al-hakami	patronymic	1		create	al-hakami				Al-Hakam				
al-harithi	patronymic	3		create	al-harithi				Al-Harith al-Harith				
al-hasani	patronymic	23		create	al-hasani	Q117486947	Al-Hasan						
al-husayni	patronymic	53		create	al-husayni				Al-Husayn ِِAl-Husayn al-Husayn				
al-khazraji	patronymic	7		create	al-khazraji				Al-Khazraj				
al-muttalibi	patronymic	12		create	al-muttalibi				Al-Muttalib				
al-qayni	patronymic	1		create	al-qayni				Al-Qayn				
al-tufayli	patronymic	1		create	al-tufayli				Al-Tufayl				
alberchtsson	patronymic	1		create	alberchtsson	Q18180401	Albrecht					albercht	Q9027
albertdatter	patronymic	3		create	albertdatter	Q577011	Albert		Albret		albertsen	albert	
alberti	patronymic	10		create	alberti	Q16799105 Q577011	Alberto Albert						
albertsdatter	patronymic	65		create	albertsdatter	Q577011	Albert		Albret		albertsen	albert	Q9043
albertsdotter	patronymic	4		create	albertsdotter	Q577011	Albert				albertsen	alberts	Q9027
albertsen	patronymic	49		create	albertsen	Q577011	Albert		Albret		albertsdatter	albert	Q9043
albertson	patronymic	3		create	albertson	Q577011	Albert				albertsdatter	albert	
albertsson	patronymic	5		create	albertsson	Q577011	Albert				albertsdatter	albert	Q9027
albinsson	patronymic	3		create	albinsson	Q61957880 Q1001948	Albinus Albin					albin	Q9027
albinusdotter	patronymic	5		create	albinusdotter	Q61957880	Albinus					albinus	Q9027
albizzi	patronymic	2		create	albizzi	Q3608802	Albizzo						
albrechtsdatter	patronymic	10		create	albrechtsdatter	Q18180401	Albrecht				albrechtsen	albrecht	Q9043
albrechtsdotter	patronymic	9		create	albrechtsdotter	Q84702305 Q18180401	Albrekt Albrecht				albrechtsen	albrechts	Q9027
albrechtsen	patronymic	7		create	albrechtsen	Q18180401	Albrecht				albrechtsdatter	albrecht	Q9043
albrechtson	patronymic	2		create	albrechtson	Q18180401	Albrecht				albrechtsdatter	albrecht	
albrechtsson	patronymic	4		create	albrechtsson	Q84702305 Q18180401	Albrekt Albrecht				albrechtsdatter	albrecht	Q9027
