token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
fastesdotter	patronymic	2		create	fastesdotter	Q54913757	Faste				fastesen	fastes	Q9027
fastesen	patronymic	14		create	fastesen	Q54913757	Faste				fastesdatter	faste	Q9043
fastesson	patronymic	6		create	fastesson	Q54913757	Faste				fastesdatter	faste	Q9027
fastingson	patronymic	2		create	fastingson	Q29654432	Fasting					fasting	
fastisdatter	patronymic	2		create	fastisdatter				Fasti			fasti	Q9043
feddersdatter	patronymic	3		create	feddersdatter	Q13188278	Fedder				feddersen	fedder	Q9043
feddersen	patronymic	5		create	feddersen	Q13188278	Fedder				feddersdatter	fedder	Q9043
fellesdotter	patronymic	1		create	fellesdotter				Felle			felles	Q9027
ferdinandsdotter	patronymic	6		create	ferdinandsdotter	Q3276175	Ferdinand				ferdinandsson	ferdinands	Q9027
ferdinandsson	patronymic	2		create	ferdinandsson	Q3276175	Ferdinand				ferdinandsdotter	ferdinand	Q9027
fesendsen	patronymic	1		create	fesendsen				Fesends			fesend	Q9043
fiachnae	patronymic	2		create	fiachnae				Fiachna				
fiachnai	patronymic	2		create	fiachnai				Fiachna				
fickesdotter	patronymic	2		create	fickesdotter			Ficke(2)				fickes	Q9027
fikkesdotter	patronymic	2		create	fikkesdotter				Fikke		fikkesen	fikkes	Q9027
fikkesen	patronymic	1		create	fikkesen				Fikke		fikkesdotter	fikke	Q9043
fikkesson	patronymic	1		create	fikkesson				Fikke		fikkesdotter	fikke	Q9027
filippusdatter	patronymic	10		create	filippusdatter	Q16423806	Filippus				filippusson	filippu	Q9043
filippusen	patronymic	2		create	filippusen	Q16423806	Filippus				filippusdatter	filippu	Q9043
filippussen	patronymic	2		create	filippussen	Q16423806	Filippus				filippusdatter	filippus	Q9043
filippusson	patronymic	8		create	filippusson	Q16423806	Filippus		Flippus		filippusdatter	filippu	Q9027
filipsdatter	patronymic	7		create	filipsdatter			Filip(6) Philip(4)			filipsson	filip	Q9043
filipsdotter	patronymic	35		create	filipsdotter	Q18145728	Philipp	Filip(6) Philip(4)			filipsson	filips	Q9027
filipsen	patronymic	7		create	filipsen			Filip(6) Philip(4)			filipsdotter	filip	Q9043
filipson	patronymic	2		create	filipson			Filip(6) Philip(4)			filipsdotter	filip	
filipsson	patronymic	37		create	filipsson	Q16423806 Q18145728	Filippus Philipp	Filip(6) Philip(4)			filipsdotter	filip	Q9027
fillipusson	patronymic	1		create	fillipusson	Q16423806	Filippus					fillipu	Q9027
filpusdotter	patronymic	1		create	filpusdotter				Filpus		filpusson	filpus	Q9027
filpusson	patronymic	3		create	filpusson				Filpus		filpusdotter	filpu	Q9027
finbosdatter	patronymic	4		create	finbosdatter				Finbo		finbosen	finbo	Q9043
finbosen	patronymic	4		create	finbosen				Finbo		finbosdatter	finbo	Q9043
finchelsen	patronymic	1		create	finchelsen				Finkel			finchel	Q9043
findsdatter	patronymic	1		create	findsdatter	Q121890676	Find				findson	find	Q9043
findsen	patronymic	1		create	findsen	Q121890676	Find				findsdatter	find	Q9043
findson	patronymic	1		create	findson	Q121890676	Find				findsdatter	find	
fingarsen	patronymic	1		create	fingarsen				Fingar			fingar	Q9043
finkelsdatter	patronymic	4		create	finkelsdatter				Finkel		finkelsen	finkel	Q9043
finkelsen	patronymic	8		create	finkelsen				Finkel		finkelsdatter	finkel	Q9043
finnbogason	patronymic	1		create	finnbogason	Q16423846	Finnbogi					finnboga	
finnsdatter	patronymic	16		create	finnsdatter	Q1940938	Finn				finnsson	finn	Q9043
finnsen	patronymic	4		create	finnsen	Q1940938	Finn				finnsdatter	finn	Q9043
finnson	patronymic	3		create	finnson	Q1940938	Finn				finnsdatter	finn	
finnsson	patronymic	6		create	finnsson	Q1940938	Finn				finnsdatter	finn	Q9027
finnvedsdotter	patronymic	2		create	finnvedsdotter				Finnved		finnvedsson	finnveds	Q9027
finnvedsson	patronymic	2		create	finnvedsson				Finnved		finnvedsdotter	finnved	Q9027
finnvidsson	patronymic	1		create	finnvidsson				Finnvid			finnvid	Q9027
finsdatter	patronymic	1		create	finsdatter	Q1940938	Finn				finsson	fin	Q9043
finsson	patronymic	2		create	finsson	Q1940938	Finn				finsdatter	fin	Q9027
finvidsdotter	patronymic	6		create	finvidsdotter				Finvid		finvidsson	finvids	Q9027
finvidsson	patronymic	3		create	finvidsson				Finvid		finvidsdotter	finvid	Q9027
fjolnarson	patronymic	1		create	fjolnarson	Q16424003	Fjolnir					fjolnar	
fjällarsdotter	patronymic	1		create	fjällarsdotter				Fjällar		fjällarsson	fjällars	Q9027
fjällarsson	patronymic	1		create	fjällarsson				Fjällar		fjällarsdotter	fjällar	Q9027
flemmingsdatter	patronymic	3		create	flemmingsdatter	Q1427997	Flemming					flemming	Q9043
florensdotter	patronymic	3		create	florensdotter	Q19967888	Florens				florensson	florens	Q9027
florensson	patronymic	1		create	florensson	Q19967888	Florens				florensdotter	floren	Q9027
florenzdotter	patronymic	1		create	florenzdotter	Q19967888	Florens					florenz	
florisdatter	patronymic	1		create	florisdatter	Q18545948	Floris					flori	Q9043
flosason	patronymic	2		create	flosason	Q16424079	Flosi					flosa	
flókisson	patronymic	1		create	flókisson	Q16424110	Flóki					flóki	Q9027
fochsdatter	patronymic	4		create	fochsdatter				Foch		fochsen	foch	Q9043
fochsen	patronymic	2		create	fochsen				Foch		fochsdatter	foch	Q9043
foleson	patronymic	1		create	foleson	Q127599567	Fole					fole	
folkadotter	patronymic	2		create	folkadotter	Q2249923	Folke				folkason	folka	
folkason	patronymic	4		create	folkason	Q2249923	Folke				folkadotter	folka	
folkesdotter	patronymic	7		create	folkesdotter	Q2249923	Folke				folkesson	folkes	Q9027
folkeson	patronymic	2		create	folkeson	Q2249923	Folke				folkesdotter	folke	
folkesson	patronymic	19		create	folkesson	Q2249923	Folke				folkesdotter	folke	Q9027
folkvidsson	patronymic	1		create	folkvidsson				Folkvid			folkvid	Q9027
follertsdatter	patronymic	1		create	follertsdatter				Follert		follertsen	follert	Q9043
follertsen	patronymic	1		create	follertsen				Follert		follertsdatter	follert	Q9043
folmersdatter	patronymic	7		create	folmersdatter	Q23273757	Folmer				folmersen	folmer	Q9043
folmersen	patronymic	4		create	folmersen	Q23273757	Folmer				folmersdatter	folmer	Q9043
fordeldatter	patronymic	1		create	fordeldatter				Fordel		fordelsen	fordel	
fordelsdatter	patronymic	16		create	fordelsdatter				Fordel		fordelsen	fordel	Q9043
fordelsen	patronymic	12		create	fordelsen				Fordel		fordelsdatter	fordel	Q9043
fordelson	patronymic	2		create	fordelson				Fordel		fordelsdatter	fordel	
fornjotsson	patronymic	3		create	fornjotsson				Fornjot			fornjot	Q9027
franci	patronymic	1		create	franci	Q15303979	Franc						
frandsdatter	patronymic	26		create	frandsdatter	Q54165679 Q16275875 Q45373513	Frands Frantz Frants				frandsen	frand	Q9043
frandsen	patronymic	20		create	frandsen	Q54165679 Q45373513 Q16275875	Frands Frants Frantz				frandsdatter	frand	Q9043
frandtsen	patronymic	1		create	frandtsen				Frandts			frandt	Q9043
fransdatter	patronymic	4		create	fransdatter	Q3480175	Frans				fransson	fran	Q9043
fransdotter	patronymic	45		create	fransdotter	Q3480175 Q4925932	Frans Franz				fransson	frans	Q9027
fransen	patronymic	14		create	fransen	Q3480175	Frans				fransdotter	fran	Q9043
fransson	patronymic	43		create	fransson	Q3480175	Frans				fransdotter	fran	Q9027
frantsdatter	patronymic	32		create	frantsdatter	Q45373513 Q16275875 Q54165679	Frants Frantz Frands				frantsen	frant	Q9043
frantsdotter	patronymic	1		create	frantsdotter	Q45373513	Frants				frantsen	frants	Q9027
frantsen	patronymic	32		create	frantsen	Q45373513 Q16275875 Q54165679	Frants Frantz Frands				frantsdatter	frant	Q9043
frantson	patronymic	1		create	frantson	Q45373513	Frants				frantsdatter	frant	
frantsson	patronymic	7		create	frantsson	Q45373513	Frants				frantsdatter	frant	Q9027
frantzdatter	patronymic	17		create	frantzdatter	Q16275875 Q45373513	Frantz Frants		Frandts		frantzson	frantz	
frantzdotter	patronymic	2		create	frantzdotter	Q16275875	Frantz				frantzson	frantz	
frantzsen	patronymic	1		create	frantzsen	Q16275875	Frantz				frantzdatter	frantz	Q9043
frantzson	patronymic	1		create	frantzson	Q16275875	Frantz				frantzdatter	frantz	
franzdatter	patronymic	2		create	franzdatter	Q4925932 Q3480175	Franz Frans				franzsson	franz	
franzsen	patronymic	1		create	franzsen	Q3480175	Frans				franzdatter	franz	Q9043
franzson	patronymic	1		create	franzson	Q3480175	Frans				franzdatter	franz	
franzsson	patronymic	1		create	franzsson	Q3480175	Frans				franzdatter	franz	Q9027
frdriksson	patronymic	1		create	frdriksson	Q4926491	Fredrik					frdrik	Q9027
frederichsdatter	patronymic	2		create	frederichsdatter	Q21146005	Friderich				frederichsen	frederich	Q9043
frederichsen	patronymic	4		create	frederichsen	Q4926491 Q14038597	Fredrik Friedrich	Frederik(3)			frederichsdatter	frederich	Q9043
frederiksdatter	patronymic	76		create	frederiksdatter	Q21146005 Q4926491 Q21143312 Q18606091 Q16275883	Friderich Fredrik Frederich Friederich Frederic	Frederik(3)	Frederiech		frederiksen	frederik	Q9043
frederiksdotter	patronymic	2		create	frederiksdotter			Frederik(3)			frederiksen	frederiks	Q9027
frederiksen	patronymic	75		create	frederiksen	Q4926491 Q21146005 Q21143312	Fredrik Friderich Frederich	Frederik(3)			frederiksdatter	frederik	Q9043
frederiksson	patronymic	1		create	frederiksson	Q4926491	Fredrik				frederiksdatter	frederik	Q9027
fredlevsdatter	patronymic	3		create	fredlevsdatter				Fridlev		fredlevsen	fredlev	Q9043
fredlevsen	patronymic	1		create	fredlevsen				Fridlev		fredlevsdatter	fredlev	Q9043
fredrichsdatter	patronymic	7		create	fredrichsdatter	Q21142991 Q4926491	Fredrich Fredrik				fredrichsen	fredrich	Q9043
fredrichsen	patronymic	11		create	fredrichsen	Q21142991 Q14038597 Q4926491 Q21146005	Fredrich Friedrich Fredrik Friderich				fredrichsdatter	fredrich	Q9043
fredrichson	patronymic	1		create	fredrichson	Q14038597	Friedrich				fredrichsdatter	fredrich	
fredricksdatter	patronymic	1		create	fredricksdatter	Q4926491	Fredrik				fredricksson	fredrick	Q9043
fredricksen	patronymic	1		create	fredricksen	Q14038597	Friedrich				fredricksdatter	fredrick	Q9043
fredricksson	patronymic	2		create	fredricksson	Q4926491	Fredrik				fredricksdatter	fredrick	Q9027
fredricsdotter	patronymic	19		create	fredricsdotter	Q4926491 Q33120605	Fredrik Fredric		Frediric Friedric		fredricsson	fredrics	Q9027
fredricsen	patronymic	1		create	fredricsen	Q14038597	Friedrich				fredricsdotter	fredric	Q9043
fredricsson	patronymic	28		create	fredricsson	Q4926491 Q33120605	Fredrik Fredric		Friedric		fredricsdotter	fredric	Q9027
fredrikasson	matronymic	1		create	fredrikasson	Q5499550	Fredrika					fredrika	Q9027
fredriksdatter	patronymic	119		create	fredriksdatter	Q4926491 Q21146005 Q14038597 Q21142991 Q21147789 Q63218796	Fredrik Friderich Friedrich Fredrich Fredrick Friderik	Frederik(3) Frederick(2)			fredriksson	fredrik	Q9043
fredriksdotter	patronymic	235		create	fredriksdotter	Q4926491 Q33120605 Q14038597	Fredrik Fredric Friedrich	Frederik(3)			fredriksson	fredriks	Q9027
fredriksen	patronymic	115		create	fredriksen	Q4926491 Q21142991 Q21146824 Q21146005 Q18606091 Q16275883	Fredrik Fredrich Fridrich Friderich Friederich Frederic	Frederik(3)			fredriksdotter	fredrik	Q9043
fredrikson	patronymic	21		create	fredrikson	Q4926491 Q18606091 Q21146005	Fredrik Friederich Friderich				fredriksdotter	fredrik	
fredriksson	patronymic	296		create	fredriksson	Q4926491 Q33120605 Q14038597 Q16275883 Q21146824	Fredrik Fredric Friedrich Frederic Fridrich	Frederick(2)	Friedric		fredriksdotter	fredrik	Q9027
fredrksdatter	patronymic	1		create	fredrksdatter	Q4926491	Fredrik					fredrk	Q9043
frellavsdotter	patronymic	1		create	frellavsdotter				Frellav		frellavsson	frellavs	Q9027
frellavsson	patronymic	1		create	frellavsson				Frellav		frellavsdotter	frellav	Q9027
friderichsdatter	patronymic	5		create	friderichsdatter	Q4926491 Q21146005 Q14038597	Fredrik Friderich Friedrich				friderichsen	friderich	Q9043
friderichsen	patronymic	8		create	friderichsen	Q4926491 Q21146005	Fredrik Friderich				friderichsdatter	friderich	Q9043
fridleifsdatter	patronymic	1		create	fridleifsdatter	Q16424342	Fridleif				fridleifsson	fridleif	Q9043
fridleifsson	patronymic	6		create	fridleifsson	Q16424342	Fridleif				fridleifsdatter	fridleif	Q9027
fridolfsdotter	patronymic	1		create	fridolfsdotter	Q10499033	Fridolf					fridolfs	Q9027
fridrichsdatter	patronymic	2		create	fridrichsdatter	Q4926491 Q21146824	Fredrik Fridrich				fridrichsen	fridrich	Q9043
fridrichsen	patronymic	5		create	fridrichsen	Q21142991 Q21146005 Q4926491	Fredrich Friderich Fredrik				fridrichsdatter	fridrich	Q9043
fridrichson	patronymic	1		create	fridrichson	Q4926491	Fredrik				fridrichsdatter	fridrich	
fridrichsson	patronymic	1		create	fridrichsson	Q4926491	Fredrik				fridrichsdatter	fridrich	Q9027
fridthjofsen	patronymic	1		create	fridthjofsen	Q1456278	Fridtjof					fridthjof	Q9043
friederichdatter	patronymic	1		create	friederichdatter	Q21143312	Frederich					friederich	
friederichsdatter	patronymic	2		create	friederichsdatter	Q4926491	Fredrik	Frederik(3)				friederich	Q9043
friedrichdatter	patronymic	1		create	friedrichdatter	Q21146005	Friderich				friedrichson	friedrich	
friedrichsdatter	patronymic	2		create	friedrichsdatter	Q14038597	Friedrich		Frederiech		friedrichson	friedrich	Q9043
friedrichsdotter	patronymic	1		create	friedrichsdotter	Q14038597	Friedrich				friedrichson	friedrichs	Q9027
friedrichsen	patronymic	1		create	friedrichsen	Q18606091	Friederich				friedrichsdatter	friedrich	Q9043
friedrichson	patronymic	1		create	friedrichson	Q33120605	Fredric				friedrichsdatter	friedrich	
friedrichsson	patronymic	1		create	friedrichsson	Q14038597	Friedrich				friedrichsdatter	friedrich	Q9027
friksdatter	patronymic	3		create	friksdatter	Q45055716	Frik		Frikk		friksen	frik	Q9043
friksdotter	patronymic	2		create	friksdotter	Q45055716	Frik				friksen	friks	Q9027
friksen	patronymic	2		create	friksen	Q45055716	Frik				friksdatter	frik	Q9043
frillesdotter	patronymic	3		create	frillesdotter				Frille		frillesson	frilles	Q9027
frillesson	patronymic	3		create	frillesson				Frille		frillesdotter	frille	Q9027
frithiofsson	patronymic	1	Q125041259	link	frithiofsson	Q41658704	Frithiof					frithiof	Q9027
fritiofsson	patronymic	2		create	fritiofsson	Q3366325	Fritiof					fritiof	Q9027
fritjofsdatter	patronymic	1		create	fritjofsdatter	Q23536245	Fritjof					fritjof	Q9043
fritsen	patronymic	1		create	fritsen			Frits(2)				frit	Q9043
frodasson	patronymic	8		create	frodasson				Frodi Froda			froda	Q9027
froddesdatter	patronymic	1		create	froddesdatter				Frodde			frodde	Q9043
frodesdatter	patronymic	1		create	frodesdatter				Frodde		frodesson	frode	Q9043
frodesdotter	patronymic	1		create	frodesdotter	Q1420110	Frode				frodesson	frodes	Q9027
frodesson	patronymic	3		create	frodesson	Q1420110	Frode		Frodi		frodesdotter	frode	Q9027
fromholdsdotter	patronymic	3		create	fromholdsdotter	Q133256830 Q84986902	Frommhold Fromhold				fromholdsson	fromholds	Q9027
fromholdsson	patronymic	5		create	fromholdsson	Q84986902	Fromhold		Fromholt		fromholdsdotter	fromhold	Q9027
fromholdtsdotter	patronymic	1		create	fromholdtsdotter				Fromholdt		fromholdtsson	fromholdts	Q9027
fromholdtsson	patronymic	3		create	fromholdtsson				Fromholdt		fromholdtsdotter	fromholdt	Q9027
frostensdotter	patronymic	3		create	frostensdotter				Frosten		frostensson	frostens	Q9027
frostensson	patronymic	7		create	frostensson				Frosten		frostensdotter	frosten	Q9027
frostesson	patronymic	1		create	frostesson	Q16424412	Frosti					froste	Q9027
frostidotter	patronymic	1		create	frostidotter	Q16424412	Frosti				frostison	frosti	
frostison	patronymic	1		create	frostison	Q16424412	Frosti				frostidotter	frosti	
frothisson	patronymic	1		create	frothisson				Frodi			frothi	Q9027
fryddesdatter	patronymic	1		create	fryddesdatter				Frodde			frydde	Q9043
frøybjørnsson	patronymic	1		create	frøybjørnsson				Frøybjørn			frøybjørn	Q9027
frøygardsson	patronymic	1		create	frøygardsson				Frøygard			frøygard	Q9027
fusedatter	patronymic	5		create	fusedatter				Fuse		fusesen	fuse	
fusesdatter	patronymic	1		create	fusesdatter				Fuse		fusesen	fuse	Q9043
fusesen	patronymic	6		create	fusesen				Fuse		fusedatter	fuse	Q9043
fálkason	patronymic	1		create	fálkason				Fálki			fálka	
gabreilsson	patronymic	1		create	gabreilsson	Q4925914	Gabriel					gabreil	Q9027
gabrieldotter	patronymic	1		create	gabrieldotter	Q4925914	Gabriel				gabrielsson	gabriel	
gabrielis	patronymic	3		create	gabrielis	Q4925914	Gabriel						
gabriellsdotter	patronymic	2		create	gabriellsdotter	Q4925914	Gabriel					gabriells	Q9027
gabrielsdatter	patronymic	286		create	gabrielsdatter	Q4925914	Gabriel				gabrielsson	gabriel	Q9043
gabrielsdotter	patronymic	465		create	gabrielsdotter	Q4925914	Gabriel				gabrielsson	gabriels	Q9027
gabrielsen	patronymic	194		create	gabrielsen	Q4925914	Gabriel				gabrielsdotter	gabriel	Q9043
gabrielson	patronymic	138		create	gabrielson	Q4925914	Gabriel				gabrielsdotter	gabriel	
gabrielsson	patronymic	478		create	gabrielsson	Q4925914	Gabriel				gabrielsdotter	gabriel	Q9027
gallasdatter	patronymic	2		create	gallasdatter				Gallas			galla	Q9043
gamlason	patronymic	3		create	gamlason				Gamli			gamla	
gamlison	patronymic	1		create	gamlison				Gamli			gamli	
gammelsdatter	patronymic	1		create	gammelsdatter				Gammel		gammelsson	gammel	Q9043
gammelsen	patronymic	1		create	gammelsen				Gammel		gammelsdatter	gammel	Q9043
gammelsson	patronymic	6		create	gammelsson				Gammel		gammelsdatter	gammel	Q9027
garbrandtsdatter	patronymic	2		create	garbrandtsdatter				Garbrandt		garbrandtsen	garbrandt	Q9043
garbrandtsen	patronymic	2		create	garbrandtsen				Garbrandt		garbrandtsdatter	garbrandt	Q9043
garbrantsdatter	patronymic	1		create	garbrantsdatter				Garbrandt			garbrant	Q9043
gardsdatter	patronymic	2		create	gardsdatter	Q12717105	Gard				gardsson	gard	Q9043
gardsdotter	patronymic	1		create	gardsdotter	Q12717105	Gard				gardsson	gards	Q9027
gardsen	patronymic	10		create	gardsen	Q12717105	Gard				gardsdatter	gard	Q9043
gardson	patronymic	11		create	gardson	Q12717105	Gard				gardsdatter	gard	
gardssen	patronymic	1		create	gardssen	Q12717105	Gard				gardsdatter	gards	Q9043
gardsson	patronymic	13		create	gardsson	Q12717105	Gard				gardsdatter	gard	Q9027
garmannsdatter	patronymic	2		create	garmannsdatter	Q96287895	Garman		Garmann		garmannson	garmann	Q9043
garmannson	patronymic	4		create	garmannson	Q96287895	Garman		Garmann		garmannsdatter	garmann	
garmansdatter	patronymic	13		create	garmansdatter	Q96287895	Garman				garmanson	garman	Q9043
garmansdotter	patronymic	1		create	garmansdotter	Q96287895	Garman				garmanson	garmans	Q9027
garmansen	patronymic	4		create	garmansen	Q96287895	Garman				garmansdatter	garman	Q9043
garmanson	patronymic	12		create	garmanson	Q96287895	Garman				garmansdatter	garman	
gasesdatter	patronymic	1		create	gasesdatter				Gase			gase	Q9043
gautesdatter	patronymic	16		create	gautesdatter	Q21451903	Gaute				gautesen	gaute	Q9043
gautesdotter	patronymic	3		create	gautesdotter	Q21451903	Gaute				gautesen	gautes	Q9027
gautesen	patronymic	11		create	gautesen	Q21451903 Q124630667	Gaute Gude				gautesdatter	gaute	Q9043
gauteson	patronymic	8		create	gauteson	Q21451903	Gaute				gautesdatter	gaute	
gautesson	patronymic	10		create	gautesson	Q21451903 Q124630667	Gaute Gude				gautesdatter	gaute	Q9027
gautreksson	patronymic	2		create	gautreksson				Gautrek			gautrek	Q9027
gautsson	patronymic	6		create	gautsson	Q21451903 Q16424899	Gaute Gauti		Gaut			gaut	Q9027
geblesen	patronymic	2		create	geblesen				Geble			geble	Q9043
geertsdatter	patronymic	1		create	geertsdatter	Q1497736	Geert					geert	Q9043
gefkesen	patronymic	1		create	gefkesen				Gefke			gefke	Q9043
geirason	patronymic	2		create	geirason	Q16424966 Q1498800	Geiri Geir					geira	
geirlaugsdatter	patronymic	2		create	geirlaugsdatter	Q16424971	Geirlaug				geirlaugsson	geirlaug	Q9043
geirlaugson	patronymic	2		create	geirlaugson	Q16424971	Geirlaug				geirlaugsdatter	geirlaug	
geirlaugsson	patronymic	4		create	geirlaugsson	Q16424971	Geirlaug				geirlaugsdatter	geirlaug	Q9027
geirmundsdotter	patronymic	1		create	geirmundsdotter	Q24401711	Geirmund				geirmundson	geirmunds	Q9027
geirmundsen	patronymic	2		create	geirmundsen	Q3441894 Q24401711	Gjermund Geirmund				geirmundsdotter	geirmund	Q9043
geirmundson	patronymic	4		create	geirmundson	Q24401711 Q3441894	Geirmund Gjermund				geirmundsdotter	geirmund	
geirsson	patronymic	2		create	geirsson	Q1498800	Geir					geir	Q9027
georgesdatter	patronymic	2		create	georgesdatter			George(2)				george	Q9043
georgesdotter	patronymic	1		create	georgesdotter	Q1985538	Georg					georges	Q9027
georgi	patronymic	2		create	georgi	Q5548460 Q1985538	Georgius Georg						
georgii	patronymic	8		create	georgii	Q5548460 Q1985538	Georgius Georg						
georgsdatter	patronymic	10		create	georgsdatter	Q1985538	Georg	George(2)			georgsson	georg	Q9043
georgsdotter	patronymic	31		create	georgsdotter	Q1985538 Q5548460	Georg Georgius				georgsson	georgs	Q9027
georgsen	patronymic	13		create	georgsen	Q1985538	Georg				georgsdotter	georg	Q9043
georgsson	patronymic	36		create	georgsson	Q1985538 Q5548460	Georg Georgius	George(2)			georgsdotter	georg	Q9027
gerbertsen	patronymic	2		create	gerbertsen	Q11699693	Gerbert					gerbert	Q9043
gerdsdotter	patronymic	1		create	gerdsdotter	Q5553169	Gert					gerds	Q9027
gerdtsdatter	patronymic	1		create	gerdtsdatter	Q5553169	Gert				gerdtsson	gerdt	Q9043
gerdtsdotter	patronymic	5		create	gerdtsdotter	Q21146848 Q7996169 Q5553169	Gerdt Gerhard Gert				gerdtsson	gerdts	Q9027
gerdtsen	patronymic	1		create	gerdtsen				Gierdt		gerdtsdotter	gerdt	Q9043
gerdtsson	patronymic	1		create	gerdtsson	Q21146848	Gerdt				gerdtsdotter	gerdt	Q9027
gerhardi	patronymic	2		create	gerhardi	Q7996169	Gerhard						
gerhardsdatter	patronymic	11		create	gerhardsdatter	Q7996169 Q19572194	Gerhard Gjert				gerhardsen	gerhard	Q9043
gerhardsdotter	patronymic	28		create	gerhardsdotter	Q7996169 Q21146848	Gerhard Gerdt				gerhardsen	gerhards	Q9027
gerhardsen	patronymic	23		create	gerhardsen	Q7996169 Q1514735	Gerhard Gerrit				gerhardsdotter	gerhard	Q9043
gerhardson	patronymic	2		create	gerhardson	Q7996169	Gerhard				gerhardsdotter	gerhard	
gerhardsson	patronymic	18		create	gerhardsson	Q7996169 Q21146848 Q5553169	Gerhard Gerdt Gert				gerhardsdotter	gerhard	Q9027
gerini	patronymic	3		create	gerini	Q104546255	Gerino						
gerlachsdotter	patronymic	2		create	gerlachsdotter	Q21400632	Gerlach					gerlachs	Q9027
gerlaksdotter	patronymic	1		create	gerlaksdotter				Gerlak		gerlaksson	gerlaks	Q9027
gerlaksson	patronymic	1		create	gerlaksson				Gerlak		gerlaksdotter	gerlak	Q9027
gerlofsdatter	patronymic	2		create	gerlofsdatter	Q20981195	Gerlof				gerlofsen	gerlof	Q9043
gerlofsen	patronymic	1		create	gerlofsen	Q20981195	Gerlof				gerlofsdatter	gerlof	Q9043
germundsdotter	patronymic	8		create	germundsdotter	Q33101545	Germund				germundsson	germunds	Q9027
germundsson	patronymic	8		create	germundsson	Q33101545	Germund				germundsdotter	germund	Q9027
gertdotter	patronymic	1		create	gertdotter	Q21146848	Gerdt				gertsen	gert	
gertsdatter	patronymic	17		create	gertsdatter	Q5553169 Q71148594 Q7996169	Gert Giert Gerhard				gertsen	gert	Q9043
gertsdotter	patronymic	11		create	gertsdotter	Q5553169 Q7996169 Q21146848	Gert Gerhard Gerdt				gertsen	gerts	Q9027
gertsen	patronymic	25		create	gertsen	Q5553169 Q71148594 Q19572194 Q7996169	Gert Giert Gjert Gerhard				gertsdatter	gert	Q9043
gertsson	patronymic	10		create	gertsson	Q5553169 Q7996169 Q21146848	Gert Gerhard Gerdt				gertsdatter	gert	Q9027
gestsdatter	patronymic	1		create	gestsdatter	Q121766356	Gjest				gestsson	gest	Q9043
gestsson	patronymic	1		create	gestsson	Q121766356	Gjest				gestsdatter	gest	Q9027
gevertsdatter	patronymic	1		create	gevertsdatter	Q20896931	Gevert					gevert	Q9043
gevertsdotter	patronymic	1		create	gevertsdotter	Q20896931	Gevert					geverts	Q9027
ghandari	patronymic	1		create	ghandari				Ghandara				
gierdsdatter	patronymic	1		create	gierdsdatter	Q5553169	Gert					gierd	Q9043
gierlougsen	patronymic	1		create	gierlougsen				Gjerlaug			gierloug	Q9043
giertsdatter	patronymic	24		create	giertsdatter	Q71148594 Q19572194 Q5553169 Q7996169 Q21146848	Giert Gjert Gert Gerhard Gerdt				giertsen	giert	Q9043
giertsen	patronymic	21		create	giertsen	Q71148594 Q19572194 Q7996169 Q5553169	Giert Gjert Gerhard Gert				giertsdatter	giert	Q9043
giertson	patronymic	1		create	giertson	Q71148594	Giert				giertsdatter	giert	
giertsson	patronymic	2		create	giertsson	Q71148594	Giert				giertsdatter	giert	Q9027
giliusdotter	patronymic	1		create	giliusdotter	Q34364478	Gilius				giliusson	gilius	Q9027
giliusson	patronymic	2		create	giliusson	Q34364478	Gilius				giliusdotter	giliu	Q9027
gillesdatter	patronymic	2		create	gillesdatter	Q2700518	Gilles				gillesen	gille	Q9043
gillesen	patronymic	2		create	gillesen	Q2700518	Gilles				gillesdatter	gille	Q9043
gilleson	patronymic	1		create	gilleson				Gillius		gillesdatter	gille	
gillisdotter	patronymic	4		create	gillisdotter	Q34364478 Q2700518	Gilius Gilles		Gillius			gillis	Q9027
gilliusson	patronymic	3		create	gilliusson	Q34364478	Gilius					gilliu	Q9027
gilsson	patronymic	3		create	gilsson	Q16425143	Gils					gil	Q9027
giortsdatter	patronymic	1		create	giortsdatter	Q5553169	Gert					giort	Q9043
gisasson	patronymic	1		create	gisasson				Gise			gisa	Q9027
giselsson	patronymic	3		create	giselsson	Q4570691	Gisle					gisel	Q9027
gisesdotter	patronymic	1		create	gisesdotter				Gise			gises	Q9027
gisladotter	patronymic	5		create	gisladotter	Q4570691	Gisle				gislason	gisla	
gislason	patronymic	2		create	gislason	Q4570691	Gisle				gisladotter	gisla	
gisledotter	patronymic	1		create	gisledotter	Q4570691	Gisle				gislesen	gisle	
gislesdatter	patronymic	3		create	gislesdatter	Q4570691	Gisle				gislesen	gisle	Q9043
gislesen	patronymic	11		create	gislesen	Q4570691	Gisle				gislesdatter	gisle	Q9043
gisleson	patronymic	1		create	gisleson	Q4570691	Gisle				gislesdatter	gisle	
gisselsdotter	patronymic	2		create	gisselsdotter	Q111072688	Gissel				gisselsson	gissels	Q9027
gisselsson	patronymic	1		create	gisselsson	Q111072688	Gissel				gisselsdotter	gissel	Q9027
gissurarson	patronymic	6		create	gissurarson	Q33101255	Gissur					gissurar	
gissurason	patronymic	3		create	gissurason	Q33101255	Gissur					gissura	
gisursson	patronymic	4		create	gisursson	Q33101255	Gissur					gisur	Q9027
