geni_id	descendants
6000000165275444825	0
6000000000416261211	0
6000000028125642438	44
6000000114689662071	49
6000000194202131843	29
6000000054988935854	0
6000000186184895679	2
6000000082940614826	29
6000000206791068915	0
6000000007819218794	15000
6000000024582422104	0
6000000223232544513	17
6000000182963611936	59
6000000161313386821	0
6000000182967809830	0
6000000223725066065	0
6000000198031358046	0
6000000223824080266	0
6000000008908916671	0
6000000135729127855	0
6000000223806468054	0
6000000181077513846	0
6000000127072925027	0
6000000223797116142	37
6000000015531409759	0
6000000052486303851	0
6000000041099323457	7
6000000227070463005	12
6000000059828546510	149
6000000223233030314	0
6000000223233627324	14
6000000080352826316	0
6000000137561226853	1068
6000000025865038076	0
6000000223806524481	0
6000000223823243281	0
6000000185143985837	4
6000000223232544634	16
6000000170684731880	8
6000000008113115407	81
