round	geni_id	fs_id	slot	method	from_geni	from_fs_id	evidence
1	366236902900013413	GYBM-39J	mother	solo	6000000004009856786	L193-QYW	position
1	385035064430011809	P3B7-DLM	child	date	6000000005416616842	LD91-ST3	born 1027 vs 1027
1	3953135291130122872	LYVQ-999	spouse	date	6000000000701225368	L8WB-M2R	born 931 vs 931
1	4224136108080121326	LZLV-QGZ	spouse	name	6000000000424802839	LBVH-D6P	shared: boulogne,mathilde
1	4434387867690031414	P3RZ-FQJ	father	solo	6000000003649663347	L1R3-QH7	position
1	4635537774070073496	P6GK-WPW	spouse	name	6000000000665380375	L8T2-WP2	shared: bourgogne
1	4647274	9H6Q-VVW	father	solo	348989271720012699	LCRR-KM2	position
1	4776106	LDSW-YMB	father	solo	6000000002224457876	LDSV-P4D	position
1	4921273998360102568	P9JR-7RG	mother	solo	6000000002512272407	L83J-7KR	position
1	4927683959580122814	9CZC-GSR	father	solo	6000000000716998561	998F-RYD	position
1	5287530087430075153	LD38-423	child	name	6000000000768917054	LBLP-Q79	shared: géza
1	5473900875460120094	L8TJ-56P	mother	solo	5473882692080138743	LZXX-FT2	position
1	5473900890130120000	G3TC-Q79	father	solo	5473882692080138743	LZXX-FT2	position
1	5576581017660066394	K468-758	spouse	date	5576581004760066388	L51S-NRL	born 1500 vs 1500
1	6000000000125394145	9CCY-L2W	father	solo	5020177483010087236	L8WY-WYP	position
1	6000000000125517845	L2PN-NHV	mother	solo	6000000002979868893	LCPG-8Q9	position
1	6000000000135924403	93QC-WRW	father	solo	6000000000437044109	KFLJ-TW7	position
1	6000000000157075199	LTTW-22W	child	date	6000000003714562119	MBMH-FJ9	born 1126 vs 1126
1	6000000000162314682	M897-QTS	child	date	6000000003649663347	L1R3-QH7	born 1026 vs 1026
1	6000000000172095492	GWDP-YVK	mother	solo	2559121	GY31-V99	position
1	6000000000207859767	LDSM-QN8	spouse	date	6000000000157358561	L8WB-MRH	born 1058 vs 1055
1	6000000000269783498	GRYB-Q35	child	date	6000000004397805952	L13J-RCK	born 1134 vs 1134
1	6000000000350890514	9MTF-W16	child	name	5473882692080138743	LZXX-FT2	shared: thyra
1	6000000000350890660	LB63-39R	father	solo	6000000004259810431	9HV2-NRT	position
1	6000000000351011235	9HVL-KZ4	mother	solo	6000000004259810431	9HV2-NRT	position
1	6000000000379746481	PFFB-NN3	mother	solo	6000000000013017126	LZ19-924	position
1	6000000000424570082	LBDX-4LG	mother	solo	6000000001210528003	L8MB-C1W	position
1	6000000000424624719	LZJV-7DH	spouse	solo	6000000003495348447	LDSH-HB3	position
1	6000000000424626222	LDSS-8WS	father	solo	6000000005154005003	LDSS-ZMW	position
1	6000000000424683032	LBQ7-VCK	father	solo	6000000000011361541	MSZC-Z12	position
1	6000000000424686458	LZSJ-4MJ	mother	solo	6000000000011361541	MSZC-Z12	position
1	6000000000424732452	L8MB-CYC	mother	solo	6000000005029367221	KN4J-P1M	position
1	6000000000436429187	LCR2-M6T	spouse	name	6000000004009856786	L193-QYW	shared: adelajda
1	6000000000437174252	G2VP-4X4	child	date	6000000000701225368	L8WB-M2R	born 952 vs 952
1	6000000000437316601	GKND-VN7	child	date	4957925920090125485	LB23-RVZ	born 1048 vs 1048
1	6000000000437327174	94BP-X4Z	spouse	name	6000000001172352035	L8BY-3VJ	shared: anna
1	6000000000444676198	9C72-WGJ	father	solo	6000000000701225368	L8WB-M2R	position
