qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q24223,Q12308941,Iurie,Iurie,イウリエ,,,,יוריה,Юрие,Iurie,Iurie,Iurie,Iurie,Iurie,Iurie,Iurie,Iurie,Iurie,Iurie,Iurie
Q29599,Q101352,Lund,,ルンド,隆德,,لوند,,Лунд,,,,,,,,,,,
Q46767,Q101352,Meyer,Meyer,マイヤー,迈耶,,ماير,מאייר,Мейер,Meyer,,,,,,,,,,
Q117599,"Q3409032,Q12308941",Ronny,Ronny,ロニー,,,روني,רוני,Ронни,Ronny,Ronny,Ronny,Ronny,Ronny,Ronny,Ronny,Ronny,Ronny,Ronny,Ronny
Q131935,Q101352,Mather,Mather,メイザー,,,ماثر,מאת'ר,Мэзер,Mather,,,,,,,,,,
Q131983,Q101352,Sturm,Sturm,シュトゥルム,斯特姆,,شتورم,,Штурм,Sturm,,,,,,,,,,
Q168911,Q11879590,Zdena,Zdena,ズデナ,兹达娜,,,,Здена,Zdena,Zdena,Zdena,Zdena,Zdena,Zdena,Zdena,Zdena,Zdena,Zdena,Zdena
Q169279,Q12308941,Ze'ev,Ze'ev,ゼエフ,杰夫,,زئيف,זאב,Зеэв,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev,Ze'ev
Q175279,Q12308941,Vilho,Vilho,ヴィルホ,,,,,Вильхо,Vilho,Vilho,Vilho,Vilho,Vilho,Vilho,Vilho,Vilho,Vilho,Vilho,Vilho
Q189775,Q12308941,Zenonas,Zenonas,ゼノナス,,,,,Зенонас,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas,Zenonas
Q199055,Q12308941,Ziemowit,Ziemowit,ジェモヴィト,,,,,Земовит,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit,Ziemowit
Q203631,Q12308941,Ragıp,Ragıp,ラグプ,,,راغِب,רגפ,Рагип,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp,Ragıp
Q205199,Q101352,Zinserling,Zinserling,,,,,,Цинзерлинг,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling,Zinserling
Q206111,Q11879590,Scota,Scota,スコタ,絲可塔,,سكوتا,,Скота,Scota,Scota,Scota,Scota,Scota,Scota,Scota,Scota,Scota,Scota,Scota
Q221215,Q11879590,Teodora,Teodora,テオドラ,特奥多拉,,تيودورا,תאודורה,Теодора,Teodora,Teodora,Teodora,Teodora,Teodora,Teodora,Teodora,Teodora,Teodora,Teodora,Teodora
Q221839,Q11879590,Fatima,Fatima,ファティマ,法蒂玛,,فاطمة,פטימה,Фатима,Fatima,Fatima,Fátima,Fatima,Fatima,Fatima,Fatima,Fatima,Fatima,Fatima,Fatima
Q227327,Q12308941,Zsolt,Zsolt,ジョルト,若尔特,,,,Жолт,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt,Zsolt
Q230399,Q101352,Zurfluh,Zurfluh,,,,,,,Zurfluh,Zurfluh,Zurfluh,Zurfluh,Zurfluh,Zurfluh,Zurfluh,Zurfluh,,Zurfluh,
Q240255,Q12308941,Kåre,Kåre,カレ,凯尔,,كاري,קורה,Коре,Kåre,Kåre,Kåre,Kåre,Kåre,Kåre,Kåre,Kåre,Kåre,Kåre,Kåre
Q245823,Q101352,Tsyplakov,Tsyplakov,,,,,,Цыплаков,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov,Tsyplakov
Q253551,Q12308941,Seren,Seren,,,,,,,Seren,Seren,Seren,Seren,Seren,Seren,Seren,Seren,Seren,Seren,Seren
Q256463,Q12308941,Pascal,Pascal,パスカル,帕斯卡尔,파스칼,باسكال,פסקל,Паскаль,Pascal,Pascal,Pascal,Pascal,Pascal,Pascal,Pascal,Pascal,,Pascal,
Q256719,Q12308941,ربيع,Rabih,,,,ربيع,רביע,Раби,Rabih,Rabih,Rabih,Rabih,Rabih,Rabih,Rabih,Rabih,Rabih,Rabih,Rabih
Q259503,Q101352,Cuneo,Cuneo,,,,,,Кунео,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo,Cuneo
Q263071,Q101352,Crisanti,Crisanti,,,,,,,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti,Crisanti
Q303183,Q101352,Aarts,Aarts,アーツ,,,آرتز,,,Aarts,Aarts,Aarts,Aarts,Aarts,Aarts,Aarts,Aarts,Aarts,Aarts,Aarts
Q303407,Q11879590,Aase,Aase,,,,,,Осе,Aase,Aase,Aase,Aase,Aase,Aase,Aase,Aase,Aase,Aase,Aase
Q307967,Q12308941,Abdelkrim,Abdelkarim,,阿卜杜勒卡里姆,,عبدالكريم,,Абделькарим,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim,Abdelkarim
Q324511,Q11879590,,Valdís,,瓦尔迪斯,,,ולדיס,,Valdís,Valdís,Valdís,Valdís,Valdís,Valdís,Valdís,Valdís,Valdís,Valdís,Valdís
Q337919,Q101352,Acar,Acar,,,,,,,Acar,Acar,Acar,Acar,Acar,Acar,Acar,Acar,Acar,Acar,Acar
Q338015,Q11879590,Beata,Beata,ベアタ,贝阿塔,,بياتا,ביאטה,Беата,Beata,Beata,Beata,Beata,Beata,Beata,Beata,Beata,Beata,Beata,Beata
Q346047,Q11879590,Ada,Ada,エイダ,Ada,,آدا,עדה,Ада,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Q351311,Q11879590,Juliane,Juliane,ユリアーネ,朱莉安,,,יוליאנה,Юлиана,Juliane,Juliane,Juliane,Juliane,Juliane,Juliane,Juliane,Juliane,Juliane,Juliane,Juliane
Q351567,Q101352,Adamczyk,Adamczyk,アダムチク,亚当奇克,,أدامشيك,,Адамчик,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk,Adamczyk
Q355279,Q11879590,Scholastika,Scholastika,,,,,,,Scholastika,Scholastika,Scholastika,Scholastika,Scolastica,Scholastika,Scholastika,Scholastika,Scholastika,Scholastika,Scholastyka
Q356559,Q101352,Sandoval,Sandoval,サンドバル,桑多瓦尔,산도발,ساندوفال,סנדובל,Сандовал,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval,Sandoval
Q364943,Q12308941,Adolfas,Adolfas,,,,,אדולפאס,Адолфас,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas,Adolfas
Q365967,Q12308941,Adolphus,Adolphus,アドルファス,,,أدولفوس,אדולפוס,Адольфус,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus,Adolphus
Q372399,Q11879590,Boglárka,Boglárka,ボグラールカ,博格拉尔考,,,בוגלרקה,,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka,Boglárka
Q386015,Q12308941,Hamish,Hamish,ヘイミッシュ,哈密斯,해미시,هاميش,המיש,Хэмиш,Hamish,Hamish,Hamish,Hamish,Hamish,Hamish,Hamish,Hamish,Hamish,Hamish,Hamish
Q389039,Q11879590,,Şiir,,,,,,,Şiir,Şiir,Şiir,Şiir,Şiir,Şiir,Şiir,Şiir,Şiir,Şiir,Şiir
Q392031,Q101352,Ağayev,Ağayev,,,,,,Агаев,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev,Ağayev
Q393055,Q12308941,Αγησίπολις,Agesipolis,,,,,,,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis,Agesipolis
Q394431,Q11879590,Agnes,Agnes,アグネス,阿格尼丝,,أغنيس,אגנס,Агнес,Agnes,Agnes,Agnes,Agnes,Agnes,Agnes,Agnes,Agnes,Agnes,Agnes,Agnes
Q395215,Q101352,,Agolli,アゴリ,,,,,Аголли,Agolli,Agolli,Agolli,Agolli,Agolli,Agolli,Agolli,Agolli,Agolli,Agolli,Agolli
Q395503,Q101352,Agosti,Agosti,アゴスティ,阿格斯蒂,,,,Агости,Agosti,Agosti,Agosti,Agosti,Agosti,Agosti,Agosti,Agosti,Agosti,Agosti,Agosti
Q396447,Q12308941,Maxim,Maxim,マクシム,马克西姆,막심,ماكسيم,מקסים,Максим,Maxim,Maxim,Maxim,Maxim,Maxim,Maxim,Maxim,Maxim,,Maxim,
Q400559,Q101352,Ahlstrand,Ahlstrand,,,,,,Альстранд,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand,Ahlstrand
Q411679,Q101352,Степанова,Stepanova,ステパノワ,斯特潘诺娃,,,,Степанова,Stepanowa,Stepanova,Stepánova,Stepanova,Stepanova,Stepanova,Stepanova,,Stepanova,,
Q413535,Q101352,Kosinski,Kosinski,,,,كوزينسكي,,Косинский,Kosinski,Kosinski,Kosinski,Kosinski,Kosinski,Kosinski,Kosinski,Kosinski,,Kosinski,
Q414927,Q101352,Greenspan,Greenspan,グリーンスパン,,,جرينسبان,גרינספן,Гринспен,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan,Greenspan
Q415295,Q12308941,Akai,Akai,,亚凯,,,,,Akai,Akai,Akai,Akai,Akai,Akai,Akai,Akai,Akai,Akai,Akai
