geni_id	descendants
6000000038940816476	0
6000000186643092837	0
6000000220422838828	18
6000000176562423831	0
6000000009237658441	2
6000000124685519823	9
6000000217329041827	2
6000000060822201836	0
6000000026323671872	600
4874569306850029636	0
6000000010401013369	574
6000000010401039627	95
6000000009796525041	0
6000000029696686534	0
6000000217990675868	0
6000000100412003828	0
6000000022433819085	181
6000000216576407847	4460
6000000018613838346	32
6000000032549684367	88
6000000031528582993	0
6000000035551409825	0
6000000186923668824	0
6000000220422830872	17
6000000021040915810	0
6000000188853977863	15
6000000192476717850	0
6000000070087925074	7
6000000227733726056	0
6000000146583752875	349
6000000054986676160	0
6000000176574584834	0
6000000099060391823	6
6000000166940988821	0
6000000037819081173	39
6000000099069902841	0
6000000069528345015	0
6000000186923462826	0
6000000031528820935	3
6000000021041022643	1
